branch_key,project_id,from_bus,to_bus,r_pu,x_pu,b_pu,rate_a_mva,tap,status,electrical_role,parent_row,parameter_template_key,length_miles,parameter_policy,nominal_r_pu,nominal_x_pu,nominal_b_pu,nominal_rate_a_mva,model_branch_row,base_mva,shift_degree,rate_b_mva,rate_c_mva,from_base_kv,to_base_kv,sensitivity_required,parameter_ground_truth_verified,thermal_eligible,dlr_eligible,rating_basis
NY2025:NYES:2,NYES,9104,73,0.000834906500445236,0.0127316117542297,0.493681923419412,1800,0,1,assumed_345kV_overhead_circuit,246,800_1233_1,32,historical_345kV_template_54mile_public_corridor_1800MVA_assumed_no_series_compensation_copy,0.000834906500445236,0.0127316117542297,0.329121282279608,1800,268,100,0,1800,1800,345,345,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:SMART_PATH:1,SMART_PATH,1220,48,0.01156,0.10931,0.625575,575,0,1,230kV_historical_template_rebuild_equivalent,47,1220_1230_1,105.5,230kV_through_cutoff_Moses_leg_R_times085_assumed_X_B_and_rating_historical_Porter_leg_unchanged,0.01156,0.10931,0.41705,575,269,100,0,575,575,230,230,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:SMART_PATH:2,SMART_PATH,1220,48,0.0115685,0.10934,0.62577,575,0,1,230kV_historical_template_rebuild_equivalent,47,1220_1230_2,105.5,230kV_through_cutoff_Moses_leg_R_times085_assumed_X_B_and_rating_historical_Porter_leg_unchanged,0.0115685,0.10934,0.41718,575,270,100,0,575,575,230,230,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:SMART_PATH:3,SMART_PATH,1220,44,0.00815,0.0655,0.37485,453,0,1,230kV_historical_template_rebuild_equivalent,47,1220_1232_1,63.2,230kV_through_cutoff_Moses_leg_R_times085_assumed_X_B_and_rating_historical_Porter_leg_unchanged,0.00815,0.0655,0.2499,453,271,100,0,453,453,230,230,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:SMART_PATH:4,SMART_PATH,1220,44,0.00815,0.0655,0.37485,453,0,1,230kV_historical_template_rebuild_equivalent,47,1220_1232_2,63.2,230kV_through_cutoff_Moses_leg_R_times085_assumed_X_B_and_rating_historical_Porter_leg_unchanged,0.00815,0.0655,0.2499,453,272,100,0,453,453,230,230,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:DELIVERY:95:1,NYC_BACKBONE,78,1130,0.00015,0.00765,0,908.848753535103,0,1,inherited_equivalent_resegmented,95,NPCC_S7:BRANCH_ROW:95,NaN,half_series_budget_split_existing_delivery_equivalent_not_physical_conductor,0.00015,0.00765,0,908.848753535103,273,100,0,908.848753535103,908.848753535103,345,345,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:DELIVERY:95:2,NYC_BACKBONE,1130,79,0.00015,0.00765,0,908.848753535103,1,1,inherited_equivalent_resegmented,95,NPCC_S7:BRANCH_ROW:95,NaN,half_series_budget_split_existing_delivery_equivalent_not_physical_conductor,0.00015,0.00765,0,908.848753535103,274,100,0,908.848753535103,908.848753535103,345,22,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:DELIVERY:240:1,NYC_BACKBONE,78,557,0.0003,0.005,0,1390.53859290871,0,1,inherited_equivalent_resegmented,240,NPCC_S7:BRANCH_ROW:240,NaN,half_series_budget_split_existing_delivery_equivalent_not_physical_conductor,0.0003,0.005,0,1390.53859290871,275,100,0,1390.53859290871,1390.53859290871,345,345,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:DELIVERY:240:2,NYC_BACKBONE,557,79,0.0003,0.005,0,1390.53859290871,1,1,inherited_equivalent_resegmented,240,NPCC_S7:BRANCH_ROW:240,NaN,half_series_budget_split_existing_delivery_equivalent_not_physical_conductor,0.0003,0.005,0,1390.53859290871,276,100,0,1390.53859290871,1390.53859290871,345,22,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:DELIVERY:97:1,NYC_BACKBONE,78,1129,0.00025,0.0138,0,503.818330764024,0,1,inherited_equivalent_resegmented,97,NPCC_S7:BRANCH_ROW:97,NaN,half_series_budget_split_existing_delivery_equivalent_not_physical_conductor,0.00025,0.0138,0,503.818330764024,277,100,0,503.818330764024,503.818330764024,345,345,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:DELIVERY:97:2,NYC_BACKBONE,1129,81,0.00025,0.0138,0,503.818330764024,0,1,inherited_equivalent_resegmented,97,NPCC_S7:BRANCH_ROW:97,NaN,half_series_budget_split_existing_delivery_equivalent_not_physical_conductor,0.00025,0.0138,0,503.818330764024,278,100,0,503.818330764024,503.818330764024,345,345,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:DELIVERY:239:1,NYC_BACKBONE,78,1129,0.00036,0.006,0,1158.78216075726,0,1,inherited_equivalent_resegmented,239,NPCC_S7:BRANCH_ROW:239,NaN,half_series_budget_split_existing_delivery_equivalent_not_physical_conductor,0.00036,0.006,0,1158.78216075726,279,100,0,1158.78216075726,1158.78216075726,345,345,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:DELIVERY:239:2,NYC_BACKBONE,1129,81,0.00036,0.006,0,1158.78216075726,0,1,inherited_equivalent_resegmented,239,NPCC_S7:BRANCH_ROW:239,NaN,half_series_budget_split_existing_delivery_equivalent_not_physical_conductor,0.00036,0.006,0,1158.78216075726,280,100,0,1158.78216075726,1158.78216075726,345,345,0,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:RAINEY_XFMR,NYC_BACKBONE,1130,1529,0.00062,0.0325,0,1500,1,1,assumed_parallel_transformer_equivalent,0,1130_1529_1,0,two_parallel_historical_Rainey_transformers_equivalent_fixed_tap,0.00062,0.0325,0,1500,281,100,0,1500,1500,345,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:ASTORIA_XFMR,NYC_BACKBONE,557,1493,0.0006,0.025,0,1500,1,1,assumed_station_transformer,0,1130_1529_1,0,Rainey_template_orders_of_magnitude_Assumed_Astoria_equivalent,0.0006,0.025,0,1500,282,100,0,1500,1500,345,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:CORONA_BASELINE,NYC_BACKBONE,1493,601,0.0002,0.0010025,0.18222,2248,0,1,historical_parallel_cable_equivalent,0,1493_601_1,5.5,four_historical_EastAstoria_Corona_circuits_aggregated,0.0002,0.0010025,0.12148,2248,283,100,0,2248,2248,138,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:RCC_QUEENS:CABLE,RCC_QUEENS,1529,601,0.000872727272727273,0.00437454545454545,0.0496963636363636,300,0,1,assumed_138kV_underground_cable,0,1493_601_1,6,6mile_Rainey_Corona_300MW_public_capacity_used_as_assumed300MVA_apparent_power_limit,0.000872727272727273,0.00437454545454545,0.0331309090909091,300,284,100,0,300,300,138,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:RCC_BROOKLYN:PAR,RCC_BROOKLYN,1129,9112,0.002,0.03,0,300,1,1,assumed_fixed_PAR_transformer,0,assumption,0,fixed_tap1_shift0_no_automatic_phase_control_public345_138_feeder,0.002,0.03,0,300,285,100,0,300,300,345,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:RCC_BROOKLYN:CABLE,RCC_BROOKLYN,9112,9111,0.000145454545454545,0.000729090909090909,0.00828272727272727,300,0,1,assumed_138kV_underground_cable,0,1493_601_1,1,1mile_300MW_project_rating_used_as_assumed300MVA,0.000145454545454545,0.000729090909090909,0.00552181818181818,300,286,100,0,300,300,138,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:RCC_STATEN:PAR,RCC_STATEN,81,9113,0.002,0.03,0,300,1,1,assumed_fixed_PAR_transformer,0,assumption,0,fixed_tap1_shift0_no_automatic_phase_control_public345_138_feeder,0.002,0.03,0,300,287,100,0,300,300,345,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:RCC_STATEN:CABLE,RCC_STATEN,9113,9114,0.00133818181818182,0.00670763636363636,0.0762010909090909,300,0,1,assumed_138kV_underground_cable,0,1493_601_1,9.2,approximately9mile_300MW_project_rating_used_as_assumed300MVA,0.00133818181818182,0.00670763636363636,0.0508007272727273,300,288,100,0,300,300,138,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:GREENWOOD_CORONA,NYC_BACKBONE,9111,601,0.00116363636363636,0.00583272727272727,0.0662618181818182,600,0,1,assumed_regional_138kV_network_equivalent,0,assumption,8,aggregate_omitted_NYC_receiving_network_connection_not_named_physical_circuit,0.00116363636363636,0.00583272727272727,0.0441745454545455,600,289,100,0,600,600,138,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
NY2025:NYC:FOX_GREENWOOD,NYC_BACKBONE,9114,9111,0.00145454545454545,0.00729090909090909,0.0828272727272727,600,0,1,assumed_regional_138kV_network_equivalent,0,assumption,10,aggregate_omitted_NYC_receiving_network_connection_not_named_physical_circuit,0.00145454545454545,0.00729090909090909,0.0552181818181818,600,290,100,0,600,600,138,138,1,0,0,0,declared_static_MVA_assumption_not_conductor_ampacity_or_interface_limit
