scope,operator_variant,interface,observations,sum_absolute_error_mw,sum_absolute_observed_mw,actual_flow_wape_pct,mae_mw,rmse_mw,bias_sim_minus_observed_mw,mape_nonzero_actual_pct,max_nonzero_actual_error_pct,mape_defined_observations,zero_actual_flow_count,min_absolute_observed_mw,min_nonzero_absolute_observed_mw,opposite_direction_count,opposite_direction_fraction,zero_prediction_nonzero_actual_count,positive_limit_9999_count,paper_error_q025_pct,paper_error_q25_pct,paper_error_median_pct,paper_error_q75_pct,paper_error_q975_pct,fraction_absolute_paper_error_le_10pct,fraction_absolute_paper_error_le_15pct
primary_all_naive_hours,corrected_released_if_map,Moses South,8760,1337666.76947,14874640.7732,8.99293495462,152.701686013,198.260718222,104.946074105,14.9774303698,4323.95887862,8760,0,11.9283333333,11.9283333333,9,0.00102739726027,0,0,-31.7265763209,-7.22015313984,-2.94418672805,0.366749856533,6.19530705412,0.848744292237,0.939726027397
primary_all_naive_hours,corrected_released_if_map,Central East,8760,1855363.84446,19266641.3081,9.62992882252,211.799525623,260.567362838,-32.3615392847,10.0245769846,63.5586807255,8760,0,1107.80909091,1107.80909091,0,0,0,0,-21.916693835,-6.05692297389,1.30828345877,8.74409342828,19.9002383425,0.642694063927,0.845547945205
primary_all_naive_hours,corrected_released_if_map,UpNY-Coned,8760,2112248.9677,21309955.9547,9.91202878218,241.124311381,325.277847899,106.722229509,11.5901967318,293.725857352,8760,0,246.2,246.2,0,0,0,0,-14.3455108358,-4.74397934139,-1.54862131752,1.41535679061,8.45221769073,0.912214611872,0.97899543379
primary_all_naive_hours,corrected_released_if_map,Dun/SPR-South,8760,2624246.21629,24105597.292,10.8864600387,299.571485878,395.279327561,64.1295884264,11.059651806,71.0968465233,8760,0,721.135833333,721.135833333,0,0,0,0,-17.8099007101,-6.50466938406,-2.21326086957,2.77480072464,19.6109295977,0.781735159817,0.911872146119
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Dysinger East,8757,4703453.57278,8172932.88429,57.5491520532,537.107864883,709.52739007,-502.855745287,79.6461182601,101651.949182,8757,0,0.4175,0.4175,491,0.0560694301701,0,0,-7.49548494544,5.27276678563,13.9011965019,23.3669073737,60.1186896603,0.367477446614,0.529176658673
unimputed_unambiguous_hour_sensitivity,literal_released_plot,West Central,8757,16752418.8992,4087983.65029,409.796621814,1913.03173452,1942.84862008,-1913.03173452,2273.11058745,1398483.6641,8757,0,0.135,0.135,7557,0.862966769442,0,8757,12.7383279006,16.8754843964,19.054849405,21.2739922337,26.0825563706,0.00445357999315,0.105858170606
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Total East,8757,2509437.15249,34679625.592,7.23605606939,286.563566575,346.271605511,200.402852793,7.91794127369,118.256342235,8757,0,1395.15416667,1395.15416667,0,0,0,0,-10.3044214424,-5.63591900169,-3.28787340309,-0.499810488129,5.97555907917,0.967112024666,0.996117391801
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Moses South,8757,12851282.1293,14869522.3713,86.4270001977,1467.54392249,1522.22909667,-1467.00664581,86.6408705276,1436.36714462,8757,0,11.9283333333,11.9283333333,113,0.0129039625443,0,0,22.2453668382,43.4571655963,52.0347314516,57.6960037279,65.6658975002,0.00159872102318,0.00628068973393
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Central East,8757,1854917.10511,19260073.635,9.63089311218,211.821069443,260.596246025,-32.4236409133,10.025652906,63.5586807255,8757,0,1107.80909091,1107.80909091,0,0,0,0,-21.9168892126,-6.04596097551,1.31070737272,8.74452669109,19.9009732932,0.64257165696,0.845495032545
unimputed_unambiguous_hour_sensitivity,literal_released_plot,UpNY-Coned,8757,33459553.9454,21304182.8872,157.056265066,3820.89230848,3970.99787777,-3820.89230848,159.196544555,355.229603137,8757,0,246.2,246.2,8757,1,0,0,31.9050094569,54.3933113128,67.0526744306,80.0627281597,116.755459621,0,0.00114194358799
unimputed_unambiguous_hour_sensitivity,literal_released_plot,Dun/SPR-South,8757,4594453.56237,24097827.8534,19.0658410805,524.660678585,670.935285288,427.276332742,20.853362819,227.678115775,8757,0,721.135833333,721.135833333,0,0,0,0,-35.7407148512,-15.7914168289,-8.68657774689,-2.14609550523,11.6278479145,0.510791366906,0.718396711202
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Dysinger East,8757,1838705.54705,8172932.88429,22.4974996502,209.969800965,261.188801684,51.9345469029,57.4706622545,116113.79992,8757,0,0.4175,0.4175,77,0.0087929656275,0,0,-16.8270414977,-7.37768775519,-2.27410939926,3.54301382738,16.1455276686,0.762818316775,0.92680141601
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,West Central,8757,1913535.87657,4087983.65029,46.8087947573,218.515002464,270.277147451,84.646165732,261.057442813,152463.109117,8757,0,0.135,0.135,1006,0.114879524951,0,8757,-5.53410106608,-2.57732454664,-1.04611469124,0.75964842085,4.69846050204,0.999543222565,1
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Total East,8757,2509437.15249,34679625.592,7.23605606939,286.563566575,346.271605511,200.402852793,7.91794127369,118.256342235,8757,0,1395.15416667,1395.15416667,0,0,0,0,-10.3044214424,-5.63591900169,-3.28787340309,-0.499810488129,5.97555907917,0.967112024666,0.996117391801
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Moses South,8757,1337361.48546,14869522.3713,8.99397742622,152.719137315,198.28314098,104.964275678,14.9805087787,4323.95887862,8757,0,11.9283333333,11.9283333333,9,0.00102774922919,0,0,-31.7358679913,-7.22247719573,-2.94420279278,0.366394378621,6.19535898217,0.848692474592,0.939705378554
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Central East,8757,1854917.10511,19260073.635,9.63089311218,211.821069443,260.596246025,-32.4236409133,10.025652906,63.5586807255,8757,0,1107.80909091,1107.80909091,0,0,0,0,-21.9168892126,-6.04596097551,1.31070737272,8.74452669109,19.9009732932,0.64257165696,0.845495032545
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,UpNY-Coned,8757,2111696.51062,21304182.8872,9.91212158571,241.143829008,325.311026435,106.75487339,11.5908748714,293.725857352,8757,0,246.2,246.2,0,0,0,0,-14.3456779477,-4.74385305992,-1.54990090774,1.41520987477,8.45291612094,0.912184538084,0.978988237981
unimputed_unambiguous_hour_sensitivity,corrected_released_if_map,Dun/SPR-South,8757,2623739.5484,24097827.8534,10.8878674226,299.616255384,395.332186289,64.1166739053,11.0611046696,71.0968465233,8757,0,721.135833333,721.135833333,0,0,0,0,-17.8152767533,-6.50503623188,-2.21248188406,2.78365942029,19.6139482759,0.781660385977,0.911841955007
