timestamp,interface,released_plot_mw,corrected_operator_mw,observed_mw,positive_limit_mw,released_paper_error_pct,pf_success
18-Feb-2019 15:00:00,Total East,4833.52172576463,4833.52172576463,4726.80833333333,6800,-1.5693145945779,1
18-Feb-2019 15:00:00,Moses South,178.668006882767,2066.35135795231,1901.54333333333,3150,54.6944548079545,1
18-Feb-2019 15:00:00,Central East,3079.42181840619,3079.42181840619,2646.665,2760,-15.6795948697894,1
18-Feb-2019 15:00:00,UpNY-Coned,-909.761698033067,2072.43186869745,1849.56166666667,5700,48.4091818368374,1
18-Feb-2019 15:00:00,Dun/SPR-South,3262.66581379284,2310.38000000001,2169.45666666667,4600,-23.7654162418734,1
18-Feb-2019 16:00:00,Dysinger East,144.41278111205,1590.4223746498,1519.09583333333,3150,43.6407318165487,1
18-Feb-2019 16:00:00,West Central,-1494.77691558728,923.319027911679,825.981666666667,9999,23.2099068132207,1
18-Feb-2019 16:00:00,Total East,4636.20900905229,4636.20900905229,4478.96916666667,6800,-2.31235062331792,1
18-Feb-2019 16:00:00,Moses South,153.926028575666,1901.6789596012,1769.59666666667,3150,51.2911313679683,1
18-Feb-2019 16:00:00,Central East,2916.87072457845,2916.87072457845,2557.33333333333,2760,-13.0267170740985,1
18-Feb-2019 16:00:00,UpNY-Coned,-870.779285603086,1989.14534937935,1888.93,5700,48.4159523790015,1
18-Feb-2019 16:00:00,Dun/SPR-South,3399.84069074938,2227.28,2182.3175,4600,-26.4678954510734,1
18-Feb-2019 17:00:00,Dysinger East,56.6800775710352,1800.7967962802,1661.53666666667,3150,50.9478282252581,1
18-Feb-2019 17:00:00,West Central,-1437.98631883872,1097.85137258719,933.795833333334,9999,23.7201935410746,1
18-Feb-2019 17:00:00,Total East,4764.26864173872,4764.26864173872,4518.81416666667,6800,-3.60962463341258,1
18-Feb-2019 17:00:00,Moses South,159.662371458996,2017.04087981838,1849.6575,3150,53.6506390013017,1
