smoke_case,branch_row,from_bus,to_bus,from_name,to_name,from_zone,to_zone,status
2,30,51,53,CLAY,ROCHESTER,C,B,1
2,31,51,72,CLAY,LAPEER,C,C,1
2,32,52,53,ROCHESTER,ROCHESTER,B,B,1
2,33,53,55,ROCHESTER,NIAGARA E,B,A,1
2,34,53,65,ROCHESTER,GESONIDGE,B,C,1
2,35,54,52,NIAGARA W,ROCHESTER,A,B,1
2,36,54,55,NIAGARA W,NIAGARA E,A,A,1
2,37,54,56,NIAGARA W,HUNTLEY,A,A,1
2,38,54,62,NIAGARA W,STOLLE RD,A,B,1
2,39,54,102,NIAGARA W,BP 76,A,NA,1
2,40,54,103,NIAGARA W,PA 27,A,NA,1
2,41,55,57,NIAGARA E,HUNTLEY,A,A,1
2,42,55,59,NIAGARA E,GARDENVILLE,A,A,1
2,43,56,57,HUNTLEY,HUNTLEY,A,A,1
2,44,56,58,HUNTLEY,GARDENVILLE,A,A,1
2,45,57,59,HUNTLEY,GARDENVILLE,A,A,1
2,46,58,59,GARDENVILLE,GARDENVILLE,A,A,1
2,47,58,60,GARDENVILLE,DUNKIRK,A,A,1
2,48,58,62,GARDENVILLE,STOLLE RD,A,B,1
2,49,59,61,GARDENVILLE,DUNKIRK,A,A,1
2,50,60,61,DUNKIRK,DUNKIRK,A,A,1
2,51,62,63,STOLLE RD,MEYER,B,C,1
2,52,63,64,MEYER,MEYER,C,C,1
2,53,63,67,MEYER,WRHL,C,C,1
2,54,64,65,MEYER,GESONIDGE,C,C,1
2,55,64,68,MEYER,HILLSIDE,C,C,1
2,56,66,67,WATERCURE,WRHL,C,C,1
2,57,66,69,WATERCURE,BINGHAMTON,C,E,1
2,58,66,134,WATERCURE,HOMER CITY,C,NA,1
2,59,67,68,WRHL,HILLSIDE,C,C,1
2,60,67,70,WRHL,BINGHAMTON,C,C,1
2,61,67,138,WRHL,E TOMANO,C,NA,1
2,62,68,71,HILLSIDE,BINGHAMTON,C,C,1
2,63,69,71,BINGHAMTON,BINGHAMTON,E,C,1
2,64,70,71,BINGHAMTON,BINGHAMTON,C,C,1
2,65,71,72,BINGHAMTON,LAPEER,C,C,1
2,66,73,74,PLEASANT VLY,MILLWOOD,G,H,1
2,67,74,77,MILLWOOD,BUCHANAN,H,G,1
2,68,74,78,MILLWOOD,CE UG,H,I,1
2,69,75,76,RAMAPO,RAMAPO,G,G,1
2,70,75,124,RAMAPO,BRANCHBURG,G,NA,1
2,71,76,77,RAMAPO,BUCHANAN,G,G,1
2,72,78,79,CE UG,RAV A-3,I,K,1
2,73,78,80,CE UG,NORTHPORT,I,K,1
2,74,78,81,CE UG,GOETHALS,I,J,1
2,75,78,82,CE UG,AK-3,I,J,1
2,76,124,125,BRANCHBURG,LINDON,NA,NA,1
2,77,132,134,JUNIATA,HOMER CITY,NA,NA,1
2,78,132,138,JUNIATA,E TOMANO,NA,NA,1
2,79,21,35,MILLSTONE PT,SOUTHINGTEN,NA,NA,1
2,80,21,29,MILLSTONE PT,NORTHFIELD,NA,NA,1
2,81,29,35,NORTHFIELD,SOUTHINGTEN,NA,NA,1
2,82,100,102,PHAS,BP 76,NA,NA,1
2,83,100,103,PHAS,PA 27,NA,NA,1
2,84,102,103,BP 76,PA 27,NA,NA,1
2,85,124,138,BRANCHBURG,E TOMANO,NA,NA,1
2,86,124,134,BRANCHBURG,HOMER CITY,NA,NA,1
2,87,124,132,BRANCHBURG,JUNIATA,NA,NA,1
2,88,124,125,BRANCHBURG,LINDON,NA,NA,1
