hour_index,timestamp,source_chunk,max_branch_pf_error_mw,max_bus_angle_error_deg,max_result_pg_error_mw,max_released_operator_error_mw,max_corrected_operator_error_mw,max_independent_nodal_residual_mw,reference_angle_error_deg,max_active_rated_branch_overload_mw,replay_passed
8222,2019-12-09T13:00:00,annual_4.mat,7.219114195322618e-12,1.9895196601282805e-13,8.640199666842818e-12,6.366462912410498e-12,7.958078640513122e-12,8.526512829121202e-12,0.0,805.6032556579592,True
8223,2019-12-09T14:00:00,annual_4.mat,6.536993168992922e-12,1.7053025658242404e-13,1.5916157281026244e-12,5.002220859751105e-12,3.637978807091713e-12,7.65965069149388e-12,0.0,726.5198497516847,True
8224,2019-12-09T15:00:00,annual_4.mat,3.524291969370097e-12,1.1368683772161603e-13,6.821210263296962e-13,3.183231456205249e-12,5.4569682106375694e-12,3.296918293926865e-12,0.0,721.3181246447491,True
8225,2019-12-09T16:00:00,annual_4.mat,7.048583938740194e-12,1.9895196601282805e-13,4.774847184307873e-12,7.16227077646181e-12,5.4569682106375694e-12,8.327560863108374e-12,0.0,722.3873718368304,True
8226,2019-12-09T17:00:00,annual_4.mat,6.991740519879386e-12,1.4210854715202004e-13,3.410605131648481e-12,8.412825991399586e-12,7.958078640513122e-12,7.560174708487466e-12,0.0,686.5800866593511,True
8227,2019-12-09T18:00:00,annual_4.mat,5.5138116294983774e-12,2.2737367544323206e-13,8.185452315956354e-12,7.048583938740194e-12,6.821210263296962e-12,8.483880264975596e-12,0.0,759.1931749172004,True
8228,2019-12-09T19:00:00,annual_4.mat,6.0822458181064576e-12,1.7053025658242404e-13,3.865352482534945e-12,4.547473508864641e-12,6.59383658785373e-12,9.691802915767767e-12,0.0,535.7977657400608,True
8229,2019-12-09T20:00:00,annual_4.mat,4.547473508864641e-12,1.9895196601282805e-13,3.865352482534945e-12,6.366462912410498e-12,8.640199666842818e-12,7.58859641791787e-12,0.0,522.3520190312983,True
8230,2019-12-09T21:00:00,annual_4.mat,6.366462912410498e-12,3.410605131648481e-13,1.3983481039758772e-11,6.59383658785373e-12,1.0913936421275139e-11,6.849631972727366e-12,0.0,507.12838680472623,True
8231,2019-12-09T22:00:00,annual_4.mat,4.774847184307873e-12,2.2737367544323206e-13,7.16227077646181e-12,7.503331289626658e-12,1.0459189070388675e-11,4.419575816427823e-12,0.0,431.38763621554176,True
8232,2019-12-09T23:00:00,annual_4.mat,4.263256414560601e-12,1.7053025658242404e-13,7.389644451905042e-12,4.774847184307873e-12,8.29913915367797e-12,6.352252057695296e-12,0.0,363.21839723484493,True
8233,2019-12-10T00:00:00,annual_4.mat,3.296918293926865e-12,9.947598300641403e-14,3.069544618483633e-12,4.547473508864641e-12,7.503331289626658e-12,5.4285465012071654e-12,0.0,319.49537241219286,True
8234,2019-12-10T01:00:00,annual_4.mat,4.320099833421409e-12,1.5631940186722204e-13,5.6843418860808015e-12,5.9117155615240335e-12,7.73070496506989e-12,6.536993168992922e-12,0.0,313.5499976527648,True
