TimeStamp,interface,FlowMWH,PositiveLimitMWH,NegativeLimitMWH,sample_count,distinct_timestamp_count,FlowMWH_unimputed,FlowMWH_finite_samples,FlowMWH_imputed,PositiveLimitMWH_unimputed,PositiveLimitMWH_finite_samples,PositiveLimitMWH_imputed,NegativeLimitMWH_unimputed,NegativeLimitMWH_finite_samples,NegativeLimitMWH_imputed,PositiveLimitMWH_sentinel_samples,NegativeLimitMWH_sentinel_samples,spring_dst_missing_hour,fall_dst_ambiguous_hour,filter_unimputed_unambiguous_hour,filter_unimputed_unambiguous_exactly_12_unique_samples,InterfaceName
2019-05-21 16:00:00,UpNY-Coned,2831.8775,5700.0,-9999.0,12,12,2831.8775,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-05-21 16:00:00,West Central,833.821666666667,9999.0,-9999.0,12,12,833.821666666667,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-05-21 20:00:00,Central East,2338.22166666667,2650.0,-9999.0,12,12,2338.22166666667,12,False,2650.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-05-21 20:00:00,Dun/SPR-South,2412.77166666667,4600.0,-9999.0,12,12,2412.77166666667,12,False,4600.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-05-21 20:00:00,Dysinger East,1464.67083333333,3000.0,-9999.0,12,12,1464.67083333333,12,False,3000.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-05-21 20:00:00,Moses South,1331.87583333333,2850.0,-1600.0,12,12,1331.87583333333,12,False,2850.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-05-21 20:00:00,Total East,3603.69166666667,6800.0,-9999.0,12,12,3603.69166666667,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-05-21 20:00:00,UpNY-Coned,2087.0875,5700.0,-9999.0,12,12,2087.0875,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-05-21 20:00:00,West Central,1019.59083333333,9999.0,-9999.0,12,12,1019.59083333333,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-05-30 09:00:00,Central East,2376.23,2615.0,-9999.0,12,12,2376.23,12,False,2615.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
