point_id,source_flow_value,actual_positive_limit_mw,actual_negative_limit_mw,source_csv_line,source_field,unit_interpretation,source_limit_is_equipment_rating,interface_name,public_interface_name,zone_boundary,actual_flow_mw,target_flow_mw,target_positive_limit_mw,target_negative_limit_mw,actual_limit_mw,target_limit_mw,directional_limit_is_placeholder,scenario_id,timestamp,timestamp_utc,vintage,dataset_split,campaign_role,scale_factor_gamma,source_id,scale_policy,scale_reference_scenario_id,scale_reference_source_id,target_use,provenance_class,training_target,partition_training,model_operator_qualification
23320,2012.27,4600,-9999,898,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Dunwoodie_South,SPR/DUN-SOUTH,I-J,2012.27,721.725236268503,1649.84623675506,-3586.26359158998,4600,1649.84623675506,0,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019-04-21 04:00,2019-04-21T08:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190421,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23326,890.06,3150,-9999,3459,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Dysinger_East,DYSINGER EAST,A-B,890.06,319.23090032309,1129.78600995184,-3586.26359158998,3150,1129.78600995184,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23312,-14.93,9999,-9999,3475,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,West_Central,WEST CENTRAL,B-C,-14.93,-5.35482702494633,3586.26359158998,-3586.26359158998,9999,3586.26359158998,1,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23319,1164.76,3150,-1600,3460,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Moses_South,MOSES SOUTH,D-E,1164.76,417.755413635397,1129.78600995184,-573.859560610457,3150,1129.78600995184,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23330,1985.68,2820,-9999,3458,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Central_East,CENTRAL EAST - VC,E-F,1985.68,712.188407695608,1011.42747557593,-3586.26359158998,2820,1011.42747557593,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23314,3420.95,6800,-9999,3473,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Total_East_proxy,TOTAL EAST,F-G,3420.95,1226.96553991896,2438.90313259444,-3586.26359158998,6800,2438.90313259444,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23315,2531.87,5700,-9999,3474,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,UPNY_ConEd,UPNY CONED,G-H,2531.87,908.086128576749,2044.37468467475,-3586.26359158998,5700,2044.37468467475,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23320,2116.7,4350,-9999,3472,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Dunwoodie_South,SPR/DUN-SOUTH,I-J,2116.7,759.180332465096,1560.18068040968,-3586.26359158998,4350,1560.18068040968,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019-07-17 16:00,2019-07-17T20:00:00Z,2019,training,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,1,public_observation_model_proxy_mapping_separate
23326,1422.13,3150,-9999,1731,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,Dysinger_East,DYSINGER EAST,A-B,1422.13,510.064310581843,1129.78600995184,-3586.26359158998,3150,1129.78600995184,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
23312,612.06,9999,-9999,1747,Flow (MWH),published_interface_power_as_MW_raw_MWH_header_preserved_no_energy_conversion,0,West_Central,WEST CENTRAL,B-C,612.06,219.522801667023,3586.26359158998,-3586.26359158998,9999,3586.26359158998,1,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019-07-17 08:00,2019-07-17T12:00:00Z,2019,heldout,historical_validation,0.358662225381536,NYISO:P32:20190717,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,NYISO:P58C:20190720,historical_validation_target,source_verified_public_record,0,0,public_observation_model_proxy_mapping_separate
