fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt
18,585,0.00802,0.01823,0.00036,250,250,250,1,0,1,1,0,98.1271675268128,-16.8916394107484,-97.3583274060983,18.6022021403851
18,561,0.04007,0.09109,0.00178,250,250,250,1,0,1,1,0,110.877092053486,-34.0957753217028,-105.665509406314,45.7602940351574
18,583,0.01009,0.02294,0.00045,200,250,200,1,0,1,1,0,60.8047230014608,-9.13145931974013,-60.43588859665,9.92365984951678
18,1494,0.0032,0.00727,0.00014,250,250,250,1,0,1,2,0,-46.8535502936334,7.26598984855169,46.923117531662,-7.12243316123435
18,1494,0.00357,0.00812,0.00016,250,250,250,1,0,1,1,0,-41.9595929944993,6.48689435509243,42.0218291849916,-6.36189910860843
18,1494,0.0032,0.00727,0.00014,250,250,250,1,0,1,3,0,-46.8535502936334,7.26598984855169,46.923117531662,-7.12243316123435
19,1538,0.0038,0.01572,0.0026,555.999994,555.999994,555.999994,1,0,1,1,0,245.4190678,-12.2294416691707,-243.213841008366,21.0833458143185
19,1538,0.0038,0.01572,0.0026,555.999994,555.999994,555.999994,1,0,1,5,0,245.4190678,-12.2294416691707,-243.213841008366,21.0833458143185
19,1538,0.0038,0.01572,0.0026,555.999994,555.999994,555.999994,1,0,1,4,0,245.4190678,-12.2294416691707,-243.213841008366,21.0833458143185
19,1538,0.0038,0.01572,0.0026,555.999994,555.999994,555.999994,1,0,1,2,0,245.4190678,-12.2294416691707,-243.213841008366,21.0833458143185
19,1538,0.0038,0.01572,0.0026,555.999994,555.999994,555.999994,1,0,1,3,0,245.4190678,-12.2294416691707,-243.213841008366,21.0833458143185
21,406,0.02031,0.06988,0.00859,115.999997,555.999994,145.000005,1,0,1,1,0,-24.6801625914144,4.47069060059088,24.8042015581043,-4.93612336528591
21,403,0.005,0.02069,0.00343,166.999996,555.999994,209.99999,1,0,1,1,0,23.8722328617917,-6.92283988191328,-23.8425595337053,6.68988993794633
25,83,0.0105,0.04341,0.00719,166.999996,555.999994,209.99999,1,0,1,1,0,-2.07700299999968,2.5279257853672e-13,2.0774525386663,-0.746148695282246
26,557,1e-05,0.00018,0.00468,1215.99998,2454.00009,1804.00009,1,0,1,2,0,393.671534765925,7.17047562459514,-393.656633991601,-7.38915873866319
26,1468,0.00124,0.0559,0,1347.00003,1347.00003,1347.00003,1,0,1,1,0,478.339710078335,60.6663066912589,-475.568870252807,64.2449402821457
26,557,1e-05,0.00019,0.00501,1215.99998,2454.00009,1804.00009,1,0,1,1,0,372.988736155421,7.85166968402953,-372.975358388398,-8.11872164737
29,152,0.00852,0.03523,0.00583,166.999996,555.999994,209.99999,1,0,1,1,0,-22.6920557470653,6.35427725137806,22.7378538112281,-6.77123686614779
30,55,0.02366,0.09785,0.0162,166.999996,555.999994,209.99999,1,0,1,1,0,53.6389774572436,-9.72515906566785,-52.9667374672428,10.8240220561048
30,131,0.00843,0.03485,0.00577,166.999996,555.999994,209.99999,1,0,1,1,0,-2.87329445724259,6.16395784561975,2.87734907180042,-6.74634839738673
32,84,0.0108,0.0428,0.0055,120.000005,555.999994,120.000005,1,0,1,1,0,4.77458867358436,-1.48561033345709,-4.77207287793886,0.923360338422915
