GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN,MODEL,STARTUP,SHUTDOWN,NCOST,LINEAR,FIXED,GenType,GenFuel,GenID,FuelType,EIAPlantCode,EIAPC-IDorPC-UC
18,0,0,35.800001,-30.3,1.01,100,0,55.000001,44.100001,0,0,0,0,0,0,0,343,1029,0,0,0,0,0,0,2,500,0,2,31.5,120,GT (Gas Turbine),ng,5,NG (Natural Gas),2514,2514-GT3
19,15.898612,-8.8,10.4,-8.8,1.02,100,1,16,10.6,0,0,0,0,0,0,0,79,237,0,0,0,0,0,0,2,500,0,2,200.1,3220,GT (Gas Turbine),dfo,1,DFO (Distillate Fuel Oil),2516,2516-GT1
19,0,0,251.600003,-212.899995,1.02,100,0,386.999989,40.000001,0,0,0,0,0,0,0,159.6,478.8,0,0,0,0,0,0,2,2500,0,2,29.55054275,345.5301716,ST (Steam Turbine),ng,2,NG (Natural Gas),2516,2516-2
19,384.54771,0,251.600003,-212.899995,1.02,100,1,386.999989,30.000001,0,0,0,0,0,0,0,157.68,473.04,0,0,0,0,0,0,2,2500,0,2,28.90427111,403.4278769,ST (Steam Turbine),ng,3,NG (Natural Gas),2516,2516-3
19,386.999989,-25.354108,251.600003,-212.899995,1.02,100,1,386.999989,40.000001,0,0,0,0,0,0,0,158.6,475.8,0,0,0,0,0,0,2,2500,0,2,28.94692824,552.7947973,ST (Steam Turbine),ng,4,NG (Natural Gas),2516,2516-4
19,386.999989,0,251.600003,-212.899995,1.02,100,1,386.999989,40.000001,0,0,0,0,0,0,0,158.48,475.44,0,0,0,0,0,0,2,2500,0,2,31.5,660,ST (Steam Turbine),ng,5,NG (Natural Gas),2516,2516-ST1
19,129.999995,-25.354001,9900,-9900,1.02,100,1,129.999995,129.999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,proxy,import,x,import,0,0
21,10.782421,7.2,7.2,-6.1,1.02,100,1,11,0.2,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),2551,2551-1
21,11.762641,7.8,7.8,-6.6,1.02,100,1,12,0.2,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),2551,2551-2
21,12.742861,8.5,8.5,-7.2,1.02,100,1,13,0.2,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,3,WAT (Water),2551,2551-3
24,8.821981,4.91051,5.9,-5,1.02,100,1,9,3,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),2545,2545-1
24,8.821981,4.91051,5.9,-5,1.02,100,1,9,3,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),2545,2545-2
24,8.821981,4.91051,5.9,-5,1.02,100,1,9,3,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,3,WAT (Water),2545,2545-3
24,8.821981,4.91051,5.9,-5,1.02,100,1,9,3,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,4,WAT (Water),2545,2545-4
26,594.999981,37.844226,446.25001,-416.499996,1.02,100,1,594.999981,320.000005,0,0,0,0,0,0,0,900,2700,0,0,0,0,0,0,2,6440,0,2,15.37988784,5634.491014,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),55375,55375_CC1
26,650,37.844226,487.5,-455.000019,1.02,100,1,650,320.000005,0,0,0,0,0,0,0,900,2700,0,0,0,0,0,0,2,6120,0,2,23.34,900,CC (Combined Cycle Generic),ng,C2,NG (Natural Gas),57664,57664_CC1
27,121.823132,44.637209,91.949999,-85.820001,1.02,100,1,122.599995,41.999999,0,0,0,0,0,0,0,890,2670,0,0,0,0,0,0,2,1050,0,2,21.784,840,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),50978,50978_CC1
28,0,0,47.174999,-44.029999,1.02,100,0,62.900001,34.999999,0,0,0,0,0,0,0,560,1680,0,0,0,0,0,0,2,665,0,2,14.82342562,458.1272546,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),10620,10620_CC1
29,111.2903,-8.325165,72.799999,-61.6,1.02,100,1,112,31.999999,0,0,0,0,0,0,0,42.52,127.56,0,0,0,0,0,0,2,2500,0,2,26.25,550,ST (Steam Turbine),ng,1,NG (Natural Gas),2527,2527-4
30,4.07402,-1.780818,2.7,-2.3,1.02,100,1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,WT (Wind Turbine),wind,1,WND (Wind),57867,57867-2
30,55.048954,-1.780818,36.000001,-30.500001,1.02,100,1,55.400002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,WT (Wind Turbine),wind,2,WND (Wind),57867,57867-1
31,0.98022,-0.6,0.7,-0.6,1.02,100,1,1,0.2,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),54580,54580-C4
31,0.98022,-0.6,0.7,-0.6,1.02,100,1,1,0.2,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),54580,54580-C5
31,2.548572,-1.4,1.7,-1.4,1.02,100,1,2.6,0.9,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,3,WAT (Water),54580,54580-C1
31,2.548572,-1.4,1.7,-1.4,1.02,100,1,2.6,0.9,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,4,WAT (Water),54580,54580-C2
31,2.548572,-1.4,1.7,-1.4,1.02,100,1,2.6,2.3,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,5,WAT (Water),54580,54580-C3
31,24.113415,-3.042441,16,-13.500001,1.02,100,1,24.600001,6,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,6,WAT (Water),54580,54580-P1
31,24.113415,-3.042441,16,-13.500001,1.02,100,1,24.600001,6,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,7,WAT (Water),54580,54580-P2
32,147.000003,-32.940596,110.249996,-102.900004,1.02,100,1,147.000003,113,0,0,0,0,0,0,0,650,1950,0,0,0,0,0,0,2,1357,0,2,19.6251596,663.5482063,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),50458,50458_G723
33,56.241345,-9.978078,42.449999,-39.62,1.02,100,1,56.599998,44,0,0,0,0,0,0,0,540,1620,0,0,0,0,0,0,2,631,0,2,20.13800847,373.960486,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),50449,50449_G722
34,57.036275,14.685324,43.05,-40.180001,1.02,100,1,57.4,44.499999,0,0,0,0,0,0,0,500,1500,0,0,0,0,0,0,2,593,0,2,21.52383856,274.6677071,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),50450,50450_CC1
35,3.136704,2.1,2.1,-1.8,1.02,100,1,3.2,0,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),2532,2532-1
35,3.136704,2.1,2.1,-1.8,1.02,100,1,3.2,0,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),2532,2532-2
35,3.92088,2.6,2.6,-2.2,1.02,100,1,4,0,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,3,WAT (Water),2530,2530-1
35,3.92088,2.6,2.6,-2.2,1.02,100,1,4,0,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,4,WAT (Water),2530,2530-2
35,5.88132,3.9,3.9,-3.3,1.02,100,1,6,0,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,5,WAT (Water),2532,2532-3
35,6.861541,4.6,4.6,-3.9,1.02,100,1,7,0,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,6,WAT (Water),2530,2530-3
37,190.435088,23.9769,165.974998,-154.910004,1.02,100,1,221.300006,103.999996,0,0,0,0,0,0,0,1590,4770,0,0,0,0,0,0,2,2318,0,2,33.26230549,540.8717084,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),54041,54041_LEA1
38,99.863166,-12.179634,70.4,-55.299997,1.02,100,1,100.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,WT (Wind Turbine),wind,1,WND (Wind),56620,56620-1
39,125.201583,-11.904512,88.200003,-69.300002,1.02,100,1,125.999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,WT (Wind Turbine),wind,1,WND (Wind),56902,56902-1
41,65.28368,14.880177,49.274999,-45.989999,1.02,100,1,65.700001,40.599999,0,0,0,0,0,0,0,580,1740,0,0,0,0,0,0,2,685,0,2,29.82829564,257.3730334,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),54131,54131_CC1
52,16.097346,-0.087589,11.3,-8.9,1.02,100,1,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,WT (Wind Turbine),wind,1,WND (Wind),58768,58768-1
53,37.262374,-8.525725,26.300001,-20.6,1.02,100,1,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,WT (Wind Turbine),wind,1,WND (Wind),56633,56633-1
60,0.784176,0.6,0.6,-0.4,1.02,100,1,0.8,0.4,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),2631,2631-RIO2
60,9.802201,2.230945,7,-5.5,1.02,100,1,10,4,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),2631,2631-RIO
63,0,0,66.149998,-61.739999,1.02,100,0,88.199997,60.000002,0,0,0,0,0,0,0,750,2250,0,0,0,0,0,0,2,880,0,2,26.60493233,57.44674833,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),54034,54034_G701
63,653.643417,8.893969,490.275002,-457.590008,1.02,100,1,653.700018,315.00001,0,0,0,0,0,0,0,900,2700,0,0,0,0,0,0,2,6757,0,2,21.83851665,50.7686835,CC (Combined Cycle Generic),ng,C2,NG (Natural Gas),56259,56259_CC1
69,0,0,17.200001,-13.500001,1.02,100,0,24.5,5,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,2,2500,0,2,31.5,660,ST (Steam Turbine),ng,1,NG (Natural Gas),2682,2682-5
69,24.344754,-1.978325,17.200001,-13.500001,1.02,100,1,24.5,5,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,2,2500,0,2,31.5,660,ST (Steam Turbine),ng,2,NG (Natural Gas),2682,2682-6
69,47.000274,-1.978325,33.1,-25.999999,1.02,100,1,47.299999,9,0,0,0,0,0,0,0,235,705,0,0,0,0,0,0,2,2000,0,2,26.25,100,GT (Gas Turbine),ng,3,NG (Natural Gas),2682,2682-7
69,0,0,20,-20,1.02,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,proxy,import,X,import,0,0
79,0,0,0.7,-0.6,1.02,100,0,1,0.3,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,1,DFO (Distillate Fuel Oil),61488,61488-HCC1
79,0,0,0.9,-0.7,1.02,100,0,1.3,0.4,0,0,0,0,0,0,0,2.6,7.8,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,2,KER (Kerosene),61488,61488-SKB1
79,0,0,1,-0.8,1.02,100,0,1.4,0.4,0,0,0,0,0,0,0,2.8,8.4,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,3,DFO (Distillate Fuel Oil),61488,61488-SMB1
79,0,0,1,-0.8,1.02,100,0,1.4,0.4,0,0,0,0,0,0,0,2.8,8.4,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,4,KER (Kerosene),61488,61488-SMB2
79,0,0,1.8,-1.4,1.02,100,0,2.5,0.1,0,0,0,0,0,0,0,0.6,1.8,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,5,KER (Kerosene),61488,61488-ENB3
79,0,0,1.9,-1.5,1.02,100,0,2.7,0.8,0,0,0,0,0,0,0,5.4,16.2,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,6,KER (Kerosene),61488,61488-ENB1
79,0,0,1.9,-1.5,1.02,100,0,2.7,0.8,0,0,0,0,0,0,0,5.4,16.2,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,7,KER (Kerosene),61488,61488-ENB2
79,0,0,2.1,-1.7,1.02,100,0,3,0.1,0,0,0,0,0,0,0,0.8,2.4,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,8,DFO (Distillate Fuel Oil),61488,61488-SCI1
79,0,0,2.1,-1.7,1.02,100,0,3,0.1,0,0,0,0,0,0,0,0.8,2.4,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,9,KER (Kerosene),61488,61488-SCI2
79,7.452475,-4.1,5.3,-4.1,1.02,100,1,7.5,4,0,0,0,0,0,0,0,37.5,112.5,0,0,0,0,0,0,2,2000,0,2,200.1,3220,GT (Gas Turbine),dfo,10,KER (Kerosene),61488,61488-GT
79,46.702179,-8.811411,32.9,-25.9,1.02,100,1,47,1,0,0,0,0,0,0,0,233,699,0,0,0,0,0,0,2,2000,0,2,200.1,3220,GT (Gas Turbine),dfo,11,KER (Kerosene),7915,7915-N01
79,0,0,109.300005,-85.900003,1.02,100,0,156.200004,44.999999,0,0,0,0,0,0,0,59.48,178.44,0,0,0,0,0,0,2,2500,0,2,31.5,660,ST (Steam Turbine),ng,12,NG (Natural Gas),2493,2493-6
79,178.859413,-8.811411,125.999999,-99.000001,1.02,100,1,179.999995,110.000002,0,0,0,0,0,0,0,398.2,1194.6,0,0,0,0,0,0,2,2000,0,2,23.88247011,1358.982632,GT (Gas Turbine),ng,13,NG (Natural Gas),2493,2493-1
79,178.859413,-8.811411,125.999999,-99.000001,1.02,100,1,179.999995,110.000002,0,0,0,0,0,0,0,390,1170,0,0,0,0,0,0,2,2000,0,2,23.81367379,1344.482541,GT (Gas Turbine),ng,14,NG (Natural Gas),2493,2493-2
79,0,0,139.999998,-110.000002,1.02,100,0,200,64.999998,0,0,0,0,0,0,0,72.12,216.36,0,0,0,0,0,0,2,2500,0,2,31.5,660,ST (Steam Turbine),ng,15,NG (Natural Gas),2493,2493-7
80,55.148321,-6.634805,38.9,-30.500001,1.02,100,1,55.500001,15.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,207,0,ST (Steam Turbine),wood,1,WDS (Wood/Wood Waste Solids),10464,10464-GEN1
81,0,0,20,-20,1.0221,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,proxy,import,X,import,0,0
82,34.281385,-5.130744,24.2,-19,1.02,100,1,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,WT (Wind Turbine),wind,1,WND (Wind),56594,56594-MU1
83,7.841761,-2.032525,5.6,-4.4,1.02,100,1,8,4,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),2610,2610-1
83,7.841761,-2.032525,5.6,-4.4,1.02,100,1,8,4,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),2610,2610-2
84,10.782421,-0.991137,7.7,-6.1,1.02,100,1,11,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,1,WAT (Water),6527,6527-1
84,10.782421,-0.991137,7.7,-6.1,1.02,100,1,11,1,0,0,0,0,0,0,0,5000,15000,0,0,0,0,0,0,2,0,0,2,0,0,HY (Hydro),hydro,2,WAT (Water),6527,6527-2
95,66.575444,-0.043003,50.25,-46.900001,1.02,100,1,67.000002,37,0,0,0,0,0,0,0,510,1530,0,0,0,0,0,0,2,600,0,2,23.34,900,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),7784,7784_CC01
116,47.397739,-19.336724,33.399999,-26.199999,1.02,100,1,47.7,41.999999,0,0,0,0,0,0,0,235,705,0,0,0,0,0,0,2,2000,0,2,200.1,3220,GT (Gas Turbine),dfo,1,DFO (Distillate Fuel Oil),55600,55600-1
125,0,0,1.4,-1.1,1.02,100,0,2,0.1,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,1,DFO (Distillate Fuel Oil),54592,54592-IC
125,0,0,76.574999,-71.469998,1.02,100,0,102.100003,75.999999,0,0,0,0,0,0,0,780,2340,0,0,0,0,0,0,2,910,0,2,23.34,900,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),54592,54592_CC1
127,708.878994,-62.350428,669.824982,-625.169992,1.02,100,1,893.099976,666.400003,0,0,0,0,0,0,0,1200,3600,0,0,0,0,0,0,2,8883,0,2,24.09532069,3740.623799,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),2539,2539_CC1
128,610.109282,-34.847471,429.799986,-337.700009,1.02,100,1,613.999987,461.000013,0,0,0,0,0,0,0,15.106,45.318,0,0,0,0,0,0,2,50000,20000,2,2.5,250,ST (Steam Turbine),nuclear,1,NUC (Nuclear),6122,6122-1
150,0,0,0.7,-0.6,1.02,100,0,1,0.3,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,1,DFO (Distillate Fuel Oil),50368,50368-EDG1
150,0,0,0.7,-0.6,1.02,100,0,1,0.3,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,2,500,0,2,207,0,IC (Internal Combustion),dfo,2,DFO (Distillate Fuel Oil),50368,50368-EDG2
150,0,0,12.6,-11.76,1.02,100,0,16.8,8.2,0,0,0,0,0,0,0,140,420,0,0,0,0,0,0,2,163,0,2,23.34,900,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),50368,50368_CT1
150,0,0,15.525,-14.489999,1.02,100,0,20.7,8.4,0,0,0,0,0,0,0,170,510,0,0,0,0,0,0,2,202,0,2,23.34,900,CC (Combined Cycle Generic),ng,C2,NG (Natural Gas),50368,50368_CT2
161,19.873267,0,14,-11,1.02,100,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,WT (Wind Turbine),wind,1,WND (Wind),56575,56575-1
178,0,0,77.025002,-71.890002,1.02,100,0,102.699995,44.999999,0,0,0,0,0,0,0,540,1620,0,0,0,0,0,0,2,972,0,2,18.71058091,104.0596109,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),10621,10621_CC01
193,0,0,214.199996,-199.919999,1.02,100,0,285.599995,89.999998,0,0,0,0,0,0,0,900,2700,0,0,0,0,0,0,2,2762,0,2,15.72223382,1162.414478,CC (Combined Cycle Generic),ng,C1,NG (Natural Gas),54574,54574_CA
194,19.873267,0,14,-11,1.02,100,1,20,0,0,0,0,0,0,0,0,200,600,0,0,0,0,0,0,2,0,0,2,0,0,"BA (Energy Storage, Battery)",other,1,MWH (Electricity use for Energy Storage),62147,62147-KNY1
199,0,0,5,-4,1.02,100,0,7.2,1,0,0,0,0,0,0,0,2.88,8.64,0,0,0,0,0,0,2,2500,0,2,234.6,4876,ST (Steam Turbine),dfo,1,DFO (Distillate Fuel Oil),58157,58157-LP
199,0,0,12.7,-10,1.02,100,0,18.2,2,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,2,2500,0,2,234.6,4876,ST (Steam Turbine),dfo,2,DFO (Distillate Fuel Oil),58157,58157-HP
212,0,0,0.6,-0.4,1.02,100,0,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,22.5,0,IC (Internal Combustion),other,1,LFG (Landfill Gas),56250,56250-GEN1
212,0,0,0.6,-0.4,1.02,100,0,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,IC (Internal Combustion),other,2,LFG (Landfill Gas),56250,56250-GEN2
212,0,0,0.6,-0.4,1.02,100,0,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,207,0,IC (Internal Combustion),other,3,LFG (Landfill Gas),56250,56250-GEN3
212,0,0,0.6,-0.4,1.02,100,0,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,207,0,IC (Internal Combustion),other,4,LFG (Landfill Gas),56250,56250-GEN4
212,0,0,0.6,-0.4,1.02,100,0,0.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,IC (Internal Combustion),other,5,LFG (Landfill Gas),56250,56250-GEN5
