Name,bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
UNKNOWN124827,149,1,12.535934,0,0,0,67,1.01955425107405,89.4006453863027,115,67,1.1,0.9
UNKNOWN124828,150,1,8.35729,0,0,0,67,1.01998822813891,89.3502033984181,115,67,1.1,0.9
UNKNOWN124829,151,1,4.178645,0,0,0,67,1.01999673044675,89.3502147701083,115,67,1.1,0.9
UNKNOWN124830,152,1,8.35729,0,0,0,67,1.01963053714705,93.967255874636,115,67,1.1,0.9
LABRADOR,153,1,4.178645,0,0,0,67,1.01557890031703,88.0815932822782,115,67,1.1,0.9
CORTLAND,154,1,12.535934,0,0,0,67,1.01550741166238,88.9696485413232,115,67,1.1,0.9
UNKNOWN124834,155,1,4.178645,0,0,0,67,1.01525228489081,88.9056667118039,115,67,1.1,0.9
STARR RD,156,1,8.35729,0,0,0,67,1.01477915632995,88.7530242615095,115,67,1.1,0.9
SUNY,157,1,4.178645,0,0,0,67,1.01476571624248,88.7452159584728,115,67,1.1,0.9
UNKNOWN124837,158,1,4.178645,0,0,0,67,1.01491059194889,88.7757643412177,115,67,1.1,0.9
DAVIS RD,159,1,5.050016,0,0,0,65,1.02242383020464,95.6328567142571,115,65,1.1,0.9
UNKNOWN124940,160,1,2.525008,0,0,0,65,1.01894929783078,95.3379632047705,115,65,1.1,0.9
UNKNOWN124943,161,1,5.050016,0,0,0,65,1.01599934136586,94.3939888810723,115,65,1.1,0.9
UNKNOWN124944,162,1,10.100032,0,0,0,65,1.0159314298638,94.378341248033,115,65,1.1,0.9
UNKNOWN124945,163,1,12.62504,0,0,0,65,1.01580492377418,94.3505387968704,115,65,1.1,0.9
UNKNOWN124946,164,1,2.525008,0,0,0,65,1.0158004994609,94.3494725607754,115,65,1.1,0.9
UNKNOWN124947,165,1,2.525008,0,0,0,65,1.01616713144434,95.1188530403625,115,65,1.1,0.9
UNKNOWN124948,166,1,2.525008,0,0,0,65,1.01640344068895,95.177213747739,115,65,1.1,0.9
PINE GROVE,167,1,8.35729,0,0,0,67,1.01225651785762,93.11273949368,115,67,1.1,0.9
BRIDGEPORT,168,1,2.077003,0,0,0,69,1.01307075533299,90.3600537208526,115,69,1.1,0.9
UNKNOWN124958,169,1,8.35729,0,0,0,67,1.01293613974858,92.646139290163,115,67,1.1,0.9
UNKNOWN124959,170,1,8.35729,0,0,0,67,1.01366914863764,92.5428574374011,115,67,1.1,0.9
TEAL,171,1,33.429158,0,0,0,67,1.01334695241593,92.5242701371544,115,67,1.1,0.9
HOPKINS,172,1,8.35729,0,0,0,67,1.01144601481208,92.9003894248333,115,67,1.1,0.9
WOODARD,173,1,12.535933,0,0,0,67,1.01012625204744,93.5238948013159,115,67,1.1,0.9
BELMONT,174,1,8.35729,0,0,0,67,1.00945331347723,93.2283729330476,115,67,1.1,0.9
UNKNOWN124964,175,1,8.35729,0,0,0,67,1.00844340697448,92.9703556773261,115,67,1.1,0.9
UNKNOWN124965,176,1,8.35729,0,0,0,67,1.00725157013138,92.6189527365282,115,67,1.1,0.9
UNKNOWN124966,177,1,4.178645,0,0,0,67,1.00747493190587,92.6782687438488,115,67,1.1,0.9
UNKNOWN124968,178,1,12.535934,0,0,0,67,1.00729526062929,92.630732859842,115,67,1.1,0.9
UNKNOWN124969,179,1,8.35729,0,0,0,67,1.00737714860926,92.6480268595472,115,67,1.1,0.9
MILTON,180,1,8.35729,0,0,0,67,1.00821519789709,92.8275808138355,115,67,1.1,0.9
UNKNOWN124972,181,1,8.35729,0,0,0,67,1.00726077908733,92.6222910784071,115,67,1.1,0.9
ANHEUSER BUSCH,182,1,8.35729,0,0,0,67,1.00359789392694,94.7862402447975,115,67,1.1,0.9
LYSANDER,183,1,8.35729,0,0,0,67,1.00363385302259,94.7949976647081,115,67,1.1,0.9
G E,184,1,8.35729,0,0,0,67,1.01040943881086,93.6432135076243,115,67,1.1,0.9
SORRELL HILL,185,1,8.35729,0,0,0,67,1.00478878119656,94.6109620136177,115,67,1.1,0.9
UNKNOWN125018,186,1,6.231008,0,0,0,69,1.02515369260748,80.8774808724146,115,69,1.1,0.9
UNKNOWN125019,187,1,4.154006,0,0,0,69,1.0221002160465,81.7657658362136,115,69,1.1,0.9
UNKNOWN125020,188,1,4.154006,0,0,0,69,0.985068248896271,74.3575170502237,115,69,1.1,0.9
UNKNOWN125021,189,1,2.077003,0,0,0,69,0.99322818472042,77.3349031020985,115,69,1.1,0.9
UNKNOWN125027,190,1,29.618794,0,0,0,68,1.00114469007745,97.596211483627,115,68,1.1,0.9
UNKNOWN125029,191,1,29.618794,0,0,0,68,0.989865541589259,91.6123934324545,115,68,1.1,0.9
UNKNOWN125031,192,1,44.428191,0,0,0,68,0.996099793802314,94.6783187112717,115,68,1.1,0.9
UNKNOWN125033,193,1,59.237587,0,0,0,68,0.991599851986874,94.6306229165749,115,68,1.1,0.9
UNKNOWN125053,194,1,20.530668,0,0,0,70,1.01523508217966,80.7269491143959,115,70,1.1,0.9
UNKNOWN125054,195,1,6.843556,0,0,0,70,1.01518744564621,80.715039090988,115,70,1.1,0.9
RISER125055,196,1,6.843556,0,0,0,70,1.01441106031962,80.6259632213608,115,70,1.1,0.9
UNKNOWN125114,197,1,14.398499,0,0,0,66,1.00963798608814,92.6891417165557,115,66,1.1,0.9
HOGAN RD,198,1,14.398499,0,0,0,66,0.998499147411342,90.5556279049731,115,66,1.1,0.9
UNKNOWN125117,199,1,14.398499,0,0,0,66,1.00272261237473,90.7920011846611,115,66,1.1,0.9
STATION #52,200,1,21.597749,0,0,0,66,1.0017236289296,91.5124586150303,115,66,1.1,0.9
UNKNOWN125119,201,1,14.398499,0,0,0,66,1.00259713564679,91.2479148371728,115,66,1.1,0.9
UNKNOWN125122,202,1,8.35729,0,0,0,67,1.01914425479724,86.6744041004088,115,67,1.1,0.9
UNKNOWN125123,203,1,4.154006,0,0,0,69,1.01966659555955,85.5451259938819,115,69,1.1,0.9
UNKNOWN125124,204,1,6.231008,0,0,0,69,1.01926902418658,84.9977776059417,115,69,1.1,0.9
UNKNOWN125125,205,1,8.308011,0,0,0,69,1.01826039392863,83.3487286259513,115,69,1.1,0.9
UNKNOWN125129,206,1,4.154006,0,0,0,69,1.01942090662829,82.7659853403658,115,69,1.1,0.9
HYATT RD,207,1,4.178645,0,0,0,67,1.00857588125814,91.9131589103379,115,67,1.1,0.9
GENEVA BORDER CITY,208,1,12.535934,0,0,0,67,1.00898210209968,91.7768235677458,115,67,1.1,0.9
GUARDIAN GLASS,209,1,14.398499,0,0,0,66,1.00941889377107,91.8068358217745,115,66,1.1,0.9
UNKNOWN125137,210,1,14.398499,0,0,0,66,1.00449189537547,91.97986693652,115,66,1.1,0.9
FARMINGTON,211,1,14.398499,0,0,0,66,0.99966908393668,90.5464420845705,115,66,1.1,0.9
UNKNOWN125140,212,1,14.398499,0,0,0,66,1.01315225242204,92.3238522916421,115,66,1.1,0.9
STATION #199,213,1,14.398499,0,0,0,66,1.00876403861296,92.7637354139414,115,66,1.1,0.9
SLEIGHT RD,214,1,21.597749,0,0,0,66,1.00887106116236,93.6363959291039,115,66,1.1,0.9
UNKNOWN125151,215,1,14.398499,0,0,0,66,1.01005315822038,94.4360529910622,115,66,1.1,0.9
QUAKER #121,216,1,57.593995,0,0,0,66,1.01080334982718,94.7514720038664,115,66,1.1,0.9
UNKNOWN125153,217,1,14.398499,0,0,0,66,1.01784607639859,97.9584033074685,115,66,1.1,0.9
STATION #230,218,1,14.398499,0,0,0,66,1.01562456512626,96.4951821829383,115,66,1.1,0.9
STATION #204,219,1,14.398499,0,0,0,66,1.01736157274534,97.8051308823668,115,66,1.1,0.9
SLOCUM RD,220,1,43.195498,0,0,0,66,1.01738730034993,97.8773300170594,115,66,1.1,0.9
FAIRPORT,221,1,14.398499,0,0,0,66,0.99864171588668,90.6263794320531,115,66,1.1,0.9
UNKNOWN125159,222,1,7.199249,0,0,0,66,1.01062753193453,94.7078516107503,115,66,1.1,0.9
UNKNOWN125161,223,1,5.050016,0,0,0,65,1.0185969773036,97.6228271970421,115,65,1.1,0.9
UNKNOWN125162,224,1,2.525008,0,0,0,65,1.01260446189077,96.0295454167808,115,65,1.1,0.9
AKZO SALT,225,1,2.270691,0,0,0,65,1.00708077488684,93.3953527356147,69,65,1.1,0.9
YORK CENTER,226,1,2.270691,0,0,0,65,1.00466791089214,92.8910536263409,69,65,1.1,0.9
N LAKEVILLE,227,1,2.525008,0,0,0,65,1.00932988055725,88.5917909878764,115,65,1.1,0.9
GOLAH,228,1,30.674502,0,0,0,66,1.00032661958966,89.5577980528492,115,66,1.1,0.9
MUMFORD,229,1,14.398499,0,0,0,66,0.99683765952239,89.120586017439,115,66,1.1,0.9
N LE ROY,230,1,5.050016,0,0,0,65,0.994690315634622,89.097423133535,115,65,1.1,0.9
UNKNOWN125171,231,1,5.050016,0,0,0,65,0.994701490101018,89.0966188494962,115,65,1.1,0.9
LAPP,232,1,5.050016,0,0,0,65,0.994236938636454,89.1986438802229,115,65,1.1,0.9
E BATAVIA,233,1,5.050016,0,0,0,65,0.993359503685622,89.6261877863517,115,65,1.1,0.9
UNKNOWN125174,234,1,5.050016,0,0,0,65,0.993366430959264,89.6608047504259,115,65,1.1,0.9
UNKNOWN125175,235,1,2.525008,0,0,0,65,0.99336372374955,89.6602624061233,115,65,1.1,0.9
BATAVIA,236,1,12.62504,0,0,0,65,0.994662907998693,90.0949864528684,115,65,1.1,0.9
UNKNOWN125178,237,1,2.525008,0,0,0,65,0.997704674819047,91.3080222315891,115,65,1.1,0.9
OAKFIELD,238,1,2.525008,0,0,0,65,0.997707164801684,91.3085896414821,115,65,1.1,0.9
EAST GOLAH,239,1,7.199249,0,0,0,66,1.00019345539218,89.3794331323255,115,66,1.1,0.9
W HAMLIN,240,2,14.398499,0,0,43.159929,66,1.00999992081999,86.6455213653013,115,66,1.1,0.9
UNKNOWN125183,241,1,14.398499,0,0,0,66,1.00196535246359,86.9282278756549,115,66,1.1,0.9
UNKNOWN125185,242,1,35.996249,0,0,0,66,1.00293813631098,90.1612337522189,115,66,1.1,0.9
UNKNOWN125186,243,1,7.199249,0,0,0,66,1.00927649783706,92.5875465976017,115,66,1.1,0.9
UNKNOWN125187,244,1,7.199249,0,0,0,66,1.00251280307424,90.0447992826446,115,66,1.1,0.9
UNKNOWN125188,245,1,7.199249,0,0,0,66,1.00600968078932,88.5980426103893,115,66,1.1,0.9
UNKNOWN125189,246,1,14.398499,0,0,0,66,1.00705356254217,88.4967207349344,115,66,1.1,0.9
UNKNOWN125190,247,1,7.199249,0,0,0,66,1.00928956201651,88.5003040917289,115,66,1.1,0.9
UNKNOWN125194,248,1,7.199249,0,0,0,66,1.00260140407684,90.0722595471083,115,66,1.1,0.9
BROCKPORT,249,1,14.398499,0,0,0,66,1.0019765502127,86.9231050848563,115,66,1.1,0.9
UNKNOWN125198,250,1,28.796998,0,0,0,66,1.00656827540061,89.546165497559,115,66,1.1,0.9
UNKNOWN125200,251,1,2.525008,0,0,0,65,1.00427491867374,92.0148844934369,115,65,1.1,0.9
SHELBY,252,1,5.050016,0,0,0,65,1.00428403752888,92.0170415411291,115,65,1.1,0.9
TELEGRAPH RD,253,1,5.050016,0,0,0,65,1.00685876111347,93.4263524189495,115,65,1.1,0.9
LAPEER,254,1,0,0,0,0,67,1.02478880719135,95.3462754711047,345,67,1.1,0.9
UNKNOWN125292,255,1,5.050016,0,0,0,65,1.01964602187972,96.0994412447356,115,65,1.1,0.9
UNKNOWN125293,256,1,12.625042,0,0,0,65,1.01797133349364,96.2021163289305,115,65,1.1,0.9
UNKNOWN125294,257,1,5.050016,0,0,0,65,1.0179527555363,96.1907874039968,115,65,1.1,0.9
UNKNOWN125295,258,1,5.050016,0,0,0,65,1.01762140269238,95.9220071722155,115,65,1.1,0.9
UNKNOWN125296,259,1,2.525008,0,0,0,65,1.01742008863455,95.8745675253026,115,65,1.1,0.9
