scenario_id,public_interface_name,point_id,source_id,actual_hour_mean_mw,backward_hold_mean_mw,linear_mean_mw,interval_count,max_sample_gap_seconds,duplicate_timestamp_count,max_duplicate_spread_mw,duplicate_lower_hour_mean_mw,duplicate_upper_hour_mean_mw,source_csv_lines,coverage_qualified,coverage_failure,interface_name,actual_flow_mw,target_flow_mw,used_in_prior,used_in_optimizer,methodology_freeze_sha256
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,DYSINGER EAST,23326,NYISO:ExternalLimitsFlows:20190717,941.7566666666667,951.0308333333334,946.39375,12.0,300.0,0.0,0.0,941.7566666666667,941.7566666666667,3459;3477;3495;3513;3531;3549;3567;3585;3603;3621;3639;3657;3675,True,,Dysinger_East,941.7566666666667,337.7725418345641,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,WEST CENTRAL,23312,NYISO:ExternalLimitsFlows:20190717,16.906666666666666,20.893333333333334,18.9,12.0,300.0,0.0,0.0,16.906666666666666,16.906666666666666,3475;3493;3511;3529;3547;3565;3583;3601;3619;3637;3655;3673;3691,True,,West_Central,16.906666666666666,6.063782690450502,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,MOSES SOUTH,23319,NYISO:ExternalLimitsFlows:20190717,1121.5375,1118.8408333333334,1120.1891666666666,12.0,300.0,0.0,0.0,1121.5375,1121.5375,3460;3478;3496;3514;3532;3550;3568;3586;3604;3622;3640;3658;3676,True,,Moses_South,1121.5375,402.25313559884444,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,CENTRAL EAST - VC,23330,NYISO:ExternalLimitsFlows:20190717,1982.9941666666666,1982.1575,1982.5758333333333,12.0,300.0,0.0,0.0,1982.9941666666666,1982.9941666666666,3458;3476;3494;3512;3530;3548;3566;3584;3602;3620;3638;3656;3674,True,,Central_East,1982.9941666666666,711.2251007352712,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,TOTAL EAST,23314,NYISO:ExternalLimitsFlows:20190717,3400.0641666666666,3404.994166666666,3402.5291666666667,12.0,300.0,0.0,0.0,3400.0641666666666,3400.0641666666666,3473;3491;3509;3527;3545;3563;3581;3599;3617;3635;3653;3671;3689,True,,Total_East_proxy,3400.0641666666666,1219.4745804566844,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,UPNY CONED,23315,NYISO:ExternalLimitsFlows:20190717,2615.53,2634.7608333333333,2625.1454166666667,12.0,300.0,0.0,0.0,2615.53,2615.53,3474;3492;3510;3528;3546;3564;3582;3600;3618;3636;3654;3672;3690,True,,UPNY_ConEd,2615.53,938.091810352169,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,SPR/DUN-SOUTH,23320,NYISO:ExternalLimitsFlows:20190717,2115.7608333333333,2135.2116666666666,2125.48625,12.0,300.0,0.0,0.0,2115.7608333333333,2115.7608333333333,3472;3490;3508;3526;3544;3562;3580;3598;3616;3634;3652;3670;3688,True,,Dunwoodie_South,2115.7608333333333,758.8434888584264,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,DYSINGER EAST,23326,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,Dysinger_East,,,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,WEST CENTRAL,23312,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,West_Central,,,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
S5_2019_HIGH_TOTAL_EAST_PUBLIC,MOSES SOUTH,23319,NYISO:ExternalLimitsFlows:20190717,,,,,,,,,,,False,Public sample gap exceeds policy,Moses_South,,,False,False,4d46876a51230e0381b4963df22c0f2e6c3aeff39f9a9c52fa56a92557795662
