scenario_id,public_interface_name,interface_name,target_flow_mw,actual_flow_mw,used_in_prior,used_in_optimizer
S5_2019_HIGH_TOTAL_EAST_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S5_2019_HIGH_TOTAL_EAST_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S6_2019_LOW_TOTAL_EAST_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S1_2025_SUMMER_PEAK_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S1_2025_SUMMER_PEAK_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S1_2025_SUMMER_PEAK_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S1_2025_SUMMER_PEAK_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S1_2025_SUMMER_PEAK_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S1_2025_SUMMER_PEAK_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S1_2025_SUMMER_PEAK_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S2_2025_WINTER_PEAK_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S2_2025_WINTER_PEAK_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S2_2025_WINTER_PEAK_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S2_2025_WINTER_PEAK_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S2_2025_WINTER_PEAK_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S2_2025_WINTER_PEAK_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S2_2025_WINTER_PEAK_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,DYSINGER EAST,Dysinger_East,,,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,WEST CENTRAL,West_Central,,,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,MOSES SOUTH,Moses_South,,,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,CENTRAL EAST - VC,Central_East,,,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,TOTAL EAST,Total_East_proxy,,,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,UPNY CONED,UPNY_ConEd,,,False,False
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S5_2025_HIGH_TOTAL_EAST_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,DYSINGER EAST,Dysinger_East,,,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,WEST CENTRAL,West_Central,,,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,MOSES SOUTH,Moses_South,,,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,CENTRAL EAST - VC,Central_East,,,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,TOTAL EAST,Total_East_proxy,,,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,UPNY CONED,UPNY_ConEd,,,False,False
S6_2025_LOW_TOTAL_EAST_PUBLIC,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
V1_2025_JAN15_EVENING,DYSINGER EAST,Dysinger_East,,,False,False
V1_2025_JAN15_EVENING,WEST CENTRAL,West_Central,,,False,False
V1_2025_JAN15_EVENING,MOSES SOUTH,Moses_South,,,False,False
V1_2025_JAN15_EVENING,CENTRAL EAST - VC,Central_East,,,False,False
V1_2025_JAN15_EVENING,TOTAL EAST,Total_East_proxy,,,False,False
V1_2025_JAN15_EVENING,UPNY CONED,UPNY_ConEd,,,False,False
V1_2025_JAN15_EVENING,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
V2_2025_APR15_MIDDAY,DYSINGER EAST,Dysinger_East,,,False,False
V2_2025_APR15_MIDDAY,WEST CENTRAL,West_Central,,,False,False
V2_2025_APR15_MIDDAY,MOSES SOUTH,Moses_South,,,False,False
V2_2025_APR15_MIDDAY,CENTRAL EAST - VC,Central_East,,,False,False
V2_2025_APR15_MIDDAY,TOTAL EAST,Total_East_proxy,,,False,False
V2_2025_APR15_MIDDAY,UPNY CONED,UPNY_ConEd,,,False,False
V2_2025_APR15_MIDDAY,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
V3_2025_JUL15_EVENING,DYSINGER EAST,Dysinger_East,,,False,False
V3_2025_JUL15_EVENING,WEST CENTRAL,West_Central,,,False,False
V3_2025_JUL15_EVENING,MOSES SOUTH,Moses_South,,,False,False
V3_2025_JUL15_EVENING,CENTRAL EAST - VC,Central_East,,,False,False
V3_2025_JUL15_EVENING,TOTAL EAST,Total_East_proxy,,,False,False
V3_2025_JUL15_EVENING,UPNY CONED,UPNY_ConEd,,,False,False
V3_2025_JUL15_EVENING,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
V4_2025_JUL25_NIGHT,DYSINGER EAST,Dysinger_East,,,False,False
V4_2025_JUL25_NIGHT,WEST CENTRAL,West_Central,,,False,False
V4_2025_JUL25_NIGHT,MOSES SOUTH,Moses_South,,,False,False
V4_2025_JUL25_NIGHT,CENTRAL EAST - VC,Central_East,,,False,False
V4_2025_JUL25_NIGHT,TOTAL EAST,Total_East_proxy,,,False,False
V4_2025_JUL25_NIGHT,UPNY CONED,UPNY_ConEd,,,False,False
V4_2025_JUL25_NIGHT,SPR/DUN-SOUTH,Dunwoodie_South,,,False,False
