source_id,archive,archive_sha256,member,member_sha256,source_url
NYISO:ExternalLimitsFlows:20250729,System Matpower Format\NY_Lite\nyiso_public_cache\202507_ExternalLimitsFlows\20250701ExternalLimitsFlows_csv.zip,d737f34b9435b28a4400ee29965f80f9ee39e3f79217130af5b0e944a20c93b9,20250729ExternalLimitsFlows.csv,e85d3e76689f5a37cd821fab023c5bd9a321dba514f0059cb983bb15e39b9ad3,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20250122,System Matpower Format\NY_Lite\nyiso_public_cache\202501_palIntegrated\20250101palIntegrated_csv.zip,f77f56ccb24a2395ddf9bc967b5ab372380a1791448ba228d95cfe1a0a43e28e,20250122palIntegrated.csv,c54323db481865fa7fe52b01b2d02e556fdf9fc741b2ee8e2058ebf70fdf4e8a,https://mis.nyiso.com/public/csv/palIntegrated/20250101palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20250122,System Matpower Format\NY_Lite\nyiso_public_cache\202501_ExternalLimitsFlows\20250101ExternalLimitsFlows_csv.zip,86b0f3533e6e0ed07dfddd2998be68e33776a6ed1dbc7e00b11153b9950be0cf,20250122ExternalLimitsFlows.csv,e3170b7f602b41d5ceb03afdbe75bf67cd8a39bdf5ef0bb72fe8a198a5ff23c3,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250101ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20250420,System Matpower Format\NY_Lite\nyiso_public_cache\202504_palIntegrated\20250401palIntegrated_csv.zip,e774bcfdf7980eed343f4746285732fb8eaf7bc6b93811559ff144aa38903ec6,20250420palIntegrated.csv,40e0cef760283117e254c3765814c349d0c2d3e26e657689cd056cdc5b8482b9,https://mis.nyiso.com/public/csv/palIntegrated/20250401palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20250420,System Matpower Format\NY_Lite\nyiso_public_cache\202504_ExternalLimitsFlows\20250401ExternalLimitsFlows_csv.zip,e3225d222e609d5bc7473e1220456c9d3a45c51935209da8f9542319b27d90a9,20250420ExternalLimitsFlows.csv,0db200e0607451f21ac121d61ee53367f1cd775a786ef07702b40cc21d22254e,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250401ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20250717,System Matpower Format\NY_Lite\nyiso_public_cache\202507_palIntegrated\20250701palIntegrated_csv.zip,e76ec9ebb38365b03f8bc52077e9be683bffcf13ea93817ce1a39ba2e0de8cfb,20250717palIntegrated.csv,8be1a651d000656dfa1deb29aa8909c9f96fb55bd500dba4ff2332a881651a06,https://mis.nyiso.com/public/csv/palIntegrated/20250701palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20250717,System Matpower Format\NY_Lite\nyiso_public_cache\202507_ExternalLimitsFlows\20250701ExternalLimitsFlows_csv.zip,d737f34b9435b28a4400ee29965f80f9ee39e3f79217130af5b0e944a20c93b9,20250717ExternalLimitsFlows.csv,59f0922aeaeae44427cb39576d2bf0e02174ba669b15c266c4f5ae277c3c834a,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20250727,System Matpower Format\NY_Lite\nyiso_public_cache\202507_palIntegrated\20250701palIntegrated_csv.zip,e76ec9ebb38365b03f8bc52077e9be683bffcf13ea93817ce1a39ba2e0de8cfb,20250727palIntegrated.csv,d933a87e0ad19194202d7f55e8aede9aa3520bc6211b95010f8671f20f7d5086,https://mis.nyiso.com/public/csv/palIntegrated/20250701palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20250727,System Matpower Format\NY_Lite\nyiso_public_cache\202507_ExternalLimitsFlows\20250701ExternalLimitsFlows_csv.zip,d737f34b9435b28a4400ee29965f80f9ee39e3f79217130af5b0e944a20c93b9,20250727ExternalLimitsFlows.csv,f2d03e3eaa91be2d5b3d7b93f2697686ead461d4f2400613bb12010ab8138490,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20250115,System Matpower Format\NY_Lite\nyiso_public_cache\202501_palIntegrated\20250101palIntegrated_csv.zip,f77f56ccb24a2395ddf9bc967b5ab372380a1791448ba228d95cfe1a0a43e28e,20250115palIntegrated.csv,0ae1c7a68f42e024d8eda24a6b35fd03c9dd5832c3e7829eb71c77b421eb83f4,https://mis.nyiso.com/public/csv/palIntegrated/20250101palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20250115,System Matpower Format\NY_Lite\nyiso_public_cache\202501_ExternalLimitsFlows\20250101ExternalLimitsFlows_csv.zip,86b0f3533e6e0ed07dfddd2998be68e33776a6ed1dbc7e00b11153b9950be0cf,20250115ExternalLimitsFlows.csv,abc109059e668e0ff5a78d2ae5d80afb956a2f6d092afb66de15d49d2e2dcaa8,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250101ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20250415,System Matpower Format\NY_Lite\nyiso_public_cache\202504_palIntegrated\20250401palIntegrated_csv.zip,e774bcfdf7980eed343f4746285732fb8eaf7bc6b93811559ff144aa38903ec6,20250415palIntegrated.csv,42fcd3e6ad4aeca41da678939398ffa6ba9b6e90d48bb6480a61d73bd0015ad0,https://mis.nyiso.com/public/csv/palIntegrated/20250401palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20250415,System Matpower Format\NY_Lite\nyiso_public_cache\202504_ExternalLimitsFlows\20250401ExternalLimitsFlows_csv.zip,e3225d222e609d5bc7473e1220456c9d3a45c51935209da8f9542319b27d90a9,20250415ExternalLimitsFlows.csv,a890012daedf7bb8bd4be78aafaccfd03fb33f2e8934ceaafbed456e2bc714f4,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250401ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20250715,System Matpower Format\NY_Lite\nyiso_public_cache\202507_palIntegrated\20250701palIntegrated_csv.zip,e76ec9ebb38365b03f8bc52077e9be683bffcf13ea93817ce1a39ba2e0de8cfb,20250715palIntegrated.csv,7ec8828979d2ad87f7149ae8f6bf718cc2c9101e15fcf8bfc7a0c4ce7d209782,https://mis.nyiso.com/public/csv/palIntegrated/20250701palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20250715,System Matpower Format\NY_Lite\nyiso_public_cache\202507_ExternalLimitsFlows\20250701ExternalLimitsFlows_csv.zip,d737f34b9435b28a4400ee29965f80f9ee39e3f79217130af5b0e944a20c93b9,20250715ExternalLimitsFlows.csv,afb899e43d7d61903e079ceb40a9ca11d27084c3eb0aca63ad5638fb08126f10,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip
NYISO:palIntegrated:20250725,System Matpower Format\NY_Lite\nyiso_public_cache\202507_palIntegrated\20250701palIntegrated_csv.zip,e76ec9ebb38365b03f8bc52077e9be683bffcf13ea93817ce1a39ba2e0de8cfb,20250725palIntegrated.csv,f9dcef91fd862dd60e943c58f39c4826d28076d59516aefc5f90786254a37ce4,https://mis.nyiso.com/public/csv/palIntegrated/20250701palIntegrated_csv.zip
NYISO:ExternalLimitsFlows:20250725,System Matpower Format\NY_Lite\nyiso_public_cache\202507_ExternalLimitsFlows\20250701ExternalLimitsFlows_csv.zip,d737f34b9435b28a4400ee29965f80f9ee39e3f79217130af5b0e944a20c93b9,20250725ExternalLimitsFlows.csv,d52bea3ff1fec2bedbe421635080dcd40d789fa4a03e6804f9e6190e5b35acea,https://mis.nyiso.com/public/csv/ExternalLimitsFlows/20250701ExternalLimitsFlows_csv.zip
