source_bus,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar
750,10.27,0,0,0,10.27,0
751,10.27,0,0,0,10.27,0
752,27.55,0,0,0,27.55,0
753,12.39,0,0,0,12.39,0
754,27.55,0,0,0,27.55,0
755,27.84,0,0,0,27.84,0
756,9.18,0,0,0,9.18,0
757,61.88,0,0,0,61.88,0
758,8.26,0,0,0,8.26,0
759,0,0,0,0,0,0
760,0,0,0,0,0,0
761,0,0,0,0,0,0
762,0,0,0,0,0,0
763,0,0,0,0,0,0
764,0,0,0,0,0,0
765,0,0,0,0,0,0
766,0,0,0,0,0,0
767,8.26,0,0,0,8.26,0
768,0,0,0,0,0,0
769,3.08,0,0,0,3.08,0
770,8.26,0,0,0,8.26,0
771,23.15,0,0,0,23.15,0
772,0,0,0,0,0,0
773,0,0,159.621,49.1446789736739,-159.621,-49.1446789736739
