branch_index,from_zone,to_zone,from_bus,from_name,from_kv,to_bus,to_name,to_kv,r_pu,x_pu,b_pu,rate_a_mva,rate_b_mva,rate_c_mva,tap_ratio,shift_deg,status,pf_mw,qf_mvar,pt_mw,qt_mvar,from_mva,to_mva,rate_a_loading_pct
173,G,E,533,UNKNOWN129090,69,60,UNKNOWN124328,69,0.04755,0.10809,0.00211,96,250,123,1,0,1,-16.7084833688762,-1.4471270513957,16.8393058506625,1.52700882044355,16.7710343506563,16.9083996129104,17.6129162634484
231,A,B,1116,TAP140503,115,92,UNKNOWN124581,115,0.02586,0.10695,0.01771,167,556,210,1,0,1,28.7142909673731,-1.66193817684861,-28.5087934656918,0.683944196580375,28.7623459450482,28.5169964150067,17.2229616437414
233,B,C,93,UNKNOWN124582,115,131,UNKNOWN124716,115,0.015,0.06204,0.01027,167,556,210,1,0,1,36.5690635409636,-7.82362718445519,-36.3680863043118,7.58978950284369,37.3965981151278,37.1516164673268,22.3931725240286
234,B,A,93,UNKNOWN124582,115,1565,MEYER,115,0.00934,0.03861,0.00639,167,556,210,1,0,1,-50.9690635409631,7.82362718445544,51.2088576108066,-7.49665146949237,51.5660215700619,51.7546797986318,30.9908262267256
240,B,C,98,UNKNOWN124587,115,131,UNKNOWN124716,115,0.01067,0.04414,0.00731,167,556,210,1,0,1,-43.6468950933196,1.94110214601329,43.8450426895742,-1.87620256721845,43.690036951558,43.8851672495824,26.278543263223
278,C,E,115,KATTELVILLE,115,205,UNKNOWN125125,115,0.03321,0.13731,0.02274,167,556,210,1,0,1,39.182180057508,-6.97286231172165,-38.6815067989235,6.68477539960191,39.7977894219919,39.2548747339523,23.8310116299352
335,B,A,1123,TAP140649,115,139,PERRY #162,115,0.02035,0.08417,0.01394,167,556,210,1,0,1,1.32031402122393,0.310860350839017,-1.31976269453573,-1.7549867654267,1.35641559721358,2.19584883740003,1.31487954335331
379,C,E,907,TAP139298,115,168,BRIDGEPORT,115,0.00226,0.00934,0.00155,167,556,210,1,0,1,2.08009541695015,-0.158677222051072,-2.07999999999879,-7.13865815418768e-13,2.0861388746713,2.07999999999879,1.24918495489299
384,E,C,380,ONEIDA,115,171,TEAL,115,0.04424,0.18295,0.03029,167,556,210,1,0,1,-44.0461430436023,13.4923474850349,44.9718932402092,-12.7873749708865,46.0663234660028,46.754552080571,27.996737772797
426,E,D,779,TAP136012,115,190,UNKNOWN125027,115,0.02941,0.12161,0.02014,167,556,210,1,0,1,95.3980582802663,-3.3261506285867,-92.8202095770859,11.9303281038152,95.4560254863418,93.5837808308621,57.1592966984083
451,E,C,204,UNKNOWN125124,115,202,UNKNOWN125122,115,0.03431,0.14188,0.02349,167,556,210,1,0,1,-20.4016946484086,3.90316453142073,20.5480493633432,-5.73491010540172,20.7717076304825,21.3333430703073,12.7744569283277
459,B,C,209,GUARDIAN GLASS,115,208,GENEVA BORDER CITY,115,0.00194,0.00801,0.00133,167,556,210,1,0,1,7.29875127236864,3.69691472963724,-7.29746710055354,-3.82706537219055,8.18162261743425,8.24011258701489,4.93419915390113
461,C,B,208,GENEVA BORDER CITY,115,1439,TAP167223,115,0.02859,0.11824,0.01958,167,556,210,1,0,1,-2.18457805214494,3.35895873097745,2.19124628350423,-5.31579640964148,4.00686723292936,5.749717535995,3.44294463233234
466,C,B,1256,HAMILTON RD,115,211,FARMINGTON,115,0.07418,0.30676,0.0508,167,556,210,1,0,1,14.891769756164,-2.36417159734497,-14.7305494719212,-2.09967354559333,15.0782662734246,14.8794393961191,9.02890196013448
468,C,B,1272,STATE STREET,115,213,STATION #199,115,0.0274,0.11331,0.01876,167,556,210,1,0,1,-2.33641029077522,1.3969350024916,2.33936219324666,-3.29736584018305,2.7221756827998,4.04292430737924,2.42091275890973
491,A,B,226,YORK CENTER,69,1472,GOLAH,69,0.09336,0.21223,0.00415,96,250,123,1,0,1,17.0371515355845,-2.9201701942456,-16.7618946687498,3.13086944476239,17.2855988154831,17.0517874830297,18.0058320994616
492,A,B,227,N LAKEVILLE,115,247,UNKNOWN125190,115,0.004,0.0151,0.256,167,556,210,1,0,1,10.1203763931179,-15.4405060710007,-10.1161285663676,-10.6220434681203,18.4616154782562,14.6684649711521,11.0548595678181
497,A,B,231,UNKNOWN125171,115,229,MUMFORD,115,0.01191,0.04923,0.00815,167,556,210,1,0,1,-1.84440986818132,-4.2612844891873,1.8466110328743,3.46225283094139,4.64331705353327,3.92392239628854,2.78042937337322
783,C,E,1056,TAP140411,115,366,DELPHI,115,0.01497,0.0619,0.01025,167,556,210,1,0,1,6.95392845498313,-5.56541938933481,-6.94322539347793,4.55054763812509,8.90679594108948,8.30155784606014,5.33341074316735
846,E,G,400,SALISBURY,115,666,SMITHFIELD,115,0.01,0.04134,0.00685,211,211,211,1,0,0,0,0,0,0,0,0,0
923,F,E,448,UNKNOWN127608,115,447,UNKNOWN127607,115,0.05919,0.24474,0.04053,167,556,210,1,0,1,-30.8393409128465,0.984973323428823,31.4047098237459,-2.77786067762556,30.8550663649689,31.5273263861365,18.8786385545727
935,F,E,1213,TAP141258,115,455,UNKNOWN127629,115,0.01673,0.06919,0.01146,167,556,210,1,0,1,17.9434228675082,1.25040085232971,-17.8907554135445,-2.21219187458994,17.9869376630299,18.0270053574428,10.7946139864927
942,G,E,752,TAP135947,115,461,UNKNOWN127643,115,0.00883,0.0365,0.00604,167,556,210,1,0,1,-76.4057797492822,13.1201691789835,76.9620853374936,-11.3989045517431,77.5240737989237,77.80165553814,46.587817687509
988,D,F,485,UNKNOWN127973,115,490,UNKNOWN127981,115,0.04017,0.16613,0.02751,116,556,145,1,0,1,34.4309159325387,-6.02539057481634,-33.9555157539034,5.19829406227664,34.9541600318565,34.3511180498028,30.1328965791866
989,D,F,485,UNKNOWN127973,115,490,UNKNOWN127981,115,0.04017,0.16613,0.02751,116,556,145,1,0,1,34.4309159325387,-6.02539057481634,-33.9555157539034,5.19829406227664,34.9541600318565,34.3511180498028,30.1328965791866
1004,C,E,1559,OAKDALE,115,495,UNKNOWN128052,115,0.09235,0.38187,0.06323,167,556,210,1,0,1,33.0868403612705,-4.55817056153843,-32.1185662326095,2.06239856440345,33.3993401725285,32.1847135248548,19.9996048937296
1036,F,G,803,TAP136076,115,512,UNKNOWN128280,115,0.02853,0.11796,0.01953,167,556,210,1,0,1,125.183102683525,-17.5326487025093,-120.765195755062,33.797442008405,126.404916708171,125.405341162448,75.6915668911201
1041,G,F,514,UNKNOWN128941,69,1485,UNKNOWN129014,69,0.03772,0.08576,0.00168,96,250,123,1,0,1,-12.3597023246418,4.86017103246386,12.4260594410479,-4.87862032020302,13.2809451477881,13.3494527775918,13.9056799766581
1063,G,E,1210,TAP141252,69,526,UNKNOWN129050,69,0.0491,0.11163,0.00218,96,250,123,1,0,1,-16.5799411489967,-1.95670717083042,16.7139610000002,2.03686529808279,16.6950037872585,16.8376159996617,17.5391833329809
1111,H,I,547,UNKNOWN129188,345,897,MILLWOOD,345,0.00028,0.00424,0.10951,1216,2454,1804,1,0,1,-658.113261377279,55.0241565778155,659.303727699469,-48.2437385947629,660.40951129412,661.066459345817,54.3640180383073
1112,H,I,547,UNKNOWN129188,345,897,MILLWOOD,345,0.00028,0.00432,0.11162,1216,2454,1804,1,0,1,-646.049454212903,53.0107221485007,647.196420186259,-46.7780155236033,648.220667636797,648.884727080423,53.3622308454296
1113,H,I,547,UNKNOWN129188,345,897,MILLWOOD,345,0.00028,0.0043,0.11121,1216,2454,1804,1,0,1,-649.023931544555,53.4986989368513,650.181546627894,-47.1422716751441,651.225133502606,651.888362646652,53.6092403492312
1114,H,I,547,UNKNOWN129188,345,900,BUCHANAN,345,0.0006,0.00919,0.23757,1216,2454,1804,1,0,1,-557.265389499945,34.9125734362279,559.092033272126,-31.3482807018919,558.35795160315,559.970192395385,46.0501802956731
1159,K,H,560,SHORE RD,345,593,DUNWOODIE,345,0.00046,0.00697,0.18022,600,2454,1804,1,0,1,-184.615869725848,-6.84966448837515,184.76868947934,-9.34090860060284,184.742895014218,185.004651793942,30.8341086323236
1169,I,G,565,UNKNOWN129572,115,1401,TAP161212,115,0.00229,0.01143,0.08661,261,562,432,1,0,1,108.463509577433,30.9446398009799,-108.171304402271,-38.264294082195,112.791416527439,114.739650067871,43.9615517501421
1181,K,J,622,TAP135493,69,570,UNKNOWN129913,69,0.02083,0.04736,0.00093,225,225,225,1,0,1,16.4329135348617,-20.8274150771023,-16.2906176273992,21.0547934840476,26.5296412723231,26.6212049189744,11.8316466306553
1182,K,J,622,TAP135493,69,570,UNKNOWN129913,69,0.02083,0.04736,0.00093,225,225,225,1,0,1,16.4329135348617,-20.8274150771023,-16.2906176273992,21.0547934840476,26.5296412723231,26.6212049189744,11.8316466306553
1214,K,H,589,EAST GARDEN CITY,345,594,SPRAIN BROOK,345,0.00073,0.01109,0.28674,1500,2454,1804,1,0,1,-424.17626215749,181.23685606379,425.676850724117,-188.423743108844,461.272478448245,465.515078391183,31.0343385594122
1215,K,H,589,EAST GARDEN CITY,345,594,SPRAIN BROOK,345,0.00073,0.01109,0.28674,1500,2454,1804,1,0,1,-424.17626215749,181.23685606379,425.676850724117,-188.423743108844,461.272478448245,465.515078391183,31.0343385594122
1230,H,I,593,DUNWOODIE,345,898,PLEASENTVILLE,345,0.00053,0.00812,0.21,1216,2454,1804,1,0,1,-463.239575495283,41.6861773308418,464.360534343826,-46.0691733426559,465.111429321521,466.640198213313,38.3750163004369
1231,H,I,593,DUNWOODIE,345,898,PLEASENTVILLE,345,0.00053,0.00814,0.21032,1216,2454,1804,1,0,1,-462.114559082534,41.4675505752148,463.230039525931,-45.9252349444993,463.971360610493,465.501016888152,38.2813336256704
1236,J,H,1136,WEST 49TH STREET,345,594,SPRAIN BROOK,345,0.00046,0.009,0.17988,1216,2454,1804,1,0,1,-56.8742432369252,61.4342650420305,56.9107024963925,-79.3263259020184,83.718865645847,97.6293707843399,8.02873115002795
1237,J,H,1136,WEST 49TH STREET,345,594,SPRAIN BROOK,345,0.00046,0.009,0.17991,1216,2454,1804,1,0,1,-56.8742432369261,61.4327044420295,56.9107024963924,-79.327868269697,83.7177204589016,97.630624001116,8.0288342106181
1248,J,H,596,TREMONT,138,1502,SPRAIN BROOK,138,0.00153,0.00767,0.05812,562,562,562,1,0,1,-182.394507041684,46.5667905363746,182.930589332056,-49.7994051883553,188.24511196798,189.587924906855,33.7345062111842
1249,J,H,596,TREMONT,138,1502,SPRAIN BROOK,138,0.00153,0.00767,0.05812,562,562,562,1,0,1,-182.394507041684,46.5667905363746,182.930589332056,-49.7994051883553,188.24511196798,189.587924906855,33.7345062111842
1250,J,H,596,TREMONT,138,1502,SPRAIN BROOK,138,0.00153,0.00767,0.05812,562,562,562,1,0,1,-182.394507041684,46.5667905363746,182.930589332056,-49.7994051883553,188.24511196798,189.587924906855,33.7345062111842
1259,H,K,1500,DUNWOODIE,69,598,GREAT NECK,69,0.08984,0.20423,0.00399,250,250,250,1,0,1,53.1586010351533,-11.8040605254442,-50.5753426880424,17.2724455016048,54.4533994246727,53.4434529350306,21.7813597698691
1260,J,K,1503,TREMONT,69,598,GREAT NECK,69,0.05914,0.13444,0.00263,250,250,250,1,0,1,-73.414033325873,32.4968471376267,77.2991843138035,-23.9250570676561,80.2849012147282,80.9170702093814,32.3668280837526
1262,H,J,1501,DUNWOODIE,138,600,EAST 179TH STREET,138,0.00131,0.00653,0.04945,562,562,562,1,0,1,121.21876386381,-46.198948217089,-121.006902138632,42.1728462993386,129.724059175757,128.145305533117,23.0825728070743
1263,H,J,1501,DUNWOODIE,138,600,EAST 179TH STREET,138,0.00131,0.00653,0.04945,562,562,562,1,0,1,121.21876386381,-46.198948217089,-121.006902138632,42.1728462993386,129.724059175757,128.145305533117,23.0825728070743
1264,H,J,1501,DUNWOODIE,138,600,EAST 179TH STREET,138,0.00131,0.00653,0.04945,562,562,562,1,0,1,121.21876386381,-46.198948217089,-121.006902138632,42.1728462993386,129.724059175757,128.145305533117,23.0825728070743
1324,K,J,621,TAP135492,69,623,FAR ROCKAWAY,69,0.01881,0.04275,0.00084,250,250,250,1,0,1,16.4640207945246,-21.2096112682167,-16.3313287815935,21.4250505542344,26.8497968497231,26.9396564756124,10.775862590245
1325,K,J,621,TAP135492,69,623,FAR ROCKAWAY,69,0.01881,0.04275,0.00084,250,250,250,1,0,1,16.4640207945246,-21.2096112682167,-16.3313287815935,21.4250505542344,26.8497968497231,26.9396564756124,10.775862590245
1331,K,J,624,HEWLETT,69,623,FAR ROCKAWAY,69,0.0271,0.0616,0.0012,250,250,250,1,0,1,25.6581956861548,-17.2832495649919,-25.4053983298796,17.734566516579,30.9362848673658,30.983045586753,12.3932182347012
1332,K,J,624,HEWLETT,69,623,FAR ROCKAWAY,69,0.0271,0.0616,0.0012,250,250,250,1,0,1,25.6581956861548,-17.2832495649919,-25.4053983298796,17.734566516579,30.9362848673658,30.983045586753,12.3932182347012
1336,K,J,626,VALLEY STREAM,69,1506,JAMAICA,69,0.05562,0.12645,0.00247,250,250,250,1,0,1,42.4027760090896,-18.072179664944,-41.2318531545548,20.4852045464705,46.0933736139918,46.0403010401703,18.4373494455967
1337,K,J,626,VALLEY STREAM,69,1506,JAMAICA,69,0.05562,0.12645,0.00247,250,250,250,1,0,1,42.4027760090896,-18.072179664944,-41.2318531545548,20.4852045464705,46.0933736139918,46.0403010401703,18.4373494455967
1345,E,F,1232,PORTER,230,630,ROTTERDAM,230,0.01368,0.10993,0.41941,453,936,579,1,0,1,203.368020680144,-18.0026017772308,-197.92991582866,18.37112773272,204.163281483495,198.78065779676,45.0691570603742
1346,E,F,1232,PORTER,230,630,ROTTERDAM,230,0.01372,0.1103,0.42082,453,936,579,1,0,1,202.68697996426,-18.0778382231986,-197.26943090112,18.1546857771881,203.491572508192,198.103056472433,44.9208769333756
1400,F,G,657,TAP135691,115,660,TAP135694,115,0.01022,0.04225,0.007,167,556,210,1,0,1,71.7850468217372,-19.537611371321,-71.21710430743,21.1891196610621,74.3963117721287,74.3024544543864,44.5486896839094
1402,F,G,658,TAP135692,115,1487,UNKNOWN129084,115,0.03048,0.12605,0.02087,167,556,210,1,0,1,45.1636753369096,-13.1164928096887,-44.4938013136588,13.8043398408693,47.0297773071954,46.5860295988138,28.1615432977218
1423,G,F,1487,UNKNOWN129084,115,675,TAP135715,115,0.04312,0.17829,0.02952,167,556,210,1,0,1,-54.6233424707036,15.2790217821637,56.0294306514391,-12.4180242073226,56.7199969084238,57.3890618875938,34.364707717122
1549,D,E,759,TAP135973,230,768,WILLIS,230,0.00135,0.01083,0.04134,453,936,579,1,0,1,36.3993411011223,-6.6167368682729,-36.3818905053999,2.45571582506271,36.9958543539653,36.4646746449269,8.16685526577601
1558,D,E,763,TAP135977,230,768,WILLIS,230,0.00178,0.01427,0.05446,453,936,579,1,0,1,-12.9903446683122,-1.17079253243562,12.9932790111207,-4.47172491849019,13.0429984955744,13.741238052209,3.03338588348984
1562,F,G,769,WESTERLO,69,820,NEW BALTIMORE,69,0.11512,0.2617,0.00512,96,250,123,1,0,1,-6.1852314437231,1.44248473520766,6.23143333579451,-1.86404809854199,6.3512085640237,6.50426296609609,6.77527392301676
1563,G,F,822,TAP136123,69,769,WESTERLO,69,0.04503,0.10238,0.002,96,250,123,1,0,1,-3.10020993715883,1.24876950515897,3.105231443723,-1.44248473520797,3.34226374355366,3.42391946902874,3.56658278023827
1567,G,E,772,ROCK TAVERN,345,1222,COOPERS CORNER,345,0.00155,0.0236,0.61003,1216,2454,1804,1,0,1,-486.317132036986,24.3243637747233,489.898121604452,-33.1242351452999,486.925073893022,491.016684549041,40.3796615583093
1568,G,E,772,ROCK TAVERN,345,1222,COOPERS CORNER,345,0.00155,0.02362,0.61058,1216,2454,1804,1,0,1,-485.910209695606,24.2217512231958,489.485163487771,-33.1244856980641,486.513540529702,490.604684881231,40.3457800066801
1576,G,I,774,LADENTOWN,345,900,BUCHANAN,345,0.00035,0.00541,0.13993,1725,1725,2500,1,0,1,1202.09748506138,34.4408099314945,-1197.21338421962,26.6075691949164,1202.59075872868,1197.50901879403,69.7154063031121
1606,F,G,800,NEW SCOTLAND,345,818,LEEDS,345,0.00076,0.01166,0.30128,1216,2454,1804,1,0,1,705.525780594005,-45.135912639395,-701.869987425542,69.9512540470411,706.968088171292,705.347189114329,58.1388230404023
1607,F,G,800,NEW SCOTLAND,345,818,LEEDS,345,0.00076,0.01159,0.29954,1216,2454,1804,1,0,1,709.757051647336,-45.5014812726852,-706.057155054173,70.8332904085802,711.214072668088,709.601339650158,58.4879993970467
1609,F,E,800,NEW SCOTLAND,345,1233,EDIC,345,0.00293,0.04468,1.15501,1216,2454,1804,1,0,1,-618.36457491571,81.9212178201021,629.740649851789,-27.446910631409,623.767451411033,630.338495555334,51.8370473318531
1612,F,E,800,NEW SCOTLAND,345,1567,MARCY,345,0.00295,0.04506,1.16484,1216,2454,1804,1,0,1,-615.691414812992,84.1610903675708,627.073666279573,-30.1626966079046,621.416935242582,627.798670919241,51.6281801742797
1635,G,F,818,LEEDS,345,1227,GILBOA,345,0.00131,0.01997,0.51614,1216,2454,1804,1,0,1,-706.082047725774,65.7774680299321,712.473932704103,-22.0097334055752,709.139290563603,712.813813802339,58.6195570561134
1734,G,I,902,WOOD STREET,345,897,MILLWOOD,345,0.00037,0.00563,0.14565,1216,2454,1804,1,0,1,282.241100594628,-57.183686631781,-281.944005386844,46.7785998908196,287.975715784628,285.798284776732,23.6822134691306
1735,G,I,902,WOOD STREET,345,897,MILLWOOD,345,0.00037,0.00563,0.14542,1216,2454,1804,1,0,1,282.241100594628,-57.1719234562833,-281.944005386845,46.790406388382,287.973380187402,285.80021746592,23.6820213969903
1736,G,I,902,WOOD STREET,345,898,PLEASENTVILLE,345,0.00047,0.0072,0.1861,1216,2454,1804,1,0,1,464.795365671302,-49.7357651038233,-463.795286934877,45.9966914361379,467.448797495493,466.070556682221,38.441512951932
1737,G,I,902,WOOD STREET,345,898,PLEASENTVILLE,345,0.00047,0.0072,0.18608,1216,2454,1804,1,0,1,464.795365671302,-49.7347422189967,-463.795286934876,45.997716851021,467.448688663376,466.070657881946,38.4415040019223
1738,G,I,1519,RAMAPO,345,900,BUCHANAN,345,0.00054,0.00824,0.21288,1725,1725,2500,1,0,1,983.141283261243,8.6121953104294,-978.098443932235,46.3750923587265,983.179003417297,979.19722998686,56.9958842560752
1740,G,I,901,CROTON FALLS,115,905,UNKNOWN139291,115,0.0063,0.02605,0.00431,556,556,556,1,0,1,107.028701113774,-0.512623327837752,-106.290388028028,3.14689011375425,107.029928733873,106.336962080627,19.2499871823512
1746,I,G,903,ARMAWALK,115,1401,TAP161212,115,0.009,0.03722,0.00616,556,556,556,1,0,1,-138.209079651522,-3.4554766613496,139.969642611398,10.1252874696889,138.252269482558,140.335392182821,25.2401784501477
1747,G,I,1526,WOOD STREET,115,903,ARMAWALK,115,0.00776,0.03208,0.00531,556,556,556,1,0,1,180.381833988745,11.232914512908,-177.868858555117,-1.37145938408569,180.731249100972,177.8741458013,32.5056203419014
1749,C,E,907,TAP139298,115,1306,PETERBORO,115,0.01807,0.07472,0.01237,167,556,210,1,0,1,39.8075236929814,-13.1624186244957,-39.5008869344377,13.1575269601664,41.9271774224517,41.6346080120221,25.1060942649412
1970,B,A,1128,TAP140655,115,1119,TAP140506,115,0.03248,0.13433,0.02224,167,556,210,1,0,1,-55.6122213585381,11.8498434037408,56.6693742470704,-9.71415112558709,56.8606889962144,57.4959364620255,34.4287044682787
1972,A,B,1120,TAP140507,115,1253,UNKNOWN144120,115,0.05634,0.23298,0.03858,167,556,210,1,0,1,9.76433480760249,-3.32547829618998,-9.71005689706456,-0.336437134143558,10.3150879847623,9.7158836391479,6.17669939207325
1974,B,A,1127,TAP140654,115,1121,TAP140508,115,0.03248,0.13433,0.02224,167,556,210,1,0,1,-55.6112446557193,11.85487711592,56.6684000564789,-9.71916846593968,56.8607830019235,57.4958242016797,34.4286372465148
2113,E,G,1206,TAP141248,115,1211,TAP141253,115,0.01153,0.04767,0.00789,167,556,210,1,0,1,100.116261122164,-11.3953348744047,-98.894122688498,15.6970082903587,100.762688521005,100.132130565545,60.336939234135
2115,G,E,1210,TAP141252,69,1544,WOODBOURNE,69,0.0384,0.0873,0.00171,96,250,123,1,0,1,-51.236105892472,7.69422236649168,52.2475931536988,-5.57142714005407,51.8106128592359,52.5438083006111,54.7331336464698
2136,E,F,1228,FRASER,345,1227,GILBOA,345,0.00119,0.01821,0.47073,1216,2454,1804,1,0,1,76.0381613938914,-27.1315381909658,-75.9719930861488,-20.8463738724568,80.7336506840321,78.780169059936,6.63928048388422
2138,C,E,1245,OAKDALE,345,1228,FRASER,345,0.00207,0.03158,0.81624,1216,2454,1804,1,0,1,255.080931597094,-22.2805446177904,-253.800111585346,-43.8727322658819,256.052151588123,257.564192536943,21.1812658336302
2150,E,C,1233,EDIC,345,1237,CLAY,345,0.00187,0.02855,0.73789,1216,2454,1804,1,0,1,-300.294820379939,-36.3643206000049,301.941654939248,-14.7027672605206,302.488583189052,302.299411763518,24.8757058543628
2151,E,C,1233,EDIC,345,1237,CLAY,345,0.00187,0.02855,0.73813,1216,2454,1804,1,0,1,-300.294820379939,-36.3766085153585,301.941654939248,-14.7152667589052,302.490060653403,302.300019952427,24.8758273563654
2152,E,C,1233,EDIC,345,1242,FITZPATRICK,345,0.00252,0.03849,0.99509,1216,2454,1804,1,0,1,-426.601898581259,-9.56423569794618,431.12271662827,-24.0948859562612,426.709098189411,431.795507528952,35.5094989744204
2157,B,C,1234,PANNELL,345,1237,CLAY,345,0.00238,0.03627,0.93764,1216,2454,1804,1,0,1,-53.5815559088591,-19.9008422082345,53.665944874478,-77.3520962351984,57.1579098131767,94.1455279407892,7.74223091618332
2158,B,C,1234,PANNELL,345,1237,CLAY,345,0.00238,0.03626,0.93745,1216,2454,1804,1,0,1,-53.5957323580439,-19.88161984394,53.6801676769701,-77.3509993831718,57.1645111464624,94.152734996935,7.74282360172163
2160,B,A,1235,ROCHESTER #80,345,1249,SOMERSET,345,0.00223,0.03401,0.87921,1216,2454,1804,1,0,0,0,0,0,0,0,0,0
2161,B,A,1235,ROCHESTER #80,345,1249,SOMERSET,345,0.00167,0.02556,0.66062,1216,2454,1804,1,0,0,0,0,0,0,0,0,0
2162,B,A,1235,ROCHESTER #80,345,1299,DYSINGER,345,0.00144,0.02192,0.56674,1216,2454,1804,1,0,1,-192.882746885037,-18.2414236845638,193.389812349768,-34.2014915646606,193.743396233154,196.390838752539,16.1505623974128
2163,B,A,1235,ROCHESTER #80,345,1299,DYSINGER,345,0.00144,0.02192,0.56674,1216,2454,1804,1,0,1,-192.882746885037,-18.2414236845638,193.389812349768,-34.2014915646606,193.743396233154,196.390838752539,16.1505623974128
2164,B,A,1235,ROCHESTER #80,345,1313,NIAGARA,345,0.00265,0.04045,1.04557,1216,2454,1804,1,0,1,-219.925093858085,-6.46574384370693,221.193637818399,-84.0028658389839,220.020118970834,236.607495402194,19.457853240312
2175,E,C,1567,MARCY,345,1238,VOLNEY,345,0.00239,0.03647,0.94285,1216,2454,1804,1,0,1,-361.078769456113,-26.5800528734463,364.140515643206,-23.8772752362935,362.055764990278,364.922511508415,30.0100749595736
2200,A,C,1251,MEYER,230,1250,CANANDAIGUA,230,0.0022,0.01771,0.06756,453,936,579,1,0,1,61.9463252529909,-10.1835021442945,-61.864260888486,3.81435040450562,62.7777900875157,61.9817396035881,13.8582318073986
2205,A,B,1310,TAP145541,115,1254,TAP144121,115,0.00659,0.02726,0.00451,167,556,210,1,0,1,-22.8065198086027,16.0859412337039,22.8579863683162,-16.325775878399,27.9086877361578,28.0894730966219,16.8200437704322
2337,B,C,1550,PANNELL,115,1386,TAP161083,115,0.07137,0.29514,0.04887,167,556,210,1,0,1,13.3961722195134,-4.46658225694698,-13.2687398948543,-0.00872783265293952,14.1211822165474,13.2687427653249,8.45579773445953
2368,C,B,1477,ELBRIDGE,115,1458,TAP173329,115,0.07209,0.29811,0.04936,167,556,210,1,0,1,9.07661158404481,-2.34792458965276,-9.01849470394049,-2.42485821421728,9.37537347129769,9.33879992740286,5.61399609059742
2371,K,J,1467,UNKNOWN124147,69,1506,JAMAICA,69,0.012,0.15,0.004,150,250,250,1,0,1,27.5908387599204,2.43499118247779,-27.5006503247306,-1.7139298869798,27.6980787336355,27.5540074025647,18.4653858224237
