interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,variant_id,scenario_id,electrically_qualified
UPNY_ConEd,1751.52908573424,NaN,NaN,NaN,0,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1
Dunwoodie_South,1092.13425349624,NaN,NaN,NaN,0,0,impedance_125,S1_2025_SUMMER_PEAK_PUBLIC,1
Dysinger_East,-63.5517083492805,NaN,NaN,NaN,0,0,charging_000,S1_2025_SUMMER_PEAK_PUBLIC,1
West_Central,-456.757599245841,NaN,NaN,NaN,0,0,charging_000,S1_2025_SUMMER_PEAK_PUBLIC,1
Moses_South,813.877350783575,NaN,NaN,NaN,0,0,charging_000,S1_2025_SUMMER_PEAK_PUBLIC,1
Central_East,869.525920743475,NaN,NaN,NaN,0,0,charging_000,S1_2025_SUMMER_PEAK_PUBLIC,1
Total_East_proxy,1054.1358059802,NaN,NaN,NaN,0,0,charging_000,S1_2025_SUMMER_PEAK_PUBLIC,1
UPNY_ConEd,1758.31880766805,NaN,NaN,NaN,0,0,charging_000,S1_2025_SUMMER_PEAK_PUBLIC,1
Dunwoodie_South,1097.5259765922,NaN,NaN,NaN,0,0,charging_000,S1_2025_SUMMER_PEAK_PUBLIC,1
Dysinger_East,-63.6414364203205,NaN,NaN,NaN,0,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1
West_Central,-456.855926221125,NaN,NaN,NaN,0,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1
Moses_South,814.074487736914,NaN,NaN,NaN,0,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1
Central_East,871.500228279688,NaN,NaN,NaN,0,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1
Total_East_proxy,1055.60540744325,NaN,NaN,NaN,0,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1
UPNY_ConEd,1759.32198115846,NaN,NaN,NaN,0,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1
Dunwoodie_South,1098.27879076331,NaN,NaN,NaN,0,0,charging_150,S1_2025_SUMMER_PEAK_PUBLIC,1
Dysinger_East,-61.1912041619937,NaN,NaN,NaN,0,0,rating_080,S1_2025_SUMMER_PEAK_PUBLIC,1
West_Central,-454.439041566031,NaN,NaN,NaN,0,0,rating_080,S1_2025_SUMMER_PEAK_PUBLIC,1
Moses_South,795.602067370678,NaN,NaN,NaN,0,0,rating_080,S1_2025_SUMMER_PEAK_PUBLIC,1
