branch_row,full_branch_row,branch_key,from_bus,to_bus,status,role
21,53,NPCC_S7:BRANCH_ROW:53,47,48,1,inherited_NPCC_or_S7_equivalent
22,54,NPCC_S7:BRANCH_ROW:54,50,51,1,inherited_NPCC_or_S7_equivalent
23,55,NPCC_S7:BRANCH_ROW:55,50,52,1,inherited_NPCC_or_S7_equivalent
24,56,NPCC_S7:BRANCH_ROW:56,51,53,1,inherited_NPCC_or_S7_equivalent
25,57,NPCC_S7:BRANCH_ROW:57,51,72,1,inherited_NPCC_or_S7_equivalent
26,58,NPCC_S7:BRANCH_ROW:58,52,53,1,inherited_NPCC_or_S7_equivalent
27,59,NPCC_S7:BRANCH_ROW:59,53,55,1,inherited_NPCC_or_S7_equivalent
28,60,NPCC_S7:BRANCH_ROW:60,53,65,1,inherited_NPCC_or_S7_equivalent
29,61,NPCC_S7:BRANCH_ROW:61,54,56,1,inherited_NPCC_or_S7_equivalent
30,62,NPCC_S7:BRANCH_ROW:62,54,62,1,inherited_NPCC_or_S7_equivalent
31,65,NPCC_S7:BRANCH_ROW:65,55,57,1,inherited_NPCC_or_S7_equivalent
32,66,NPCC_S7:BRANCH_ROW:66,55,59,1,inherited_NPCC_or_S7_equivalent
33,67,NPCC_S7:BRANCH_ROW:67,56,58,1,inherited_NPCC_or_S7_equivalent
34,68,NPCC_S7:BRANCH_ROW:68,57,59,1,inherited_NPCC_or_S7_equivalent
35,69,NPCC_S7:BRANCH_ROW:69,58,60,1,inherited_NPCC_or_S7_equivalent
36,70,NPCC_S7:BRANCH_ROW:70,58,62,1,inherited_NPCC_or_S7_equivalent
37,71,NPCC_S7:BRANCH_ROW:71,59,61,1,inherited_NPCC_or_S7_equivalent
38,73,NPCC_S7:BRANCH_ROW:73,62,63,1,inherited_NPCC_or_S7_equivalent
39,74,NPCC_S7:BRANCH_ROW:74,63,64,1,inherited_NPCC_or_S7_equivalent
40,75,NPCC_S7:BRANCH_ROW:75,63,67,1,inherited_NPCC_or_S7_equivalent
41,76,NPCC_S7:BRANCH_ROW:76,64,65,1,inherited_NPCC_or_S7_equivalent
42,77,NPCC_S7:BRANCH_ROW:77,64,68,1,inherited_NPCC_or_S7_equivalent
43,78,NPCC_S7:BRANCH_ROW:78,66,67,1,inherited_NPCC_or_S7_equivalent
44,79,NPCC_S7:BRANCH_ROW:79,66,69,1,inherited_NPCC_or_S7_equivalent
45,81,NPCC_S7:BRANCH_ROW:81,67,68,1,inherited_NPCC_or_S7_equivalent
46,82,NPCC_S7:BRANCH_ROW:82,67,70,1,inherited_NPCC_or_S7_equivalent
47,84,NPCC_S7:BRANCH_ROW:84,68,71,1,inherited_NPCC_or_S7_equivalent
48,85,NPCC_S7:BRANCH_ROW:85,69,71,1,inherited_NPCC_or_S7_equivalent
49,86,NPCC_S7:BRANCH_ROW:86,70,71,1,inherited_NPCC_or_S7_equivalent
50,87,NPCC_S7:BRANCH_ROW:87,71,72,1,inherited_NPCC_or_S7_equivalent
51,88,NPCC_S7:BRANCH_ROW:88,73,74,0,inherited_NPCC_or_S7_equivalent
52,89,NPCC_S7:BRANCH_ROW:89,73,74,0,inherited_NPCC_or_S7_equivalent
53,90,NPCC_S7:BRANCH_ROW:90,74,77,1,inherited_NPCC_or_S7_equivalent
54,91,NPCC_S7:BRANCH_ROW:91,74,78,1,inherited_NPCC_or_S7_equivalent
55,92,NPCC_S7:BRANCH_ROW:92,74,78,1,inherited_NPCC_or_S7_equivalent
56,94,NPCC_S7:BRANCH_ROW:94,76,77,0,inherited_NPCC_or_S7_equivalent
57,95,NPCC_S7:BRANCH_ROW:95,78,79,1,inherited_NPCC_or_S7_equivalent
58,96,NPCC_S7:BRANCH_ROW:96,78,80,1,inherited_NPCC_or_S7_equivalent
59,97,NPCC_S7:BRANCH_ROW:97,78,81,1,inherited_NPCC_or_S7_equivalent
60,98,NPCC_S7:BRANCH_ROW:98,78,82,1,inherited_NPCC_or_S7_equivalent
61,219,NPCC_S7:BRANCH_ROW:219,40,41,1,inherited_NPCC_or_S7_equivalent
62,220,NPCC_S7:BRANCH_ROW:220,49,48,1,inherited_NPCC_or_S7_equivalent
63,222,NPCC_S7:BRANCH_ROW:222,54,52,1,inherited_NPCC_or_S7_equivalent
64,223,NPCC_S7:BRANCH_ROW:223,54,55,1,inherited_NPCC_or_S7_equivalent
65,224,NPCC_S7:BRANCH_ROW:224,56,57,1,inherited_NPCC_or_S7_equivalent
66,225,NPCC_S7:BRANCH_ROW:225,58,59,1,inherited_NPCC_or_S7_equivalent
67,226,NPCC_S7:BRANCH_ROW:226,60,61,1,inherited_NPCC_or_S7_equivalent
68,227,NPCC_S7:BRANCH_ROW:227,75,76,1,inherited_NPCC_or_S7_equivalent
69,234,NPCC_S7:BRANCH_ROW:234,38,39,1,inherited_NPCC_or_S7_equivalent
70,235,NPCC_S7:BRANCH_ROW:235,73,9002,0,inherited_NPCC_or_S7_equivalent
71,236,NPCC_S7:BRANCH_ROW:236,9002,74,0,inherited_NPCC_or_S7_equivalent
72,237,NPCC_S7:BRANCH_ROW:237,74,78,1,inherited_NPCC_or_S7_equivalent
73,238,NPCC_S7:BRANCH_ROW:238,77,78,1,inherited_NPCC_or_S7_equivalent
74,239,NPCC_S7:BRANCH_ROW:239,78,81,1,inherited_NPCC_or_S7_equivalent
75,240,NPCC_S7:BRANCH_ROW:240,78,79,1,inherited_NPCC_or_S7_equivalent
76,241,NPCC_S7:BRANCH_ROW:241,78,82,1,inherited_NPCC_or_S7_equivalent
77,242,NPCC_S7:BRANCH_ROW:242,78,9003,1,inherited_NPCC_or_S7_equivalent
78,243,NPCC_S7:BRANCH_ROW:243,9003,80,1,inherited_NPCC_or_S7_equivalent
79,244,NPCC_S7:BRANCH_ROW:244,81,80,1,inherited_NPCC_or_S7_equivalent
80,245,NPCC_S7:BRANCH_ROW:245,39,9001,1,inherited_NPCC_or_S7_equivalent
81,246,NPCC_S7:BRANCH_ROW:246,9001,73,1,inherited_NPCC_or_S7_equivalent
82,247,PERFORM2019:AC:651:858:1,73,858,1,source_circuit_electrical_parameters
83,248,PERFORM2019:AC:651:858:2,73,858,1,source_circuit_electrical_parameters
84,249,PERFORM2019:AC:651:902:1,73,9002,1,source_circuit_electrical_parameters
85,250,PERFORM2019:AC:651:902:2,73,9002,1,source_circuit_electrical_parameters
86,251,PERFORM2019:AC:858:902:1,858,9002,1,source_circuit_electrical_parameters
87,252,PERFORM2019:AC:858:902:2,858,9002,1,source_circuit_electrical_parameters
88,253,PERFORM2019:AC:897:902:1,9002,74,1,source_circuit_electrical_parameters
89,254,PERFORM2019:AC:897:902:2,9002,74,1,source_circuit_electrical_parameters
90,255,PERFORM2019:AC:774:1519:1,76,774,1,source_circuit_electrical_parameters
91,256,PERFORM2019:AC:774:900:1,774,77,1,source_circuit_electrical_parameters
92,257,PERFORM2019:AC:900:1519:1,76,77,1,source_circuit_electrical_parameters
