scenario_id,timestamp,external_interface_name,p32_interface_name,ny_boundary_bus,direction_positive,nyiso_flow_mw,nyiso_limit_mw,scale_factor_gamma,target_flow_mw,target_limit_mw,target_q_mvar,equivalent_type,q_mode,v_setpoint,qmin_mvar,qmax_mvar,note
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,OH_NY_NIAGARA,SCH - OH - NY,54,import_into_ny,411.91,2000,0.985684340068165,406.013236517478,1971.36868013633,101.756508871492,boundary_generator,limited_q_support,1.03,-750,750,Approximate Ontario/IESO path at Niagara West; source=20250401ExternalLimitsFlows_csv.zip
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,PJM_NY_WATERCURE,SCH - PJ - NY,66,import_into_ny,-80.13,2400,0.985684340068165,-27.6440101593817,827.974845657258,-6.92824201780835,boundary_generator,limited_q_support,1.03,-750,750,Approximate PJM path via Homer City/Watcure; source=20250401ExternalLimitsFlows_csv.zip
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,PJM_NY_WRHL,SCH - PJ - NY,67,import_into_ny,-80.13,2400,0.985684340068165,-11.8474329254493,354.846362424539,-2.96924657906072,boundary_generator,limited_q_support,1.03,-500,500,Approximate PJM path via E Tomano/WRHL; source=20250401ExternalLimitsFlows_csv.zip
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,PJM_NY_RAMAPO,SCH - PJ - NY,75,import_into_ny,-80.13,2400,0.985684340068165,-19.7457215424155,591.410604040899,-4.94874429843453,boundary_generator,limited_q_support,1.03,-500,500,Approximate PJM path via Branchburg/Ramapo; source=20250401ExternalLimitsFlows_csv.zip
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,2025-04-20 14:00,PJM_NY_GOETHALS,SCH - PJ - NY,81,import_into_ny,-80.13,2400,0.985684340068165,-19.7457215424155,591.410604040899,-4.94874429843453,boundary_generator,limited_q_support,1.03,-500,500,Approximate PJM path via Linden/Goethals; source=20250401ExternalLimitsFlows_csv.zip
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,HQ_NY_MOSES,SCH - HQ - NY,48,import_into_ny,1450,1450,0.358454541111224,519.759084611275,519.759084611275,130.263905575919,boundary_generator,limited_q_support,1.03,-500,500,Mapped to Moses East / northern HVDC proxy; source=20250701ExternalLimitsFlows_csv.zip
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,NE_NY_NORTHFIELD,SCH - NE - NY,37,import_into_ny,-752.52,1600,0.358454541111224,-107.897684510807,229.410906311183,-27.0417087514456,boundary_generator,limited_q_support,1.03,-500,500,Approximate New England path via New Scotland/Northfield; source=20250701ExternalLimitsFlows_csv.zip
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,NE_NY_PV,SCH - NE - NY,73,import_into_ny,-752.52,1600,0.358454541111224,-161.846526766211,344.116359466775,-40.5625631271685,boundary_generator,limited_q_support,1.03,-500,500,Approximate New England path via Pleasant Valley/Southington; source=20250701ExternalLimitsFlows_csv.zip
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,OH_NY_NIAGARA,SCH - OH - NY,54,import_into_ny,-347.94,1600,0.358454541111224,-124.720673034239,573.527265777959,-31.257947107645,boundary_generator,limited_q_support,1.03,-750,750,Approximate Ontario/IESO path at Niagara West; source=20250701ExternalLimitsFlows_csv.zip
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,PJM_NY_WATERCURE,SCH - PJ - NY,66,import_into_ny,-482.81,1050,0.358454541111224,-60.5729029478685,131.732043858375,-15.1810004744057,boundary_generator,limited_q_support,1.03,-750,750,Approximate PJM path via Homer City/Watcure; source=20250701ExternalLimitsFlows_csv.zip
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,PJM_NY_WRHL,SCH - PJ - NY,67,import_into_ny,-482.81,1050,0.358454541111224,-25.9598155490865,56.4565902250178,-6.50614306045959,boundary_generator,limited_q_support,1.03,-500,500,Approximate PJM path via E Tomano/WRHL; source=20250701ExternalLimitsFlows_csv.zip
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025-07-29 17:00,PJM_NY_RAMAPO,SCH - PJ - NY,75,import_into_ny,-482.81,1050,0.358454541111224,-43.2663592484775,94.0943170416963,-10.8435717674326,boundary_generator,limited_q_support,1.03,-500,500,Approximate PJM path via Branchburg/Ramapo; source=20250701ExternalLimitsFlows_csv.zip
