source_branch_row,device_key,source_from_bus,source_to_bus,raw_circuit_id,source_device_role,canonical_status,raw_status,raw_converted_branch_row,identity_confidence,individual_circuit_identity_resolved,raw_identity_candidates,raw_canonical_parameters_match,raw_parameter_max_abs_difference,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,source_tap,source_shift_deg,raw_transformer_control_mode,raw_regulated_bus,overhead_thermal_eligible,policy
1571,PERFORM2019:AC:772:1519:1,772,1519,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1501,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:772:1519:1,1,0,0.00083,0.01265,0.32696,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1573,PERFORM2019:XFMR:773:1519:1,773,1519,1,two_winding_transformer,1,1,2299,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:XFMR:773:1519:1,1,0,9e-05,0.00781,0,1052,1370,1803,1,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1574,PERFORM2019:AC:774:899:1,774,899,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1502,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:774:899:1,1,0,0.00018,0.0027,0.06987,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1575,PERFORM2019:AC:774:899:2,774,899,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1503,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:774:899:2,1,0,0.00018,0.0027,0.06969,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1691,PERFORM2019:XFMR:858:1524:1,858,1524,1,two_winding_transformer,1,1,2304,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:XFMR:858:1524:1,1,0,0.0006,0.0524,0,417,518,599,1,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1731,PERFORM2019:AC:897:900:1,897,900,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1654,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:897:900:1,1,0,0.00033,0.00501,0.12951,1725,1725,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1732,PERFORM2019:AC:897:900:2,897,900,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1655,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:897:900:2,1,0,0.00033,0.00501,0.12941,1725,1725,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1733,PERFORM2019:AC:897:900:3,897,900,3,ac_branch_unresolved_line_cable_or_equivalent,1,1,1656,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:897:900:3,1,0,0.00033,0.00506,0.13082,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1736,PERFORM2019:AC:898:902:1,902,898,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,1659,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:898:902:1,1,0,0.00047,0.0072,0.1861,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1737,PERFORM2019:AC:898:902:2,902,898,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,1660,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:898:902:2,1,0,0.00047,0.0072,0.18608,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1739,PERFORM2019:XFMR:900:1525:1,900,1525,1,two_winding_transformer,1,1,2305,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:XFMR:900:1525:1,1,0,0.00124,0.0559,0,350,350,350,1,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1742,PERFORM2019:XFMR:902:1526:1,902,1526,1,two_winding_transformer,1,1,2306,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:XFMR:902:1526:1;PERFORM2019:XFMR:902:1526:2,1,0,0.0006,0.05724,0,700,700,700,1,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
1743,PERFORM2019:XFMR:902:1526:2,902,1526,2,two_winding_transformer,1,1,2307,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:XFMR:902:1526:1;PERFORM2019:XFMR:902:1526:2,1,0,0.0006,0.05724,0,700,700,700,1,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
2311,PERFORM2019:AC:1356:1519:1,1356,1519,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,2170,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:1356:1519:1,1,0,0.00046,0.00707,0.18274,1216,2454,1804,0,0,0,0,0,outside_selected_corridor_not_copied_benchmark_network_retained
