zone,source_bus,model_bus,zonal_share,pd_mw,qd_mvar,policy,scenario_id
K,560,560,0,0,0,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
K,1497,1497,0.0055688448950587,10.5960582101363,0.0300702458700374,reconstructed_source_PD_share,S1_2019_SUMMER_PEAK_PUBLIC
I,547,547,0,0,0,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
I,593,593,0,0,0,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
I,594,594,0,0,0,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
I,1501,1501,0.423143257931732,175.553711514885,0,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
I,1502,1502,0.473129077013882,196.291832466818,0,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,1136,1136,0,0,0,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,1532,1532,0.0547330843996547,185.182108653215,0.252559221177381,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,596,596,0.050167593366932,169.735377197272,0.231492313069348,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,1503,1503,0.010406055060494,35.2075027380677,0.048017486871686,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,1506,1506,0.0232969662288084,78.8221854988442,0.107501042762003,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,628,628,0.0442031705919008,149.555546323598,0.20397020304472,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,1493,1493,0.100427360685313,339.782612695232,0.463409951728258,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,601,601,0.0533043881521907,180.348304992554,0.245966674539157,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,595,595,0.0423078437152247,143.142960015705,0.195224445609335,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,597,597,0.0611017283576042,206.729568116364,0.281946561131237,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,600,600,0.0535530657920383,181.189672699618,0.247114167535999,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
J,557,557,0,0,0,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
K,598,598,0.0055688448950587,8.32383395413309,0.0236219666425301,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
K,626,626,0.00724029906018236,10.8221809533068,0.0307119530359567,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
K,560,560,0,0,0,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
K,1497,1497,0.0055688448950587,8.32383395413309,0.0236219666425301,reconstructed_source_PD_share,S2_2019_WINTER_PEAK_PUBLIC
I,547,547,0,0,0,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
I,593,593,0,0,0,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
I,594,594,0,0,0,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
I,1501,1501,0.423143257931732,168.839189012316,0,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
I,1502,1502,0.473129077013882,188.784124912271,0,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,1136,1136,0,0,0,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,1532,1532,0.0547330843996547,195.134363636746,0.26613252901948,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,596,596,0.050167593366932,178.857477414612,0.243933420599383,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,1503,1503,0.010406055060494,37.0996620137716,0.0505980940182989,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,1506,1506,0.0232969662288084,83.0583317126919,0.113278478802362,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,628,628,0.0442031705919008,157.593120482563,0.214932187895778,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,1493,1493,0.100427360685313,358.043573352321,0.48831502509116,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,601,601,0.0533043881521907,190.040776528747,0.259185678687387,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,595,595,0.0423078437152247,150.835902101387,0.205716406608445,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,597,597,0.0611017283576042,217.839849716959,0.297099234834518,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,600,600,0.0535530657920383,190.927361919185,0.260394841480406,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
J,557,557,0,0,0,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
K,598,598,0.0055688448950587,7.46469745976784,0.0211838481357092,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
K,626,626,0.00724029906018236,9.70517998273914,0.02754204842087,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
K,560,560,0,0,0,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
K,1497,1497,0.0055688448950587,7.46469745976784,0.0211838481357092,reconstructed_source_PD_share,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC
I,547,547,0,0,0,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
I,593,593,0,0,0,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
I,594,594,0,0,0,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
I,1501,1501,0.423143257931732,206.400366139269,0,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
I,1502,1502,0.473129077013882,230.782395551142,0,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,1136,1136,0,0,0,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,1532,1532,0.0547330843996547,219.212538900584,0.298971366616882,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,596,596,0.050167593366932,200.927202132366,0.274033048078802,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,1503,1503,0.010406055060494,41.6774931427862,0.0568415344512546,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,1506,1506,0.0232969662288084,93.3071317232483,0.127256227341321,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,628,628,0.0442031705919008,177.038976684591,0.241453272104342,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,1493,1493,0.100427360685313,402.223571947118,0.548569582714839,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,601,601,0.0533043881521907,213.49043982359,0.291167324979729,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,595,595,0.0423078437152247,169.447966215513,0.231100329771183,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,597,597,0.0611017283576042,244.719718455493,0.333759140930886,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,600,600,0.0535530657920383,214.486423466695,0.292525689753938,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
J,557,557,0,0,0,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
K,598,598,0.0055688448950587,10.4475903628143,0.0296489132778384,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
K,626,626,0.00724029906018236,13.5833696413728,0.0385478502249969,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
K,560,560,0,0,0,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
K,1497,1497,0.0055688448950587,10.4475903628143,0.0296489132778384,reconstructed_source_PD_share,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC
I,547,547,0,0,0,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
I,593,593,0,0,0,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
I,594,594,0,0,0,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
I,1501,1501,0.423143257931732,188.064138366058,0,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
I,1502,1502,0.473129077013882,210.280113263436,0,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,1136,1136,0,0,0,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,1532,1532,0.0547330843996547,220.479912215418,0.300699864146495,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,596,596,0.050167593366932,202.088859104562,0.27561736517243,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,1503,1503,0.010406055060494,41.9184508129234,0.0571701627509817,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,1506,1506,0.0232969662288084,93.846585211734,0.12799195690993,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,628,628,0.0442031705919008,178.062524314944,0.242849229814513,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,1493,1493,0.100427360685313,404.549020227767,0.551741127800487,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,601,601,0.0533043881521907,214.724730926469,0.292850703584264,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,595,595,0.0423078437152247,170.427626556621,0.232436432133166,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,597,597,0.0611017283576042,246.134561065955,0.335688763346279,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,600,600,0.0535530657920383,215.72647283093,0.29421692171976,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
J,557,557,0,0,0,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
K,598,598,0.0055688448950587,8.60978566354931,0.0244334606942406,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
K,626,626,0.00724029906018236,11.1939592900999,0.0317670119809735,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
K,560,560,0,0,0,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
K,1497,1497,0.0055688448950587,8.60978566354931,0.0244334606942406,reconstructed_source_PD_share,S5_2019_HIGH_TOTAL_EAST_PUBLIC
I,547,547,0,0,0,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
I,593,593,0,0,0,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
I,594,594,0,0,0,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
I,1501,1501,0.423143257931732,181.965263904702,0,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
I,1502,1502,0.473129077013882,203.46078011648,0,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,1136,1136,0,0,0,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,1532,1532,0.0547330843996547,216.343024859997,0.295057801551019,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,596,596,0.050167593366932,198.297044977368,0.270445928094742,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,1503,1503,0.010406055060494,41.1319305926261,0.0560974730849916,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,1506,1506,0.0232969662288084,92.0857320446096,0.125590430608437,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,628,628,0.0442031705919008,174.721518787905,0.238292624643554,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,1493,1493,0.100427360685313,396.958425195268,0.54138875205737,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,601,601,0.0533043881521907,210.695828631742,0.287355915598771,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,595,595,0.0423078437152247,167.229875404454,0.228075203360128,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,597,597,0.0611017283576042,241.516312885545,0.329390200422836,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,600,600,0.0535530657920383,211.678774749429,0.288696499242341,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
J,557,557,0,0,0,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
K,598,598,0.0055688448950587,8.61476621965662,0.0244475948697751,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
K,626,626,0.00724029906018236,11.200434729151,0.0317853884414006,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
K,560,560,0,0,0,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
K,1497,1497,0.0055688448950587,8.61476621965662,0.0244475948697751,reconstructed_source_PD_share,S6_2019_LOW_TOTAL_EAST_PUBLIC
