source_bus_row,source_bus,device_key,source_bus_name,base_kv,source_zone,source_area,canonical_bus_type,raw_bus_type,electrical_role,gross_pd_mw,gross_qd_mvar,source_gs_mw,source_bs_mvar,source_vm_pu,source_va_deg,source_vmin_pu,source_vmax_pu,has_native_generation,has_boundary_proxy,has_reference_placeholder
23,23,PERFORM2019:BUS:23,UNKNOWN124160,115,E,69,1,1,gross_load,10.39,0,0,0,1.0160162,80.042108,0.9,1.1,0,0,0
24,24,PERFORM2019:BUS:24,UNKNOWN124162,115,C,67,2,2,gross_load|native_generation_terminal,20.89,0,0,0,1.02,98.841563,0.9,1.1,1,0,0
25,25,PERFORM2019:BUS:25,UNKNOWN124163,115,E,69,1,1,gross_load,2.08,0,0,0,1.0199449,97.666371,0.9,1.1,0,0,0
26,26,PERFORM2019:BUS:26,UNKNOWN124169,345,J,74,2,2,native_generation_terminal,0,0,0,0,1.02,62.935794,0.9,1.1,1,0,0
27,27,PERFORM2019:BUS:27,UNKNOWN124171,115,C,67,2,2,gross_load|native_generation_terminal,8.36,0,0,0,1.02,93.165333,0.9,1.1,1,0,0
28,28,PERFORM2019:BUS:28,UNKNOWN124172,115,E,69,2,1,gross_load|native_generation_terminal,2.08,0,0,0,1.019967,98.65082,0.9,1.1,1,0,0
29,29,PERFORM2019:BUS:29,UNKNOWN124194,115,C,67,2,2,gross_load|native_generation_terminal,16.71,0,0,0,1.02,93.799742,0.9,1.1,1,0,0
30,30,PERFORM2019:BUS:30,UNKNOWN124195,115,C,67,2,2,gross_load|native_generation_terminal,8.36,0,0,0,1.02,94.665285,0.9,1.1,1,0,0
31,31,PERFORM2019:BUS:31,UNKNOWN124198,115,F,70,2,2,gross_load|native_generation_terminal,3.42,0,0,0,1.02,83.516392,0.9,1.1,1,0,0
32,32,PERFORM2019:BUS:32,UNKNOWN124199,115,F,70,2,2,gross_load|native_generation_terminal,3.42,0,0,0,1.02,83.532997,0.9,1.1,1,0,0
33,33,PERFORM2019:BUS:33,UNKNOWN124200,115,A,65,2,2,gross_load|native_generation_terminal,5.05,0,0,0,1.02,100.241658,0.9,1.1,1,0,0
34,34,PERFORM2019:BUS:34,HAMMERHILL,115,C,67,2,2,gross_load|native_generation_terminal,8.36,0,0,0,1.02,102.981143,0.9,1.1,1,0,0
35,35,PERFORM2019:BUS:35,UNKNOWN124202,115,D,68,2,2,gross_load|native_generation_terminal,35.24,0,0,0,0.9991821,92.9971,0.9,1.1,1,0,0
36,36,PERFORM2019:BUS:36,UNKNOWN124203,115,D,68,1,1,gross_load,35.24,0,0,0,0.9990658,93.031623,0.9,1.1,0,0,0
37,37,PERFORM2019:BUS:37,UNKNOWN124205,115,A,65,2,2,gross_load|native_generation_terminal,7.58,0,0,0,1.02,97.577056,0.9,1.1,1,0,0
38,38,PERFORM2019:BUS:38,BLISS WINDPARK,115,A,65,2,2,gross_load|native_generation_terminal,5.05,0,0,0,1.02,98.90476,0.9,1.1,1,0,0
39,39,PERFORM2019:BUS:39,UNKNOWN124224,230,A,65,2,2,native_generation_terminal,0,0,0,0,1.02,102.392812,0.9,1.1,1,0,0
40,40,PERFORM2019:BUS:40,UNKNOWN124225,115,E,69,1,1,gross_load,2.08,0,0,0,1.0192287,104.119915,0.9,1.1,0,0,0
41,41,PERFORM2019:BUS:41,UNKNOWN124226,115,A,65,2,2,gross_load|native_generation_terminal,5.05,0,0,0,1.02,96.669766,0.9,1.1,1,0,0
42,42,PERFORM2019:BUS:42,UNKNOWN124228,115,A,65,1,1,gross_load,17.68,0,0,0,1.0200236,95.374059,0.9,1.1,0,0,0
43,43,PERFORM2019:BUS:43,DUGAN,115,A,65,1,1,gross_load,5.05,0,0,0,1.0189095,95.080675,0.9,1.1,0,0,0
44,44,PERFORM2019:BUS:44,UNKNOWN124230,115,A,65,1,1,gross_load,2.53,0,0,0,1.0189193,95.086823,0.9,1.1,0,0,0
45,45,PERFORM2019:BUS:45,TAP124231,115,A,65,1,1,gross_load,7.58,0,0,0,1.0189276,95.088804,0.9,1.1,0,0,0
46,46,PERFORM2019:BUS:46,W OLEAN,115,A,65,1,1,gross_load,5.05,0,0,0,1.0199734,95.361666,0.9,1.1,0,0,0
47,47,PERFORM2019:BUS:47,VALLEY CAT,115,A,65,1,1,gross_load,2.53,0,0,0,1.021785,95.622776,0.9,1.1,0,0,0
48,48,PERFORM2019:BUS:48,MACHIAS #13,115,A,65,1,1,gross_load,10.1,0,0,0,1.0201261,95.824091,0.9,1.1,0,0,0
49,49,PERFORM2019:BUS:49,VALLEY,115,E,69,1,1,gross_load,4.15,0,0,0,1.0178512,82.296322,0.9,1.1,0,0,0
50,50,PERFORM2019:BUS:50,UNKNOWN124248,115,E,69,1,1,gross_load,4.15,0,0,0,1.0070769,99.734073,0.9,1.1,0,0,0
51,51,PERFORM2019:BUS:51,UNKNOWN124251,115,C,67,1,1,gross_load,4.18,0,0,0,1.0179251,94.749587,0.9,1.1,0,0,0
52,52,PERFORM2019:BUS:52,UNKNOWN124252,115,C,67,2,2,gross_load|native_generation_terminal,4.18,0,0,0,1.02,95.17526,0.9,1.1,1,0,0
53,53,PERFORM2019:BUS:53,UNKNOWN124253,115,C,67,2,2,gross_load|native_generation_terminal,8.36,0,0,0,1.02,97.032042,0.9,1.1,1,0,0
54,54,PERFORM2019:BUS:54,UNKNOWN124256,230,C,67,1,1,junction,0,0,0,0,1.0262365,95.870273,0.9,1.1,0,0,0
55,55,PERFORM2019:BUS:55,UNKNOWN124257,115,C,67,1,1,gross_load,12.54,0,0,0,1.0172851,91.581602,0.9,1.1,0,0,0
56,56,PERFORM2019:BUS:56,UNKNOWN124258,115,C,67,1,1,gross_load,8.36,0,0,0,1.0167528,90.914786,0.9,1.1,0,0,0
57,57,PERFORM2019:BUS:57,UNKNOWN124262,115,C,67,1,1,gross_load,8.36,0,0,0,1.0168226,90.256588,0.9,1.1,0,0,0
58,58,PERFORM2019:BUS:58,UNKNOWN124322,115,C,67,1,1,gross_load,6.27,0,0,0,1.0192685,102.671673,0.9,1.1,0,0,0
59,59,PERFORM2019:BUS:59,UNKNOWN124323,115,E,69,1,1,gross_load,14.54,0,0,0,1.0201301,97.659802,0.9,1.1,0,0,0
60,60,PERFORM2019:BUS:60,UNKNOWN124328,69,E,69,2,2,gross_load|native_generation_terminal,1.87,0,0,0,1.02,77.424425,0.9,1.1,1,0,0
61,61,PERFORM2019:BUS:61,UNKNOWN124336,115,C,67,1,1,gross_load,12.54,0,0,0,1.0172779,90.009064,0.9,1.1,0,0,0
62,62,PERFORM2019:BUS:62,UNKNOWN124337,345,F,70,1,1,junction,0,0,0,0,1.0200131,84.663049,0.9,1.1,0,0,0
63,63,PERFORM2019:BUS:63,UNKNOWN124338,345,F,70,2,2,native_generation_terminal,0,0,0,0,1.02,84.678815,0.9,1.1,1,0,0
64,64,PERFORM2019:BUS:64,UNKNOWN124339,115,E,69,1,1,gross_load,2.08,0,0,0,1.0050073,97.169322,0.9,1.1,0,0,0
65,65,PERFORM2019:BUS:65,BERRY RD,115,A,65,1,1,gross_load,5.05,0,0,0,1.0210882,94.521484,0.9,1.1,0,0,0
66,66,PERFORM2019:BUS:66,BAKER ST,115,A,65,1,1,gross_load,5.05,0,0,0,1.0180273,93.595677,0.9,1.1,0,0,0
67,67,PERFORM2019:BUS:67,CUMMINS,115,A,65,1,1,gross_load,2.53,0,0,0,1.0181084,93.589245,0.9,1.1,0,0,0
68,68,PERFORM2019:BUS:68,SILVER CREEK,115,A,65,1,1,gross_load,5.05,0,0,0,1.0180182,94.023953,0.9,1.1,0,0,0
69,69,PERFORM2019:BUS:69,FALCONER,115,A,65,2,2,gross_load|native_generation_terminal|boundary_injection_landing,12.63,0,0,0,1.02,94.319291,0.9,1.1,1,1,0
70,70,PERFORM2019:BUS:70,UNKNOWN124347,115,A,65,1,1,gross_load,5.05,0,0,0,1.0198401,94.275922,0.9,1.1,0,0,0
71,71,PERFORM2019:BUS:71,WESTFIELD VILLAGE,115,A,65,1,1,gross_load,7.58,0,0,0,1.0226158,94.725996,0.9,1.1,0,0,0
72,72,PERFORM2019:BUS:72,UNKNOWN124349,115,A,65,1,1,gross_load,2.53,0,0,0,1.0201691,94.46199,0.9,1.1,0,0,0
73,73,PERFORM2019:BUS:73,LUDIUM,115,A,65,1,1,gross_load,5.05,0,0,0,1.020114,94.453107,0.9,1.1,0,0,0
74,74,PERFORM2019:BUS:74,BENNETT RD,115,A,65,1,1,gross_load,10.1,0,0,0,1.0199331,94.430051,0.9,1.1,0,0,0
75,75,PERFORM2019:BUS:75,E DUNKIRK,115,A,65,1,1,gross_load,2.53,0,0,0,1.019722,94.399164,0.9,1.1,0,0,0
76,76,PERFORM2019:BUS:76,UNKNOWN124354,115,A,65,1,1,gross_load,5.05,0,0,0,1.0197135,94.397151,0.9,1.1,0,0,0
77,77,PERFORM2019:BUS:77,MOON SWITCHES,115,A,65,1,1,gross_load,12.63,0,0,0,1.0203777,94.322708,0.9,1.1,0,0,0
78,78,PERFORM2019:BUS:78,HARTFIELD,115,A,65,1,1,gross_load,5.05,0,0,0,1.0215947,94.486029,0.9,1.1,0,0,0
79,79,PERFORM2019:BUS:79,EAST 13TH STREET,345,J,74,2,2,native_generation_terminal,0,0,0,0,1.02,62.719179,0.9,1.1,1,0,0
80,80,PERFORM2019:BUS:80,UNKNOWN124470,115,E,69,2,2,gross_load|native_generation_terminal,4.15,0,0,0,1.02,98.700759,0.9,1.1,1,0,0
81,81,PERFORM2019:BUS:81,WESTOVER,115,C,67,2,2,gross_load|boundary_injection_landing,20.89,0,0,0,1.0221,87.920362,0.9,1.1,0,1,0
82,82,PERFORM2019:BUS:82,UNKNOWN124526,115,E,69,2,2,gross_load|native_generation_terminal,2.08,0,0,0,1.02,86.203021,0.9,1.1,1,0,0
83,83,PERFORM2019:BUS:83,UNKNOWN124528,115,E,69,2,2,gross_load|native_generation_terminal,6.23,0,0,0,1.02,97.71819,0.9,1.1,1,0,0
84,84,PERFORM2019:BUS:84,UNKNOWN124529,115,F,70,2,2,gross_load|native_generation_terminal,3.42,0,0,0,1.02,83.413444,0.9,1.1,1,0,0
85,85,PERFORM2019:BUS:85,COLD SPRING RD,115,A,65,1,1,gross_load,2.53,0,0,0,1.0179049,93.820458,0.9,1.1,0,0,0
86,86,PERFORM2019:BUS:86,UNKNOWN124575,115,A,65,1,1,gross_load,5.05,0,0,0,1.0182449,96.273245,0.9,1.1,0,0,0
87,87,PERFORM2019:BUS:87,UNKNOWN124576,115,A,65,1,1,gross_load,7.58,0,0,0,1.0178244,96.432107,0.9,1.1,0,0,0
88,88,PERFORM2019:BUS:88,YORKSHIRE,115,A,65,1,1,gross_load,5.05,0,0,0,1.0176483,96.698875,0.9,1.1,0,0,0
89,89,PERFORM2019:BUS:89,ARCADE,115,A,65,1,1,gross_load,2.53,0,0,0,1.0176294,96.792898,0.9,1.1,0,0,0
90,90,PERFORM2019:BUS:90,BIXBY HILL,115,A,65,1,1,gross_load,5.05,0,0,0,1.0177782,97.060047,0.9,1.1,0,0,0
91,91,PERFORM2019:BUS:91,UNKNOWN124580,115,A,65,1,1,gross_load,5.05,0,0,0,1.0181105,97.444222,0.9,1.1,0,0,0
92,92,PERFORM2019:BUS:92,UNKNOWN124581,115,B,66,1,1,gross_load,14.4,0,0,0,1.0128553,93.245064,0.9,1.1,0,0,0
93,93,PERFORM2019:BUS:93,UNKNOWN124582,115,B,66,1,1,gross_load,14.4,0,0,0,1.0186821,96.086453,0.9,1.1,0,0,0
94,94,PERFORM2019:BUS:94,UNKNOWN124583,115,B,66,1,1,gross_load,14.4,0,0,0,1.0191994,98.60006,0.9,1.1,0,0,0
95,95,PERFORM2019:BUS:95,UNKNOWN124584,115,B,66,2,2,gross_load|native_generation_terminal,7.2,0,0,0,1.02,98.78721,0.9,1.1,1,0,0
96,96,PERFORM2019:BUS:96,UNKNOWN124585,115,B,66,1,1,gross_load,7.2,0,0,0,1.017118,98.119296,0.9,1.1,0,0,0
97,97,PERFORM2019:BUS:97,UNKNOWN124586,115,B,66,1,1,gross_load,14.4,0,0,0,1.017184,98.138088,0.9,1.1,0,0,0
98,98,PERFORM2019:BUS:98,UNKNOWN124587,115,B,66,1,1,gross_load,14.4,0,0,0,1.0142814,93.733262,0.9,1.1,0,0,0
99,99,PERFORM2019:BUS:99,UNKNOWN124588,115,B,66,1,1,gross_load,14.4,0,0,0,1.0120838,93.07793,0.9,1.1,0,0,0
100,100,PERFORM2019:BUS:100,UNKNOWN124589,115,B,66,1,1,gross_load,7.2,0,0,0,1.0102786,92.543456,0.9,1.1,0,0,0
101,101,PERFORM2019:BUS:101,UNKNOWN124626,115,A,65,1,1,gross_load,5.05,0,0,0,1.0009579,92.578457,0.9,1.1,0,0,0
102,102,PERFORM2019:BUS:102,N AKRON,115,A,65,1,1,gross_load,5.05,0,0,0,1.0009912,92.586116,0.9,1.1,0,0,0
103,103,PERFORM2019:BUS:103,UNKNOWN124628,115,A,65,1,1,gross_load,2.53,0,0,0,1.0017512,92.777879,0.9,1.1,0,0,0
104,104,PERFORM2019:BUS:104,TONAWANDA,115,A,65,1,1,gross_load,5.05,0,0,0,1.0146886,96.150641,0.9,1.1,0,0,0
105,105,PERFORM2019:BUS:105,GETZVILLE,115,A,65,1,1,gross_load,20.2,0,0,0,1.0148788,96.031761,0.9,1.1,0,0,0
106,106,PERFORM2019:BUS:106,UNKNOWN124631,115,A,65,1,1,gross_load,5.05,0,0,0,1.0154565,96.164504,0.9,1.1,0,0,0
107,107,PERFORM2019:BUS:107,UNKNOWN124632,115,A,65,1,1,gross_load,12.63,0,0,0,1.0166843,96.461564,0.9,1.1,0,0,0
108,108,PERFORM2019:BUS:108,UNKNOWN124634,115,C,67,1,1,gross_load,8.36,0,0,0,1.0212816,90.090518,0.9,1.1,0,0,0
109,109,PERFORM2019:BUS:109,UNKNOWN124639,115,C,67,1,1,gross_load,8.36,0,0,0,1.0208686,90.379672,0.9,1.1,0,0,0
110,110,PERFORM2019:BUS:110,UNKNOWN124640,115,C,67,1,1,gross_load,12.54,0,0,0,1.0199038,88.491787,0.9,1.1,0,0,0
111,111,PERFORM2019:BUS:111,UNKNOWN124641,115,C,67,1,1,gross_load,8.36,0,0,0,1.0172926,89.635849,0.9,1.1,0,0,0
112,112,PERFORM2019:BUS:112,UNKNOWN124642,115,C,67,1,1,gross_load,8.36,0,0,0,1.0184808,87.222084,0.9,1.1,0,0,0
113,113,PERFORM2019:BUS:113,UNKNOWN124643,115,C,67,1,1,gross_load,8.36,0,0,0,1.017749,87.16988,0.9,1.1,0,0,0
114,114,PERFORM2019:BUS:114,UNKNOWN124644,115,C,67,1,1,gross_load,8.36,0,0,0,1.0179776,87.363563,0.9,1.1,0,0,0
115,115,PERFORM2019:BUS:115,KATTELVILLE,115,C,67,1,1,gross_load,8.36,0,0,0,1.0201446,86.585758,0.9,1.1,0,0,0
116,116,PERFORM2019:BUS:116,UNKNOWN124652,115,C,67,2,2,gross_load|native_generation_terminal,8.36,0,0,0,1.02,88.362559,0.9,1.1,1,0,0
117,117,PERFORM2019:BUS:117,NORTH ENDICOTT,115,C,67,1,1,gross_load,12.54,0,0,0,1.0206425,87.588853,0.9,1.1,0,0,0
118,118,PERFORM2019:BUS:118,UNKNOWN124654,115,C,67,1,1,gross_load,8.36,0,0,0,1.018561,87.274005,0.9,1.1,0,0,0
119,119,PERFORM2019:BUS:119,UNKNOWN124655,115,C,67,1,1,gross_load,8.36,0,0,0,1.0183521,87.363268,0.9,1.1,0,0,0
120,120,PERFORM2019:BUS:120,UNKNOWN124656,115,C,67,1,1,gross_load,8.36,0,0,0,1.0185914,87.580991,0.9,1.1,0,0,0
121,121,PERFORM2019:BUS:121,UNKNOWN124661,115,C,67,1,1,gross_load,8.36,0,0,0,1.0197836,87.412173,0.9,1.1,0,0,0
122,122,PERFORM2019:BUS:122,ROBBLE AVE,115,C,67,1,1,gross_load,8.36,0,0,0,1.0208348,87.629006,0.9,1.1,0,0,0
123,123,PERFORM2019:BUS:123,CASTLE GARDENS,115,C,67,1,1,gross_load,8.36,0,0,0,1.0194513,87.352335,0.9,1.1,0,0,0
124,124,PERFORM2019:BUS:124,UNKNOWN124668,115,C,67,1,1,gross_load,25.07,0,0,0,1.0188666,90.709612,0.9,1.1,0,0,0
125,125,PERFORM2019:BUS:125,UNKNOWN124702,115,E,69,2,1,gross_load|native_generation_terminal,2.08,0,0,0,1.0171498,106.89708,0.9,1.1,1,0,0
126,126,PERFORM2019:BUS:126,UNKNOWN124703,115,E,69,1,1,gross_load,2.08,0,0,0,1.0171533,106.867755,0.9,1.1,0,0,0
127,127,PERFORM2019:BUS:127,UNKNOWN124704,115,F,70,2,2,gross_load|native_generation_terminal,34.22,0,0,0,1.02,84.326258,0.9,1.1,1,0,0
128,128,PERFORM2019:BUS:128,UNKNOWN124705,115,B,66,2,2,gross_load|native_generation_terminal,43.2,0,0,0,1.02,98.922867,0.9,1.1,1,0,0
129,129,PERFORM2019:BUS:129,UNKNOWN124706,115,B,66,1,1,gross_load,21.6,0,0,0,1.0058593,89.180938,0.9,1.1,0,0,0
130,130,PERFORM2019:BUS:130,UNKNOWN124708,115,B,66,1,1,gross_load,7.2,0,0,0,1.0044663,90.006325,0.9,1.1,0,0,0
131,131,PERFORM2019:BUS:131,UNKNOWN124716,115,C,67,1,1,gross_load,25.07,0,0,0,1.0180275,94.776144,0.9,1.1,0,0,0
132,132,PERFORM2019:BUS:132,UNKNOWN124725,230,C,67,1,1,junction,0,0,0,0,1.0211161,97.629144,0.9,1.1,0,0,0
133,133,PERFORM2019:BUS:133,UNKNOWN124726,115,C,67,1,1,gross_load,12.54,0,0,0,1.01759,89.800811,0.9,1.1,0,0,0
134,134,PERFORM2019:BUS:134,ANGOLA,115,A,65,1,1,gross_load,12.63,0,0,0,1.0160031,93.686105,0.9,1.1,0,0,0
135,135,PERFORM2019:BUS:135,SPRINGVILLE,115,A,65,1,1,gross_load,5.05,0,0,0,1.017664,95.874246,0.9,1.1,0,0,0
136,136,PERFORM2019:BUS:136,COBBLE HILL,115,A,65,1,1,gross_load,5.05,0,0,0,1.0176308,95.917735,0.9,1.1,0,0,0
137,137,PERFORM2019:BUS:137,BIG TREE,115,A,65,1,1,gross_load,5.05,0,0,0,1.0216472,95.9864,0.9,1.1,0,0,0
138,138,PERFORM2019:BUS:138,UNKNOWN124741,230,A,65,2,2,native_generation_terminal,0,0,0,0,1.0194542,102.219545,0.9,1.1,1,0,0
139,139,PERFORM2019:BUS:139,PERRY #162,115,A,65,1,1,gross_load,7.58,0,0,0,1.0179785,98.489751,0.9,1.1,0,0,0
140,140,PERFORM2019:BUS:140,SOUTH PERRY,115,A,65,1,1,gross_load,10.76,0,0,0,1.0180223,98.505985,0.9,1.1,0,0,0
141,141,PERFORM2019:BUS:141,UNKNOWN124745,115,A,65,1,1,gross_load,5.05,0,0,0,1.0133813,96.831629,0.9,1.1,0,0,0
142,142,PERFORM2019:BUS:142,UNKNOWN124746,115,A,65,1,1,gross_load,7.58,0,0,0,1.0126024,96.511293,0.9,1.1,0,0,0
143,143,PERFORM2019:BUS:143,UNKNOWN124747,115,A,65,1,1,gross_load,5.05,0,0,0,1.0251904,96.61104,0.9,1.1,0,0,0
144,144,PERFORM2019:BUS:144,UNKNOWN124750,115,A,65,1,1,gross_load,5.05,0,0,0,1.0222126,96.24617,0.9,1.1,0,0,0
145,145,PERFORM2019:BUS:145,ERIE ST,115,A,65,1,1,gross_load,7.58,0,0,0,1.0207744,96.078107,0.9,1.1,0,0,0
146,146,PERFORM2019:BUS:146,DEPEW,115,A,65,1,1,gross_load,2.53,0,0,0,1.0203813,95.966454,0.9,1.1,0,0,0
147,147,PERFORM2019:BUS:147,UNKNOWN124823,115,C,67,1,1,gross_load,4.18,0,0,0,1.0182755,91.048607,0.9,1.1,0,0,0
148,148,PERFORM2019:BUS:148,UNKNOWN124826,115,C,67,1,1,gross_load,4.18,0,0,0,1.0193823,89.546664,0.9,1.1,0,0,0
149,149,PERFORM2019:BUS:149,UNKNOWN124827,115,C,67,1,1,gross_load,12.54,0,0,0,1.0194804,89.587108,0.9,1.1,0,0,0
150,150,PERFORM2019:BUS:150,UNKNOWN124828,115,C,67,2,1,gross_load|native_generation_terminal,8.36,0,0,0,1.0199867,89.52469,0.9,1.1,1,0,0
151,151,PERFORM2019:BUS:151,UNKNOWN124829,115,C,67,1,1,gross_load,4.18,0,0,0,1.0199967,89.524827,0.9,1.1,0,0,0
152,152,PERFORM2019:BUS:152,UNKNOWN124830,115,C,67,1,1,gross_load,8.36,0,0,0,1.019616,94.289623,0.9,1.1,0,0,0
153,153,PERFORM2019:BUS:153,LABRADOR,115,C,67,1,1,gross_load,4.18,0,0,0,1.0154755,88.192271,0.9,1.1,0,0,0
154,154,PERFORM2019:BUS:154,CORTLAND,115,C,67,1,1,gross_load,12.54,0,0,0,1.0153612,89.097263,0.9,1.1,0,0,0
155,155,PERFORM2019:BUS:155,UNKNOWN124834,115,C,67,1,1,gross_load,4.18,0,0,0,1.0151062,89.033251,0.9,1.1,0,0,0
156,156,PERFORM2019:BUS:156,STARR RD,115,C,67,1,1,gross_load,8.36,0,0,0,1.0146329,88.880571,0.9,1.1,0,0,0
157,157,PERFORM2019:BUS:157,SUNY,115,C,67,1,1,gross_load,4.18,0,0,0,1.0146194,88.872761,0.9,1.1,0,0,0
158,158,PERFORM2019:BUS:158,UNKNOWN124837,115,C,67,1,1,gross_load,4.18,0,0,0,1.0147643,88.903319,0.9,1.1,0,0,0
159,159,PERFORM2019:BUS:159,DAVIS RD,115,A,65,1,1,gross_load,5.05,0,0,0,1.0239773,96.270381,0.9,1.1,0,0,0
160,160,PERFORM2019:BUS:160,UNKNOWN124940,115,A,65,1,1,gross_load,2.53,0,0,0,1.020989,95.963797,0.9,1.1,0,0,0
161,161,PERFORM2019:BUS:161,UNKNOWN124943,115,A,65,2,2,gross_load|native_generation_terminal,5.05,0,0,0,1.02,95.023944,0.9,1.1,1,0,0
162,162,PERFORM2019:BUS:162,UNKNOWN124944,115,A,65,1,1,gross_load,10.1,0,0,0,1.0198208,95.009935,0.9,1.1,0,0,0
163,163,PERFORM2019:BUS:163,UNKNOWN124945,115,A,65,1,1,gross_load,12.63,0,0,0,1.0192903,94.987824,0.9,1.1,0,0,0
164,164,PERFORM2019:BUS:164,UNKNOWN124946,115,A,65,1,1,gross_load,2.53,0,0,0,1.0192859,94.986765,0.9,1.1,0,0,0
165,165,PERFORM2019:BUS:165,UNKNOWN124947,115,A,65,1,1,gross_load,2.53,0,0,0,1.0174787,95.725686,0.9,1.1,0,0,0
166,166,PERFORM2019:BUS:166,UNKNOWN124948,115,A,65,1,1,gross_load,2.53,0,0,0,1.0177147,95.783897,0.9,1.1,0,0,0
167,167,PERFORM2019:BUS:167,PINE GROVE,115,C,67,1,1,gross_load,8.36,0,0,0,1.0122367,93.225123,0.9,1.1,0,0,0
168,168,PERFORM2019:BUS:168,BRIDGEPORT,115,E,69,1,1,gross_load,2.08,0,0,0,1.0130355,90.452886,0.9,1.1,0,0,0
169,169,PERFORM2019:BUS:169,UNKNOWN124958,115,C,67,1,1,gross_load,8.36,0,0,0,1.0129169,92.757585,0.9,1.1,0,0,0
170,170,PERFORM2019:BUS:170,UNKNOWN124959,115,C,67,1,1,gross_load,8.36,0,0,0,1.0136512,92.654023,0.9,1.1,0,0,0
171,171,PERFORM2019:BUS:171,TEAL,115,C,67,1,1,gross_load,33.43,0,0,0,1.013328,92.635389,0.9,1.1,0,0,0
172,172,PERFORM2019:BUS:172,HOPKINS,115,C,67,1,1,gross_load,8.36,0,0,0,1.0114275,93.015255,0.9,1.1,0,0,0
173,173,PERFORM2019:BUS:173,WOODARD,115,C,67,1,1,gross_load,12.54,0,0,0,1.0101096,93.642408,0.9,1.1,0,0,0
