source_branch_row,device_key,source_from_bus,source_to_bus,raw_circuit_id,source_device_role,canonical_status,raw_status,raw_converted_branch_row,identity_confidence,individual_circuit_identity_resolved,raw_identity_candidates,raw_canonical_parameters_match,raw_parameter_max_abs_difference,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,source_tap,source_shift_deg,raw_transformer_control_mode,raw_regulated_bus,overhead_thermal_eligible
32,PERFORM2019:AC:8:677:1,677,8,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,32,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:8:677:1,1,0,0.00211,0.00873,0.00145,167,556,210,0,0,0,0,0
33,PERFORM2019:AC:9:524:1,9,524,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,33,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:9:524:1,1,0,0.01092,0.04516,0.00748,556,556,556,0,0,0,0,0
34,PERFORM2019:AC:9:649:1,649,9,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,34,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:9:649:1;PERFORM2019:AC:9:649:2,1,0,0.01472,0.06087,0.01008,556,556,556,0,0,0,0,0
35,PERFORM2019:AC:9:649:2,649,9,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,35,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:9:649:1;PERFORM2019:AC:9:649:2,1,0,0.01472,0.06087,0.01008,556,556,556,0,0,0,0,0
36,PERFORM2019:XFMR:9:848:1,848,9,1,two_winding_transformer,1,1,2228,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:XFMR:9:848:1,1,0,0.001,0.07,0,750,750,750,0.975,0,0,0,0
37,PERFORM2019:AC:9:851:1,9,851,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,36,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:9:851:1,1,0,0.00323,0.01336,0.00221,240,556,265,0,0,0,0,0
38,PERFORM2019:AC:10:450:1,10,450,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,37,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:10:450:1,1,0,0.00418,0.01729,0.00286,167,556,210,0,0,0,0,0
39,PERFORM2019:AC:11:489:1,11,489,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,38,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:11:489:1,1,0,0.00196,0.00812,0.00134,167,556,210,0,0,0,0,0
40,PERFORM2019:AC:11:795:1,795,11,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,39,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:11:795:1,1,0,0.0004,0.00165,0.00027,167,556,210,0,0,0,0,0
41,PERFORM2019:AC:12:872:1,872,12,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,40,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:12:872:1,1,0,5e-05,0.00019,3e-05,167,556,210,0,0,0,0,0
42,PERFORM2019:AC:13:196:1,13,196,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,41,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:13:196:1,1,0,0.00156,0.00645,0.00107,167,556,210,0,0,0,0,0
43,PERFORM2019:AC:13:864:1,864,13,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,42,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:13:864:1,1,0,0.00811,0.03354,0.00555,167,556,210,0,0,0,0,0
44,PERFORM2019:AC:13:865:1,865,13,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,43,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:13:865:1,1,0,0.00813,0.03361,0.00557,167,556,210,0,0,0,0,0
45,PERFORM2019:AC:13:1442:1,13,1442,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,44,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:13:1442:1,1,0,0.00156,0.00646,0.00107,167,556,210,0,0,0,0,0
46,PERFORM2019:AC:14:460:1,14,460,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,45,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:14:460:1,1,0,0.00143,0.0059,0.00098,167,556,210,0,0,0,0,0
47,PERFORM2019:AC:14:1017:1,1017,14,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,46,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:14:1017:1,1,0,0.00284,0.01174,0.00194,167,556,210,0,0,0,0,0
48,PERFORM2019:AC:15:59:1,59,15,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,47,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:15:59:1,1,0,0.03648,0.15084,0.02498,167,556,210,0,0,0,0,0
49,PERFORM2019:AC:15:402:1,15,402,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,48,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:15:402:1,1,0,0.0021,0.0087,0.00144,167,556,210,0,0,0,0,0
50,PERFORM2019:AC:16:391:1,16,391,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,49,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:16:391:1,1,0,0.02118,0.08756,0.0145,167,556,210,0,0,0,0,0
51,PERFORM2019:AC:16:1030:1,1030,16,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,50,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:16:1030:1,1,0,0.00835,0.03453,0.00572,167,556,210,0,0,0,0,0
52,PERFORM2019:AC:16:1050:1,1050,16,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,51,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:16:1050:1,1,0,0.02493,0.1031,0.01707,167,556,210,0,0,0,0,0
53,PERFORM2019:AC:16:1051:1,1051,16,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,52,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:16:1051:1,1,0,0.00207,0.00857,0.00142,167,556,210,0,0,0,0,0
54,PERFORM2019:AC:16:1394:1,16,1394,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,53,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:16:1394:1,1,0,0.02598,0.10743,0.01779,167,556,210,0,0,0,0,0
55,PERFORM2019:AC:17:628:N1,17,628,N1,ac_branch_unresolved_line_cable_or_equivalent,1,1,54,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:17:628:N1;PERFORM2019:AC:17:628:N2,1,0,0.0017,0.0085,0.064,300,300,330,0,0,0,0,0
56,PERFORM2019:AC:17:628:N2,17,628,N2,ac_branch_unresolved_line_cable_or_equivalent,1,1,55,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:17:628:N1;PERFORM2019:AC:17:628:N2,1,0,0.0017,0.0085,0.064,300,300,330,0,0,0,0,0
57,PERFORM2019:XFMR:17:1467:1,17,1467,1,two_winding_transformer,1,1,2229,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:XFMR:17:1467:1;PERFORM2019:XFMR:17:1467:2,1,0,0.00302,0.10864,0,500,500,500,1,0,0,0,0
58,PERFORM2019:XFMR:17:1467:2,17,1467,2,two_winding_transformer,1,1,2230,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:XFMR:17:1467:1;PERFORM2019:XFMR:17:1467:2,1,0,0.00302,0.10864,0,500,500,500,1,0,0,0,0
59,PERFORM2019:AC:18:561:1,18,561,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,56,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:18:561:1,1,0,0.04007,0.09109,0.00178,250,250,250,0,0,0,0,0
60,PERFORM2019:AC:18:583:1,18,583,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,57,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:18:583:1,1,0,0.01009,0.02294,0.00045,200,250,200,0,0,0,0,0
61,PERFORM2019:AC:18:585:1,18,585,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,58,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:18:585:1,1,0,0.00802,0.01823,0.00036,250,250,250,0,0,0,0,0
62,PERFORM2019:AC:18:1494:1,18,1494,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,59,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:18:1494:1,1,0,0.00357,0.00812,0.00016,250,250,250,0,0,0,0,0
63,PERFORM2019:AC:18:1494:2,18,1494,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,60,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:18:1494:2;PERFORM2019:AC:18:1494:3,1,0,0.0032,0.00727,0.00014,250,250,250,0,0,0,0,0
64,PERFORM2019:AC:18:1494:3,18,1494,3,ac_branch_unresolved_line_cable_or_equivalent,1,1,61,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:18:1494:2;PERFORM2019:AC:18:1494:3,1,0,0.0032,0.00727,0.00014,250,250,250,0,0,0,0,0
65,PERFORM2019:AC:19:1538:1,19,1538,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,62,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:19:1538:1;PERFORM2019:AC:19:1538:2;PERFORM2019:AC:19:1538:3;PERFORM2019:AC:19:1538:4;PERFORM2019:AC:19:1538:5,1,0,0.0038,0.01572,0.0026,556,556,556,0,0,0,0,0
66,PERFORM2019:AC:19:1538:2,19,1538,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,63,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:19:1538:1;PERFORM2019:AC:19:1538:2;PERFORM2019:AC:19:1538:3;PERFORM2019:AC:19:1538:4;PERFORM2019:AC:19:1538:5,1,0,0.0038,0.01572,0.0026,556,556,556,0,0,0,0,0
67,PERFORM2019:AC:19:1538:3,19,1538,3,ac_branch_unresolved_line_cable_or_equivalent,1,1,64,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:19:1538:1;PERFORM2019:AC:19:1538:2;PERFORM2019:AC:19:1538:3;PERFORM2019:AC:19:1538:4;PERFORM2019:AC:19:1538:5,1,0,0.0038,0.01572,0.0026,556,556,556,0,0,0,0,0
68,PERFORM2019:AC:19:1538:4,19,1538,4,ac_branch_unresolved_line_cable_or_equivalent,1,1,65,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:19:1538:1;PERFORM2019:AC:19:1538:2;PERFORM2019:AC:19:1538:3;PERFORM2019:AC:19:1538:4;PERFORM2019:AC:19:1538:5,1,0,0.0038,0.01572,0.0026,556,556,556,0,0,0,0,0
69,PERFORM2019:AC:19:1538:5,19,1538,5,ac_branch_unresolved_line_cable_or_equivalent,1,1,66,electrically_identical_parallel_assignment_not_unique_physical_identity,0,PERFORM2019:AC:19:1538:1;PERFORM2019:AC:19:1538:2;PERFORM2019:AC:19:1538:3;PERFORM2019:AC:19:1538:4;PERFORM2019:AC:19:1538:5,1,0,0.0038,0.01572,0.0026,556,556,556,0,0,0,0,0
70,PERFORM2019:AC:20:1004:1,1004,20,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,67,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:20:1004:1,1,0,0.00062,0.00256,0.00042,167,556,210,0,0,0,0,0
71,PERFORM2019:AC:20:1008:1,1008,20,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,68,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:20:1008:1,1,0,0.01418,0.05866,0.00971,167,556,210,0,0,0,0,0
72,PERFORM2019:AC:20:1020:1,1020,20,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,69,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:20:1020:1,1,0,0.00918,0.03796,0.00629,167,556,210,0,0,0,0,0
73,PERFORM2019:AC:20:1195:1,1195,20,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,70,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:20:1195:1,1,0,0.00943,0.03899,0.00646,167,556,210,0,0,0,0,0
74,PERFORM2019:AC:21:403:1,21,403,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,71,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:21:403:1,1,0,0.005,0.02069,0.00343,167,556,210,0,0,0,0,0
75,PERFORM2019:AC:21:406:1,21,406,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,72,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:21:406:1,1,0,0.02031,0.06988,0.00859,116,556,145,0,0,0,0,0
76,PERFORM2019:AC:21:1004:1,1004,21,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,73,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:21:1004:1,1,0,0.0004,0.00163,0.00027,167,556,210,0,0,0,0,0
77,PERFORM2019:AC:21:1005:1,1005,21,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,74,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:21:1005:1,1,0,0.00536,0.02218,0.00367,167,556,210,0,0,0,0,0
78,PERFORM2019:AC:21:1009:1,1009,21,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,75,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:21:1009:1,1,0,0.01417,0.05861,0.00971,167,556,210,0,0,0,0,0
79,PERFORM2019:AC:22:1204:1,1204,22,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,76,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:22:1204:1,1,0,0.02827,0.06426,0.00126,96,250,123,0,0,0,0,0
80,PERFORM2019:AC:23:751:1,751,23,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,77,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:23:751:1,1,0,0.03122,0.1291,0.02138,167,556,210,0,0,0,0,0
81,PERFORM2019:AC:23:1193:1,1193,23,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,78,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:23:1193:1,1,0,0.00673,0.02783,0.00461,167,556,210,0,0,0,0,0
82,PERFORM2019:AC:23:1194:1,1194,23,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,79,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:23:1194:1,1,0,0.00672,0.0278,0.0046,167,556,210,0,0,0,0,0
83,PERFORM2019:AC:23:1208:1,1208,23,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,80,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:23:1208:1,1,0,0.01755,0.07259,0.01202,167,556,210,0,0,0,0,0
84,PERFORM2019:AC:23:1214:1,1214,23,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,81,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:23:1214:1,1,0,0.00381,0.01575,0.00261,167,556,210,0,0,0,0,0
85,PERFORM2019:AC:24:908:1,908,24,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,82,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:24:908:1,1,0,0.00179,0.00742,0.00123,167,556,210,0,0,0,0,0
86,PERFORM2019:AC:24:913:1,913,24,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,83,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:24:913:1,1,0,0.02737,0.11317,0.01874,167,556,210,0,0,0,0,0
87,PERFORM2019:AC:24:914:1,914,24,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,84,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:24:914:1,1,0,0.03784,0.15647,0.02591,167,556,210,0,0,0,0,0
88,PERFORM2019:AC:24:1100:1,1100,24,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,85,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:24:1100:1,1,0,0.02855,0.11804,0.01955,167,556,210,0,0,0,0,0
89,PERFORM2019:AC:24:1102:1,1102,24,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,86,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:24:1102:1,1,0,0.02496,0.10319,0.01709,167,556,210,0,0,0,0,0
90,PERFORM2019:AC:25:83:1,25,83,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,87,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:25:83:1,1,0,0.0105,0.04341,0.00719,167,556,210,0,0,0,0,0
91,PERFORM2019:AC:26:557:1,26,557,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,88,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:26:557:1,1,0,1e-05,0.00019,0.00501,1216,2454,1804,0,0,0,0,0
92,PERFORM2019:AC:26:557:2,26,557,2,ac_branch_unresolved_line_cable_or_equivalent,1,1,89,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:26:557:2,1,0,1e-05,0.00018,0.00468,1216,2454,1804,0,0,0,0,0
93,PERFORM2019:XFMR:26:1468:1,26,1468,1,two_winding_transformer,1,1,2231,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:XFMR:26:1468:1,1,0,0.00124,0.0559,0,1347,1347,1347,1,0,0,0,0
94,PERFORM2019:AC:27:1068:1,1068,27,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,90,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:27:1068:1,1,0,7e-05,0.0003,5e-05,167,556,210,0,0,0,0,0
95,PERFORM2019:AC:27:1070:1,1070,27,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,91,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:27:1070:1,1,0,0.00033,0.00136,0.00022,167,556,210,0,0,0,0,0
96,PERFORM2019:AC:28:1286:1,1286,28,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,92,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:28:1286:1,1,0,0.0005,0.00207,0.00035,116,556,145,0,0,0,0,0
97,PERFORM2019:AC:28:1287:1,1287,28,1,ac_branch_unresolved_line_cable_or_equivalent,1,1,93,unique_RAW_endpoint_and_electrical_parameter_match,1,PERFORM2019:AC:28:1287:1,1,0,0.0005,0.00205,0.00034,116,556,145,0,0,0,0,0
