source_gen_row,source_bus,source_generator_id,device_key,source_device_role,source_zone,canonical_status,raw_status,raw_gen_row,raw_ireg,regulated_bus,source_pg_mw,source_qg_mvar,source_pmin_mw,source_pmax_mw,source_qmin_mvar,source_qmax_mvar,source_voltage_target_pu,source_gen_type,source_gen_fuel,source_eia_plant_code,source_eia_unit_key,native_generation_member,q_bounds_are_placeholder,raw_canonical_status_mismatch,recommended_treatment,role_evidence,canonical_regulated_bus,raw_remote_control_omitted
11,17,5,PERFORM2019:GEN:17:5,native_generation,K,1,1,15,0,17,11.4,-9.9,11.4,18.000001,-9.9,11.7,1.01,"GT (Gas Turbine)",ng,2511,2511-8,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
12,17,6,PERFORM2019:GEN:17:6,native_generation,K,1,1,16,0,17,10.7,-9.9,10.7,18.000001,-9.9,11.7,1.01,"GT (Gas Turbine)",ng,2511,2511-GT1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
13,17,7,PERFORM2019:GEN:17:7,native_generation,K,1,1,17,0,17,9,-9.9,9,18.000001,-9.9,11.7,1.01,"GT (Gas Turbine)",ng,2511,2511-GT2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
14,17,8,PERFORM2019:GEN:17:8,native_generation,K,1,1,18,0,17,29.800001,-23,29.800001,41.800001,-23,27.200001,1.01,"GT (Gas Turbine)",ng,2511,2511-9,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
15,17,9,PERFORM2019:GEN:17:9,native_generation,K,0,0,19,0,17,0,0,30.000001,41.800001,-23,27.200001,1.01,"GT (Gas Turbine)",ng,2511,2511-10,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
16,17,10,PERFORM2019:GEN:17:10,native_generation,K,0,0,8,0,17,0,0,30.000001,41.800001,-23,27.200001,1.01,"GT (Gas Turbine)",ng,2511,2511-11,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
17,17,11,PERFORM2019:GEN:17:11,native_generation,K,1,1,9,0,17,30.000001,-23,30.000001,41.800001,-23,27.200001,1.01,"GT (Gas Turbine)",ng,2511,2511-12,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
18,17,12,PERFORM2019:GEN:17:12,native_generation,K,1,1,10,0,17,183.000004,-30.697578,15.000001,188,-103.400004,122.2,1.01,"ST (Steam Turbine)",ng,2511,2511-ST1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
19,17,13,PERFORM2019:GEN:17:13,native_generation,K,1,1,11,0,17,183.000004,-30.697578,15.000001,188,-103.400004,122.2,1.01,"ST (Steam Turbine)",ng,2511,2511-ST2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,17,0
20,18,1,PERFORM2019:GEN:18:1,native_generation,K,1,1,20,0,18,15.898612,-8.8,10,16,-8.8,10.4,1.01,"GT (Gas Turbine)",dfo,7869,7869-GT1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,18,0
21,18,2,PERFORM2019:GEN:18:2,native_generation,K,1,1,21,0,18,52.664155,-18.347043,37,52.999997,-29.2,34.5,1.01,"GT (Gas Turbine)",ng,7869,7869-GT4,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,18,0
22,18,3,PERFORM2019:GEN:18:3,native_generation,K,1,1,22,0,18,52.664155,-18.347043,37,52.999997,-29.2,34.5,1.01,"GT (Gas Turbine)",ng,7869,7869-GT5,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,18,0
23,18,4,PERFORM2019:GEN:18:4,native_generation,K,1,1,23,0,18,54.651493,-18.347043,40.000001,55.000001,-30.3,35.800001,1.01,"GT (Gas Turbine)",dfo,2514,2514-GT2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,18,0
24,18,5,PERFORM2019:GEN:18:5,native_generation,K,0,0,24,0,18,0,0,44.100001,55.000001,-30.3,35.800001,1.01,"GT (Gas Turbine)",ng,2514,2514-GT3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,18,0
25,19,1,PERFORM2019:GEN:19:1,native_generation,K,1,1,25,0,19,15.898612,-8.8,10.6,16,-8.8,10.4,1.02,"GT (Gas Turbine)",dfo,2516,2516-GT1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,19,0
26,19,2,PERFORM2019:GEN:19:2,native_generation,K,0,0,26,0,19,0,0,40.000001,386.999989,-212.899995,251.600003,1.02,"ST (Steam Turbine)",ng,2516,2516-2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,19,0
27,19,3,PERFORM2019:GEN:19:3,native_generation,K,1,1,27,0,19,384.54771,-12.677054,30.000001,386.999989,-212.899995,251.600003,1.02,"ST (Steam Turbine)",ng,2516,2516-3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,19,0
28,19,4,PERFORM2019:GEN:19:4,native_generation,K,1,1,28,0,19,386.999989,-12.677054,40.000001,386.999989,-212.899995,251.600003,1.02,"ST (Steam Turbine)",ng,2516,2516-4,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,19,0
29,19,5,PERFORM2019:GEN:19:5,native_generation,K,1,1,29,0,19,386.999989,-12.677054,40.000001,386.999989,-212.899995,251.600003,1.02,"ST (Steam Turbine)",ng,2516,2516-ST1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,19,0
30,19,X,PERFORM2019:GEN:19:X,external_boundary_proxy,K,1,1,30,0,19,129.999995,-12.677054,129.999995,129.999995,-9900,9900,1.02,"proxy",import,,,0,1,0,remove_generator_and_apply_separate_scheduled_P_fixed_Q,canonical_fuel_type_and_RAW_bus_unit_ID,19,0
31,21,1,PERFORM2019:GEN:21:1,native_generation,E,1,1,31,0,21,10.782421,7.2,0.2,11,-6.1,7.2,1.02,"HY (Hydro)",hydro,2551,2551-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,21,0
32,21,2,PERFORM2019:GEN:21:2,native_generation,E,1,1,32,0,21,11.762641,7.8,0.2,12,-6.6,7.8,1.02,"HY (Hydro)",hydro,2551,2551-2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,21,0
33,21,3,PERFORM2019:GEN:21:3,native_generation,E,1,1,33,0,21,12.742861,8.5,0.2,13,-7.2,8.5,1.02,"HY (Hydro)",hydro,2551,2551-3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,21,0
34,24,1,PERFORM2019:GEN:24:1,native_generation,C,1,1,34,0,24,8.821981,4.911201,3,9,-5,5.9,1.02,"HY (Hydro)",hydro,2545,2545-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,24,0
35,24,2,PERFORM2019:GEN:24:2,native_generation,C,1,1,35,0,24,8.821981,4.911201,3,9,-5,5.9,1.02,"HY (Hydro)",hydro,2545,2545-2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,24,0
36,24,3,PERFORM2019:GEN:24:3,native_generation,C,1,1,36,0,24,8.821981,4.911201,3,9,-5,5.9,1.02,"HY (Hydro)",hydro,2545,2545-3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,24,0
37,24,4,PERFORM2019:GEN:24:4,native_generation,C,1,1,37,0,24,8.821981,4.911201,3,9,-5,5.9,1.02,"HY (Hydro)",hydro,2545,2545-4,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,24,0
38,26,C1,PERFORM2019:GEN:26:C1,native_generation,J,1,1,38,0,26,594.999981,37.359586,320.000005,594.999981,-416.499996,446.25001,1.02,"CC (Combined Cycle Generic)",ng,55375,55375_CC1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,26,0
39,26,C2,PERFORM2019:GEN:26:C2,native_generation,J,1,1,39,0,26,650,37.359586,320.000005,650,-455.000019,487.5,1.02,"CC (Combined Cycle Generic)",ng,57664,57664_CC1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,26,0
40,27,C1,PERFORM2019:GEN:27:C1,native_generation,C,1,1,40,0,27,121.823132,44.847983,41.999999,122.599995,-85.820001,91.949999,1.02,"CC (Combined Cycle Generic)",ng,50978,50978_CC1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,27,0
41,28,C1,PERFORM2019:GEN:28:C1,native_generation,E,0,0,41,0,28,0,0,34.999999,62.900001,-44.029999,47.174999,1.02,"CC (Combined Cycle Generic)",ng,10620,10620_CC1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,28,0
42,29,1,PERFORM2019:GEN:29:1,native_generation,C,1,1,42,0,29,111.2903,-7.886115,31.999999,112,-61.6,72.799999,1.02,"ST (Steam Turbine)",ng,2527,2527-4,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,29,0
43,30,1,PERFORM2019:GEN:30:1,native_generation,C,1,1,43,0,30,4.07402,-1.636664,0,4.1,-2.3,2.7,1.02,"WT (Wind Turbine)",wind,57867,57867-2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,30,0
44,30,2,PERFORM2019:GEN:30:2,native_generation,C,1,1,44,0,30,55.048954,-1.636664,0,55.400002,-30.500001,36.000001,1.02,"WT (Wind Turbine)",wind,57867,57867-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,30,0
45,31,1,PERFORM2019:GEN:31:1,native_generation,F,1,1,45,0,31,0.98022,-0.6,0.2,1,-0.6,0.7,1.02,"HY (Hydro)",hydro,54580,54580-C4,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,31,0
46,31,2,PERFORM2019:GEN:31:2,native_generation,F,1,1,46,0,31,0.98022,-0.6,0.2,1,-0.6,0.7,1.02,"HY (Hydro)",hydro,54580,54580-C5,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,31,0
47,31,3,PERFORM2019:GEN:31:3,native_generation,F,1,1,47,0,31,2.548572,-1.4,0.9,2.6,-1.4,1.7,1.02,"HY (Hydro)",hydro,54580,54580-C1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,31,0
48,31,4,PERFORM2019:GEN:31:4,native_generation,F,1,1,48,0,31,2.548572,-1.4,0.9,2.6,-1.4,1.7,1.02,"HY (Hydro)",hydro,54580,54580-C2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,31,0
49,31,5,PERFORM2019:GEN:31:5,native_generation,F,1,1,49,0,31,2.548572,-1.4,2.3,2.6,-1.4,1.7,1.02,"HY (Hydro)",hydro,54580,54580-C3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,31,0
50,31,6,PERFORM2019:GEN:31:6,native_generation,F,1,1,50,0,31,24.113415,-3.042392,6,24.600001,-13.500001,16,1.02,"HY (Hydro)",hydro,54580,54580-P1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,31,0
51,31,7,PERFORM2019:GEN:31:7,native_generation,F,1,1,51,0,31,24.113415,-3.042392,6,24.600001,-13.500001,16,1.02,"HY (Hydro)",hydro,54580,54580-P2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,31,0
52,32,C1,PERFORM2019:GEN:32:C1,native_generation,F,1,1,52,0,32,147.000003,-32.940623,113,147.000003,-102.900004,110.249996,1.02,"CC (Combined Cycle Generic)",ng,50458,50458_G723,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,32,0
53,33,C1,PERFORM2019:GEN:33:C1,native_generation,A,1,1,53,0,33,56.241345,-9.887437,44,56.599998,-39.62,42.449999,1.02,"CC (Combined Cycle Generic)",ng,50449,50449_G722,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,33,0
54,34,C1,PERFORM2019:GEN:34:C1,native_generation,C,1,1,54,0,34,57.036275,14.665274,44.499999,57.4,-40.180001,43.05,1.02,"CC (Combined Cycle Generic)",ng,50450,50450_CC1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,34,0
55,35,1,PERFORM2019:GEN:35:1,native_generation,D,1,1,55,0,35,3.136704,2.1,0,3.2,-1.8,2.1,1.02,"HY (Hydro)",hydro,2532,2532-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,35,0
56,35,2,PERFORM2019:GEN:35:2,native_generation,D,1,1,56,0,35,3.136704,2.1,0,3.2,-1.8,2.1,1.02,"HY (Hydro)",hydro,2532,2532-2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,35,0
57,35,3,PERFORM2019:GEN:35:3,native_generation,D,1,1,57,0,35,3.92088,2.6,0,4,-2.2,2.6,1.02,"HY (Hydro)",hydro,2530,2530-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,35,0
58,35,4,PERFORM2019:GEN:35:4,native_generation,D,1,1,58,0,35,3.92088,2.6,0,4,-2.2,2.6,1.02,"HY (Hydro)",hydro,2530,2530-2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,35,0
59,35,5,PERFORM2019:GEN:35:5,native_generation,D,1,1,59,0,35,5.88132,3.9,0,6,-3.3,3.9,1.02,"HY (Hydro)",hydro,2532,2532-3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,35,0
60,35,6,PERFORM2019:GEN:35:6,native_generation,D,1,1,60,0,35,6.861541,4.6,0,7,-3.9,4.6,1.02,"HY (Hydro)",hydro,2530,2530-3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,35,0
61,37,C1,PERFORM2019:GEN:37:C1,native_generation,A,1,1,61,0,37,190.435088,23.531631,103.999996,221.300006,-154.910004,165.974998,1.02,"CC (Combined Cycle Generic)",ng,54041,54041_LEA1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,37,0
62,38,1,PERFORM2019:GEN:38:1,native_generation,A,1,1,62,0,38,99.863166,-12.516913,0,100.5,-55.299997,70.4,1.02,"WT (Wind Turbine)",wind,56620,56620-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,38,0
63,39,1,PERFORM2019:GEN:39:1,native_generation,A,1,1,63,0,39,125.201583,-11.060338,0,125.999999,-69.300002,88.200003,1.02,"WT (Wind Turbine)",wind,56902,56902-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,39,0
64,41,C1,PERFORM2019:GEN:41:C1,native_generation,A,1,1,64,0,41,65.28368,13.30934,40.599999,65.700001,-45.989999,49.274999,1.02,"CC (Combined Cycle Generic)",ng,54131,54131_CC1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,41,0
65,52,1,PERFORM2019:GEN:52:1,native_generation,C,1,1,65,0,52,16.097346,-0.083381,0,16.2,-8.9,11.3,1.02,"WT (Wind Turbine)",wind,58768,58768-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,52,0
66,53,1,PERFORM2019:GEN:53:1,native_generation,C,1,1,66,0,53,37.262374,-8.453422,0,37.5,-20.6,26.300001,1.02,"WT (Wind Turbine)",wind,56633,56633-1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,53,0
67,60,1,PERFORM2019:GEN:60:1,native_generation,E,1,1,67,0,60,0.784176,0.6,0.4,0.8,-0.4,0.6,1.02,"HY (Hydro)",hydro,2631,2631-RIO2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,60,0
68,60,2,PERFORM2019:GEN:60:2,native_generation,E,1,1,68,0,60,9.802201,3.362943,4,10,-5.5,7,1.02,"HY (Hydro)",hydro,2631,2631-RIO,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,60,0
69,63,C1,PERFORM2019:GEN:63:C1,native_generation,F,0,0,69,0,63,0,0,60.000002,88.199997,-61.739999,66.149998,1.02,"CC (Combined Cycle Generic)",ng,54034,54034_G701,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,63,0
70,63,C2,PERFORM2019:GEN:63:C2,native_generation,F,1,1,70,0,63,653.643417,11.450057,315.00001,653.700018,-457.590008,490.275002,1.02,"CC (Combined Cycle Generic)",ng,56259,56259_CC1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,63,0
71,69,1,PERFORM2019:GEN:69:1,native_generation,A,0,0,71,0,69,0,0,5,24.5,-13.500001,17.200001,1.02,"ST (Steam Turbine)",ng,2682,2682-5,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,69,0
72,69,2,PERFORM2019:GEN:69:2,native_generation,A,1,1,72,0,69,24.344754,-1.972762,5,24.5,-13.500001,17.200001,1.02,"ST (Steam Turbine)",ng,2682,2682-6,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,69,0
73,69,3,PERFORM2019:GEN:69:3,native_generation,A,1,1,73,0,69,47.000274,-1.972762,9,47.299999,-25.999999,33.1,1.02,"GT (Gas Turbine)",ng,2682,2682-7,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,69,0
74,69,X,PERFORM2019:GEN:69:X,external_boundary_proxy,A,0,1,74,0,69,8,-1.972762,8,10,-20,20,1.02,"proxy",import,,,0,0,1,remove_generator_and_apply_separate_scheduled_P_fixed_Q,canonical_fuel_type_and_RAW_bus_unit_ID,69,0
75,79,1,PERFORM2019:GEN:79:1,native_generation,J,0,0,75,0,79,0,0,0.3,1,-0.6,0.7,1.02,"IC (Internal Combustion)",dfo,61488,61488-HCC1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
76,79,2,PERFORM2019:GEN:79:2,native_generation,J,0,0,82,0,79,0,0,0.4,1.3,-0.7,0.9,1.02,"IC (Internal Combustion)",dfo,61488,61488-SKB1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
77,79,3,PERFORM2019:GEN:79:3,native_generation,J,0,0,83,0,79,0,0,0.4,1.4,-0.8,1,1.02,"IC (Internal Combustion)",dfo,61488,61488-SMB1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
78,79,4,PERFORM2019:GEN:79:4,native_generation,J,0,0,84,0,79,0,0,0.4,1.4,-0.8,1,1.02,"IC (Internal Combustion)",dfo,61488,61488-SMB2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
79,79,5,PERFORM2019:GEN:79:5,native_generation,J,0,0,85,0,79,0,0,0.1,2.5,-1.4,1.8,1.02,"IC (Internal Combustion)",dfo,61488,61488-ENB3,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
80,79,6,PERFORM2019:GEN:79:6,native_generation,J,0,0,86,0,79,0,0,0.8,2.7,-1.5,1.9,1.02,"IC (Internal Combustion)",dfo,61488,61488-ENB1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
81,79,7,PERFORM2019:GEN:79:7,native_generation,J,0,0,87,0,79,0,0,0.8,2.7,-1.5,1.9,1.02,"IC (Internal Combustion)",dfo,61488,61488-ENB2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
82,79,8,PERFORM2019:GEN:79:8,native_generation,J,0,0,88,0,79,0,0,0.1,3,-1.7,2.1,1.02,"IC (Internal Combustion)",dfo,61488,61488-SCI1,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
83,79,9,PERFORM2019:GEN:79:9,native_generation,J,0,0,89,0,79,0,0,0.1,3,-1.7,2.1,1.02,"IC (Internal Combustion)",dfo,61488,61488-SCI2,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
84,79,10,PERFORM2019:GEN:79:10,native_generation,J,1,1,76,0,79,7.452475,-4.1,4,7.5,-4.1,5.3,1.02,"GT (Gas Turbine)",dfo,61488,61488-GT,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
85,79,11,PERFORM2019:GEN:79:11,native_generation,J,1,1,77,0,79,46.702179,-8.824223,1,47,-25.9,32.9,1.02,"GT (Gas Turbine)",dfo,7915,7915-N01,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
86,79,12,PERFORM2019:GEN:79:12,native_generation,J,0,0,78,0,79,0,0,44.999999,156.200004,-85.900003,109.300005,1.02,"ST (Steam Turbine)",ng,2493,2493-6,1,0,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,canonical_fuel_type_and_RAW_bus_unit_ID,79,0
