control_key,device_key,source_bus,source_control_role,canonical_enabled,regulated_bus,setpoint_pu,qmin_mvar,qmax_mvar,bounds_are_placeholder,recommended_treatment,raw_regulated_bus,raw_remote_control_omitted
PERFORM2019:GEN:547:7:CONTROL,PERFORM2019:GEN:547:7,547,offline_generator_control,0,547,1.02,-0.8,1.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,547,0
PERFORM2019:GEN:547:8:CONTROL,PERFORM2019:GEN:547:8,547,offline_generator_control,0,547,1.02,-0.8,1.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,547,0
PERFORM2019:GEN:547:9:CONTROL,PERFORM2019:GEN:547:9,547,offline_generator_control,0,547,1.02,-0.8,1.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,547,0
PERFORM2019:GEN:547:10:CONTROL,PERFORM2019:GEN:547:10,547,offline_generator_control,0,547,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,547,0
PERFORM2019:GEN:547:11:CONTROL,PERFORM2019:GEN:547:11,547,offline_generator_control,0,547,1.02,-1.1,1.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,547,0
PERFORM2019:GEN:547:12:CONTROL,PERFORM2019:GEN:547:12,547,offline_generator_control,0,547,1.02,-1.4,1.8,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,547,0
PERFORM2019:GEN:552:1:CONTROL,PERFORM2019:GEN:552:1,552,PV_voltage_control,1,552,1.01,-8.8,11.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,552,0
PERFORM2019:GEN:552:2:CONTROL,PERFORM2019:GEN:552:2,552,offline_generator_control,0,552,1.01,-29.2,37.099999,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,552,0
PERFORM2019:GEN:552:3:CONTROL,PERFORM2019:GEN:552:3,552,offline_generator_control,0,552,1.01,-29.2,37.099999,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,552,0
PERFORM2019:GEN:552:4:CONTROL,PERFORM2019:GEN:552:4,552,PV_voltage_control,1,552,1.01,-103.400004,131.599998,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,552,0
PERFORM2019:GEN:552:5:CONTROL,PERFORM2019:GEN:552:5,552,PV_voltage_control,1,552,1.01,-103.400004,131.599998,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,552,0
PERFORM2019:GEN:554:C1:CONTROL,PERFORM2019:GEN:554:C1,554,PV_voltage_control,1,554,1.01,-244.230008,261.675,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,554,0
PERFORM2019:GEN:556:C1:CONTROL,PERFORM2019:GEN:556:C1,556,PV_voltage_control,1,556,1.02,-369.60001,396.000004,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,556,0
PERFORM2019:GEN:557:1:CONTROL,PERFORM2019:GEN:557:1,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:2:CONTROL,PERFORM2019:GEN:557:2,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:3:CONTROL,PERFORM2019:GEN:557:3,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:4:CONTROL,PERFORM2019:GEN:557:4,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:5:CONTROL,PERFORM2019:GEN:557:5,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:6:CONTROL,PERFORM2019:GEN:557:6,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:7:CONTROL,PERFORM2019:GEN:557:7,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:8:CONTROL,PERFORM2019:GEN:557:8,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:9:CONTROL,PERFORM2019:GEN:557:9,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:10:CONTROL,PERFORM2019:GEN:557:10,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:11:CONTROL,PERFORM2019:GEN:557:11,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:557:12:CONTROL,PERFORM2019:GEN:557:12,557,PV_voltage_control,1,557,1.02,-23,29.300001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,557,0
PERFORM2019:GEN:562:1:CONTROL,PERFORM2019:GEN:562:1,562,PV_voltage_control,1,562,1.02,-118.299997,150.5,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,562,0
PERFORM2019:GEN:563:C1:CONTROL,PERFORM2019:GEN:563:C1,563,PV_voltage_control,1,563,1.02,-50.400001,54.000002,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,563,0
PERFORM2019:GEN:564:1:CONTROL,PERFORM2019:GEN:564:1,564,PV_voltage_control,1,564,1.01,-10.2,13,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,564,0
PERFORM2019:GEN:564:2:CONTROL,PERFORM2019:GEN:564:2,564,PV_voltage_control,1,564,1.01,-29.100001,37,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,564,0
PERFORM2019:GEN:565:1:CONTROL,PERFORM2019:GEN:565:1,565,PV_voltage_control,1,565,1.02,-32.800001,41.800001,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,565,0
