experiment,criterion,rank,timestamp,interface,observed_actual_mw,predicted_actual_scale_mw,observed_benchmark_mw,predicted_benchmark_mw,signed_error_benchmark_mw,absolute_error_actual_scale_mw,absolute_error_pct,paper_rating_error_pct,wrong_direction
compact51__paper_roles,pooled,1,2019-03-21 14:00:00,UpNY-Coned,3888.51166667,3870.70579889,1394.66224779,1388.27595563,-6.38629216063,17.8058677739,0.457909588558,0.370955578622,False
compact51__paper_roles,pooled,1,2019-03-21 14:00:00,Dun/SPR-South,2718.3125,2743.860192,974.956010532,984.119002597,9.1629920647,25.5476919962,0.939836460898,-0.555384608612,False
compact51__paper_roles,pooled,2,2019-07-25 03:00:00,Dysinger East,851.918333333,817.376210825,305.550925277,293.161970748,-12.3889545282,34.5421225081,4.05462837887,1.09657531772,False
compact51__paper_roles,pooled,2,2019-07-25 03:00:00,West Central,522.949166667,529.911680301,187.562111878,190.059302512,2.49719063436,6.9625136344,1.33139396297,-0.069632099554,False
compact51__paper_roles,pooled,2,2019-07-25 03:00:00,Total East,3964.29833333,4079.86906961,1421.84406231,1463.29491977,41.4508574614,115.570736275,2.91528857209,-1.69956965111,False
compact51__paper_roles,pooled,2,2019-07-25 03:00:00,Moses South,1988.025,2002.22424731,713.029470614,718.122204253,5.0927336387,14.1992473093,0.714238870704,-0.450769755851,False
compact51__paper_roles,pooled,2,2019-07-25 03:00:00,Central East,2289.725,3165.89137223,821.237864012,1135.48564488,314.24778087,876.166372234,38.2651354304,-35.4006615044,False
compact51__paper_roles,pooled,2,2019-07-25 03:00:00,UpNY-Coned,2723.29083333,2668.61114922,976.741550644,957.130013456,-19.6115371887,54.6796841175,2.00785327253,0.959292703815,False
compact51__paper_roles,pooled,2,2019-07-25 03:00:00,Dun/SPR-South,3431.205,3516.9142668,1230.64362104,1261.38429741,30.7406763669,85.7092668017,2.49793488881,-1.97032797245,False
compact51__paper_roles,pooled,3,2019-05-21 16:00:00,Dysinger East,1239.71666667,1224.96913602,444.639538509,439.350156348,-5.28938216139,14.7475306488,1.18958880246,0.491584354961,False
compact51__paper_roles,pooled,3,2019-05-21 16:00:00,West Central,833.821666667,842.116529771,299.060334538,302.035388598,2.97505406029,8.29486310449,0.994800619375,-0.0829569267375,False
compact51__paper_roles,pooled,3,2019-05-21 16:00:00,Total East,4210.72833333,4369.51153877,1510.22919451,1567.17873233,56.9495378164,158.78320544,3.77092020359,-2.33504713882,False
compact51__paper_roles,pooled,3,2019-05-21 16:00:00,Moses South,1532.2825,1511.67462805,549.571851363,542.180586149,-7.39126521386,20.6078719497,1.3449133531,0.723083226305,False
compact51__paper_roles,pooled,3,2019-05-21 16:00:00,Central East,2631.48083333,3388.33798655,943.812771732,1215.2688426,271.45607087,756.85715322,28.7616441523,-27.559659653,False
compact51__paper_roles,pooled,3,2019-05-21 16:00:00,UpNY-Coned,2831.8775,2782.60919064,1015.68748616,998.016804683,-17.6706814751,49.2683093578,1.73977544431,0.864356304523,False
compact51__paper_roles,pooled,3,2019-05-21 16:00:00,Dun/SPR-South,3114.455,3344.97799689,1117.03736115,1199.71725222,82.6798910672,230.522996893,7.40171223835,-5.01136949767,False
compact51__paper_roles,minimax,1,2019-05-21 20:00:00,Dysinger East,1464.67083333,1435.21027367,525.322100535,514.755710643,-10.5663898913,29.4605596674,2.0114116426,0.982018655581,False
compact51__paper_roles,minimax,1,2019-05-21 20:00:00,West Central,1019.59083333,1012.75844172,365.688717262,363.238196479,-2.45052078248,6.83239161824,0.670111126431,0.0683307492573,False
compact51__paper_roles,minimax,1,2019-05-21 20:00:00,Total East,3603.69166667,3656.07361595,1292.50807276,1311.29549926,18.7874265011,52.3819492871,1.45356357126,-0.770322783633,False
compact51__paper_roles,minimax,1,2019-05-21 20:00:00,Moses South,1331.87583333,1403.92344734,477.693550315,503.534307888,25.8407575727,72.0476140058,5.40948429295,-2.52798645634,False
compact51__paper_roles,minimax,1,2019-05-21 20:00:00,Central East,2338.22166667,2856.91463006,838.631786402,1024.66735894,186.03557254,518.692963392,22.1832245756,-19.5733193733,False
compact51__paper_roles,minimax,1,2019-05-21 20:00:00,UpNY-Coned,2087.0875,1751.55331212,748.559447316,628.2160088,-120.343438516,335.534187879,16.0766708573,5.88656469963,False
compact51__paper_roles,minimax,1,2019-05-21 20:00:00,Dun/SPR-South,2412.77166667,2168.20118216,865.370055304,777.651861069,-87.7181942354,244.570484505,10.1364952135,5.31674966316,False
compact51__paper_roles,minimax,2,2019-05-21 14:00:00,Dysinger East,982.576666667,916.186257075,352.413133875,328.601401826,-23.8117320482,66.3904095918,6.75676635158,2.21301365306,False
compact51__paper_roles,minimax,2,2019-05-21 14:00:00,West Central,579.293333333,536.204360918,207.770636082,192.316249346,-15.454386736,43.0889724158,7.4381958045,0.430932817439,False
compact51__paper_roles,minimax,2,2019-05-21 14:00:00,Total East,3616.65583333,3967.23622374,1297.15782962,1422.89777262,125.739942997,350.580390402,9.69349605155,-5.15559397651,False
compact51__paper_roles,minimax,2,2019-05-21 14:00:00,Moses South,1452.22833333,1445.25464811,520.859445795,518.358248335,-2.50119746043,6.97368522087,0.480205836837,0.244690709504,False
compact51__paper_roles,minimax,2,2019-05-21 14:00:00,Central East,2471.88416667,3094.21014244,886.571476102,1109.77629549,223.204819384,622.325975775,25.1761787291,-22.9217670635,False
compact51__paper_roles,minimax,2,2019-05-21 14:00:00,UpNY-Coned,2440.14833333,2254.9582643,875.189031494,808.768349217,-66.420682277,185.19006903,7.58929555636,3.24894857948,False
compact51__paper_roles,minimax,2,2019-05-21 14:00:00,Dun/SPR-South,2875.24083333,2851.57534217,1031.24027579,1022.75235807,-8.48791772547,23.6654911635,0.823078570991,0.514467199208,False
compact51__paper_roles,minimax,3,2019-03-02 08:00:00,Dysinger East,1193.97166667,1017.67296203,428.232535009,365.000849274,-63.2316857356,176.298704633,14.765736035,5.59678427407,False
compact51__paper_roles,minimax,3,2019-03-02 08:00:00,West Central,681.845,538.974476115,244.552045065,193.309785027,-51.242260038,142.870523885,20.9535193314,1.42884812366,False
compact51__paper_roles,minimax,3,2019-03-02 08:00:00,Total East,3772.04666667,3626.86275339,1352.89065171,1300.81866628,-52.0719854258,145.183913278,3.84894265919,2.1350575482,False
compact51__paper_roles,minimax,3,2019-03-02 08:00:00,Moses South,1789.33833333,1856.57170439,641.768068594,665.882139076,24.1140704826,67.2333710552,3.75744317342,-2.13439273191,False
compact51__paper_roles,minimax,3,2019-03-02 08:00:00,Central East,2322.41166667,2907.55927276,832.961336619,1042.8316792,209.870342577,585.14760609,25.1956883652,-22.2701277294,False
