timestamp,experiment,bus_id,delta_injection_benchmark_mw,delta_injection_actual_scale_mw
2019-07-17 16:00:00,thermal_residual_statewide_normalization,50,57.5100382919,160.345958459
2019-07-17 16:00:00,thermal_residual_statewide_normalization,56,3.6970738902,10.3079544724
2019-07-17 16:00:00,thermal_residual_statewide_normalization,57,2.9439662459,8.20818596875
2019-07-17 16:00:00,thermal_residual_statewide_normalization,60,3.79977038715,10.5942865411
2019-07-17 16:00:00,thermal_residual_statewide_normalization,61,2.22509076725,6.20386148801
2019-07-17 16:00:00,thermal_residual_statewide_normalization,62,0.4107859878,1.14532827471
2019-07-17 16:00:00,thermal_residual_statewide_normalization,65,7.42837994604,20.7113529677
2019-07-17 16:00:00,thermal_residual_statewide_normalization,77,48.6096752229,135.530512507
2019-07-17 16:00:00,thermal_residual_statewide_normalization,79,30.124305772,83.9907401453
2019-07-17 16:00:00,thermal_residual_statewide_normalization,80,59.461271734,165.786267764
2019-07-17 16:00:00,thermal_residual_statewide_normalization,82,-297.85407332,-830.458443187
2019-07-17 16:00:00,current_boundary_only,37,45.2617868047,126.196135533
2019-07-17 16:00:00,current_boundary_only,48,-79.2465803465,-220.950450698
2019-07-17 16:00:00,current_boundary_only,54,79.2465803465,220.950450698
2019-07-17 16:00:00,current_boundary_only,66,-570.702163373,-1591.19673884
2019-07-17 16:00:00,current_boundary_only,67,224.698536777,626.490666917
2019-07-17 16:00:00,current_boundary_only,73,-45.2617868047,-126.196135533
2019-07-17 16:00:00,current_boundary_only,75,257.083041581,716.783155259
2019-07-17 16:00:00,current_boundary_only,79,-236.717068752,-660
2019-07-17 16:00:00,current_boundary_only,80,236.717068752,660
2019-07-17 16:00:00,current_boundary_only,81,88.9205850147,247.922916667
2019-07-17 16:00:00,current_within_zone_gross_load_placement,41,1.01354316939e-07,2.82589884763e-07
2019-07-17 16:00:00,current_within_zone_gross_load_placement,42,-1.01354373783e-07,-2.8259004325e-07
2019-07-17 16:00:00,current_within_zone_gross_load_placement,45,-266.582743372,-743.269640644
2019-07-17 16:00:00,current_within_zone_gross_load_placement,46,4.91965624918,13.7166835564
2019-07-17 16:00:00,current_within_zone_gross_load_placement,47,112.93819565,314.887344296
2019-07-17 16:00:00,current_within_zone_gross_load_placement,49,148.724891473,414.665612792
2019-07-17 16:00:00,current_within_zone_gross_load_placement,52,117.646261506,328.014084507
2019-07-17 16:00:00,current_within_zone_gross_load_placement,53,-117.646261506,-328.014084507
2019-07-17 16:00:00,current_within_zone_gross_load_placement,54,0.58250643992,1.62410869809
2019-07-17 16:00:00,current_within_zone_gross_load_placement,55,27.3486773542,76.2519033755
2019-07-17 16:00:00,current_within_zone_gross_load_placement,56,-3.34086483226,-9.31479424326
2019-07-17 16:00:00,current_within_zone_gross_load_placement,57,-4.66167186621,-12.9973873364
2019-07-17 16:00:00,current_within_zone_gross_load_placement,58,-1.63158516874,-4.54908561113
2019-07-17 16:00:00,current_within_zone_gross_load_placement,59,-13.6936610875,-38.1798252463
2019-07-17 16:00:00,current_within_zone_gross_load_placement,61,-4.60340083944,-12.8349196365
2019-07-17 16:00:00,current_within_zone_gross_load_placement,64,-1.35078551011e-07,-3.76617724009e-07
2019-07-17 16:00:00,current_within_zone_gross_load_placement,65,8.10471263435e-08,2.25970622519e-07
2019-07-17 16:00:00,current_within_zone_gross_load_placement,68,-1.35078551011e-07,-3.76617724009e-07
2019-07-17 16:00:00,current_within_zone_gross_load_placement,71,1.89109954363e-07,5.27264766067e-07
2019-07-17 16:00:00,current_within_zone_gross_load_placement,73,-209.946520249,-585.36
2019-07-17 16:00:00,current_within_zone_gross_load_placement,75,69.9821734164,195.12
2019-07-17 16:00:00,current_within_zone_gross_load_placement,76,-139.964346833,-390.24
2019-07-17 16:00:00,current_within_zone_gross_load_placement,77,279.928693666,780.48
2019-07-17 16:00:00,current_within_zone_gross_load_placement,79,-962.893559425,-2684.68071429
2019-07-17 16:00:00,current_within_zone_gross_load_placement,80,-775.540453689,-2162.31428571
2019-07-17 16:00:00,current_within_zone_gross_load_placement,81,1545.27467832,4308.44
2019-07-17 16:00:00,current_within_zone_gross_load_placement,82,193.15933479,538.555
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,37,14.04290098,39.1535544761
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,38,23.4048349667,65.2559241269
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,39,3.25944186142,9.08777571419
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,41,14.04290098,39.1535544761
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,42,-22.8657081582,-63.7527638543
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,43,40.5735175522,113.124590997
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,44,20.2867587761,56.5622954983
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,45,-7.72906753649,-21.5497116494
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,47,262.483697985,731.840933919
2019-07-17 16:00:00,current_hydro_spatial_rule_fixed_paper_total,48,-315.260088308,-878.988825692
