experiment,period,interface,hours,observations,wape_pct,mae_benchmark_mw,mae_actual_scale_mw,bias_benchmark_mw,wrong_direction_count
compact51__paper_roles,month_02,Total East,672,672,5.96085217333,89.4892651813,249.508475798,69.4244406138,0
compact51__paper_roles,month_02,Moses South,672,672,8.27471003668,53.4536901366,149.036297535,34.5434985415,0
compact51__paper_roles,month_02,Central East,672,672,47.2166181511,404.912720035,1128.95279006,404.912720035,0
compact51__paper_roles,month_02,UpNY-Coned,672,672,9.43707155846,70.3365733696,196.108116194,-41.4447008686,0
compact51__paper_roles,month_02,Dun/SPR-South,672,672,6.75993407626,60.7423019942,169.357957698,26.9324028181,0
compact51__paper_roles,month_02,ALL_SEVEN_POOLED,672,4704,15.5728139596,114.974343776,320.564407512,79.5485239927,57
compact51__paper_roles,month_03,Dysinger East,744,744,14.418759094,57.0520701379,159.069079765,-4.50148866666,1
compact51__paper_roles,month_03,West Central,744,744,25.0952592201,56.2784396232,156.912090654,4.06758892351,23
compact51__paper_roles,month_03,Total East,744,744,5.3186782396,85.8094426773,239.248620582,-33.1555487453,0
compact51__paper_roles,month_03,Moses South,744,744,5.9972427318,41.332182053,115.239852786,20.353467073,0
compact51__paper_roles,month_03,Central East,744,744,47.5670047312,398.06559165,1109.86204702,398.06559165,0
compact51__paper_roles,month_03,UpNY-Coned,744,744,7.79948291704,86.1460111371,240.187020101,-36.0529423809,0
compact51__paper_roles,month_03,Dun/SPR-South,744,744,12.9453770607,116.201451007,323.985752565,52.6518504895,0
compact51__paper_roles,month_03,ALL_SEVEN_POOLED,744,5208,14.5949613129,120.126455469,334.929209067,57.3469311918,24
compact51__paper_roles,month_04,Dysinger East,720,720,31.2244194334,103.632634756,288.942150642,100.263793212,30
compact51__paper_roles,month_04,West Central,720,720,53.1609230409,109.667765916,305.76893287,107.262901361,43
compact51__paper_roles,month_04,Total East,720,720,8.736466843,108.76387927,303.248771612,67.570130808,0
compact51__paper_roles,month_04,Moses South,720,720,12.2891646327,65.5009762385,182.625801111,38.8129239558,0
compact51__paper_roles,month_04,Central East,720,720,49.1554546438,344.775657981,961.282325214,344.775657981,0
compact51__paper_roles,month_04,UpNY-Coned,720,720,12.9084780253,105.629843183,294.510644579,-67.2189168513,0
compact51__paper_roles,month_04,Dun/SPR-South,720,720,13.0266731784,116.184069913,323.937291666,-48.0234555378,0
compact51__paper_roles,month_04,ALL_SEVEN_POOLED,720,5040,20.18213695,136.307832465,380.045131099,77.6347192755,73
compact51__paper_roles,month_05,Dysinger East,744,744,22.345086711,90.7022969401,252.890576485,85.0278602085,0
compact51__paper_roles,month_05,West Central,744,744,35.1677493552,97.240532518,271.120083568,92.8363106897,2
compact51__paper_roles,month_05,Total East,744,744,9.31597724193,120.445396242,335.818460152,118.485020664,0
compact51__paper_roles,month_05,Moses South,744,744,16.8694114148,75.4783698639,210.444157546,72.6743680783,0
compact51__paper_roles,month_05,Central East,744,744,48.061255835,367.543958378,1024.76350273,367.543958378,0
compact51__paper_roles,month_05,UpNY-Coned,744,744,11.3773715685,83.2265247639,232.04708741,-51.8934070715,0
compact51__paper_roles,month_05,Dun/SPR-South,744,744,10.6220486979,101.660132598,283.442541211,-34.1208063152,0
compact51__paper_roles,month_05,ALL_SEVEN_POOLED,744,5208,19.201937493,133.756744472,372.932344157,92.9361863759,2
compact51__paper_roles,month_06,Dysinger East,720,720,23.3144795227,83.2294035055,232.055113741,67.6621869528,0
compact51__paper_roles,month_06,West Central,720,720,51.8167008895,95.336089152,265.810231481,80.4230267803,24
compact51__paper_roles,month_06,Total East,720,720,7.30862923035,108.370864086,302.1529908,87.3237180513,0
compact51__paper_roles,month_06,Moses South,720,720,6.41688562205,42.7581581828,119.215671897,30.139868675,0
compact51__paper_roles,month_06,Central East,720,720,46.2304949694,387.63385831,1080.77692848,387.63385831,0
compact51__paper_roles,month_06,UpNY-Coned,720,720,10.2598813453,98.4399828215,274.464317275,-63.3622563918,0
compact51__paper_roles,month_06,Dun/SPR-South,720,720,11.0948340341,121.36224255,338.374754747,-59.2793503424,0
compact51__paper_roles,month_06,ALL_SEVEN_POOLED,720,5040,16.7887401493,133.875799801,373.264286917,75.7915788621,24
compact51__paper_roles,month_07,Dysinger East,744,744,20.8487199521,77.9447697729,217.32082237,-60.4353779874,1
compact51__paper_roles,month_07,West Central,744,744,52.7525494492,70.5889228198,196.811701441,-44.8097062326,116
compact51__paper_roles,month_07,Total East,744,744,6.56457743433,99.7929329482,278.236529766,72.9537796184,0
compact51__paper_roles,month_07,Moses South,744,744,5.2842394839,38.4656827045,107.247655266,27.6518018726,0
compact51__paper_roles,month_07,Central East,744,744,48.3834696176,392.246499067,1093.63761029,392.246499067,0
compact51__paper_roles,month_07,UpNY-Coned,744,744,9.50739251994,113.088196573,315.305567663,-57.1259420986,0
compact51__paper_roles,month_07,Dun/SPR-South,744,744,15.6952841503,194.339979916,541.846802263,-117.704953645,0
compact51__paper_roles,month_07,ALL_SEVEN_POOLED,744,5208,16.4571303017,140.923854829,392.915241294,30.3965857992,117
compact51__paper_roles,month_08,Dysinger East,744,744,27.352854676,73.1669000914,203.999459418,-50.3874119573,11
compact51__paper_roles,month_08,West Central,744,744,79.7950217175,67.0609746733,186.975292985,-34.194059985,200
compact51__paper_roles,month_08,Total East,744,744,7.78250498967,113.728831103,317.091745534,99.2543146831,0
compact51__paper_roles,month_08,Moses South,744,744,3.71276511084,27.5960178452,76.9415229491,11.6597719073,0
compact51__paper_roles,month_08,Central East,744,744,48.3407746846,391.205939255,1090.7363853,391.205939255,0
compact51__paper_roles,month_08,UpNY-Coned,744,744,9.51431108199,98.9749639055,275.955918693,-54.2747817113,0
compact51__paper_roles,month_08,Dun/SPR-South,744,744,13.7563831111,158.119326259,440.858599175,-83.5709147364,0
compact51__paper_roles,month_08,ALL_SEVEN_POOLED,744,5208,16.7386813934,132.836136162,370.365560578,39.9561224936,211
compact51__paper_roles,month_09,Dysinger East,720,720,21.4141309886,46.2082997926,128.835144943,19.131472747,2
compact51__paper_roles,month_09,West Central,720,720,57.9407708296,51.3840443023,143.265838067,32.7700261239,111
compact51__paper_roles,month_09,Total East,720,720,7.37310853965,101.579241887,283.217006694,96.2789330312,0
compact51__paper_roles,month_09,Moses South,720,720,4.41277339243,31.7580110505,88.5457369165,3.12199908715,0
compact51__paper_roles,month_09,Central East,720,720,48.9187879178,380.225956412,1060.12267115,380.225956412,0
compact51__paper_roles,month_09,UpNY-Coned,720,720,9.45512004361,87.5654777211,244.144689695,-47.237989193,0
compact51__paper_roles,month_09,Dun/SPR-South,720,720,10.3054654445,113.970207688,317.76473691,-21.1942202947,0
compact51__paper_roles,month_09,ALL_SEVEN_POOLED,720,5040,15.5952461839,116.098748408,323.699403482,66.1565968448,113
compact51__paper_roles,month_10,Dysinger East,744,744,36.0941695883,78.8570505322,219.864387582,-0.258135371044,9
compact51__paper_roles,month_10,West Central,744,744,92.0417557985,81.1639375545,226.296308367,12.1494717089,170
compact51__paper_roles,month_10,Total East,744,744,6.9224932524,84.5474142258,235.729910324,70.8462080718,0
compact51__paper_roles,month_10,Moses South,744,744,14.7436614173,65.6435581038,183.023339115,41.407183102,0
compact51__paper_roles,month_10,Central East,744,744,52.9868185133,356.7089381,994.553964306,356.7089381,0
compact51__paper_roles,month_10,UpNY-Coned,744,744,15.3557675796,113.456899938,316.333563752,-79.3344005577,0
compact51__paper_roles,month_10,Dun/SPR-South,744,744,12.1832676438,121.214303215,337.962279374,-49.3308369976,0
compact51__paper_roles,month_10,ALL_SEVEN_POOLED,744,5208,20.5832787007,128.798871667,359.109107546,50.3126325795,179
compact51__paper_roles,month_11,Dysinger East,720,720,28.7280114583,63.5546040655,177.199045698,54.3914737204,22
compact51__paper_roles,month_11,West Central,720,720,83.2280321018,73.4846633491,204.885427427,67.4847972284,169
compact51__paper_roles,month_11,Total East,720,720,10.4655563677,128.712704393,358.868861243,127.598853703,0
compact51__paper_roles,month_11,Moses South,720,720,8.24879305809,47.8932550563,133.533033777,28.9690001705,0
compact51__paper_roles,month_11,Central East,720,720,57.1813134177,397.297366568,1107.720129,397.297366568,0
compact51__paper_roles,month_11,UpNY-Coned,720,720,13.2044709888,91.7125051228,255.707176927,-74.4437002858,0
compact51__paper_roles,month_11,Dun/SPR-South,720,720,4.84775239783,42.2191023724,117.712709576,-4.94770407308,0
compact51__paper_roles,month_11,ALL_SEVEN_POOLED,720,5040,19.2882177922,120.696314418,336.518054807,85.192869576,191
compact51__paper_roles,month_12,Dysinger East,744,744,19.546787278,68.144068727,189.995109339,21.2705730904,0
compact51__paper_roles,month_12,West Central,744,744,45.1378711704,73.3340061899,204.465374384,34.6534179004,83
compact51__paper_roles,month_12,Total East,744,744,7.45800143669,106.711528103,297.526532073,84.2084463476,0
compact51__paper_roles,month_12,Moses South,744,744,13.0325510152,73.2888848776,204.33956991,57.9018132205,0
compact51__paper_roles,month_12,Central East,744,744,48.8196885017,395.732328888,1103.35658701,395.732328888,0
compact51__paper_roles,month_12,UpNY-Coned,744,744,10.6145616126,82.5373058457,230.125449531,-63.0887683563,0
compact51__paper_roles,month_12,Dun/SPR-South,744,744,7.28410063144,64.1480847695,178.853752165,12.7604662442,0
compact51__paper_roles,month_12,ALL_SEVEN_POOLED,744,5208,17.3713235841,123.413743914,344.094624916,77.6340396192,83
compact51__current_roles,annual,Dysinger East,8760,8760,22.6011912829,75.6474070558,210.915456668,21.0935767447,77
compact51__current_roles,annual,West Central,8760,8760,46.805804317,78.3545957731,218.463474066,30.3542888342,1006
compact51__current_roles,annual,Total East,8760,8760,7.23527544919,102.76641187,286.527001166,71.8744016045,0
compact51__current_roles,annual,Moses South,8760,8760,12.2755753648,74.7601003734,208.441522644,-52.0017115209,5
compact51__current_roles,annual,Central East,8760,8760,56.4661678823,445.426303664,1241.91027698,445.426303664,0
compact51__current_roles,annual,UpNY-Coned,8760,8760,12.6613027079,110.469522501,308.004341364,-12.7064088291,2
compact51__current_roles,annual,Dun/SPR-South,8760,8760,10.1793978483,100.466556753,280.114686308,0.0192077852729,0
compact51__current_roles,annual,ALL_SEVEN_POOLED,8760,61320,19.0720960956,141.127271142,393.48239417,72.0085226119,1090
compact51__current_roles,month_01,Dysinger East,744,744,18.7229326003,97.1434051533,270.849279012,-25.1323036585,1
compact51__current_roles,month_01,West Central,744,744,32.2663342895,98.7707426058,275.386521401,-18.5733544378,8
compact51__current_roles,month_01,Total East,744,744,5.11501556871,85.1334940032,237.363981982,4.41175293034,0
compact51__current_roles,month_01,Moses South,744,744,11.270166122,62.2999653493,173.700939046,-37.9163275092,5
compact51__current_roles,month_01,Central East,744,744,51.4078418422,459.17610085,1280.24661745,459.17610085,0
compact51__current_roles,month_01,UpNY-Coned,744,744,17.1637356184,125.078577873,348.736412762,87.9579115252,0
compact51__current_roles,month_01,Dun/SPR-South,744,744,9.83717592709,84.2442468705,234.884637714,67.7535643356,0
compact51__current_roles,month_01,ALL_SEVEN_POOLED,744,5208,18.3290426919,144.549504672,403.024055623,76.811049148,14
compact51__current_roles,month_02,Dysinger East,672,672,17.3516297096,61.9392594576,172.695241022,29.3191524823,0
compact51__current_roles,month_02,West Central,672,672,40.1434507987,65.2030835742,181.795235071,36.1097555045,57
compact51__current_roles,month_02,Total East,672,672,5.96085217333,89.4892651813,249.508475798,69.4244406138,0
compact51__current_roles,month_02,Moses South,672,672,13.2751231072,85.7557925238,239.099036517,-77.3135061616,0
compact51__current_roles,month_02,Central East,672,672,50.8910962826,436.423721737,1216.80983068,436.423721737,0
compact51__current_roles,month_02,UpNY-Coned,672,672,8.16104879907,60.8260946283,169.591583177,-17.7642922087,0
compact51__current_roles,month_02,Dun/SPR-South,672,672,6.73577484255,60.5252159319,168.752691665,31.2317690919,0
compact51__current_roles,month_02,ALL_SEVEN_POOLED,672,4704,16.643650481,122.880347576,342.60744199,72.4901487227,57
compact51__current_roles,month_03,Dysinger East,744,744,14.6166567882,57.8351106935,161.252305374,-2.08836575747,1
compact51__current_roles,month_03,West Central,744,744,25.0952592201,56.2784396232,156.912090654,4.06758892351,23
compact51__current_roles,month_03,Total East,744,744,5.3186782396,85.8094426773,239.248620582,-33.1555487453,0
compact51__current_roles,month_03,Moses South,744,744,11.4940815447,79.2156482878,220.864207831,-72.3918956839,0
compact51__current_roles,month_03,Central East,744,744,55.0622885714,460.790049776,1284.74653077,460.790049776,0
compact51__current_roles,month_03,UpNY-Coned,744,744,9.83163656906,108.591336424,302.767698238,63.4121067712,0
compact51__current_roles,month_03,Dun/SPR-South,744,744,11.6061123839,104.179823673,290.46778919,28.4277715122,0
compact51__current_roles,month_03,ALL_SEVEN_POOLED,744,5208,16.5356907984,136.099978736,379.465606091,64.1516723994,24
compact51__current_roles,month_04,Dysinger East,720,720,31.8967624194,105.864115,295.163826878,102.677086046,30
compact51__current_roles,month_04,West Central,720,720,53.1609230409,109.667765916,305.76893287,107.262901361,43
compact51__current_roles,month_04,Total East,720,720,8.736466843,108.76387927,303.248771612,67.570130808,0
compact51__current_roles,month_04,Moses South,720,720,12.0481350816,64.2162940516,179.043929099,-21.2941980952,0
compact51__current_roles,month_04,Central East,720,720,56.8616662573,398.826916358,1111.98472584,398.826916358,0
compact51__current_roles,month_04,UpNY-Coned,720,720,14.0115088504,114.655924559,319.676610596,-46.8874520963,0
compact51__current_roles,month_04,Dun/SPR-South,720,720,11.8057680127,105.294894358,293.576760826,-18.1772074437,0
compact51__current_roles,month_04,ALL_SEVEN_POOLED,720,5040,21.3060395436,143.898541359,401.209079674,84.2825967054,73
compact51__current_roles,month_05,Dysinger East,744,744,22.6034256678,91.7509362709,255.814328295,86.4977482404,0
compact51__current_roles,month_05,West Central,744,744,35.1677493552,97.240532518,271.120083568,92.8363106897,2
compact51__current_roles,month_05,Total East,744,744,9.31597724193,120.445396242,335.818460152,118.485020664,0
