operator_variant,interface_name,compact_branch_row,branch_key,from_bus,to_bus,from_role,to_role,PF_coefficient,PT_coefficient,source_upstream_bus,uniform_upstream_AC_PF_coefficient,uniform_upstream_AC_PT_coefficient,exact_official_public_operator,metering_scope
frozen_current_partition_v1,West Central,24,NPCC_S7:BRANCH_ROW:56,51,53,C,B,-1,0,53,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,West Central,28,NPCC_S7:BRANCH_ROW:60,53,65,B,C,1,0,53,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,West Central,38,NPCC_S7:BRANCH_ROW:73,62,63,A,C,1,0,62,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Total East,4,NPCC_S7:BRANCH_ROW:36,37,43,F,E,-1,0,43,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Total East,5,NPCC_S7:BRANCH_ROW:37,38,69,F,C,-1,0,69,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Total East,8,NPCC_S7:BRANCH_ROW:40,40,44,F,E,-1,0,44,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Total East,10,NPCC_S7:BRANCH_ROW:42,41,45,F,E,-1,0,45,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Moses South,15,NPCC_S7:BRANCH_ROW:47,44,48,E,D,-1,0,48,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Moses South,16,NPCC_S7:BRANCH_ROW:48,45,46,E,D,-1,0,46,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Central East,4,NPCC_S7:BRANCH_ROW:36,37,43,F,E,-1,0,43,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Central East,8,NPCC_S7:BRANCH_ROW:40,40,44,F,E,-1,0,44,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,Central East,10,NPCC_S7:BRANCH_ROW:42,41,45,F,E,-1,0,45,0,1,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,UpNY-Coned,82,PERFORM2019:AC:651:858:1,73,858,G,G,1,0,73,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
frozen_current_partition_v1,UpNY-Coned,83,PERFORM2019:AC:651:858:2,73,858,G,G,1,0,73,1,0,False,signed_from_terminal_P_DC;frozen_AC_operator_uses_the_separate_upstream_columns
