bus_a,bus_b,source_active_count,compact_active_count,source_branch_rows,compact_keys,source_sum_reciprocal_tap_x_pu,compact_sum_reciprocal_tap_x_pu,same_pair_DC_susceptance,source_x_values,compact_x_values,source_any_phase_shift,compact_any_phase_shift,scope
70,71,1,1,64,NPCC_S7:BRANCH_ROW:86,20.4081632653061,20.4081632653061,True,0.049,0.049,False,False,parallel_pair_only_not_whole_network_transfer_identity
71,72,1,1,65,NPCC_S7:BRANCH_ROW:87,74.0740740740741,74.0740740740741,True,0.0135,0.0135,False,False,parallel_pair_only_not_whole_network_transfer_identity
73,74,1,0,66,,51.0204081632653,0,False,0.0196,,False,False,parallel_pair_only_not_whole_network_transfer_identity
73,858,0,2,,PERFORM2019:AC:651:858:1;PERFORM2019:AC:651:858:2,0,379.506641366224,False,,0.00527;0.00527,False,False,parallel_pair_only_not_whole_network_transfer_identity
73,9001,0,1,,NPCC_S7:BRANCH_ROW:246,0,40,False,,0.025,False,False,parallel_pair_only_not_whole_network_transfer_identity
73,9002,0,2,,PERFORM2019:AC:651:902:1;PERFORM2019:AC:651:902:2,0,161.681487469685,False,,0.01237;0.01237,False,False,parallel_pair_only_not_whole_network_transfer_identity
74,77,1,1,67,NPCC_S7:BRANCH_ROW:90,232.558139534884,232.558139534884,True,0.0043,0.0043,False,False,parallel_pair_only_not_whole_network_transfer_identity
74,78,1,3,68,NPCC_S7:BRANCH_ROW:91;NPCC_S7:BRANCH_ROW:92;NPCC_S7:BRANCH_ROW:237,222.222222222222,511.111111111111,False,0.0045,0.0045;0.0045;0.015,False,False,parallel_pair_only_not_whole_network_transfer_identity
74,9002,0,2,,PERFORM2019:AC:897:902:1;PERFORM2019:AC:897:902:2,0,355.239786856128,False,,0.00563;0.00563,False,False,parallel_pair_only_not_whole_network_transfer_identity
75,76,1,1,69,NPCC_S7:BRANCH_ROW:227,135.135135135135,135.135135135135,True,0.0074,0.0074,False,False,parallel_pair_only_not_whole_network_transfer_identity
76,77,1,1,71,PERFORM2019:AC:900:1519:1,147.058823529412,121.359223300971,False,0.0068,0.00824,False,False,parallel_pair_only_not_whole_network_transfer_identity
76,774,0,1,,PERFORM2019:AC:774:1519:1,0,362.31884057971,False,,0.00276,False,False,parallel_pair_only_not_whole_network_transfer_identity
77,78,0,1,,NPCC_S7:BRANCH_ROW:238,0,50,False,,0.02,False,False,parallel_pair_only_not_whole_network_transfer_identity
77,774,0,1,,PERFORM2019:AC:774:900:1,0,184.842883548983,False,,0.00541,False,False,parallel_pair_only_not_whole_network_transfer_identity
78,79,1,2,72,NPCC_S7:BRANCH_ROW:95;NPCC_S7:BRANCH_ROW:240,65.359477124183,165.359477124183,False,0.0153,0.0153;0.01,False,False,parallel_pair_only_not_whole_network_transfer_identity
78,80,1,1,73,NPCC_S7:BRANCH_ROW:96,17.1821305841924,17.1821305841924,True,0.0582,0.0582,False,False,parallel_pair_only_not_whole_network_transfer_identity
78,81,1,2,74,NPCC_S7:BRANCH_ROW:97;NPCC_S7:BRANCH_ROW:239,36.231884057971,119.565217391304,False,0.0276,0.0276;0.012,False,False,parallel_pair_only_not_whole_network_transfer_identity
78,82,1,2,75,NPCC_S7:BRANCH_ROW:98;NPCC_S7:BRANCH_ROW:241,32.4675324675325,132.467532467532,False,0.0308,0.0308;0.01,False,False,parallel_pair_only_not_whole_network_transfer_identity
78,9003,0,1,,NPCC_S7:BRANCH_ROW:242,0,50,False,,0.02,False,False,parallel_pair_only_not_whole_network_transfer_identity
80,81,0,1,,NPCC_S7:BRANCH_ROW:244,0,33.3333333333333,False,,0.03,False,False,parallel_pair_only_not_whole_network_transfer_identity
80,9003,0,1,,NPCC_S7:BRANCH_ROW:243,0,50,False,,0.02,False,False,parallel_pair_only_not_whole_network_transfer_identity
858,9002,0,2,,PERFORM2019:AC:858:902:1;PERFORM2019:AC:858:902:2,0,280.504908835905,False,,0.00713;0.00713,False,False,parallel_pair_only_not_whole_network_transfer_identity
