scenario_id,load_mode,zone_j_total_pmax_mw,device_name,bus_id,bus_name,proxy_interpretation,gen_index,pg_mw,qg_mvar,pmax_mw,fraction_pmax_used
S1_2025_SUMMER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,32,610.131126394036,0,900,0.677923473771151
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,30,209.993950894207,0,1200,0.174994959078505
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,31,217.146908352007,0,900,0.241274342613341
S2_2025_WINTER_PEAK_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,32,212.061687625587,0,900,0.235624097361763
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,30,408.773432528538,0,1200,0.340644527107115
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,31,419.096746628622,0,900,0.46566305180958
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,32,397.268716156553,0,900,0.441409684618392
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,30,659.659104777174,0,1200,0.549715920647645
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,31,662.698048412484,0,900,0.73633116490276
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,32,679.905863684582,0,900,0.755450959649535
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,30,685.391616891,0,1200,0.5711596807425
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,31,688.353176201563,0,900,0.764836862446181
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,32,700.19337917996,0,900,0.777992643533289
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,RAV_A3_J_EQ_SUPPLY,79,RAV A-3,Queens / Ravenswood / Astoria / East River aggregate,30,300.901507902836,0,1200,0.250751256585697
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,AK3_J_EQ_SUPPLY,82,AK-3,Staten Island / Arthur Kill aggregate,31,308.007866953056,0,900,0.342230963281174
S6_2025_LOW_TOTAL_EAST_PUBLIC,PUBLIC_PQ_PUBLIC_EXTERNAL,3000,GOETHALS_J_EQ_SUPPLY,81,GOETHALS,NYC import / Goethals / Gowanus-adjacent aggregate,32,313.792501506579,0,900,0.34865833500731
