case_id,case_group,zone_j_cost_c1,s4_e_cost_c1,s4_f_cost_c1,s4_g_cost_c1,s4_k_cost_c1,abc_cap_factor,x_spine_multiplier,scenario_count,success_count,sum_classic_interface_objective,sum_balanced_interface_objective,mean_balanced_interface_objective,max_abs_interface_residual_mw,mean_zone_j_equiv_pg_mw,max_zone_j_equiv_pg_mw,mean_s4_equiv_pg_mw,max_s4_equiv_pg_mw,mean_s4_g_equiv_pg_mw,mean_s4_k_equiv_pg_mw,mean_zone_j_device_pg_mw,mean_s4_device_pg_mw,max_branch_overload_count,max_voltage_bound_count,zone_j_zero_dispatch_penalty,selection_score
S4_COST_main_grid_J150_E180_F180_G180_K180_CAP1p1_X0p75,main_grid,150,180,180,180,180,1.1,0.75,6,6,373.063981750798,43.9548899107329,7.32581498512214,2493.11794782137,2192.22614305338,2432.31153101324,171.455057461224,321.358667367281,41.5874585861717,129.867598875052,730.742047684459,15.5868234055658,0,22,0,43.9548899107329
S4_COST_main_grid_J150_E180_F180_G180_K180_CAP1p1_X1,main_grid,150,180,180,180,180,1.1,1,6,6,373.054603194412,43.9374958432465,7.32291597387442,2493.11434114331,2187.15030332204,2421.4071159277,190.036299428345,347.109106132165,37.5052283972748,152.531071031071,729.050101107347,17.2760272207587,0,22,0,43.9374958432465
S4_COST_main_grid_J150_E220_F220_G220_K220_CAP0p8_X0p75,main_grid,150,220,220,220,220,0.8,0.75,6,6,95.6072622098908,12.3366355643655,2.05610592739424,2756.29223465592,2882.30866305479,3000,626.245162111204,958.181178817959,232.853456874421,366.215661650979,960.769554351597,56.9313783737458,0,16,0,12.3366355643655
S4_COST_main_grid_J150_E220_F220_G220_K220_CAP0p8_X1,main_grid,150,220,220,220,220,0.8,1,6,6,95.0227461791121,12.2801573822993,2.04669289704988,2770.47628073011,2883.1277348218,3000,628.384745181679,960.722727119604,220.324122745515,386.875997497505,961.042578273934,57.1258859256071,0,17,0,12.2801573822993
S4_COST_main_grid_J150_E220_F220_G220_K220_CAP0p9_X0p75,main_grid,150,220,220,220,220,0.9,0.75,6,6,157.080061815845,19.147914982595,3.19131916376583,2667.45116339515,2834.66820802151,3000,255.490496113477,515.597104989833,72.3743605859665,183.11613552751,944.889402673838,23.2264087375888,0,18,0,19.147914982595
S4_COST_main_grid_J150_E220_F220_G220_K220_CAP0p9_X1,main_grid,150,220,220,220,220,0.9,1,6,6,157.387208273193,19.2463983485252,3.20773305808753,2685.20354204013,2835.71480542698,3000,259.863376335901,521.130739584488,62.0622679587928,197.801108377108,945.23826847566,23.6239433032637,0,18,0,19.2463983485252
S4_COST_main_grid_J150_E220_F220_G220_K220_CAP1_X0p75,main_grid,150,220,220,220,220,1,0.75,6,6,251.469854033943,30.2633120625007,5.04388534375012,2261.22755018454,2683.5701959018,3000,19.1146951288722,114.688170773233,3.92260976317087,15.1920853657014,894.523398633933,1.7376995571702,0,19,0,30.2633120625007
S4_COST_main_grid_J150_E220_F220_G220_K220_CAP1_X1,main_grid,150,220,220,220,220,1,1,6,6,251.734967000232,30.3446485348991,5.05744142248318,2281.72810509664,2691.22406515448,3000,20.7606603440015,124.563962064009,1.55602827799803,19.2046320660034,897.074688384828,1.88733275854559,0,18,0,30.3446485348991
S4_COST_main_grid_J150_E220_F220_G220_K220_CAP1p1_X0p75,main_grid,150,220,220,220,220,1.1,0.75,6,6,373.703999233307,44.1726829584045,7.36211382640075,2493.11794782972,2365.83942092119,2757.96304147279,0,0,0,0,788.613140307064,0,0,22,0,44.1726829584045
S4_COST_main_grid_J150_E220_F220_G220_K220_CAP1p1_X1,main_grid,150,220,220,220,220,1.1,1,6,6,373.820156738792,44.1974167958774,7.36623613264623,2493.11434114072,2380.44767331919,2774.76242677095,0,0,0,0,793.482557773063,0,0,22,0,44.1974167958774
S4_COST_main_grid_J150_E260_F260_G260_K260_CAP0p8_X0p75,main_grid,150,260,260,260,260,0.8,0.75,6,6,93.6093444053828,12.0039727758304,2.00066212930507,2760.37041690135,2882.30866305452,3000,625.47268663861,956.539309613066,224.850583503063,384.375112061752,960.769554351505,56.8611533307827,0,16,0,12.0039727758304
S4_COST_main_grid_J150_E260_F260_G260_K260_CAP0p8_X1,main_grid,150,260,260,260,260,0.8,1,6,6,93.6608966382122,11.9945839988139,1.99909733313565,2774.84751651352,2883.12773486694,3000,627.658230800179,959.365965635766,210.604930274766,404.201523048721,961.042578288981,57.0598391636526,0,17,0,11.9945839988139
S4_COST_main_grid_J150_E260_F260_G260_K260_CAP0p9_X0p75,main_grid,150,260,260,260,260,0.9,0.75,6,6,157.116193392428,19.1572378953103,3.19287298255172,2668.19896664307,2834.66820802164,3000,255.397139616885,515.501085813589,68.4856003968306,186.911539220055,944.889402673879,23.2179217833532,0,18,0,19.1572378953103
S4_COST_main_grid_J150_E260_F260_G260_K260_CAP0p9_X1,main_grid,150,260,260,260,260,0.9,1,6,6,157.430678466033,19.2582797227294,3.20971328712157,2685.54781943249,2835.7148054271,3000,259.732389113124,521.000130323811,57.3583707596688,202.374018353455,945.238268475701,23.6120353739203,0,18,0,19.2582797227294
S4_COST_main_grid_J150_E260_F260_G260_K260_CAP1_X0p75,main_grid,150,260,260,260,260,1,0.75,6,6,251.47293298471,30.2646242641446,5.04410404402409,2261.22755005377,2683.57019590772,3000,19.1047354706818,114.628412824091,3.58951821881366,15.5152172518682,894.523398635908,1.73679413369835,0,19,0,30.2646242641446
S4_COST_main_grid_J150_E260_F260_G260_K260_CAP1_X1,main_grid,150,260,260,260,260,1,1,6,6,251.740203715694,30.3469000276888,5.05781667128147,2281.72809752927,2691.22406515514,3000,20.7392637525756,124.435582515454,0.83623864808803,19.9030251044876,897.074688385047,1.88538761387051,0,18,0,30.3469000276888
S4_COST_main_grid_J150_E260_F260_G260_K260_CAP1p1_X0p75,main_grid,150,260,260,260,260,1.1,0.75,6,6,373.703999184223,44.1726829561728,7.3621138260288,2493.11794782017,2365.83942092155,2757.96304147038,0,0,0,0,788.613140307183,0,0,22,0,44.1726829561728
S4_COST_main_grid_J150_E260_F260_G260_K260_CAP1p1_X1,main_grid,150,260,260,260,260,1.1,1,6,6,373.820156738289,44.19741679517,7.36623613252833,2493.11434114031,2380.44767341179,2774.76242677169,0,0,0,0,793.48255780393,0,0,22,0,44.19741679517
