source_branch_row,source_from_bus,source_to_bus,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,source_tap,source_shift_degree,source_status,source_angmin,source_angmax,source_sha256
1214,589.0,594.0,0.00073,0.01109,0.28674,1500.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1215,589.0,594.0,0.00073,0.01109,0.28674,1500.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1216,589.0,1497.0,0.00106,0.0574,0.0,500.0,500.0,500.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1217,589.0,1497.0,0.00106,0.0574,0.0,500.0,500.0,500.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1226,593.0,594.0,5e-05,0.00082,0.02111,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1227,593.0,594.0,4e-05,0.00055,0.01432,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1228,593.0,594.0,5e-05,0.0007,0.01801,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1229,593.0,594.0,4e-05,0.00055,0.01426,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1234,593.0,1501.0,0.00133,0.0571,0.0,850.0,850.0,850.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1235,593.0,1501.0,0.00133,0.0571,0.0,850.0,850.0,850.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1236,1136.0,594.0,0.00046,0.009,0.17988,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1237,1136.0,594.0,0.00046,0.009,0.17991,1216.0,2454.0,1804.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1238,594.0,1502.0,0.00124,0.0669,0.0,700.0,700.0,700.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1239,594.0,1502.0,0.00124,0.0669,0.0,700.0,700.0,700.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1240,594.0,1502.0,0.00124,0.0669,0.0,700.0,700.0,700.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1241,595.0,600.0,0.00071,0.00357,0.02704,385.0,400.0,432.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1242,595.0,600.0,0.00071,0.00357,0.02704,385.0,400.0,432.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1243,595.0,600.0,0.00071,0.00357,0.02704,385.0,400.0,432.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1245,595.0,1493.0,0.00023,0.00114,0.00864,366.0,400.0,432.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1248,596.0,1502.0,0.00153,0.00767,0.05812,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1249,596.0,1502.0,0.00153,0.00767,0.05812,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1250,596.0,1502.0,0.00153,0.00767,0.05812,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1251,596.0,1503.0,0.00302,0.10864,0.0,210.0,210.0,210.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1252,596.0,1503.0,0.00302,0.10864,0.0,210.0,210.0,210.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1257,1493.0,597.0,6e-05,0.00029,0.00217,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1258,1493.0,597.0,6e-05,0.00029,0.00217,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1260,1503.0,598.0,0.05914,0.13444,0.00263,250.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1262,1501.0,600.0,0.00131,0.00653,0.04945,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1263,1501.0,600.0,0.00131,0.00653,0.04945,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1264,1501.0,600.0,0.00131,0.00653,0.04945,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1265,601.0,628.0,0.00085,0.00423,0.03207,311.0,311.0,311.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1266,601.0,628.0,0.00085,0.00423,0.03207,311.0,311.0,311.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1267,601.0,628.0,0.00085,0.00423,0.03207,311.0,311.0,311.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1269,1493.0,601.0,0.0008,0.00401,0.03037,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1270,1493.0,601.0,0.0008,0.00401,0.03037,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1271,1493.0,601.0,0.0008,0.00401,0.03037,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1272,1493.0,601.0,0.0008,0.00401,0.03037,562.0,562.0,562.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1336,626.0,1506.0,0.05562,0.12645,0.00247,250.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1337,626.0,1506.0,0.05562,0.12645,0.00247,250.0,250.0,250.0,0.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1340,628.0,1506.0,0.00302,0.10864,0.0,500.0,500.0,500.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
2007,1136.0,1532.0,0.0015,0.0625,0.0,800.0,800.0,800.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
2008,1136.0,1532.0,0.0015,0.0625,0.0,800.0,800.0,800.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
2009,1136.0,1532.0,0.0015,0.0625,0.0,800.0,800.0,800.0,1.0,0.0,1.0,0.0,0.0,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
