scenario_id,iteration,zone,scheduled_generation_mw,pmin_mw,pmax_mw,upward_headroom_mw,downward_headroom_mw,loss_participation_factor,sensitivity_participation_factor,finite_difference_step_mw
S1_2025_SUMMER_PEAK_PUBLIC,6,E,44.700386862842,0,600,555.299613137158,44.700386862842,0.0904922787323449,0.00956663529059962,25
S1_2025_SUMMER_PEAK_PUBLIC,6,F,998.965193930097,0,2168.003995,1169.0388010699,998.965193930097,0.190508120729183,0.213795368430615,25
S1_2025_SUMMER_PEAK_PUBLIC,6,G,1799.96301891721,0,2200,400.03698108279,1799.96301891721,0.0651907081417801,0.0856146483142145,-25
S1_2025_SUMMER_PEAK_PUBLIC,6,H,0,0,0,0,0,0,0,0
S1_2025_SUMMER_PEAK_PUBLIC,6,I,2.96113644021889,0,565.099092,562.137955559781,2.96113644021889,0.0916066730399928,0.000633733047013667,25
S1_2025_SUMMER_PEAK_PUBLIC,6,J,3059.13114065541,0,4197.07746,1137.94631934459,3059.13114065541,0.185441848498241,0.243539668926207,-25
S1_2025_SUMMER_PEAK_PUBLIC,6,K,1331.83852626616,0,2384.929342,1053.09081573384,1331.83852626616,0.171613149434517,0.225379162666271,-25
S2_2025_WINTER_PEAK_PUBLIC,1,A,1221.9731009748,0,1292.8,70.8268990252041,1221.9731009748,0.00941051437693958,0.0118701386474485,-25
S2_2025_WINTER_PEAK_PUBLIC,1,B,247.268082555674,0,288.8,41.5319174443258,247.268082555674,0.00551820059139128,0.00696048570731722,-25
S2_2025_WINTER_PEAK_PUBLIC,1,C,1543.94205542191,0,2511.2,967.257944578094,1543.94205542191,0.128516166200444,0.162106291084441,-25
S2_2025_WINTER_PEAK_PUBLIC,1,D,374.19345259308,0,984.9807077,610.78725510692,374.19345259308,0.0811531670491473,0.0627124471687897,25
S2_2025_WINTER_PEAK_PUBLIC,1,E,537.519973617667,0,600,62.4800263823327,537.519973617667,0.00830150178809189,0.0104712557808102,-25
S2_2025_WINTER_PEAK_PUBLIC,1,F,1423.15216080904,0,2168.003995,744.851834190958,1423.15216080904,0.0989658478576733,0.124832438880414,-25
S2_2025_WINTER_PEAK_PUBLIC,1,G,897.639914460237,0,2200,1302.36008553976,897.639914460237,0.173040022331787,0.150438751191622,25
S2_2025_WINTER_PEAK_PUBLIC,1,H,0,0,0,0,0,0,0,0
S2_2025_WINTER_PEAK_PUBLIC,1,I,16.487283660138,0,565.099092,548.611808339862,16.487283660138,0.0728922713985078,0.00276316407550199,25
S2_2025_WINTER_PEAK_PUBLIC,1,J,2404.94851656548,0,4197.07746,1792.12894343452,2404.94851656548,0.238113860363458,0.300349433978511,-25
S2_2025_WINTER_PEAK_PUBLIC,1,K,999.414904853609,0,2384.929342,1385.51443714639,999.414904853609,0.18408844804256,0.167495593485144,25
S2_2025_WINTER_PEAK_PUBLIC,2,A,1250.40114938976,0,1292.8,42.3988506102407,1250.40114938976,0.0056463138078022,0.00717372138421687,-25
S2_2025_WINTER_PEAK_PUBLIC,2,B,263.937899270572,0,288.8,24.8621007294284,263.937899270572,0.0033109205246888,0.00420657119455441,-25
S2_2025_WINTER_PEAK_PUBLIC,2,C,1655.25194548152,0,2511.2,855.948054518482,1655.25194548152,0.11398779252478,0.144823097185445,-25
S2_2025_WINTER_PEAK_PUBLIC,2,D,372.956425050807,0,984.9807077,612.024282649193,372.956425050807,0.0815041247676426,0.0631027832891731,25
S2_2025_WINTER_PEAK_PUBLIC,2,E,432.388965649325,0,600,167.611034350675,432.388965649325,0.0223209945125987,0.0283591381380921,-25
S2_2025_WINTER_PEAK_PUBLIC,2,F,1427.70142888758,0,2168.003995,740.30256611242,1427.70142888758,0.0985871220607262,0.125256328246515,-25
S2_2025_WINTER_PEAK_PUBLIC,2,G,899.491344630387,0,2200,1300.50865536961,899.491344630387,0.173190545978597,0.152190453302865,25
S2_2025_WINTER_PEAK_PUBLIC,2,H,0,0,0,0,0,0,0,0
S2_2025_WINTER_PEAK_PUBLIC,2,I,11.1668897256738,0,565.099092,553.932202274326,11.1668897256738,0.0737679228155179,0.00188939451110755,25
S2_2025_WINTER_PEAK_PUBLIC,2,J,2385.99410237379,0,4197.07746,1811.08335762621,2385.99410237379,0.241184488742074,0.30642829284774,-25
S2_2025_WINTER_PEAK_PUBLIC,2,K,984.4800894004,0,2384.929342,1400.4492525996,984.4800894004,0.186499774265573,0.166570219900291,25
S2_2025_WINTER_PEAK_PUBLIC,3,A,1267.38484499135,0,1292.8,25.4151550086463,1267.38484499135,0.0033877914806437,0.00433027400186392,-25
S2_2025_WINTER_PEAK_PUBLIC,3,B,273.896928546408,0,288.8,14.9030714535925,273.896928546408,0.00198655237521575,0.00253920870604398,-25
S2_2025_WINTER_PEAK_PUBLIC,3,C,1739.85263312447,0,2511.2,771.347366875532,1739.85263312447,0.102819203440749,0.131423375070937,-25
S2_2025_WINTER_PEAK_PUBLIC,3,D,371.39286634793,0,984.9807077,613.58784135207,371.39286634793,0.0817901465305974,0.0632784995046082,25
S2_2025_WINTER_PEAK_PUBLIC,3,E,353.68420965677,0,600,246.31579034323,353.68420965677,0.0328334481767466,0.0419676709746209,-25
S2_2025_WINTER_PEAK_PUBLIC,3,F,1427.08311648065,0,2168.003995,740.92087851935,1427.08311648065,0.0987634082562538,0.126239262227558,-25
S2_2025_WINTER_PEAK_PUBLIC,3,G,898.93689390029,0,2200,1301.06310609971,898.93689390029,0.173429351651143,0.153162278949251,25
S2_2025_WINTER_PEAK_PUBLIC,3,H,0,0,0,0,0,0,0,0
S2_2025_WINTER_PEAK_PUBLIC,3,I,7.23540478681862,0,565.099092,557.863687213181,7.23540478681862,0.0743622346869739,0.00123277962423064,25
S2_2025_WINTER_PEAK_PUBLIC,3,J,2377.90583921497,0,4197.07746,1819.17162078503,2377.90583921497,0.242492272975954,0.309953316111358,-25
S2_2025_WINTER_PEAK_PUBLIC,3,K,973.540361344104,0,2384.929342,1411.3889806559,973.540361344104,0.188135590425724,0.16587333482953,25
S2_2025_WINTER_PEAK_PUBLIC,4,A,1277.56063541506,0,1292.8,15.2393645849365,1277.56063541506,0.002032676493073,0.00261330459183741,-25
