public_scenario_id,eta,status,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,losses_mw,boundary_equiv_pg_mw,min_voltage,max_voltage,voltage_upper_bound_count,voltage_lower_bound_count,rate_a_overload_count,max_rate_a_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,note
S2_2025_WINTER_PEAK_PUBLIC,0.8,ok,0,0,258268.517673535,10902.2197987,10570.1149221614,-332.104876538648,947.884376501542,0.900000319673316,1.1,13,2,0,3.29100657836534e-09,2499.50176099939,2003.01756343729,1514.71086119383,
S2_2025_WINTER_PEAK_PUBLIC,0.9,ok,0,0,258279.625390295,10902.2197987,10310.7951056104,-591.424693089557,1204.86813929094,0.900000113840491,1.1,14,3,0,1.90830178325996e-08,2499.57238899354,1934.19286546135,1809.95331053868,
S2_2025_WINTER_PEAK_PUBLIC,1,ok,0,0,258883.864925517,10902.2197987,9991.19701840064,-911.022780299361,1461.85190208034,0.9,1.1,12,1,0,0,2499.61778030498,1865.11069166498,2105.53648821264,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,ok,1,1,233621.226055594,10902.2197987,11186.3698611801,284.150062480072,-1107.98572581365,1.0043026916133,1.1,10,0,0,0,1379.29602561692,1524.50919710805,-835.348702243392,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.1,ok,1,1,232580.677606602,10902.2197987,11257.9160453231,355.696246623109,-988.956688992718,1.01000240444894,1.1,12,0,0,0,1719.89604733057,1794.8947411019,-433.766115379463,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.2,ok,1,1,232488.78094802,10902.2197987,11341.3602392069,439.140440506881,-869.927652171781,1.0149915210346,1.1,13,0,0,6.31629291092395e-08,1959.18123132888,1965.13069878923,-31.6382984440211,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.3,ok,1,1,238764.639657154,10902.2197987,11401.3487801959,499.128981495925,-750.898615350847,0.997697908087151,1.1,15,0,0,6.32646788290003e-08,2235.28032571179,2166.56288356191,371.039642661919,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.4,ok,0,0,258388.668156754,10902.2197987,11330.647606245,428.427807544993,-631.869578529913,0.900000764447015,1.1,11,2,0,0,2493.88539116671,2342.90938427125,774.355195536843,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.5,ok,0,0,258441.701748275,10902.2197987,10964.946026721,62.726228020967,-512.840541708982,0.900005903659446,1.1,13,1,0,0,2496.21874065645,2298.87634334559,1177.92077797856,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.6,ok,0,0,260977.005863392,10902.2197987,10694.7556691395,-207.464129560456,-393.811504888046,0.946481804435704,1.1,12,0,0,1.8989339878317e-08,2497.09063092592,2251.60119439165,1582.0782575672,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.7,ok,0,0,261376.713939567,10902.2197987,10278.5703875981,-623.649411101906,-274.782468067112,0.969911697158296,1.1,12,0,0,0,2497.63295854921,2203.24484056323,1986.77704545501,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.8,ok,0,0,263554.824599225,10902.2197987,9943.78310823719,-958.436690462804,-155.753431246177,1.00143741260383,1.1,12,0,0,0,2497.94834794559,2154.10302407274,2392.01991706644,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.9,ok,0,0,261828.416814843,10902.2197987,9596.99282043792,-1305.22697826208,-36.7243944252432,0.949954355857671,1.1,12,0,0,1.34946276375558e-08,2498.09265398446,2104.3539846477,2797.82007899217,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,ok,0,0,265999.509249624,10902.2197987,9240.26446271657,-1661.95533598343,82.3046423956917,0.986292219723031,1.1,12,0,0,1.77165020431858e-08,2497.939165389,2053.84898098034,3204.21657733397,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,ok,1,1,233621.226055594,10902.2197987,11186.3698611801,284.150062480072,-1107.98572581365,1.0043026916133,1.1,10,0,0,0,1379.29602561692,1524.50919710805,-835.348702243392,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.1,ok,1,1,233541.024699315,10902.2197987,11268.9239987263,366.704200026285,-1001.96427690167,1.01541788575704,1.1,12,0,0,0,1751.35155044255,1758.10234217896,-494.677564020007,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.2,ok,1,1,234525.860269666,10902.2197987,11368.362810068,466.143011368007,-895.9428279897,1.00384217573039,1.1,12,0,0,0,2025.86062333148,1893.45120924035,-153.590461115652,
