scenario_id,row_type,zone,target_load_mw,external_import_mw,generation_prior_mw,pmin_mw,pmax_mw,target_at_pmin,target_at_pmax,target_generation_mw,actual_generation_mw,generation_error_mw,target_native_net_injection_mw,actual_native_net_injection_mw,target_effective_net_injection_mw,actual_effective_net_injection_mw
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,A,929.093311999568,308.933556550134,927.428993950411,0,1292.8,0,1,1292.79999995759,1292.79999995759,2.27373675443232e-13,363.706687958021,363.706687958021,672.640244508155,672.640244508155
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,B,690.48215058251,0,252.821345688586,0,288.8,0,1,288.799998400893,288.799998400893,0,-401.682152181617,-401.682152181617,-401.682152181617,-401.682152181617
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,C,1176.47823932978,266.039099982754,1590.74257524971,0,2511.2,0,0,1742.86676246583,1742.86676246583,2.27373675443232e-13,566.38852313605,566.38852313605,832.427623118804,832.427623118804
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,D,329.390980588847,148.139967176887,219.01060623981,0,984.9807077,0,0,574.696771824159,574.696771824159,0,245.305791235312,245.305791235312,393.445758412199,393.445758412199
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,E,624.436415216147,0,580.456114999465,0,600,0,0,580.064542317056,580.064542317056,-1.13686837721616e-13,-44.3718728990905,-44.3718728990906,-44.3718728990905,-44.3718728990906
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,F,910.796262482184,-112.551103633678,1192.45024815027,0,2168.003995,0,0,1667.38478136579,1667.38478136579,0,756.58851888361,756.58851888361,644.037415249932,644.037415249932
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,G,713.232216970389,-35.80710545914,1087.83496072809,0,2200,0,0,0.00212423978990017,0.00212423978990017,0,-713.230092730599,-713.230092730599,-749.037198189739,-749.037198189739
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,H,235.348554997091,0,0,0,0,1,1,0,0,0,-235.348554997091,-235.348554997091,-235.348554997091,-235.348554997091
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,I,414.880086647176,0,0.0375378716804753,0,565.099092,0,0,26.8006485819436,26.8006485819436,0,-388.079438065232,-388.079438065232,-388.079438065232,-388.079438065232
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,J,3383.36694678189,133.019549991377,2894.66102262626,0,4197.07746,0,0,2265.88983454884,2485.81692165757,219.927087108731,-1117.47711223305,-897.550025124321,-984.457562241675,-764.530475132944
S2_2019_WINTER_PEAK_PUBLIC,actual_pf,K,1494.71463310442,0,1449.00242858739,0,2384.929342,0,0,1755.14037038978,1755.14037038978,0,260.425737285356,260.425737285356,260.425737285356,260.425737285356
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,A,1185.54148575366,1318.67316044655,914.551270541375,0,1292.8,0,0,1036.76723336732,1036.76723336732,0,-148.774252386344,-148.774252386344,1169.89890806021,1169.89890806021
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,B,709.080791686917,0,249.31082026347,0,288.8,0,1,288.799998042187,288.799998042187,0,-420.28079364473,-420.28079364473,-420.28079364473,-420.28079364473
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,C,1151.05897716525,-56.3807260133924,1568.65447165801,0,2511.2,0,0,1600.94202464937,1600.94202464937,0,449.883047484118,449.883047484118,393.502321470726,393.502321470726
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,D,417.712716471683,190.657256480851,215.969555300954,0,984.9807077,0,0,927.319632304305,927.319632304305,0,509.606915832622,509.606915832622,700.264172313473,700.264172313473
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,E,463.142053183388,0,572.396250265279,0,600,0,0,567.4178788428,567.4178788428,0,104.275825659412,104.275825659412,104.275825659412,104.275825659412
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,F,861.332926168515,-218.896424096264,1175.89259453881,0,2168.003995,0,0,1776.87860519828,1776.87860519828,-4.54747350886464e-13,915.545679029762,915.545679029761,696.649254933498,696.649254933497
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,G,645.954082842539,-356.534999151092,1072.72993183209,0,2200,1,0,6.70477598045497e-10,6.70477598045497e-10,0,-645.954082841868,-645.954082841868,-1002.48908199296,-1002.48908199296
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,H,163.746304011066,0,0,0,0,1,1,0,0,0,-163.746304011066,-163.746304011066,-163.746304011066,-163.746304011066
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,I,399.011885094375,0,0.0370801717275367,0,565.099092,0,0,48.7448828522367,48.7448828522367,0,-350.267002242138,-350.267002242138,-350.267002242138,-350.267002242138
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,J,3565.19947262422,-28.1903630066962,2854.46747516454,0,4197.07746,0,0,1811.74681974041,2226.84297743279,415.096157692374,-1753.45265288381,-1338.35649519143,-1781.6430158905,-1366.54685819813
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,actual_pf,K,1340.43910369839,0,1428.8824443038,0,2384.929342,0,0,1994.27481904247,1994.27481904247,0,653.835715344081,653.835715344081,653.835715344081,653.835715344081
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,A,846.157749701454,258.848564905815,967.524898159301,0,1292.8,0,0,1001.02029945899,1001.02029945899,1.13686837721616e-13,154.862549757533,154.862549757533,413.711114663348,413.711114663348
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,B,577.317859987027,0,263.725294226924,0,288.8,0,0,237.042405360609,237.042405360609,-2.8421709430404e-14,-340.275454626418,-340.275454626418,-340.275454626418,-340.275454626418
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,C,851.437869250479,135.342106581269,1659.95699706322,0,2511.2,0,0,889.014599318215,889.014599318215,0,37.5767300677354,37.5767300677354,172.918836649004,172.918836649004
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,D,212.394668056544,185.919702430448,228.553005733947,0,984.9807077,0,0,430.819872540094,430.819872540094,-5.6843418860808e-14,218.42520448355,218.42520448355,404.344906913998,404.344906913998
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,E,404.784376131571,0,599.999998683172,0,600,0,0,548.304343228634,548.304343228634,0,143.519967097063,143.519967097063,143.519967097063,143.519967097063
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,F,702.404635782232,-178.424907386072,1244.33121033113,0,2168.003995,0,0,1313.20484828143,1313.20484828143,0,610.8002124992,610.8002124992,432.375305113128,432.375305113128
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,G,725.533046764579,-199.966307788473,1135.23516245061,0,2200,0,0,707.154945997285,707.154945997285,0,-18.3781007672939,-18.3781007672939,-218.344408555766,-218.344408555766
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,H,213.212714747238,0,0,0,0,1,1,0,0,0,-213.212714747238,-213.212714747238,-213.212714747238,-213.212714747238
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,I,487.778931296523,0,0.063000139725937,0,565.099092,0,0,38.3066531619883,38.3066531619883,0,-449.472278134535,-449.472278134535,-449.472278134535,-449.472278134535
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,J,4005.11941369719,67.6710532906344,3021.39761898608,0,4197.07746,0,0,3413.87926000752,3580.96328941352,167.084029405995,-591.240153689667,-424.156124283672,-523.569100399032,-356.485070993038
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,actual_pf,K,1876.07853328516,0,1512.04240089228,0,2384.929342,0,0,2054.08235931161,2054.08235931161,0,178.003826026448,178.003826026448,178.003826026448,178.003826026448
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,A,898.029067096454,365.845610519597,890.570113535963,0,1292.8,0,0,1273.97304861816,1273.97304861816,0,375.943981521711,375.943981521711,741.789592041308,741.789592041308
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,B,634.461477771058,0,242.773448843806,0,288.8,0,0,229.92503494515,229.92503494515,0,-404.536442825908,-404.536442825908,-404.536442825908,-404.536442825908
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,C,964.368903906602,371.657625257014,1527.52155772156,0,2511.2,0,0,782.266199186904,782.266199186904,1.13686837721616e-13,-182.102704719698,-182.102704719697,189.554920537316,189.554920537317
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,D,252.055544720259,631.146725627945,210.306448622051,0,984.9807077,0,0,535.429067524809,535.429067524809,0,283.37352280455,283.37352280455,914.520248432495,914.520248432495
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,E,502.050567838042,0,557.38700714597,0,600,0,0,497.324146313875,497.324146313875,-5.6843418860808e-14,-4.72642152416654,-4.7264215241666,-4.72642152416654,-4.7264215241666
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,F,812.024687167025,-250.950030086583,1145.05859658863,0,2168.003995,0,0,2054.49930789474,2054.49930789474,0,1242.47462072771,1242.47462072771,991.524590641131,991.524590641131
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,G,631.818634846144,-190.596232501367,1044.60104094572,0,2200,0,0,230.684409139178,230.684409139178,0,-401.134225706966,-401.134225706966,-591.730458208333,-591.730458208333
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,H,188.627314522305,0,0,0,0,1,1,0,0,0,-188.627314522305,-188.627314522305,-188.627314522305,-188.627314522305
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,I,444.445550864476,0,0.0362361101389083,0,565.099092,0,0,42.5015224117996,42.5015224117996,0,-401.944028452676,-401.944028452676,-401.944028452676,-401.944028452676
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,J,4028.27493889251,185.828812628507,2779.61823571994,0,4197.07746,0,0,2229.27468591816,2584.54933626225,355.27465034409,-1799.00025297435,-1443.72560263026,-1613.17144034584,-1257.89679000175
S5_2019_HIGH_TOTAL_EAST_PUBLIC,actual_pf,K,1546.06311107513,0,1391.4146020211,0,2384.929342,0,0,1913.40986530211,1913.40986530211,0,367.346754226982,367.346754226982,367.346754226982,367.346754226982
S6_2019_LOW_TOTAL_EAST_PUBLIC,actual_pf,A,945.169771154243,544.44147858641,943.013038415348,0,1292.8,0,0,1213.62032083645,1213.62032083645,0,268.450549682209,268.450549682209,812.892028268619,812.892028268619
