reference_set,generator_or_proxy_id,model_bus,model_bus_name,model_zone,regulated_bus,control_type,voltage_reference_pu,voltage_reference_min_pu,voltage_reference_max_pu,voltage_deadband_pu,remote_regulation_flag,scenario_status,source_case,source_record,effective_date,confidence,device_class,mapping_method,notes
CURRENT_S7_MODEL_REFERENCE,BUS_80,80,NORTHPORT,K,NaN,current_model_vg_field,0.952721175,0.952721175,0.952721175,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 29|61,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_81,81,GOETHALS,J,NaN,current_model_vg_field,0.950759831,0.950759831,0.950759831,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 51,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_82,82,AK-3,J,NaN,current_model_vg_field,0.997173511,0.997173511,0.997173511,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 30|50,current,high numerical; mixed provenance,retained_generator_or_aggregate_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
CURRENT_S7_MODEL_REFERENCE,BUS_9003,9003,EAST GARDEN CITY,K,NaN,current_model_vg_field,0.952721175,0.952721175,0.952721175,0,not_encoded,available_in_source_snapshot,npcc_ny_lite_s7_seven_interface_perform_direct_candidate,Current S7 generator matrix VG; generator rows 62,current,high numerical; mixed provenance,added_zero_load_transit_or_supply_proxy,current model bus aggregation,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_42,42,ALBANY,F,NaN,original_npcc_vg_field,1.04,1.04,1.04,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 10,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_47,47,MOSES W,D,NaN,original_npcc_vg_field,1.03,1.03,1.03,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 11,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_48,48,MOSES E,D,NaN,original_npcc_vg_field,1.05,1.05,1.05,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 12,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_50,50,CLAY,C,NaN,original_npcc_vg_field,1.05,1.05,1.05,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 13,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_51,51,CLAY,C,NaN,original_npcc_vg_field,1.04,1.04,1.04,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 14,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_53,53,ROCHESTER,B,NaN,original_npcc_vg_field,1.03,1.03,1.03,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 15,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_54,54,NIAGARA W,A,NaN,original_npcc_vg_field,1.0408,1.0408,1.0408,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 16|17,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_55,55,NIAGARA E,A,NaN,original_npcc_vg_field,1.04,1.04,1.04,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 18,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_56,56,HUNTLEY,A,NaN,original_npcc_vg_field,1.03,1.03,1.03,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 19,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_57,57,HUNTLEY,A,NaN,original_npcc_vg_field,1.03,1.03,1.03,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 20,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_60,60,DUNKIRK,A,NaN,original_npcc_vg_field,1.04,1.04,1.04,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 21,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_61,61,DUNKIRK,A,NaN,original_npcc_vg_field,1.04,1.04,1.04,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 22,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_65,65,GESONIDGE,C,NaN,original_npcc_vg_field,1.04,1.04,1.04,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 23,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_68,68,HILLSIDE,C,NaN,original_npcc_vg_field,0.99,0.99,0.99,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 24,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_71,71,BINGHAMTON,C,NaN,original_npcc_vg_field,1,1,1,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 25,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_72,72,LAPEER,C,NaN,original_npcc_vg_field,1.05,1.05,1.05,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 26,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_78,78,CE UG,I,NaN,original_npcc_vg_field,1.02,1.02,1.02,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 27,unknown,medium,zone_I_interface_voltage_support_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_79,79,RAV A-3,J,NaN,original_npcc_vg_field,1.05,1.05,1.05,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 28,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_80,80,NORTHPORT,K,NaN,original_npcc_vg_field,1.0232,1.0232,1.0232,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 29,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
ORIGINAL_NPCC_VG_REFERENCE,BUS_82,82,AK-3,J,NaN,original_npcc_vg_field,1.05,1.05,1.05,0,not_encoded,available_in_source_snapshot,npcc_original,Original NPCC generator matrix VG; generator rows 30,unknown,medium,retained_generator_or_aggregate_proxy,same retained bus number,MATPOWER VG is a local field; remote regulated-bus assignment is not encoded.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_37,37,NEW SEATHED,F,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone F; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_38,38,GILBOA,F,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone F; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_39,39,LEEDS,G,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone G; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_41,41,ROTTERDAM,F,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone F; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_42,42,ALBANY,F,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone F; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_43,43,EDIC,E,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone E; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_44,44,PORTER,E,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone E; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_47,47,MOSES W,D,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone D; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_48,48,MOSES E,D,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone D; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_50,50,CLAY,C,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone C; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_51,51,CLAY,C,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone C; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_53,53,ROCHESTER,B,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone B; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_54,54,NIAGARA W,A,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone A; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_55,55,NIAGARA E,A,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone A; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
PERFORM_ZONE_AGGREGATE_REFERENCE,BUS_56,56,HUNTLEY,A,NaN,provisional_zonal_vg_envelope,1.02,1.02,1.02,0,source_available_not_preserved_by_zonal_aggregate,available_in_source_snapshot,PERFORM NYISO On Peak 2019 v23,Native online generators in zone A; PMAX-weighted converted VG with observed zonal min/max envelope,2019 on-peak snapshot,low,retained_generator_or_aggregate_proxy,NYISO-zone aggregate mapped to retained model bus,RAW VS/IREG controls are extracted separately; this zonal aggregate does not preserve individual remote regulation in the reduced mapping.
