branch_index,reduced_from_bus,reduced_to_bus,reduced_from_name,reduced_to_name,branch_classification,physical_circuit_id,corridor_name,source_circuit_id,source_branch_index,source_from_bus,source_to_bus,source_from_name,source_to_name,source_to_reduced_flow_sign,r_pu,x_pu,b_pu,rate_a_mva,rate_b_mva,rate_c_mva,mapping_confidence,parameter_source
29,54,56,NIAGARA W,HUNTLEY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.01,0.008,0.07,789.941803,0,0,unmapped,reduced-network aggregate or equivalent
30,54,62,NIAGARA W,STOLLE RD,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.008,0.069,0.13,789.941803,0,0,unmapped,reduced-network aggregate or equivalent
31,55,57,NIAGARA E,HUNTLEY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0074,0.04,0.02,789.941803,0,0,unmapped,reduced-network aggregate or equivalent
32,55,59,NIAGARA E,GARDENVILLE,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.016,0.0817,0.04,789.941803,0,0,unmapped,reduced-network aggregate or equivalent
33,56,58,HUNTLEY,GARDENVILLE,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.002,0.015,0.11,2500,0,0,unmapped,reduced-network aggregate or equivalent
34,57,59,HUNTLEY,GARDENVILLE,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.014,0.068,0.03,2500,0,0,unmapped,reduced-network aggregate or equivalent
35,58,60,GARDENVILLE,DUNKIRK,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0035,0.0344,0.27,2500,0,0,unmapped,reduced-network aggregate or equivalent
36,58,62,GARDENVILLE,STOLLE RD,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.002,0.018,0.03,2500,0,0,unmapped,reduced-network aggregate or equivalent
37,59,61,GARDENVILLE,DUNKIRK,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.068,0.143,0.06,2500,0,0,unmapped,reduced-network aggregate or equivalent
38,62,63,STOLLE RD,MEYER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0129,0.0803,0.15,2500,0,0,unmapped,reduced-network aggregate or equivalent
39,63,64,MEYER,MEYER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.046,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
40,63,67,MEYER,WRHL,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.012,0.093,0.18,2500,0,0,unmapped,reduced-network aggregate or equivalent
41,64,65,MEYER,GESONIDGE,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.035,0.08,0.05,2500,0,0,unmapped,reduced-network aggregate or equivalent
42,64,68,MEYER,HILLSIDE,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0988,0.231,0.13,2500,0,0,unmapped,reduced-network aggregate or equivalent
43,66,67,WATERCURE,WRHL,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.0231,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
44,66,69,WATERCURE,BINGHAMTON,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0018,0.0274,0.27,2500,0,0,unmapped,reduced-network aggregate or equivalent
45,67,68,WRHL,HILLSIDE,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.049,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
46,67,70,WRHL,BINGHAMTON,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.007,0.0619,0.12,2500,0,0,unmapped,reduced-network aggregate or equivalent
47,68,71,HILLSIDE,BINGHAMTON,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.1203,0.2048,0.07,2500,0,0,unmapped,reduced-network aggregate or equivalent
48,69,71,BINGHAMTON,BINGHAMTON,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.0375,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
49,70,71,BINGHAMTON,BINGHAMTON,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.049,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
50,71,72,BINGHAMTON,LAPEER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0053,0.0135,0.1,2500,0,0,unmapped,reduced-network aggregate or equivalent
51,73,74,PLEASANT VLY,MILLWOOD,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0022,0.0196,0.34,2500,0,0,unmapped,reduced-network aggregate or equivalent
52,73,74,PLEASANT VLY,MILLWOOD,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0022,0.0196,0.34,2500,0,0,unmapped,reduced-network aggregate or equivalent
53,74,77,MILLWOOD,BUCHANAN,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0003,0.0043,0.08,2500,0,0,unmapped,reduced-network aggregate or equivalent
54,74,78,MILLWOOD,CE UG,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0005,0.0045,0.32,2500,0,0,unmapped,reduced-network aggregate or equivalent
55,74,78,MILLWOOD,CE UG,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0005,0.0045,0.32,2500,0,0,unmapped,reduced-network aggregate or equivalent
56,76,77,RAMAPO,BUCHANAN,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.003,0.0068,1.37,2500,0,0,unmapped,reduced-network aggregate or equivalent
57,78,79,CE UG,RAV A-3,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0003,0.0153,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
58,78,80,CE UG,NORTHPORT,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0135,0.0582,0.5,2500,0,0,unmapped,reduced-network aggregate or equivalent
59,78,81,CE UG,GOETHALS,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0005,0.0276,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
60,78,82,CE UG,AK-3,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0005,0.0308,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
61,40,41,NEW SEATHED,ROTTERDAM,transformer_or_boundary_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.0161,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
62,49,48,PLATTSBURGH,MOSES E,transformer_or_boundary_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0156,0.1536,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
63,54,52,NIAGARA W,ROCHESTER,transformer_or_boundary_equivalent,,,,NaN,NaN,NaN,,,NaN,0.002,0.0233,0,789.941803,0,0,unmapped,reduced-network aggregate or equivalent
64,54,55,NIAGARA W,NIAGARA E,transformer_or_boundary_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.013,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
65,56,57,HUNTLEY,HUNTLEY,transformer_or_boundary_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.142,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
66,58,59,GARDENVILLE,GARDENVILLE,transformer_or_boundary_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.0093,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
67,60,61,DUNKIRK,DUNKIRK,transformer_or_boundary_equivalent,,,,NaN,NaN,NaN,,,NaN,0,0.064,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
68,75,76,RAMAPO,RAMAPO,transformer_or_boundary_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0001,0.0074,0,2500,0,0,unmapped,reduced-network aggregate or equivalent
69,38,39,GILBOA,LEEDS,physical_circuit,PERFORM_818_1227_CKT_1,GILBOA_LEEDS,1,1635,818,1227,LEEDS,GILBOA,-1,0.00131,0.01997,0.51614,1216,2454,1804,high,PERFORM NYISO On Peak 2019 v23 RAW
70,73,9002,PLEASANT VLY,WOOD STREET,physical_circuit,PERFORM_651_902_CKT_1,PLEASANT_VALLEY_WOOD_STREET,1,1391,651,902,PLEASANT VALLEY,WOOD STREET,1,0.00081,0.01237,0.31971,1216,2454,1804,high,PERFORM NYISO On Peak 2019 v23 RAW
71,9002,74,WOOD STREET,MILLWOOD,physical_circuit,PERFORM_902_897_CKT_1,WOOD_STREET_MILLWOOD,1,1734,902,897,WOOD STREET,MILLWOOD,1,0.00037,0.00563,0.14565,1216,2454,1804,high,PERFORM NYISO On Peak 2019 v23 RAW
72,74,78,MILLWOOD,CE UG,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0009,0.015,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
73,77,78,BUCHANAN,CE UG,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0012,0.02,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
74,78,81,CE UG,GOETHALS,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.00072,0.012,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
75,78,79,CE UG,RAV A-3,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0006,0.01,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
76,78,82,CE UG,AK-3,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0006,0.01,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
77,78,9003,CE UG,EAST GARDEN CITY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0012,0.02,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
78,9003,80,EAST GARDEN CITY,NORTHPORT,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0012,0.02,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
79,81,80,GOETHALS,NORTHPORT,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0018,0.03,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
80,39,9001,LEEDS,KNICKERBOCKER,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0021,0.035,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
81,9001,73,KNICKERBOCKER,PLEASANT VLY,aggregate_equivalent,,,,NaN,NaN,NaN,,,NaN,0.0015,0.025,0,5000,5000,5000,unmapped,reduced-network aggregate or equivalent
82,73,9002,PLEASANT VLY,WOOD STREET,physical_circuit,PERFORM_651_902_CKT_2,PLEASANT_VALLEY_WOOD_STREET,2,1392,651,902,PLEASANT VALLEY,WOOD STREET,1,0.00081,0.01237,0.31972,1216,2454,1804,high,PERFORM NYISO On Peak 2019 v23 RAW
83,9002,74,WOOD STREET,MILLWOOD,physical_circuit,PERFORM_902_897_CKT_2,WOOD_STREET_MILLWOOD,2,1735,902,897,WOOD STREET,MILLWOOD,1,0.00037,0.00563,0.14542,1216,2454,1804,high,PERFORM NYISO On Peak 2019 v23 RAW
