scenario_id,x_multiplier,zone_j_total_pmax_mw,zone_j_q_abs_ratio,eta,status,note,scaled_branch_count,opf_success,opf_raw_info,objective,bus_count,branch_count,gen_count,zone_j_report_count,zone_j_result_count,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,boundary_target_p_mw,boundary_target_q_mvar,zone_j_equiv_pg_mw,zone_j_equiv_qg_mvar,zone_j_equiv_pmax_mw,min_voltage,max_voltage,at_vmax_count,at_vmin_count,rate_a_overload_count,max_rate_a_overload_mva,max_added_branch_loading_pct,total_east_proxy_flow_mw,upny_coned_flow_mw,millwood_south_flow_mw,dunwoodie_south_flow_mw,coned_lipa_total_flow_mw
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,3000,0,1,ok,,12,1,1,878542.304173126,49,81,34,3,3,10902.2197987,1716.5,11447.7978420639,5432.80267394258,-1107.98572581365,-853.365467632651,2409.51777430073,0,3000,0.9,1.1,18,1,0,0,65.4751459106,2727.18065774267,2022.2301297898,1738.00648719869,1041.48042913941,1284.17742931492
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,3000,0,1,ok,,12,1,1,735328.72192478,49,81,34,3,3,10902.2197987,1716.5,11455.7183422001,5428.51476595559,-1107.98572581365,-853.365467632651,1894.76287829269,0,3000,0.9,1.1,19,1,0,0,65.4841497021528,2771.64214906527,2074.1474295158,1798.07804169276,1297.91608964271,1026.85912832167
S1_2025_SUMMER_PEAK_PUBLIC,1,3500,0,1,ok,,12,1,1,852077.207184667,49,81,34,3,3,10902.2197987,1716.5,11451.0601362651,5430.92887288042,-1107.98572581365,-853.365467632651,2315.76611271603,0,3500,0.9,1.1,18,1,0,0,65.6728116413649,2760.05228913453,2008.37549663873,1707.78959730955,999.075269846175,1289.32208601197
S2_2025_WINTER_PEAK_PUBLIC,1,3500,0,1,ok,,12,1,1,700633.094913674,49,81,34,3,3,10902.2197987,1716.5,11463.7685064882,5501.21195165774,-1107.98572581365,-853.365467632651,1764.95649497049,0,3500,0.9,1.1,17,1,0,0,64.5001275410696,2664.99869434839,1973.2313550377,1651.64411584175,1195.94715213979,898.213826912356
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,3500,0,1,ok,,12,1,1,779152.361461053,49,81,34,3,3,10902.2197987,1716.5,11463.1594068639,5479.74866001693,-1107.98572581365,-853.365467632651,2057.84124045344,0,3500,0.9,1.1,18,1,0,0,64.3725726062276,2816.37665580111,2394.32585961496,2107.30692502532,1720.6550840421,658.188294054882
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,3500,0,1,ok,,12,1,1,883968.770574948,49,81,34,3,3,10902.2197987,1716.5,11450.960666138,5444.07115372334,-1107.98572581365,-853.365467632651,2429.76077504159,0,3500,0.9,1.1,19,1,0,0,65.4218132210625,2781.36297838776,2032.66221736517,1728.23567009118,996.226435536073,1322.65033657523
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,3500,0,1,ok,,12,1,1,878542.304173128,49,81,34,3,3,10902.2197987,1716.5,11447.7978420601,5432.80267394215,-1107.98572581365,-853.365467632651,2409.51777430074,0,3500,0.9,1.1,18,1,0,0,65.4751459106029,2727.18065774265,2022.23012978978,1738.00648719867,1041.48042913945,1284.17742931492
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,3500,0,1,ok,,12,1,1,735328.721906289,49,81,34,3,3,10902.2197987,1716.5,11455.7183299363,5428.51476509878,-1107.98572581365,-853.365467632651,1894.76287821473,0,3500,0.9,1.1,19,1,0,0,65.4841497032297,2771.64214914909,2074.14742959283,1798.07804176478,1297.91608971663,1026.85912832036
S1_2025_SUMMER_PEAK_PUBLIC,1,4000,0,1,ok,,12,1,1,852077.207185696,49,81,34,3,3,10902.2197987,1716.5,11451.0601366737,5430.9288730275,-1107.98572581365,-853.365467632651,2315.76611271994,0,4000,0.9,1.1,18,1,0,0,65.6728116418106,2760.05228912952,2008.37549663451,1707.78959730581,999.075269844501,1289.32208601199
S2_2025_WINTER_PEAK_PUBLIC,1,4000,0,1,ok,,12,1,1,700633.094913676,49,81,34,3,3,10902.2197987,1716.5,11463.7685065053,5501.2119516585,-1107.98572581365,-853.365467632651,1764.9564949705,0,4000,0.9,1.1,17,1,0,0,64.5001275410719,2664.99869434838,1973.23135503769,1651.64411584174,1195.94715213978,898.213826912356
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,4000,0,1,ok,,12,1,1,779152.361461056,49,81,34,3,3,10902.2197987,1716.5,11463.1594068647,5479.748660017,-1107.98572581365,-853.365467632651,2057.84124045345,0,4000,0.9,1.1,18,1,0,0,64.3725726062281,2816.3766558011,2394.32585961495,2107.30692502531,1720.65508404209,658.188294054882
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,4000,0,1,ok,,12,1,1,883968.770574949,49,81,34,3,3,10902.2197987,1716.5,11450.9606661384,5444.07115372331,-1107.98572581365,-853.365467632651,2429.7607750416,0,4000,0.9,1.1,19,1,0,0,65.4218132210625,2781.36297838775,2032.66221736516,1728.23567009118,996.226435536073,1322.65033657523
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,4000,0,1,ok,,12,1,1,878542.30417313,49,81,34,3,3,10902.2197987,1716.5,11447.7978420625,5432.80267394233,-1107.98572581365,-853.365467632651,2409.51777430075,0,4000,0.9,1.1,18,1,0,0,65.4751459106025,2727.18065774264,2022.23012978977,1738.00648719867,1041.48042913945,1284.17742931492
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,4000,0,1,ok,,12,1,1,735328.72192473,49,81,34,3,3,10902.2197987,1716.5,11455.7183421627,5428.51476595244,-1107.98572581365,-853.365467632651,1894.76287829243,0,4000,0.9,1.1,19,1,0,0,65.4841497021562,2771.64214906552,2074.14742951603,1798.07804169297,1297.91608964379,1026.85912832165
S1_2025_SUMMER_PEAK_PUBLIC,0.75,0,0,1,ok,,12,0,0,258305.111919675,49,81,31,0,0,10902.2197987,1716.5,9219.86162315431,5576.91567532783,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,17,1,0,0,66.5430664956911,2828.33245640956,2074.26783901951,1775.35975899067,3233.3902985279,1286.08444610786
S2_2025_WINTER_PEAK_PUBLIC,0.75,0,0,1,ok,,12,0,0,258711.520037937,49,81,31,0,0,10902.2197987,1716.5,9785.33634117499,5579.63874146135,-1107.98572581365,-853.365467632651,0,0,0,0.90000020330222,1.09999977242261,10,1,0,0,66.1898774229414,2735.86528626743,2041.9725636997,1722.04457741304,2896.78641768283,896.70646148588
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.75,0,0,1,ok,,12,0,0,257570.413124656,49,81,31,0,0,10902.2197987,1716.5,9475.44374468807,5627.53097355814,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,17,1,0,0,65.3093545170975,2892.16805962004,2466.97315467821,2181.94909567632,3701.13622437089,657.857975108383
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.75,0,0,1,ok,,12,0,0,258116.376321161,49,81,31,0,0,10902.2197987,1716.5,9104.37652210559,5588.89592117119,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,18,1,0,0,66.4034405386197,2849.75313863714,2098.75244857402,1796.117313511,3340.43328789965,1319.30633907733
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.75,0,0,1,ok,,12,0,0,258287.097165152,49,81,31,0,0,10902.2197987,1716.5,9128.86405536173,5622.31970312625,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,17,1,0,0,66.3242550114227,2794.5105476062,2087.23205094106,1804.71396292093,3366.09385144935,1281.09310216028
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.75,0,0,1,ok,,12,0,0,258350.827744612,49,81,31,0,0,10902.2197987,1716.5,9638.59429736944,5528.69623512409,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,18,1,0,0,66.4784447243303,2840.72523291472,2140.89467738131,1866.65260267736,3125.34115667287,1024.79022396267
S1_2025_SUMMER_PEAK_PUBLIC,0.75,3000,0,1,ok,,12,1,1,835165.467722825,49,81,34,3,3,10902.2197987,1716.5,11443.5277893847,5448.67022732497,-1107.98572581365,-853.365467632651,2254.29930358261,0,3000,0.9,1.1,18,1,0,0,67.0610162291036,2813.37042927013,2061.04734919939,1763.11759093074,1081.33975699247,1283.51230456192
S2_2025_WINTER_PEAK_PUBLIC,0.75,3000,0,1,ok,,12,1,1,686066.070948109,49,81,34,3,3,10902.2197987,1716.5,11471.5063698821,5589.26028561041,-1107.98572581365,-853.365467632651,1711.27023428832,0,3000,0.9,1.1,17,1,0,0,65.8302666425912,2713.01549523193,2020.83947475296,1701.93854765603,1263.2372637007,895.218473080613
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.75,3000,0,1,ok,,12,1,1,760397.862321374,49,81,34,3,3,10902.2197987,1716.5,11462.8905020239,5533.21343932122,-1107.98572581365,-853.365467632651,1989.11827589103,0,3000,0.9,1.1,18,1,0,0,66.3014215906824,2880.6928112739,2457.42934496364,2173.50644732917,1797.77262912673,656.408081211983
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.75,3000,0,1,ok,,12,1,1,866451.782495972,49,81,34,3,3,10902.2197987,1716.5,11449.6951282252,5468.41230144606,-1107.98572581365,-853.365467632651,2367.34623115302,0,3000,0.9,1.1,18,1,0,0,67.2842731391298,2834.59623241294,2085.64915762676,1784.14906923758,1080.02493307279,1316.54551571318
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.75,3000,0,1,ok,,12,1,1,861799.766871683,49,81,34,3,3,10902.2197987,1716.5,11443.0532328615,5455.78925470135,-1107.98572581365,-853.365467632651,2348.76547036943,0,3000,0.9,1.1,18,1,0,0,66.8530597453275,2779.8109415085,2074.22162680215,1792.66375512811,1123.09019726027,1278.43326459593
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.75,3000,0,1,ok,,12,1,1,718994.402900164,49,81,34,3,3,10902.2197987,1716.5,11447.0010871961,5452.11841300883,-1107.98572581365,-853.365467632651,1834.22880712743,0,3000,0.9,1.1,18,1,0,0,66.9212645077997,2825.6641870291,2127.55221007194,1854.29038444928,1374.05753486674,1022.99337537016
S1_2025_SUMMER_PEAK_PUBLIC,0.75,3500,0,1,ok,,12,1,1,835165.467722826,49,81,34,3,3,10902.2197987,1716.5,11443.5277893871,5448.67022732512,-1107.98572581365,-853.365467632651,2254.2993035826,0,3500,0.9,1.1,18,1,0,0,67.0610162290993,2813.37042927014,2061.0473491994,1763.11759093075,1081.3397569925,1283.51230456192
S2_2025_WINTER_PEAK_PUBLIC,0.75,3500,0,1,ok,,12,1,1,686066.070947385,49,81,34,3,3,10902.2197987,1716.5,11471.5063611144,5589.26028527989,-1107.98572581365,-853.365467632651,1711.27023428554,0,3500,0.9,1.1,17,1,0,0,65.830266640744,2713.01549523792,2020.83947475691,1701.93854765884,1263.23726370344,895.218473080626
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.75,3500,0,1,ok,,12,1,1,760397.862321375,49,81,34,3,3,10902.2197987,1716.5,11462.890502024,5533.21343932083,-1107.98572581365,-853.365467632651,1989.11827589102,0,3500,0.9,1.1,18,1,0,0,66.3014215906818,2880.6928112739,2457.42934496364,2173.50644732917,1797.77262912674,656.408081211983
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.75,3500,0,1,ok,,12,1,1,866451.782495974,49,81,34,3,3,10902.2197987,1716.5,11449.6951282261,5468.41230144628,-1107.98572581365,-853.365467632651,2367.34623115302,0,3500,0.9,1.1,18,1,0,0,67.2842731391294,2834.59623241294,2085.64915762676,1784.14906923758,1080.02493307282,1316.54551571318
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.75,3500,0,1,ok,,12,1,1,861799.766901421,49,81,34,3,3,10902.2197987,1716.5,11443.0532600821,5455.7892561069,-1107.98572581365,-853.365467632651,2348.7654704568,0,3500,0.9,1.1,18,1,0,0,66.8530597358071,2779.81094143096,2074.22162672444,1792.66375505193,1123.09019717847,1278.43326459855
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.75,3500,0,1,ok,,12,1,1,718994.402900166,49,81,34,3,3,10902.2197987,1716.5,11447.0010872029,5452.11841300977,-1107.98572581365,-853.365467632651,1834.22880712743,0,3500,0.9,1.1,18,1,0,0,66.921264507799,2825.6641870291,2127.55221007193,1854.29038444927,1374.05753486674,1022.99337537016
S1_2025_SUMMER_PEAK_PUBLIC,0.75,4000,0,1,ok,,12,1,1,835165.467722829,49,81,34,3,3,10902.2197987,1716.5,11443.5277893884,5448.67022732516,-1107.98572581365,-853.365467632651,2254.29930358261,0,4000,0.9,1.1,18,1,0,0,67.0610162290975,2813.37042927014,2061.0473491994,1763.11759093075,1081.3397569925,1283.51230456192
S2_2025_WINTER_PEAK_PUBLIC,0.75,4000,0,1,ok,,12,1,1,686066.070947386,49,81,34,3,3,10902.2197987,1716.5,11471.5063611347,5589.26028528056,-1107.98572581365,-853.365467632651,1711.27023428555,0,4000,0.9,1.1,17,1,0,0,65.830266640748,2713.01549523791,2020.8394747569,1701.93854765884,1263.23726370343,895.218473080626
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.75,4000,0,1,ok,,12,1,1,760397.862321379,49,81,34,3,3,10902.2197987,1716.5,11462.8905020174,5533.21343931908,-1107.98572581365,-853.365467632651,1989.11827589103,0,4000,0.9,1.1,18,1,0,0,66.3014215906812,2880.69281127389,2457.42934496363,2173.50644732916,1797.77262912673,656.408081211984
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.75,4000,0,1,ok,,12,1,1,866451.782518942,49,81,34,3,3,10902.2197987,1716.5,11449.695143991,5468.41230463321,-1107.98572581365,-853.365467632651,2367.34623120874,0,4000,0.9,1.1,18,1,0,0,67.2842731354761,2834.59623236,2085.64915757595,1784.14906918899,1080.02493302811,1316.54551571484
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.75,4000,0,1,ok,,12,1,1,861799.766870641,49,81,34,3,3,10902.2197987,1716.5,11443.0532318374,5455.78925466541,-1107.98572581365,-853.365467632651,2348.76547036602,0,4000,0.9,1.1,18,1,0,0,66.8530597455794,2779.81094151175,2074.22162680529,1792.66375513115,1123.09019726372,1278.43326459584
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.75,4000,0,1,ok,,12,1,1,718994.402900167,49,81,34,3,3,10902.2197987,1716.5,11447.0010872069,5452.11841301028,-1107.98572581365,-853.365467632651,1834.22880712744,0,4000,0.9,1.1,18,1,0,0,66.9212645077986,2825.66418702909,2127.55221007193,1854.29038444927,1374.05753486673,1022.99337537016
S1_2025_SUMMER_PEAK_PUBLIC,0.5,0,0,1,ok,,12,0,0,258350.240527688,49,81,31,0,0,10902.2197987,1716.5,9327.56241925649,5641.4076538053,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,17,1,0,0,69.1290020104341,2919.3364266127,2164.63104126828,1870.69253596618,3256.80614173725,1279.29664063951
S2_2025_WINTER_PEAK_PUBLIC,0.5,0,0,1,ok,,12,0,0,258750.519439846,49,81,31,0,0,10902.2197987,1716.5,9886.4415647153,5676.9190778433,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,17,1,0,0,68.7258734389754,2820.98474063709,2126.63725259075,1811.57533462636,2912.52267584744,893.116498728365
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.5,0,0,1,ok,,12,0,0,257972.879351873,49,81,31,0,0,10902.2197987,1716.5,9593.9104283374,5662.63727061985,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,18,1,0,0,68.6017845060976,2998.60641650089,2572.5933839256,2293.86650371871,3710.11325727107,655.458025649085
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.5,0,0,1,ok,,12,0,0,258262.355931052,49,81,31,0,0,10902.2197987,1716.5,9212.69232340198,5639.21021702259,-1107.98572581365,-853.365467632651,0,0,0,0.9,1.1,17,1,0,0,69.1920414109185,2942.28426819578,2190.74437143302,1893.23040509939,3364.34065382926,1312.16712345498
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.5,0,0,1,ok,,12,0,0,258496.257224876,49,81,31,0,0,10902.2197987,1716.5,9230.20369886006,5685.48799708944,-1107.98572581365,-853.365467632651,0,0,0,0.900001339281749,1.09999847594247,9,1,0,0,68.9027563856402,2884.0633151614,2176.18016416426,1898.66010516902,3389.21372952991,1274.33638704165
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.5,0,0,1,ok,,12,0,0,258506.213891835,49,81,31,0,0,10902.2197987,1716.5,9733.55520343376,5597.53827438758,-1107.98572581365,-853.365467632651,0,0,0,0.900000142790944,1.09999984126387,11,1,0,0,69.1256502271642,2932.77579967817,2232.37084464681,1963.36202503052,3143.42479754915,1020.21271910669
S1_2025_SUMMER_PEAK_PUBLIC,0.5,3000,0,1,ok,,12,1,1,808030.870135871,49,81,34,3,3,10902.2197987,1716.5,11444.6879115796,5538.3036256855,-1107.98572581365,-853.365467632651,2155.21634016699,0,3000,0.9,1.1,17,1,0,0,69.4576745674959,2901.78677363168,2148.88461766171,1855.88313332518,1201.92804005569,1277.85745699139
S2_2025_WINTER_PEAK_PUBLIC,0.5,3000,0,1,ok,,12,1,1,662159.641555309,49,81,34,3,3,10902.2197987,1716.5,11486.5710757007,5750.1055982867,-1107.98572581365,-853.365467632651,1622.79899765408,0,3000,0.9,1.1,17,1,0,0,68.1799964634785,2793.15872970449,2100.73181417742,1786.73134107886,1365.3598179443,892.273994295646
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.5,3000,0,1,ok,,12,1,1,730631.68795541,49,81,34,3,3,10902.2197987,1716.5,11440.1616773452,5534.46527050163,-1107.98572581365,-853.365467632651,1879.04474330031,0,3000,0.9,1.1,19,1,0,0,69.6349127474352,2981.24322097358,2557.71686026652,2280.3253473923,1915.34851190415,654.622966929222
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.5,3000,0,1,ok,,12,1,1,838503.803618666,49,81,34,3,3,10902.2197987,1716.5,11440.7263631521,5519.97088468323,-1107.98572581365,-853.365467632651,2265.69656345064,0,3000,0.9,1.1,18,1,0,0,69.7156648931341,2925.34428674531,2175.73323771047,1879.21153248681,1203.82538075018,1310.62552631415
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.5,3000,0,1,ok,,12,1,1,834975.207218143,49,81,34,3,3,10902.2197987,1716.5,11450.5854958554,5569.65793214972,-1107.98572581365,-853.365467632651,2251.88224481706,0,3000,0.9,1.1,17,1,0,0,69.2372834525849,2865.86891284914,2159.81262937664,1883.24914370931,1241.60528805749,1272.84142154008
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.5,3000,0,1,ok,,12,1,1,692423.376766868,49,81,34,3,3,10902.2197987,1716.5,11448.3309732423,5558.19365139708,-1107.98572581365,-853.365467632651,1735.33919768713,0,3000,0.9,1.1,17,1,0,0,69.3397760652326,2915.33503868963,2216.65044629051,1948.55039502026,1488.69961060984,1019.20620610763
S1_2025_SUMMER_PEAK_PUBLIC,0.5,3500,0,1,ok,,12,1,1,808030.870135873,49,81,34,3,3,10902.2197987,1716.5,11444.687911581,5538.30362568542,-1107.98572581365,-853.365467632651,2155.216340167,0,3500,0.9,1.1,17,1,0,0,69.4576745674961,2901.78677363168,2148.8846176617,1855.88313332517,1201.9280400557,1277.85745699139
S2_2025_WINTER_PEAK_PUBLIC,0.5,3500,0,1,ok,,12,1,1,662159.641559983,49,81,34,3,3,10902.2197987,1716.5,11486.5710895112,5750.10560975248,-1107.98572581365,-853.365467632651,1622.79899767757,0,3500,0.9,1.1,17,1,0,0,68.1799965009451,2793.15872961313,2100.73181412858,1786.73134105136,1365.35981791974,892.273994295051
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.5,3500,0,1,ok,,12,1,1,730631.687955412,49,81,34,3,3,10902.2197987,1716.5,11440.161677346,5534.46527050166,-1107.98572581365,-853.365467632651,1879.04474330032,0,3500,0.9,1.1,19,1,0,0,69.6349127474352,2981.24322097357,2557.71686026651,2280.32534739229,1915.34851190414,654.622966929222
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.5,3500,0,1,ok,,12,1,1,838503.803618668,49,81,34,3,3,10902.2197987,1716.5,11440.7263631477,5519.97088468271,-1107.98572581365,-853.365467632651,2265.69656345071,0,3500,0.9,1.1,18,1,0,0,69.7156648931488,2925.34428674522,2175.73323771039,1879.21153248675,1203.82538075014,1310.62552631415
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.5,3500,0,1,ok,,12,1,1,834975.207218146,49,81,34,3,3,10902.2197987,1716.5,11450.5854958583,5569.65793214981,-1107.98572581365,-853.365467632651,2251.88224481707,0,3500,0.9,1.1,17,1,0,0,69.2372834525849,2865.86891284913,2159.81262937663,1883.2491437093,1241.6052880575,1272.84142154008
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.5,3500,0,1,ok,,12,1,1,692423.376766869,49,81,34,3,3,10902.2197987,1716.5,11448.330973243,5558.19365139688,-1107.98572581365,-853.365467632651,1735.33919768713,0,3500,0.9,1.1,17,1,0,0,69.3397760652331,2915.33503868963,2216.65044629051,1948.55039502025,1488.69961060984,1019.20620610763
S1_2025_SUMMER_PEAK_PUBLIC,0.5,4000,0,1,ok,,12,1,1,808030.870135875,49,81,34,3,3,10902.2197987,1716.5,11444.6879115824,5538.30362568537,-1107.98572581365,-853.365467632651,2155.216340167,0,4000,0.9,1.1,17,1,0,0,69.4576745674963,2901.78677363167,2148.88461766169,1855.88313332517,1201.92804005569,1277.8574569914
S2_2025_WINTER_PEAK_PUBLIC,0.5,4000,0,1,ok,,12,1,1,662159.641556842,49,81,34,3,3,10902.2197987,1716.5,11486.5710799753,5750.10560126901,-1107.98572581365,-853.365467632651,1622.79899766115,0,4000,0.9,1.1,17,1,0,0,68.1799964724412,2793.15872968115,2100.73181416438,1786.73134107099,1365.35981793707,892.27399429551
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0.5,4000,0,1,ok,,12,1,1,730631.687955415,49,81,34,3,3,10902.2197987,1716.5,11440.1616773474,5534.46527050182,-1107.98572581365,-853.365467632651,1879.04474330033,0,4000,0.9,1.1,19,1,0,0,69.6349127474351,2981.24322097356,2557.7168602665,2280.32534739229,1915.34851190413,654.622966929222
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.5,4000,0,1,ok,,12,1,1,838503.80361867,49,81,34,3,3,10902.2197987,1716.5,11440.7263631487,5519.97088468274,-1107.98572581365,-853.365467632651,2265.69656345072,0,4000,0.9,1.1,18,1,0,0,69.7156648931502,2925.3442867452,2175.73323771038,1879.21153248673,1203.82538075013,1310.62552631415
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.5,4000,0,1,ok,,12,1,1,834975.207218147,49,81,34,3,3,10902.2197987,1716.5,11450.5854958584,5569.65793214958,-1107.98572581365,-853.365467632651,2251.88224481708,0,4000,0.9,1.1,17,1,0,0,69.2372834525853,2865.86891284913,2159.81262937663,1883.2491437093,1241.6052880575,1272.84142154008
S6_2025_LOW_TOTAL_EAST_PUBLIC,0.5,4000,0,1,ok,,12,1,1,692423.376766871,49,81,34,3,3,10902.2197987,1716.5,11448.330973243,5558.19365139658,-1107.98572581365,-853.365467632651,1735.33919768714,0,4000,0.9,1.1,17,1,0,0,69.3397760652336,2915.33503868962,2216.6504462905,1948.55039502025,1488.69961060983,1019.20620610763
