case_id,scenario_id,external_interface_name,gen_index,bus_id,pg_mw,qg_mvar,target_q_mvar,q_deviation_mvar,qmin_mvar,qmax_mvar,at_qmin,at_qmax
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_PV,38,73,142.954771208766,68.7304367356782,35.8280935025862,32.902343233092,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,OH_NY_NIAGARA,39,54,406.012236517478,-474.158052267244,101.756508871492,-575.914561138736,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WATERCURE,40,66,-27.6450101593817,97.5449968648321,-6.92824201780835,104.47323888264,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WRHL,41,67,-11.8484329254493,84.3366472427969,-2.96924657906072,87.3058938218576,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_RAMAPO,42,75,-19.7467215424155,375.283651887339,-4.94874429843453,380.232396185773,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_GOETHALS,43,81,-19.7467215424155,479.029802149523,-4.94874429843453,483.978546447957,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,HQ_NY_MOSES,36,48,-482.986326633401,-259.300826933881,-121.047533070407,-138.253293863474,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_NORTHFIELD,37,37,95.3028474725107,-265.529230263862,23.8853956683908,-289.414625932253,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_PV,38,73,142.954771208766,59.3451524249515,35.8280935025862,23.5170589223653,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,OH_NY_NIAGARA,39,54,406.012236517478,-448.056043374091,101.756508871492,-549.812552245583,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WATERCURE,40,66,-27.6450101593817,79.9274841531576,-6.92824201780835,86.855726170966,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WRHL,41,67,-11.8484329254493,75.2233797320298,-2.96924657906072,78.1926263110905,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_RAMAPO,42,75,-19.7467215424155,362.594124964093,-4.94874429843453,367.542869262528,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_GOETHALS,43,81,-19.7467215424155,450.506211206433,-4.94874429843453,455.454955504867,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,HQ_NY_MOSES,36,48,-482.986326633401,-241.288610082588,-121.047533070407,-120.241077012181,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_NORTHFIELD,37,37,95.3028474725107,-344.495638998309,23.8853956683908,-368.381034666699,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_PV,38,73,142.954771208766,214.709829570516,35.8280935025862,178.88173606793,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,OH_NY_NIAGARA,39,54,406.012236517478,-476.900295433034,101.756508871492,-578.656804304526,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WATERCURE,40,66,-27.6450101593817,65.0417579269276,-6.92824201780835,71.969999944736,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WRHL,41,67,-11.8484329254493,57.9584108433399,-2.96924657906072,60.9276574224006,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_RAMAPO,42,75,-19.7467215424155,376.254403078339,-4.94874429843453,381.203147376774,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_GOETHALS,43,81,-19.7467215424155,475.566277614045,-4.94874429843453,480.515021912479,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,HQ_NY_MOSES,36,48,-482.986326633401,-234.90209226682,-121.047533070407,-113.854559196413,-500,500,0,0
