case_id,scenario_id,bus_id,bus_name,positive_q_mvar,negative_q_mvar,net_q_mvar,absolute_q_mvar,positive_at_limit,negative_at_limit
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,81,GOETHALS,5.63644055443563e-07,-5.62595307240799e-07,1.04874820276347e-09,1.12623936268436e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,82,AK-3,5.63092509620108e-07,-5.63146587807141e-07,-5.40781870332128e-11,1.12623909742725e-06,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,73,PLEASANT VLY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,74,MILLWOOD,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9001,KNICKERBOCKER,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9002,WOOD STREET,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,56,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,57,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,71,BINGHAMTON,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,78,CE UG,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,79,RAV A-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,81,GOETHALS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,82,AK-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,73,PLEASANT VLY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,74,MILLWOOD,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9001,KNICKERBOCKER,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9002,WOOD STREET,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,56,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,57,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,71,BINGHAMTON,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,78,CE UG,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,79,RAV A-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,81,GOETHALS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p75,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,82,AK-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,73,PLEASANT VLY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,74,MILLWOOD,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9001,KNICKERBOCKER,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9002,WOOD STREET,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,56,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,57,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,71,BINGHAMTON,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,78,CE UG,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,79,RAV A-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,81,GOETHALS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p80,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,82,AK-3,36.0686441112165,0,36.0686441112165,36.0686441112165,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,73,PLEASANT VLY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,74,MILLWOOD,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9001,KNICKERBOCKER,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9002,WOOD STREET,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,56,HUNTLEY,43.4452302891896,0,43.4452302891896,43.4452302891896,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,57,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,71,BINGHAMTON,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,78,CE UG,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,79,RAV A-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,81,GOETHALS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p85,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,82,AK-3,184.394420542157,0,184.394420542157,184.394420542157,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,73,PLEASANT VLY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,74,MILLWOOD,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9001,KNICKERBOCKER,5.58735164529274e-07,0,5.58735164529274e-07,5.58735164529274e-07,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9002,WOOD STREET,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,56,HUNTLEY,443.325569468133,0,443.325569468133,443.325569468133,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,57,HUNTLEY,5.61589368195909e-07,0,5.61589368195909e-07,5.61589368195909e-07,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,71,BINGHAMTON,63.6992950616654,0,63.6992950616654,63.6992950616654,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,78,CE UG,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,79,RAV A-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,81,GOETHALS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VG0p90,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,82,AK-3,326.243464680579,0,326.243464680579,326.243464680579,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,73,PLEASANT VLY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,74,MILLWOOD,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9001,KNICKERBOCKER,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9002,WOOD STREET,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,56,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,57,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,71,BINGHAMTON,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,78,CE UG,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,79,RAV A-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,81,GOETHALS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,82,AK-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,39,LEEDS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,73,PLEASANT VLY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,74,MILLWOOD,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9001,KNICKERBOCKER,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,9002,WOOD STREET,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,56,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,57,HUNTLEY,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,71,BINGHAMTON,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,78,CE UG,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,79,RAV A-3,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,81,GOETHALS,0,0,0,0,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,82,AK-3,0,0,0,0,0,0
