case_id,check_group,scenario_id,zone_j_pmax_mw,voltage_penalty_rho,zone,load_mw,local_pg_excluding_boundary_mw,boundary_equiv_pg_mw,s4_equiv_pg_mw,zone_j_equiv_pg_mw,local_pmax_excluding_boundary_mw,local_net_injection_mw
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,E,310.722794351992,0,0,0,0,600,-310.722794351992
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,F,607.181454913555,568.003995,95.3048474725107,0,0,2168.003995,-39.1774599135551
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,G,477.380725475773,161.354609239667,123.212049666351,161.354609239667,0,2200,-316.026116236107
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,H,201.257521397288,0,0,0,0,0,-201.257521397288
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,I,524.487960045707,0,0,0,0,565.099092,-524.487960045707
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,J,4368.0500990318,4158.06030243034,-19.7447215424155,0,2960.98284243034,4197.07746,-209.989796601458
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3000,0,K,1236.31883136526,952.291321780086,0,367.361979780086,0,2384.929342,-284.027509585175
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,A,933.986786519434,1292.8,-124.719673034239,0,0,1292.8,358.813213480566
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,B,618.641960022222,288.8,0,0,0,288.8,-329.841960022222
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,C,860.171569150202,2511.2,-86.530718496955,0,0,2511.2,1651.0284308498
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,D,168.972029516236,974.351118144907,519.760084611275,0,0,984.9807077,805.379088628671
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,E,415.391998103143,0,0,0,0,600,-415.391998103143
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,F,752.205742431129,568.003995,-107.896684510807,0,0,2168.003995,-184.201747431129
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,G,810.88521680194,343.080661852796,-205.110886014689,343.080661852796,0,2200,-467.804554949145
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,H,230.237430792078,0,0,0,0,0,-230.237430792078
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,I,492.648737521584,0,0,0,0,565.099092,-492.648737521584
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,J,3733.8359205215,4197.07746,-43.2653592484775,0,3000,4197.07746,463.241539478499
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3000,0,K,1885.24240732053,1201.21464652044,0,616.285304520444,0,2384.929342,-684.027760800087
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,A,829.945765539073,1292.8,367.194854523768,0,0,1292.8,462.854234460927
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,B,591.832125251815,288.8,0,0,0,288.8,-303.032125251815
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,C,881.156548731981,2511.2,26.7677338733634,0,0,2511.2,1630.04345126802
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,D,201.722939278163,969.234184068181,537.162651627593,0,0,984.9807077,767.511244790018
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,E,473.256422637636,0,0,0,0,600,-473.256422637636
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,F,837.972407410816,568.003995,-215.129932759151,0,0,2168.003995,-269.968412410816
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,G,771.664072645135,161.27473757314,-309.311532202044,161.27473757314,0,2200,-610.389335071995
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,H,212.019396957058,0,0,0,0,0,-212.019396957058
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,I,479.125144553438,0,0,0,0,565.099092,-479.125144553438
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,J,3775.49942533002,4136.41204307264,13.3838669366817,0,2939.33458307264,4197.07746,360.912617742623
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3000,0,K,1848.02555036487,1050.88590469872,0,465.95656269872,0,2384.929342,-797.139645666149
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,A,1116.520173912,1292.8,-314.865301921532,0,0,1292.8,176.279826088
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,B,748.768203118663,288.8,0,0,0,288.8,-459.968203118663
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,C,968.015133790137,2511.2,-33.9262192534287,0,0,2511.2,1543.18486620986
S4_CAND_zone_j_cap_sensitivity_JPMAX3000_VRHO0,zone_j_cap_sensitivity,S6_2025_LOW_TOTAL_EAST_PUBLIC,3000,0,D,260.011233789131,984.9807077,-407.08280493947,0,0,984.9807077,724.969473910869
