interface_name,source_branch,reduced_branch,from_zone,to_zone,sign,sign_rule,monitored_circuit,mapping_confidence
West_Central,470,43,B,B,-1,snapshot_direction_fallback,"Pannell-Farmington 4 and West Central 115-kV/transformer elements",low
West_Central,333,36,A,A,-1,snapshot_direction_fallback,"Pannell-Farmington 4 and West Central 115-kV/transformer elements",low
Total_East_proxy,1609,218,F,E,-1,area_rule,"Central East element within Total East composite",medium
Total_East_proxy,1612,220,F,E,-1,area_rule,"Central East element within Total East composite",medium
Total_East_proxy,1345,162,E,F,1,area_rule,"Central East element within Total East composite",low
Total_East_proxy,1346,163,E,F,1,area_rule,"Central East element within Total East composite",low
Total_East_proxy,935,84,F,E,-1,area_rule,"Central East element within Total East composite",low
Total_East_proxy,2136,280,E,F,1,area_rule,"Fraser-Gilboa GF5-35",medium
Total_East_proxy,1567,203,G,E,-1,area_rule,"Coopers Corner-Rock Tavern CKT1",medium
Total_East_proxy,1568,204,G,E,-1,area_rule,"Coopers Corner-Rock Tavern CKT2",medium
