case_id,case_group,scenario_id,include_s4,apply_abc_caps,x_spine_multiplier,interface_name,lite_flow_mw,target_flow_mw,residual_mw,scale_mw,objective_term,interface_objective_total
S3_BASE_3GW_X0P75,s3_baseline_x,S2_2025_WINTER_PEAK_PUBLIC,0,0,0.75,Total_East_proxy,3320.27952803456,1885.69773626077,1434.58179177379,1885.69773626077,0.57877060959666,40.2168989321674
S3_BASE_3GW_X0P75,s3_baseline_x,S2_2025_WINTER_PEAK_PUBLIC,0,0,0.75,UPNY_ConEd,2621.27572872136,2186.02924703846,435.2464816829,2186.02924703846,0.03964227794159,40.2168989321674
S3_BASE_3GW_X0P75,s3_baseline_x,S2_2025_WINTER_PEAK_PUBLIC,0,0,0.75,Dunwoodie_South,1878.11805767263,1287.80646363194,590.311594040687,1287.80646363194,0.210117113060469,40.2168989321674
S3_BASE_3GW_X0P75,s3_baseline_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,0.75,Moses_South,-30.0323548420074,-18.0281665798467,-12.0041882621607,100,0.0144100535833398,0.472651755904681
S3_BASE_3GW_X0P75,s3_baseline_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,0.75,Central_East,2487.54417927609,1604.47725507616,883.066924199935,1604.47725507616,0.302914530649964,0.472651755904681
S3_BASE_3GW_X0P75,s3_baseline_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,0.75,Total_East_proxy,3438.81322786246,3161.41495443083,277.398273431626,3161.41495443083,0.00769918048734462,0.472651755904681
S3_BASE_3GW_X0P75,s3_baseline_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,0.75,UPNY_ConEd,2925.2053038295,3945.61555854566,-1020.41025471616,3945.61555854566,0.0668836697788806,0.472651755904681
S3_BASE_3GW_X0P75,s3_baseline_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,0.75,Dunwoodie_South,2271.92278369523,3173.76557921188,-901.842795516651,3173.76557921188,0.0807443214051524,0.472651755904681
S3_BASE_3GW_X0P75,s3_baseline_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,0.75,Moses_South,701.704571065384,777.591851487167,-75.8872804217832,777.591851487167,0.00952433311961559,9.35929060667487
S3_BASE_3GW_X0P75,s3_baseline_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,0.75,Central_East,2812.8385236596,889.243271952491,1923.59525170711,889.243271952491,4.67935739751579,9.35929060667487
S3_BASE_3GW_X0P75,s3_baseline_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,0.75,Total_East_proxy,3347.67355467806,1061.49143259267,2286.18212208539,1061.49143259267,4.63861856628178,9.35929060667487
S3_BASE_3GW_X0P75,s3_baseline_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,0.75,UPNY_ConEd,2171.50189045735,1932.82631567124,238.675574786113,1932.82631567124,0.0152486113105544,9.35929060667487
S3_BASE_3GW_X0P75,s3_baseline_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,0.75,Dunwoodie_South,1198.78331722596,1062.17249622078,136.610821005184,1062.17249622078,0.0165416984471259,9.35929060667487
S3_BASE_3GW_X0P75,s3_baseline_x,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,0.75,Moses_South,713.587435987398,792.394241270214,-78.8068052828162,792.394241270214,0.00989110524790606,2.20716648363446
S3_BASE_3GW_X0P75,s3_baseline_x,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,0.75,Central_East,2846.69600494324,1230.11557367852,1616.58043126472,1230.11557367852,1.72704160904372,2.20716648363446
S3_BASE_3GW_X0P75,s3_baseline_x,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,0.75,Total_East_proxy,3225.38547157878,1915.21985554808,1310.1656160307,1915.21985554808,0.467966887445675,2.20716648363446
