scenario_id,variant_id,allocation_mode,tie_mode,classic_objective_term,interface_name,lite_flow_mw,target_flow_mw,target_limit_mw,residual_mw,scale_mw,scale_source,objective_term
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,perform,current,0.0427054712772174,Moses_South,566.100174105147,713.559374921485,1120.63977933465,-147.459200816338,1124.88579191751,fixed_interface_scale,0.0171841038611302
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,perform,current,0.00126614751713723,Central_East,952.554779697634,919.824688464481,1200.68547785855,32.7300912331531,1392.92634591109,fixed_interface_scale,0.000552125907731976
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,perform,current,0.210403638463712,Total_East_proxy,1553.31983245828,1064.86749418979,2685.97788380209,488.452338268493,2905.13643967645,fixed_interface_scale,0.0282690567858161
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,perform,current,0.0255540742397162,UPNY_ConEd,2188.67893519107,1887.02575769531,2714.43857661059,301.653177495762,2999.1759695476,fixed_interface_scale,0.0101160720369683
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,perform,current,0.12488256528687,Dunwoodie_South,1371.97510330881,1013.73430197272,1636.48983648869,358.240801336094,1935.84206726617,fixed_interface_scale,0.034246031283146
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,perform,perform_rx,0.0412405076100417,Moses_South,568.651456652972,713.559374921485,1120.63977933465,-144.907918268513,1124.88579191751,fixed_interface_scale,0.0165946223015868
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,perform,perform_rx,0.00464304659612149,Central_East,982.501454966441,919.824688464481,1200.68547785855,62.6767665019604,1392.92634591109,fixed_interface_scale,0.00202468218104762
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,perform,perform_rx,0.255081045919696,Total_East_proxy,1602.6846660818,1064.86749418979,2685.97788380209,537.817171892013,2905.13643967645,fixed_interface_scale,0.0342717484580615
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,perform,perform_rx,0.0280542247755195,UPNY_ConEd,2203.09116399068,1887.02575769531,2714.43857661059,316.065406295373,2999.1759695476,fixed_interface_scale,0.0111058047381492
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__perform_rx,perform,perform_rx,0.145534786503367,Dunwoodie_South,1400.46402192426,1013.73430197272,1636.48983648869,386.729719951545,1935.84206726617,fixed_interface_scale,0.0399094048070799
