case_id,case_group,scenario_id,include_s4,apply_abc_caps,x_spine_multiplier,device_group,device_name,zone,bus_id,bus_name,gen_index,pg_mw,qg_mvar,pmax_mw,pmin_mw,qmax_mvar,qmin_mvar,fraction_pmax_used
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,GILBOA_F_EQ_SUPPLY,F,38,GILBOA,35,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ALBANY_F_EQ_SUPPLY,F,42,ALBANY,36,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ROTTERDAM_F_EQ_SUPPLY,F,41,ROTTERDAM,37,0,0,300,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NEW_SCOTLAND_F_EQ_SUPPLY,F,37,NEW SEATHED,38,0,0,300,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PLEASANT_VLY_G_EQ_SUPPLY,G,73,PLEASANT VLY,39,314.103391936818,0,900,0,0,-0,0.349003768818686
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,RAMAPO_G_EQ_SUPPLY,G,76,RAMAPO,40,633.492653033062,0,700,0,0,-0,0.904989504332946
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,LEEDS_G_EQ_SUPPLY,G,39,LEEDS,41,0,0,600,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NORTHPORT_K_EQ_SUPPLY,K,80,NORTHPORT,42,850.055631138683,0,1200,0,0,-0,0.708379692615569
S4_EQUIV_ONLY,s4_equiv_only,S1_2025_SUMMER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EAST_GARDEN_CITY_K_EQ_SUPPLY,K,9003,EAST GARDEN CITY,43,600,0,600,0,0,-0,1
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,0,0,1200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EDIC_E_EQ_SUPPLY,E,43,EDIC,33,0,0,400,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PORTER_E_EQ_SUPPLY,E,44,PORTER,34,0,0,200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,GILBOA_F_EQ_SUPPLY,F,38,GILBOA,35,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ALBANY_F_EQ_SUPPLY,F,42,ALBANY,36,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ROTTERDAM_F_EQ_SUPPLY,F,41,ROTTERDAM,37,0,0,300,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NEW_SCOTLAND_F_EQ_SUPPLY,F,37,NEW SEATHED,38,0,0,300,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PLEASANT_VLY_G_EQ_SUPPLY,G,73,PLEASANT VLY,39,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,RAMAPO_G_EQ_SUPPLY,G,76,RAMAPO,40,305.469575843669,0,700,0,0,-0,0.436385108348099
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,LEEDS_G_EQ_SUPPLY,G,39,LEEDS,41,0,0,600,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NORTHPORT_K_EQ_SUPPLY,K,80,NORTHPORT,42,467.650322459159,0,1200,0,0,-0,0.389708602049299
S4_EQUIV_ONLY,s4_equiv_only,S2_2025_WINTER_PEAK_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EAST_GARDEN_CITY_K_EQ_SUPPLY,K,9003,EAST GARDEN CITY,43,432.867342789734,0,600,0,0,-0,0.721445571316223
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,0,0,1200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EDIC_E_EQ_SUPPLY,E,43,EDIC,33,0,0,400,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PORTER_E_EQ_SUPPLY,E,44,PORTER,34,0,0,200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,GILBOA_F_EQ_SUPPLY,F,38,GILBOA,35,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ALBANY_F_EQ_SUPPLY,F,42,ALBANY,36,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ROTTERDAM_F_EQ_SUPPLY,F,41,ROTTERDAM,37,0,0,300,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NEW_SCOTLAND_F_EQ_SUPPLY,F,37,NEW SEATHED,38,0,0,300,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PLEASANT_VLY_G_EQ_SUPPLY,G,73,PLEASANT VLY,39,76.1426412733614,0,900,0,0,-0,0.0846029347481794
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,RAMAPO_G_EQ_SUPPLY,G,76,RAMAPO,40,495.404106094896,0,700,0,0,-0,0.707720151564136
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,LEEDS_G_EQ_SUPPLY,G,39,LEEDS,41,0,0,600,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NORTHPORT_K_EQ_SUPPLY,K,80,NORTHPORT,42,646.947684021044,0,1200,0,0,-0,0.539123070017537
S4_EQUIV_ONLY,s4_equiv_only,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EAST_GARDEN_CITY_K_EQ_SUPPLY,K,9003,EAST GARDEN CITY,43,600,0,600,0,0,-0,1
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,0,0,1200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EDIC_E_EQ_SUPPLY,E,43,EDIC,33,0,0,400,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PORTER_E_EQ_SUPPLY,E,44,PORTER,34,0,0,200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,GILBOA_F_EQ_SUPPLY,F,38,GILBOA,35,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ALBANY_F_EQ_SUPPLY,F,42,ALBANY,36,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ROTTERDAM_F_EQ_SUPPLY,F,41,ROTTERDAM,37,0,0,300,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NEW_SCOTLAND_F_EQ_SUPPLY,F,37,NEW SEATHED,38,0,0,300,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PLEASANT_VLY_G_EQ_SUPPLY,G,73,PLEASANT VLY,39,375.756591972191,0,900,0,0,-0,0.417507324413545
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,RAMAPO_G_EQ_SUPPLY,G,76,RAMAPO,40,700,0,700,0,0,-0,1
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,LEEDS_G_EQ_SUPPLY,G,39,LEEDS,41,0,0,600,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,NORTHPORT_K_EQ_SUPPLY,K,80,NORTHPORT,42,933.686567331355,0,1200,0,0,-0,0.778072139442796
S4_EQUIV_ONLY,s4_equiv_only,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EAST_GARDEN_CITY_K_EQ_SUPPLY,K,9003,EAST GARDEN CITY,43,600,0,600,0,0,-0,1
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,0,0,1200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,0,0,900,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,EDIC_E_EQ_SUPPLY,E,43,EDIC,33,0,0,400,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,PORTER_E_EQ_SUPPLY,E,44,PORTER,34,0,0,200,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,GILBOA_F_EQ_SUPPLY,F,38,GILBOA,35,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ALBANY_F_EQ_SUPPLY,F,42,ALBANY,36,0,0,500,0,0,-0,0
S4_EQUIV_ONLY,s4_equiv_only,S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,0,1,s4_zonal_capability_equivalent,ROTTERDAM_F_EQ_SUPPLY,F,41,ROTTERDAM,37,0,0,300,0,0,-0,0
