reduced_control_group_id,retained_device_bus,retained_pilot_bus,reduced_device_type,source_record_count,scaled_source_q_mvar,reduced_pf_q_mvar,q_error_mvar,absolute_q_error_mvar,scaled_usable_q_range_mvar,normalized_q_error,source_q_limit_saturated,reduced_q_limit_saturated,mapping_confidence,source_bus_ids
BUS_56__PILOT_56__AGGREGATE_PV_GENERATOR,56,56,aggregate_pv_generator,8,8.39836927082991,-80.7944191425308,-89.1927884133607,89.1927884133607,174.177753167757,0.51207910764273,0,1,medium,33|41|69|284|317|1324|1445
BUS_50__PILOT_50__AGGREGATE_PV_GENERATOR,50,50,aggregate_pv_generator,5,-54.8696229030886,-146.339582621953,-91.4699597188645,91.4699597188645,1476.01459957463,0.0619709044512329,0,0,high,34|358|1240
BUS_47__PILOT_47__AGGREGATE_PV_GENERATOR,47,47,aggregate_pv_generator,10,20.9603909217441,-43.4981509228467,-64.4585418445908,64.4585418445908,238.095489847668,0.270725589492816,0,0,low,35|562|759|761
BUS_57__PILOT_57__AGGREGATE_PV_GENERATOR,57,57,aggregate_pv_generator,1,8.54187850012156,-2.5026607791484,-11.04453927927,11.04453927927,117.39593002423,0.0940794052825374,0,0,medium,37
BUS_61__PILOT_61__AGGREGATE_PV_GENERATOR,61,61,aggregate_pv_generator,4,-20.0204732430544,-10.8830148684684,9.13745837458596,9.13745837458596,154.414510448687,0.0591748686573236,0,0,medium,38|161|1296|1330
BUS_60__PILOT_60__AGGREGATE_PV_GENERATOR,60,60,aggregate_pv_generator,2,-6.72011013671081,-17.8971017463233,-11.1769916096125,11.1769916096125,79.2432131238552,0.141046673513139,0,0,medium,39|69
BUS_42__PILOT_42__AGGREGATE_PV_GENERATOR,42,42,aggregate_pv_generator,2,-18.4050306766786,-68.4745162935224,-50.0694856168438,50.0694856168438,820.551398831809,0.0610193166304098,0,0,medium,63|127
BUS_81__PILOT_81__AGGREGATE_PV_GENERATOR,81,81,aggregate_pv_generator,33,158.77278819868,-268.951241145531,-427.72402934421,427.72402934421,731.989974081617,0.584330447805449,0,0,medium,79|570|595|623|1129|1130|1131|1133|1135
BUS_53__PILOT_53__AGGREGATE_PV_GENERATOR,53,53,aggregate_pv_generator,6,-1.44224168480333,7.37851627805323,8.82075796285656,8.82075796285656,336.454390347892,0.0262168014919821,0,0,medium,95|128|250
BUS_71__PILOT_71__AGGREGATE_PV_GENERATOR,71,71,aggregate_pv_generator,1,-6.66558085747139,12.2194059018318,18.8849867593032,18.8849867593032,21.8046883757238,0.86609753067275,0,1,high,116
BUS_56__PILOT_61__AGGREGATE_PV_GENERATOR,56,61,aggregate_pv_generator,1,-5.81805820131453,-2.46157344133614,3.35648475997839,3.35648475997839,43.1703561801242,0.0777497583289277,0,0,medium,138
BUS_53__PILOT_53__CONTROLLABLE_Q_DEVICE,53,53,controllable_q_device,1,16.1432020529167,8.53050648949308,-7.61269556342363,7.61269556342363,18.2925238051374,0.41616431086921,0,0,medium,240
BUS_51__PILOT_51__AGGREGATE_PV_GENERATOR,51,51,aggregate_pv_generator,1,-13.7631902066537,-79.9084122764842,-66.1452220698305,66.1452220698305,403.935510665044,0.163751936443835,0,0,high,357
BUS_47__PILOT_47__CONTROLLABLE_Q_DEVICE,47,47,controllable_q_device,1,15.0388585935461,9.45005158553195,-5.58880700801412,5.58880700801412,36.5850476102748,0.152762053709738,0,0,medium,485
BUS_37__PILOT_37__CONTROLLABLE_Q_DEVICE,37,37,controllable_q_device,2,9.5595460091281,12.3184050484051,2.75885903927695,2.75885903927695,54.8775714154122,0.0502729798006721,0,0,medium,489|1204
BUS_41__PILOT_41__AGGREGATE_PV_GENERATOR,41,41,aggregate_pv_generator,1,-8.05222454553752,81.3481260022612,89.4003505477988,89.4003505477988,179.727704890236,0.497421088208953,0,0,medium,508
BUS_39__PILOT_39__CONTROLLABLE_Q_DEVICE,39,39,controllable_q_device,3,19.8232438936039,39.8453264155341,20.0220825219302,20.0220825219302,91.4626190256869,0.218910006461843,0,0,medium,512|822|1484
BUS_76__PILOT_76__AGGREGATE_PV_GENERATOR,76,76,aggregate_pv_generator,6,47.2234638025338,-89.6375284632881,-136.860992265822,136.860992265822,331.021510777766,0.413450449018416,0,0,medium,535|546|638|899
BUS_73__PILOT_73__AGGREGATE_PV_GENERATOR,73,73,aggregate_pv_generator,3,-16.3923872698523,47.7705153935077,64.16290266336,64.16290266336,953.808776247474,0.0672701953066454,0,0,medium,535|847
BUS_73__PILOT_73__CONTROLLABLE_Q_DEVICE,73,73,controllable_q_device,1,0.559520874528869,5.6949825547883,5.13546168025943,5.13546168025943,10.9755142830824,0.46790168987117,0,0,medium,539
BUS_78__PILOT_78__AGGREGATE_PV_GENERATOR,78,78,aggregate_pv_generator,1,15.2925502669453,15.2925499010949,-3.6585047702431e-07,3.6585047702431e-07,27.292445517265,1.34048257710316e-08,1,1,low,565
BUS_81__PILOT_81__CONTROLLABLE_Q_DEVICE,81,81,controllable_q_device,2,0,16.3827369327014,16.3827369327014,16.3827369327014,201.217761856511,0.08141794631621,1,0,medium,570|623
BUS_82__PILOT_82__AGGREGATE_PV_GENERATOR,82,82,aggregate_pv_generator,19,32.9699668836772,136.869660089601,103.899693205924,103.899693205924,570.507232434625,0.182118099997671,0,0,high,571|1129
BUS_81__PILOT_81__BOUNDARY_IMPORT_EQUIVALENT,81,81,boundary_import_equivalent,4,214.685227926577,214.685227926577,0,0,28975.3577073376,0,0,1,medium,571|1132|1136|1528
BUS_9003__PILOT_9003__CONTROLLABLE_Q_DEVICE,9003,9003,controllable_q_device,23,326.146705351466,271.349587699915,-54.7971176515514,54.7971176515514,2489.6124898792,0.022010299946001,0,0,medium,580|587|589|608|609|621|733|736|737|738|739|740|840|842|846|999|1138|1160|1161|1164|1489|1496|1539
BUS_76__PILOT_76__BOUNDARY_IMPORT_EQUIVALENT,76,76,boundary_import_equivalent,2,33.8613244513605,33.8613244513605,0,0,14487.6788536688,0,0,1,medium,651|773
BUS_48__PILOT_48__AGGREGATE_PV_GENERATOR,48,48,aggregate_pv_generator,1,-0.925063815450092,-21.438837899621,-20.5137740841709,20.5137740841709,48.731283416886,0.420956983806067,0,1,low,759
BUS_37__PILOT_37__BOUNDARY_IMPORT_EQUIVALENT,37,37,boundary_import_equivalent,1,21.2058078062393,21.2058078062393,0,0,7243.83942683441,0,0,1,medium,799
BUS_39__PILOT_39__AGGREGATE_PV_GENERATOR,39,39,aggregate_pv_generator,5,128.220554484081,-30.631415605016,-158.851970089097,158.851970089097,667.794191039868,0.237875639262057,0,0,medium,817|821|828
BUS_76__PILOT_76__CONTROLLABLE_Q_DEVICE,76,76,controllable_q_device,1,8.76591225101527,6.18600365004481,-2.57990860097045,2.57990860097045,36.5850476102748,0.0705181151724372,0,0,medium,861
BUS_38__PILOT_38__AGGREGATE_PV_GENERATOR,38,38,aggregate_pv_generator,4,-24.8705173016563,-104.159076271374,-79.288558969718,79.288558969718,457.313095128435,0.173379157112153,0,0,high,1227
BUS_43__PILOT_43__BOUNDARY_IMPORT_EQUIVALENT,43,43,boundary_import_equivalent,3,-252.576259158596,-252.576259158596,0,0,21731.5182805032,0,0,1,medium,1231|1263|1546
BUS_56__PILOT_56__BOUNDARY_IMPORT_EQUIVALENT,56,56,boundary_import_equivalent,2,-25.5941253483695,-25.5941253483695,3.5527136788005e-15,3.5527136788005e-15,14487.6788536688,2.45223110940289e-19,0,1,medium,1313|1570
BUS_54__PILOT_54__AGGREGATE_PV_GENERATOR,54,54,aggregate_pv_generator,15,-36.1238571369805,46.7491802830837,82.8730374200642,82.8730374200642,811.858791519608,0.102078142511637,0,0,high,1427|1428
BUS_55__PILOT_55__AGGREGATE_PV_GENERATOR,55,55,aggregate_pv_generator,10,-19.2649130628187,-40.3307537890535,-21.0658407262347,21.0658407262347,408.874492092431,0.0515215332177595,0,0,high,1427|1428
