scenario_id,envelope_name,solution_type,zone,base_generation_mw,delta_generation_mw,proposed_generation_mw,pmin_mw,effective_pmax_mw,capability_relaxation_mw
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,E,598.288312340651,-342.56184067712,255.726471663531,0,600,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,F,1793.65957305411,-76.9670105314199,1716.69256252269,0,2168.003995,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,G,1338.93652413803,19.8332085599145,1358.76973269794,0,2200,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,H,0,0,0,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,I,14.9393294189239,1.62781562775276,16.5671450466767,0,565.099092,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,J,1397.35924501855,89.7270048710539,1487.0862498896,0,4197.07746,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,minimum_abc_relaxation_eta1,K,1145.78035727822,28.9723293527791,1174.752686631,0,2384.929342,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,A,1292.64986194606,161.75013805394,1454.4,0,1454.4,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,B,288.773724769062,36.126275230938,324.9,0,324.9,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,C,2506.04245062123,319.05754937877,2825.1,0,2825.1,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,D,983.526102854315,-20.1209384396512,963.405164414664,0,984.9807077,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,E,598.288312340651,-598.288312340651,0,0,600,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,F,1793.65957305411,-128.827041394573,1664.83253165954,0,2168.003995,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,G,1338.93652413803,31.2351837205004,1370.17170785853,0,2200,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,H,0,0,0,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,I,14.9393294189239,-14.9393294189239,0,0,565.099092,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,J,1397.35924501855,241.156324365706,1638.51556938426,0,4197.07746,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,strict_min_eta,K,1145.78035727822,-27.1498491560554,1118.63050812216,0,2384.929342,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,A,1292.64986194606,161.750138049856,1454.39999999592,0,1454.4,1.21270942831458e-15
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,B,288.773724769062,127.919068513077,416.692793282139,0,416.692793901597,91.7927939015965
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,C,2506.04245062123,319.057549379289,2825.10000000052,0,2825.1,1.39224269933738e-16
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,D,983.526102854315,-23.8476030333492,959.678499820966,0,984.9807077,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,E,598.288312340651,-598.288312340651,0,0,600,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,F,1793.65957305411,-119.435884001007,1674.2236890531,0,2168.003995,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,G,1338.93652413803,22.0659809840743,1361.0025051221,0,2200,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,H,0,0,0,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,I,14.9393294189239,1.49755256714109,16.436881986065,0,565.099092,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,J,1397.35924501855,82.6077676187417,1479.96701263729,0,4197.07746,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,K,1145.78035727822,26.6737422666033,1172.45409954482,0,2384.929342,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,A,1292.64986194606,230.302674579844,1522.9525365259,0,1616,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,B,288.773724769062,72.226275230938,361,0,361,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,C,2506.04245062123,632.95754937877,3139,0,3139,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,D,983.526102854315,-86.3503579107168,897.175744943598,0,984.9807077,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,E,598.288312340651,-598.288312340651,0,0,600,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,F,1793.65957305411,-364.380336842305,1429.2792362118,0,2168.003995,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,G,1338.93652413803,27.6157984082062,1366.55232254624,0,2200,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,H,0,0,0,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,I,14.9393294189239,-14.9393294189239,0,0,565.099092,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,J,1397.35924501855,106.197607524126,1503.55685254268,0,4197.07746,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,K,1145.78035727822,-5.34156860928725,1140.43878866893,0,2384.929342,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,A,1292.64986194606,236.926663412711,1529.57652535877,0,1616,5.43299447446786e-15
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,B,288.773724769062,70.8112081956376,359.5849329647,0,361,5.33667755381781e-15
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,C,2506.04245062123,-124.89002349235,2381.15242712888,0,3139,5.43354701223972e-15
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,D,983.526102854315,-13.7393125961743,969.786790258141,0,984.9807077,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,E,598.288312340651,-5.26501746352562,593.023294877125,0,600,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,F,1793.65957305411,-25.6473968081493,1768.01217624596,0,2168.003995,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,G,1338.93652413803,-23.8352747118777,1315.10124942615,0,2200,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,H,0,0,0,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,I,14.9393294189239,-1.54595672683231,13.3933726920916,0,565.099092,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,J,1397.35924501855,-85.2789976674603,1312.08024735109,0,4197.07746,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,K,1145.78035727822,-27.5358921419809,1118.24446513624,0,2384.929342,0
