scenario_id,envelope_name,solution_type,interface_name,base_residual_mw,linear_predicted_residual_mw,linear_normalized_residual,nonlinear_residual_mw,nonlinear_normalized_residual,accuracy_scale_mw
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,West_Central,-416.002007589673,-150.000000005482,-1.00000000003655,-154.990128435963,-1.03326752290642,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,Moses_South,-14.6188878379072,-37.9685253964219,-0.379685253964219,-40.5391319404097,-0.405391319404097,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,Central_East,-9.77610230266123,-100.000000003061,-1.00000000003061,-118.181063309561,-1.18181063309561,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,Total_East_proxy,-11.2910464063934,-149.999999998006,-0.999999999986707,-176.446482741078,-1.17630988494052,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,UPNY_ConEd,-9.45876351169363,-100.000000011648,-1.00000000011648,-127.868166609138,-1.27868166609138,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,minimum_abc_relaxation_eta1,Dunwoodie_South,-2.48175647034486,-56.5398176066642,-0.565398176066642,-85.5281786839141,-0.855281786839141,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,Dysinger_East,-96.9053071791976,99.3729578315577,0.993729578315577,99.0312019016646,0.990312019016646,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,West_Central,-416.002007589673,-149.059436747336,-0.993729578315576,-150.215160205382,-1.00143440136921,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,Moses_South,-14.6188878379072,-99.3729578315577,-0.993729578315577,-99.391221705854,-0.99391221705854,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,Central_East,-9.77610230266123,87.2470925155602,0.872470925155602,73.9966544283441,0.739966544283441,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,Total_East_proxy,-11.2910464063934,-149.059436747329,-0.993729578315528,-164.699509665162,-1.09799673110108,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,UPNY_ConEd,-9.45876351169363,-99.3729578315577,-0.993729578315577,-113.444192808517,-1.13444192808517,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,strict_min_eta,Dunwoodie_South,-2.48175647034486,-99.3729578315577,-0.993729578315577,-110.735024976337,-1.10735024976337,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,Dysinger_East,-96.9053071791976,99.9999999999109,0.999999999999109,100.181253942794,1.00181253942794,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,West_Central,-416.002007589673,-149.999999999932,-0.999999999999549,-150.611248149547,-1.00407498766365,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,Moses_South,-14.6188878379072,-28.086912357643,-0.28086912357643,-27.8765467030512,-0.278765467030512,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,Central_East,-9.77610230266123,99.9999999961006,0.999999999961006,101.516940212509,1.01516940212509,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,Total_East_proxy,-11.2910464063934,114.974792385691,0.766498615904605,120.222483692591,0.801483224617271,150
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,UPNY_ConEd,-9.45876351169363,64.1388495350581,0.641388495350581,65.2386134462358,0.652386134462358,100
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,minimum_abc_relaxation_eta1,Dunwoodie_South,-2.48175647034486,32.1911547043857,0.321911547043857,45.5221702334825,0.455221702334825,100
