scenario_id,interface_name,lite_flow_mw,target_flow_mw,target_limit_mw,residual_mw,scale_mw,scale_source,objective_term,prior_dc_flow_mw,inferred_dc_flow_mw,inferred_dc_residual_mw
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Dysinger_East,279.439895145715,330.959380690489,1171.29412531182,-51.5194855447742,1399.91077525026,fixed_interface_scale,0.00135438558429456,278.76226276968,316.441689340818,-14.5176913496709
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,West_Central,-65.6547654961053,-5.55156231457317,NaN,-60.1032031815321,4478.94684851229,fixed_interface_scale,0.000180070851814254,-34.8303029904219,-23.8337652846726,-18.2822029700994
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Moses_South,397.92638996899,433.103665205777,1171.29412531182,-35.1772752367874,1280.05315879757,fixed_interface_scale,0.000755211130917091,202.078040107851,404.344906914027,-28.7587582917496
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Central_East,679.70120087746,738.354069444183,1048.58712170773,-58.6528685667229,1288.73627827504,fixed_interface_scale,0.00207133529778865,1202.82283891991,752.673886793477,14.3198173492939
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Total_East_proxy,1114.13473913846,1272.04401205888,2528.50795305409,-157.909272920415,3022.02961006405,fixed_interface_scale,0.00273034695052944,1771.27971181984,1226.59467580896,-45.4493362499184
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,UPNY_ConEd,876.521080458133,941.449033985156,2119.48460770711,-64.9279535270234,2533.17187902427,fixed_interface_scale,0.000656952716110751,1981.0155197174,1008.25026725347,66.8012332683132
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Dunwoodie_South,617.620511702791,787.072468269058,1617.5014111449,-169.451956566267,1988.32171313462,fixed_interface_scale,0.00726306390130233,1284.08437699178,767.365481384459,-19.7069868845991
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Dysinger_East,571.131629224825,637.028170984577,1411.00935821719,-65.896541759752,1399.91077525026,fixed_interface_scale,0.00221576926649902,286.821890840924,604.379944366229,-32.6482266183475
S5_2019_HIGH_TOTAL_EAST_PUBLIC,West_Central,155.224203720294,274.165837393783,4478.94684851229,-118.941633673489,4478.94684851229,fixed_interface_scale,0.000705205971463846,-104.866138086326,199.843501539883,-74.3223358539003
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Moses_South,893.725877218586,955.441470094136,1411.00935821719,-61.71559287555,1280.05315879757,fixed_interface_scale,0.00232452274242984,589.397629529738,914.520248432446,-40.9212216616895
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Central_East,1034.85323390062,1180.17718600244,1290.06569894143,-145.323952101816,1288.73627827504,fixed_interface_scale,0.0127158762191143,1295.67752225419,1212.74000916583,32.5628231633923
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Total_East_proxy,2183.94944777549,2589.60083846468,3045.98845583394,-405.651390689191,3022.02961006405,fixed_interface_scale,0.0180180798760289,1628.32685527652,2428.12648730218,-161.474351162502
S5_2019_HIGH_TOTAL_EAST_PUBLIC,UPNY_ConEd,1527.92730170179,1739.7745386818,2553.25502915492,-211.847236980014,2533.17187902427,fixed_interface_scale,0.00699384964747922,1850.51302887473,1836.39602909372,96.6214904119167
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Dunwoodie_South,1414.04819429353,1787.86084173088,1948.53673277613,-373.812647437351,1988.32171313462,fixed_interface_scale,0.0353455441223098,1344.63533129604,1754.65946174855,-33.2013799823283
S6_2019_LOW_TOTAL_EAST_PUBLIC,Dysinger_East,585.748298558245,645.11924763069,2027.84687313436,-59.370949072445,1399.91077525026,fixed_interface_scale,0.00179865251813363,405.550120128662,627.216554241354,-17.9026933893364
S6_2019_LOW_TOTAL_EAST_PUBLIC,West_Central,208.247756288082,381.666531960371,6436.96536014935,-173.418775672289,4478.94684851229,fixed_interface_scale,0.00149913386259672,34.8241051079276,261.095726608127,-120.570805352244
S6_2019_LOW_TOTAL_EAST_PUBLIC,Moses_South,391.162939414931,450.819329138813,997.829413764526,-59.6563897238823,1280.05315879757,fixed_interface_scale,0.00217199050910417,-88.6964033350812,400.776133495688,-50.043195643125
S6_2019_LOW_TOTAL_EAST_PUBLIC,Central_East,872.683952437765,951.414252001673,1483.86890240467,-78.7302995639077,1288.73627827504,fixed_interface_scale,0.00373212086038025,806.661189308306,961.095480885279,9.68122888360563
S6_2019_LOW_TOTAL_EAST_PUBLIC,Total_East_proxy,1261.28545620414,1420.40695168924,4377.57420232179,-159.121495485095,3022.02961006405,fixed_interface_scale,0.00277242797910452,1242.53218218361,1398.26316848739,-22.1437832018546
S6_2019_LOW_TOTAL_EAST_PUBLIC,UPNY_ConEd,1445.27443553084,1535.38908820052,3669.43719900503,-90.1146526696766,2533.17187902427,fixed_interface_scale,0.00126549813595726,1684.23992575238,1608.41246282435,73.0233746238255
S6_2019_LOW_TOTAL_EAST_PUBLIC,Dunwoodie_South,1548.86678980589,1786.6940354594,2800.35996766173,-237.827245653514,1988.32171313462,fixed_interface_scale,0.0143070436465031,1240.54223632725,1742.41723292628,-44.276802533117
