candidate_id,scenario_id,is_train,interface_name,lite_flow_mw,target_flow_mw,target_limit_mw,residual_mw,scale_mw,scale_source,objective_term
CURRENT,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,0,Total_East_proxy,2349.06995382904,3239.14819697166,6203.20260320473,-890.078243142616,3022.02961006405,fixed_interface_scale,0.0867478940183995
CURRENT,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,0,UPNY_ConEd,1273.65576984243,1214.8516180538,5199.74335856867,58.8041517886275,2533.17187902427,fixed_interface_scale,0.000538873297049141
CURRENT,S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,0,Dunwoodie_South,1389.61088169889,1835.66448563982,4196.28411393261,-446.053603940932,1988.32171313462,fixed_interface_scale,0.0503269712767268
CURRENT,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,Dysinger_East,279.439895145719,330.959380690489,1171.29412531182,-51.5194855447696,1399.91077525026,fixed_interface_scale,0.00135438558429431
CURRENT,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,West_Central,-65.6547654961013,-5.55156231457317,NaN,-60.1032031815281,4478.94684851229,fixed_interface_scale,0.00018007085181423
CURRENT,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,Moses_South,397.926389968989,433.103665205777,1171.29412531182,-35.1772752367876,1280.05315879757,fixed_interface_scale,0.000755211130917101
CURRENT,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,Central_East,679.701200877464,738.354069444183,1048.58712170773,-58.6528685667192,1288.73627827504,fixed_interface_scale,0.0020713352977884
CURRENT,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,Total_East_proxy,1114.13473913846,1272.04401205888,2528.50795305409,-157.909272920416,3022.02961006405,fixed_interface_scale,0.00273034695052948
CURRENT,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,UPNY_ConEd,876.521080458134,941.449033985156,2119.48460770711,-64.9279535270224,2533.17187902427,fixed_interface_scale,0.00065695271611073
CURRENT,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,1,Dunwoodie_South,617.620511702793,787.072468269058,1617.5014111449,-169.451956566265,1988.32171313462,fixed_interface_scale,0.00726306390130216
CURRENT,S5_2019_HIGH_TOTAL_EAST_PUBLIC,1,Dysinger_East,571.131629224824,637.028170984577,1411.00935821719,-65.8965417597528,1399.91077525026,fixed_interface_scale,0.00221576926649907
CURRENT,S5_2019_HIGH_TOTAL_EAST_PUBLIC,1,West_Central,155.224203720292,274.165837393783,4478.94684851229,-118.941633673491,4478.94684851229,fixed_interface_scale,0.000705205971463861
CURRENT,S5_2019_HIGH_TOTAL_EAST_PUBLIC,1,Moses_South,893.725877218586,955.441470094136,1411.00935821719,-61.7155928755495,1280.05315879757,fixed_interface_scale,0.00232452274242981
CURRENT,S5_2019_HIGH_TOTAL_EAST_PUBLIC,1,Central_East,1034.85323390062,1180.17718600244,1290.06569894143,-145.323952101816,1288.73627827504,fixed_interface_scale,0.0127158762191143
CURRENT,S5_2019_HIGH_TOTAL_EAST_PUBLIC,1,Total_East_proxy,2183.94944777549,2589.60083846468,3045.98845583394,-405.651390689195,3022.02961006405,fixed_interface_scale,0.0180180798760292
CURRENT,S5_2019_HIGH_TOTAL_EAST_PUBLIC,1,UPNY_ConEd,1527.92730170178,1739.7745386818,2553.25502915492,-211.847236980017,2533.17187902427,fixed_interface_scale,0.00699384964747939
CURRENT,S5_2019_HIGH_TOTAL_EAST_PUBLIC,1,Dunwoodie_South,1414.04819429353,1787.86084173088,1948.53673277613,-373.812647437352,1988.32171313462,fixed_interface_scale,0.03534554412231
CURRENT,S6_2019_LOW_TOTAL_EAST_PUBLIC,0,Dysinger_East,585.74829855824,645.11924763069,2027.84687313436,-59.3709490724498,1399.91077525026,fixed_interface_scale,0.00179865251813392
CURRENT,S6_2019_LOW_TOTAL_EAST_PUBLIC,0,West_Central,208.247756288079,381.666531960371,6436.96536014935,-173.418775672292,4478.94684851229,fixed_interface_scale,0.00149913386259677
CURRENT,S6_2019_LOW_TOTAL_EAST_PUBLIC,0,Moses_South,391.16293941493,450.819329138813,997.829413764526,-59.656389723883,1280.05315879757,fixed_interface_scale,0.00217199050910422
CURRENT,S6_2019_LOW_TOTAL_EAST_PUBLIC,0,Central_East,872.683952437763,951.414252001673,1483.86890240467,-78.7302995639096,1288.73627827504,fixed_interface_scale,0.00373212086038043
CURRENT,S6_2019_LOW_TOTAL_EAST_PUBLIC,0,Total_East_proxy,1261.28545620415,1420.40695168924,4377.57420232179,-159.121495485094,3022.02961006405,fixed_interface_scale,0.00277242797910446
