source_bus,bus_name,base_kv,area,pd_mw,retention_reason
801,TAP136074,345,70,0,hv_backbone;
802,TAP136075,345,70,0,hv_backbone;
811,STEPHENTOWN,115,70,3.42,generator_or_boundary;
817,ATHENS,345,71,0,generator_or_boundary;hv_backbone;
818,LEEDS,345,71,0,monitored_circuit;hv_backbone;
821,SOUTH CAIRO,69,71,8.26,generator_or_boundary;
822,TAP136123,69,71,12.39,switched_shunt;
828,UNKNOWN136148,69,71,8.26,generator_or_boundary;
840,SYOSSET,69,75,30.61,switched_shunt;
842,RULAND ROAD,138,75,146.3,switched_shunt;
846,PINELAWN,69,75,29.22,switched_shunt;
847,ROSETON,345,71,0,generator_or_boundary;hv_backbone;
848,DANSKAMMER,345,71,0,hv_backbone;
858,E. FISHKILL,345,71,0,monitored_circuit;hv_backbone;
861,PAWLING,115,71,21.85,switched_shunt;
867,TAP136606,115,70,10.27,generator_or_boundary;
870,TAP136609,115,70,10.27,generator_or_boundary;
897,MILLWOOD,345,73,0,monitored_circuit;hv_backbone;
898,PLEASENTVILLE,345,73,0,hv_backbone;
899,W. HAVERSTRAW,345,71,0,generator_or_boundary;hv_backbone;
900,BUCHANAN,345,73,0,monitored_circuit;hv_backbone;
902,WOOD STREET,345,71,0,monitored_circuit;hv_backbone;
903,ARMAWALK,115,73,187.41,zone_load_coverage;
904,KATONAH,115,73,140.55,zone_load_coverage;
905,UNKNOWN139291,115,73,93.7,zone_load_coverage;
953,TAP139815,230,65,0,hv_backbone;
976,TAP139842,230,65,0,hv_backbone;
977,TAP139843,230,65,0,hv_backbone;
993,PLATTSBURGH,230,68,0,hv_backbone;
994,TAP140035,69,75,27.82,generator_or_boundary;
999,MALVERNE,69,75,20.87,switched_shunt;
1025,TAP140341,115,69,6.23,monitored_circuit;
1026,TAP140342,115,69,6.23,monitored_circuit;
1039,TAP140356,115,69,6.23,generator_or_boundary;
1052,TAP140370,115,69,6.23,generator_or_boundary;
1053,TAP140371,115,69,6.23,generator_or_boundary;
1117,TAP140504,230,65,0,hv_backbone;
1129,GOWANUS,345,74,0,generator_or_boundary;hv_backbone;
1130,RAINEY,345,74,0,generator_or_boundary;hv_backbone;
1131,HUDSON AVENUE,138,74,363.64,generator_or_boundary;
1132,FARRAGUT,345,74,0,generator_or_boundary;hv_backbone;
1133,VERNON,138,74,545.47,generator_or_boundary;
1134,LEONARD STREET,345,74,0,hv_backbone;
1135,WEST 65TH STREET,138,74,363.64,generator_or_boundary;
1136,WEST 49TH STREET,345,74,0,monitored_circuit;generator_or_boundary;hv_backbone;
1138,TAP141007,69,75,20.87,switched_shunt;
1146,DEPOSIT,69,75,20.87,generator_or_boundary;
1147,WADING RIVER GAS TURBINES,138,75,31.27,generator_or_boundary;
1148,SHOREHAM POWER STATION,138,75,62.55,generator_or_boundary;
1160,ELWOOD,138,75,226.24,switched_shunt;
1161,FLOWERFIELD,69,75,13.91,switched_shunt;
1164,BROOKHAVEN,138,75,100.08,switched_shunt;generator_or_boundary;
1169,UNKNOWN141045,69,75,6.96,generator_or_boundary;
1170,UNKNOWN141047,138,75,19.67,generator_or_boundary;
1172,TAP141050,115,67,8.36,generator_or_boundary;
1173,TAP141051,115,67,12.54,generator_or_boundary;
1181,TAP141059,115,67,12.54,generator_or_boundary;
1194,TAP141230,115,69,6.23,generator_or_boundary;
1204,TAP141244,69,70,4.62,switched_shunt;
1213,TAP141258,115,70,6.84,monitored_circuit;generator_or_boundary;
1219,UNKNOWN141327,230,67,0,hv_backbone;
1220,ADIRONDACK,230,69,0,monitored_circuit;hv_backbone;
1221,CHASES LAKE,230,69,0,hv_backbone;
1222,COOPERS CORNER,345,69,0,hv_backbone;
1223,WOODBOURNE,115,69,4.7,generator_or_boundary;
1227,GILBOA,345,70,0,monitored_circuit;generator_or_boundary;hv_backbone;
1228,FRASER,345,69,0,monitored_circuit;hv_backbone;
1230,MOSES,230,69,0,monitored_circuit;generator_or_boundary;hv_backbone;
1231,MASSENA,765,69,0,monitored_circuit;generator_or_boundary;hv_backbone;
1232,PORTER,230,69,0,monitored_circuit;hv_backbone;
1233,EDIC,345,69,0,monitored_circuit;hv_backbone;
1234,PANNELL,345,66,0,monitored_circuit;hv_backbone;
1235,ROCHESTER #80,345,66,0,monitored_circuit;hv_backbone;
1236,OSWEGO,345,67,0,hv_backbone;
1237,CLAY,345,67,0,monitored_circuit;hv_backbone;
1238,VOLNEY,345,67,0,hv_backbone;
1239,SCRIBA,345,67,0,hv_backbone;
1240,NINE MILE,345,67,0,generator_or_boundary;hv_backbone;
1241,SITHE,345,67,0,hv_backbone;
1242,FITZPATRICK,345,67,0,hv_backbone;
1243,LAFAYETTE,345,67,0,hv_backbone;
1244,WATERCURE,345,67,0,hv_backbone;
1245,OAKDALE,345,67,0,hv_backbone;
1246,GARDENVILLE,230,65,0,hv_backbone;
1247,ROBINSON ROAD,230,65,0,hv_backbone;
1248,STOLLE ROAD,345,65,0,hv_backbone;
1249,SOMERSET,345,65,0,hv_backbone;
1250,CANANDAIGUA,230,67,0,generator_or_boundary;hv_backbone;
1251,MEYER,230,65,0,hv_backbone;
1261,HUNTLEY,230,65,0,hv_backbone;
1263,MARCY,765,69,0,monitored_circuit;generator_or_boundary;hv_backbone;
1287,TAP145219,115,69,6.23,generator_or_boundary;
1296,HIGH SHELDON,230,65,0,monitored_circuit;generator_or_boundary;hv_backbone;
1299,DYSINGER,345,65,0,monitored_circuit;hv_backbone;
1303,HILLSIDE,230,67,0,hv_backbone;
1307,WETHERSFIELD,230,65,0,hv_backbone;
1313,NIAGARA,345,65,0,monitored_circuit;generator_or_boundary;hv_backbone;
1314,PACKARD,230,65,0,hv_backbone;
1315,ELM ST,230,65,0,hv_backbone;
1316,TAP145584,230,65,0,hv_backbone;
1317,TAP145585,230,65,0,hv_backbone;
1320,S. RIPLEY,230,65,0,hv_backbone;
1321,DUNKIRK,230,65,0,hv_backbone;
1324,UNKNOWN146130,115,65,10.1,generator_or_boundary;
1330,TAP155786,115,65,7.58,generator_or_boundary;
1356,UNKNOWN158122,345,71,0,hv_backbone;
1383,UNKNOWN161076,230,65,0,hv_backbone;
1386,TAP161083,115,67,12.54,monitored_circuit;
1413,FIVE MILE,345,65,0,hv_backbone;
1427,DEADEND166944,345,65,0,generator_or_boundary;hv_backbone;
1428,DEADEND166945,115,65,5.05,generator_or_boundary;
1445,UNKNOWN167575,115,65,5.05,generator_or_boundary;
1457,UNKNOWN172524,138,74,454.55,generator_or_boundary;
1460,TAP173533,115,67,12.54,generator_or_boundary;
1484,UNKNOWN129008,69,71,6.52,switched_shunt;
1489,UNKNOWN129197,69,75,65.39,switched_shunt;
1496,NEWBRIDGE ROAD,138,75,105.68,switched_shunt;
1499,DUFFY AVENUE CONVERTER STATION,345,75,0,hv_backbone;
1500,DUNWOODIE,69,72,135.32,zone_load_coverage;
1501,DUNWOODIE,138,72,552.02,monitored_circuit;
1502,SPRAIN BROOK,138,72,617.23,monitored_circuit;
1506,JAMAICA,69,74,242.64,monitored_circuit;
1519,RAMAPO,345,71,0,monitored_circuit;hv_backbone;
1521,NEW SCOTLAND,230,70,0,hv_backbone;
1524,E. FISHKILL,115,71,17.74,monitored_circuit;
1525,BUCHANAN,115,73,76.85,zone_load_coverage;
1527,PLATTSBURGH,115,68,90.03,zone_load_coverage;
1528,GOWANUS,345,74,0,generator_or_boundary;hv_backbone;
1531,LEONARD STREET,345,74,0,hv_backbone;
1539,BROOKHAVEN,69,75,48,switched_shunt;
1546,MOSES,115,69,15.92,generator_or_boundary;
1547,MASSENA,230,69,0,hv_backbone;
1549,EDIC,230,69,0,hv_backbone;
1550,PANNELL,115,66,49.9,monitored_circuit;
1558,WATERCURE,230,67,0,hv_backbone;
1560,OAKDALE,230,67,0,hv_backbone;
1564,STOLLE ROAD,230,65,0,monitored_circuit;hv_backbone;
1567,MARCY,345,69,0,monitored_circuit;hv_backbone;
1570,NIAGARA,230,65,0,generator_or_boundary;hv_backbone;
