scenario_id,variant_id,zone,npcc_bus_id,npcc_bus_name,zone_target_generation_mw,perform_bus_weight,ideal_bus_pg_mw,applied_bus_pg_mw,capacity_redispatch_mw,bus_pmin_mw,bus_pmax_mw,source_rule,confidence
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,E,44,PORTER,0,NaN,0,0,0,0,200,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,F,38,GILBOA,993.746927215201,NaN,106.951627185816,106.951627185816,0,0,500,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,F,41,ROTTERDAM,993.746927215201,NaN,141.157799264905,141.157799264905,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,F,37,NEW SEATHED,993.746927215201,NaN,110.550223771275,110.550223771275,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,G,73,PLEASANT VLY,935.442568774488,NaN,325.871613985751,325.871613985751,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,G,76,RAMAPO,935.442568774488,NaN,414.056521488942,414.056521488942,0,0,700,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,G,39,LEEDS,935.442568774488,NaN,195.514433299795,195.514433299795,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,K,9003,EAST GARDEN CITY,1603.17038873812,NaN,482.182422455747,482.182422455747,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,F,42,ALBANY,993.746927215201,NaN,635.087276993205,635.087276993205,0,0,1068.003995,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,D,47,MOSES W,977.800993437805,NaN,937.740947737805,937.740947737805,0,0,944.920662,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,D,48,MOSES E,977.800993437805,NaN,40.0600457,40.0600457,0,0,40.0600457,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,50,CLAY,2511.2,NaN,1105.24857748821,1105.24857748821,0,0,1105.24857748821,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,51,CLAY,2511.2,NaN,292.878562141814,292.878562141814,0,0,292.878562141814,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,B,53,ROCHESTER,288.8,NaN,288.8,288.8,0,0,288.8,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,54,NIAGARA W,1292.8,NaN,394.385301787287,394.385301787287,0,0,394.385301787287,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,55,NIAGARA E,1292.8,NaN,197.192650893643,197.192650893643,0,0,197.192650893643,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,56,HUNTLEY,1292.8,NaN,495.093851384339,495.093851384339,0,0,495.093851384339,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,57,HUNTLEY,1292.8,NaN,14.3166985641929,14.3166985641929,0,0,14.3166985641929,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,60,DUNKIRK,1292.8,NaN,59.5351288283759,59.5351288283759,0,0,59.5351288283759,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,A,61,DUNKIRK,1292.8,NaN,132.276368542162,132.276368542162,0,0,132.276368542162,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,65,GESONIDGE,2511.2,NaN,7.481832143219,7.481832143219,0,0,7.481832143219,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,68,HILLSIDE,2511.2,NaN,271.054008885173,271.054008885173,0,0,271.054008885173,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,71,BINGHAMTON,2511.2,NaN,643.677757785503,643.677757785503,0,0,643.677757785503,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,C,72,LAPEER,2511.2,NaN,190.859261556085,190.859261556085,0,0,190.859261556085,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,I,78,CE UG,0,NaN,0,0,0,0,565.099092,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,J,79,RAV A-3,2665.32992322799,NaN,1066.94556909402,1066.94556909402,0,0,1777.453484,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,K,80,NORTHPORT,1603.17038873812,NaN,1120.98796628237,1120.98796628237,0,0,1784.929342,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,J,82,AK-3,2665.32992322799,NaN,1112.74317846456,1112.74317846456,0,0,1519.623976,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,J,81,GOETHALS,2665.32992322799,NaN,485.641175669405,485.641175669405,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,E,43,EDIC,0,NaN,0,0,0,0,400,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,E,44,PORTER,0,NaN,0,0,0,0,200,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,F,38,GILBOA,993.746927215201,NaN,106.951627185816,106.951627185816,0,0,500,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,F,41,ROTTERDAM,993.746927215201,NaN,141.157799264905,141.157799264905,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,F,37,NEW SEATHED,993.746927215201,NaN,110.550223771275,110.550223771275,0,0,300,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,G,73,PLEASANT VLY,935.442568774488,NaN,325.871613985751,325.871613985751,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,G,76,RAMAPO,935.442568774488,NaN,414.056521488942,414.056521488942,0,0,700,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,G,39,LEEDS,935.442568774488,NaN,195.514433299795,195.514433299795,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,K,9003,EAST GARDEN CITY,1603.17038873812,NaN,482.182422455747,482.182422455747,0,0,600,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,F,42,ALBANY,993.746927215201,NaN,635.087276993205,635.087276993205,0,0,1068.003995,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,D,47,MOSES W,977.800993437805,NaN,937.740947737805,937.740947737805,0,0,944.920662,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,D,48,MOSES E,977.800993437805,NaN,40.0600457,40.0600457,0,0,40.0600457,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,50,CLAY,2511.2,NaN,1105.24857748821,1105.24857748821,0,0,1105.24857748821,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,51,CLAY,2511.2,NaN,292.878562141814,292.878562141814,0,0,292.878562141814,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,B,53,ROCHESTER,288.8,NaN,288.8,288.8,0,0,288.8,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,54,NIAGARA W,1292.8,NaN,394.385301787287,394.385301787287,0,0,394.385301787287,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,55,NIAGARA E,1292.8,NaN,197.192650893643,197.192650893643,0,0,197.192650893643,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,56,HUNTLEY,1292.8,NaN,495.093851384339,495.093851384339,0,0,495.093851384339,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,57,HUNTLEY,1292.8,NaN,14.3166985641929,14.3166985641929,0,0,14.3166985641929,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,60,DUNKIRK,1292.8,NaN,59.5351288283759,59.5351288283759,0,0,59.5351288283759,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,A,61,DUNKIRK,1292.8,NaN,132.276368542162,132.276368542162,0,0,132.276368542162,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,65,GESONIDGE,2511.2,NaN,7.481832143219,7.481832143219,0,0,7.481832143219,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,68,HILLSIDE,2511.2,NaN,271.054008885173,271.054008885173,0,0,271.054008885173,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,71,BINGHAMTON,2511.2,NaN,643.677757785503,643.677757785503,0,0,643.677757785503,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,C,72,LAPEER,2511.2,NaN,190.859261556085,190.859261556085,0,0,190.859261556085,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,I,78,CE UG,0,NaN,0,0,0,0,565.099092,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,J,79,RAV A-3,2665.32992322799,NaN,1066.94556909402,1066.94556909402,0,0,1777.453484,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,K,80,NORTHPORT,1603.17038873812,NaN,1120.98796628237,1120.98796628237,0,0,1784.929342,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,J,82,AK-3,2665.32992322799,NaN,1112.74317846456,1112.74317846456,0,0,1519.623976,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,J,81,GOETHALS,2665.32992322799,NaN,485.641175669405,485.641175669405,0,0,900,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,E,43,EDIC,0,NaN,0,0,0,0,400,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,E,44,PORTER,0,NaN,0,0,0,0,200,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,F,38,GILBOA,993.746927215201,NaN,106.951627185816,106.951627185816,0,0,500,S4 ACOPF bus dispatch,reference
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,F,41,ROTTERDAM,993.746927215201,NaN,141.157799264905,141.157799264905,0,0,300,S4 ACOPF bus dispatch,reference
