bus_number,bus_name,base_kv,area,nyiso_zone_letter,nyiso_zone_name,physical_zone,load_allocation_group,pd_mw,qd_mvar,mapping_note
19,POWNAL,345,1,NON_NY,NON_NY,NON_NY,NON_NY,255.890075,28,outside retained New York zone mapping
20,MAINE YANKEE,345,1,NON_NY,NON_NY,NON_NY,NON_NY,352.780492,27,outside retained New York zone mapping
21,MILLSTONE PT,24,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
22,BRAYTON PT,18,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
23,BRAYTON PT,20,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
24,PILGRIM,22.8,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
25,CANAL,20,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
26,MAINE YANKEE,20,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
27,VERMONT YNK,22,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
28,NORTHFIELD,13.8,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
29,NORTHFIELD,345,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
30,LUDLOW,345,1,NON_NY,NON_NY,NON_NY,NON_NY,399.983515,2,outside retained New York zone mapping
31,MANCHESTER,345,1,NON_NY,NON_NY,NON_NY,NON_NY,621.092415,184,outside retained New York zone mapping
32,SCOVILL ROCK,345,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
33,HADDAM NECK,345,1,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
34,BLACK POND,345,1,NON_NY,NON_NY,NON_NY,NON_NY,290.67125,84,outside retained New York zone mapping
35,SOUTHINGTEN,345,1,NON_NY,NON_NY,NON_NY,NON_NY,648.420481,177,outside retained New York zone mapping
36,CONN YANKEE,345,1,NON_NY,NON_NY,NON_NY,NON_NY,11.1796635,5,outside retained New York zone mapping
37,NEW SEATHED,345,2,F,CAPITL,F,F,0,0,New Scotland-equivalent capital-area proxy
38,GILBOA,345,2,F,CAPITL,F,F,0,0,Gilboa capital-area proxy
39,LEEDS,345,2,G,HUD VL,G,G,0,0,Leeds Hudson Valley proxy and Total East endpoint
40,NEW SEATHED,230,2,F,CAPITL,F,F,0,0,Lower-voltage New Scotland-equivalent proxy
41,ROTTERDAM,115,2,F,CAPITL,F,F,809.143671,125,Rotterdam capital-area load bus
42,ALBANY,115,2,F,CAPITL,F,F,204.597757,17,Albany capital-area generation/load bus
43,EDIC,345,2,E,MHK VL,E,E,0,0,Edic Mohawk Valley proxy and equivalent-generation candidate
44,PORTER,230,2,E,MHK VL,E,E,0,0,Porter Mohawk Valley proxy
45,PORTER,115,2,E,MHK VL,E,E,295.9154,17,Porter lower-voltage Mohawk Valley load proxy
46,COLTON,115,2,D,NORTH,D,D,26.5861492,-42.5,Northern New York proxy
47,MOSES W,230,2,D,NORTH,D,D,610.325512,100,Moses western hydro proxy
48,MOSES E,230,2,D,NORTH,D,D,0,0,Moses eastern hydro/interchange proxy
49,PLATTSBURGH,115,2,D,NORTH,D,D,240.431262,17,Plattsburgh northern load proxy
50,CLAY,345,2,C,CENTRL,C,C,0,0,Clay central New York bulk proxy
51,CLAY,115,2,C,CENTRL,C,C,844.977176,75,Clay central generation/load proxy
52,ROCHESTER,345,2,B,GENESE,B,B,0,0,Rochester Genesee bulk proxy
53,ROCHESTER,115,2,B,GENESE,B,B,1066.91373,250,Rochester generation/load proxy
54,NIAGARA W,230,2,A,WEST,A,A,20,0,Niagara western generation/interchange proxy
55,NIAGARA E,230,2,A,WEST,A,A,939,132,Niagara eastern generation/load proxy
56,HUNTLEY,230,2,A,WEST,A,A,198.818159,44,Huntley western generation/load proxy
57,HUNTLEY,115,2,A,WEST,A,A,277.420687,-6,Huntley lower-voltage generation/load proxy
58,GARDENVILLE,230,2,A,WEST,A,A,97.0972405,38,Gardenville western load proxy
59,GARDENVILLE,115,2,A,WEST,A,A,814.923268,198,Gardenville lower-voltage load proxy
60,DUNKIRK,230,2,A,WEST,A,A,0,0,Dunkirk western generation proxy
61,DUNKIRK,115,2,A,WEST,A,A,273.952928,8,Dunkirk generation/load proxy
62,STOLLE RD,230,2,A,WEST,A,A,0,0,Western corridor proxy
63,MEYER,230,2,C,CENTRL,C,C,0,0,Central corridor proxy
64,MEYER,115,2,C,CENTRL,C,C,165.296493,25,Central load proxy
65,GESONIDGE,115,2,C,CENTRL,C,C,105.188677,0,Name requires source-case confirmation
66,WATERCURE,345,2,C,CENTRL,C,C,0,0,Central bulk proxy
67,WRHL,230,2,C,CENTRL,C,C,0,0,Central corridor proxy
68,HILLSIDE,115,2,C,CENTRL,C,C,243.899021,41,Central generation/load proxy
69,BINGHAMTON,345,2,C,CENTRL,C,C,0,0,Binghamton bulk proxy
70,BINGHAMTON,230,2,C,CENTRL,C,C,0,0,Binghamton corridor proxy
71,BINGHAMTON,115,2,C,CENTRL,C,C,428.846145,53,Binghamton generation/load proxy
72,LAPEER,115,2,C,CENTRL,C,C,0,0,Southern-tier proxy
73,PLEASANT VLY,345,3,G,HUD VL,G,G,0,0,Pleasant Valley Hudson Valley proxy and equivalent-generation candidate
74,MILLWOOD,345,3,H,MILLWD,H,H,117.903792,0,Millwood proxy
75,RAMAPO,138,3,G,HUD VL,G,G,0,0,Lower-voltage Hudson Valley proxy
76,RAMAPO,345,3,G,HUD VL,G,G,0,0,Hudson Valley bulk proxy
77,BUCHANAN,345,3,H,MILLWD,H,H,0,0,Buchanan Millwood-zone proxy and equivalent-generation candidate
78,CE UG,345,3,I,DUNWOD,I,I,2311.83906,600,Dunwoodie-equivalent proxy; original bus is the case reference bus
79,RAV A-3,22,3,J,N.Y.C.,J,J,0,0,Ravenswood NYC generation/load-allocation proxy
80,NORTHPORT,138,3,K,LONGIL,K,K,809.143671,25,Northport Long Island generation/load proxy
81,GOETHALS,345,3,J,N.Y.C.,J,J,0,0,Goethals is a Zone-J proxy
82,AK-3,22,3,J,N.Y.C.,J,J,0,0,NYC generation/load-allocation proxy
83,KEITH,220,4,NON_NY,NON_NY,NON_NY,NON_NY,80,16,outside retained New York zone mapping
84,KEITH JCT,118.1,4,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
85,LAMBTON,220,4,NON_NY,NON_NY,NON_NY,NON_NY,18,0,outside retained New York zone mapping
86,LAMBTON,24,4,NON_NY,NON_NY,NON_NY,NON_NY,50,25,outside retained New York zone mapping
87,LAMBTON,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
88,SCOTT,220,4,NON_NY,NON_NY,NON_NY,NON_NY,110,55,outside retained New York zone mapping
89,SCOTT,220,4,NON_NY,NON_NY,NON_NY,NON_NY,100,70,outside retained New York zone mapping
90,VIDA,220,4,NON_NY,NON_NY,NON_NY,NON_NY,115,45,outside retained New York zone mapping
91,RICHVIEW,220,4,NON_NY,NON_NY,NON_NY,NON_NY,1650,500,outside retained New York zone mapping
92,HANMER,500,4,NON_NY,NON_NY,NON_NY,NON_NY,10,320,outside retained New York zone mapping
93,ESSA,220,4,NON_NY,NON_NY,NON_NY,NON_NY,125,0,outside retained New York zone mapping
94,ORANGEVILLE,220,4,NON_NY,NON_NY,NON_NY,NON_NY,95,0,outside retained New York zone mapping
95,DES JOAC,220,4,NON_NY,NON_NY,NON_NY,NON_NY,-100,87,outside retained New York zone mapping
96,HOLDEN,13.8,4,NON_NY,NON_NY,NON_NY,NON_NY,-40,-25,outside retained New York zone mapping
97,MARTINDELE,220,4,NON_NY,NON_NY,NON_NY,NON_NY,910,50,outside retained New York zone mapping
98,STLA,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
99,PVR,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
100,PHAS,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
101,SAB 2,220,4,NON_NY,NON_NY,NON_NY,NON_NY,350,130,outside retained New York zone mapping
102,BP 76,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
103,PA 27,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
104,BEACH,220,4,NON_NY,NON_NY,NON_NY,NON_NY,200,90,outside retained New York zone mapping
105,BUCHANAN,220,4,NON_NY,NON_NY,NON_NY,NON_NY,325,0,outside retained New York zone mapping
106,NEALE,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,-12,outside retained New York zone mapping
107,NEALE,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,-19,outside retained New York zone mapping
108,S CT,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,-13,outside retained New York zone mapping
109,SLT,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,-13,outside retained New York zone mapping
110,BURLINGTON,220,4,NON_NY,NON_NY,NON_NY,NON_NY,718,125,outside retained New York zone mapping
111,DETWIERER,220,4,NON_NY,NON_NY,NON_NY,NON_NY,399,45,outside retained New York zone mapping
112,CHATHAM,220,4,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
113,LAUZON,118.1,4,NON_NY,NON_NY,NON_NY,NON_NY,206,0,outside retained New York zone mapping
114,MARYSVILLE,220,5,NON_NY,NON_NY,NON_NY,NON_NY,0,90,outside retained New York zone mapping
115,ST CLAIR,500,5,NON_NY,NON_NY,NON_NY,NON_NY,100,0,outside retained New York zone mapping
116,WATERMAN,220,5,NON_NY,NON_NY,NON_NY,NON_NY,200,0,outside retained New York zone mapping
117,PONTIAC,230,5,NON_NY,NON_NY,NON_NY,NON_NY,400,97,outside retained New York zone mapping
118,WAYNE,115,5,NON_NY,NON_NY,NON_NY,NON_NY,280,86,outside retained New York zone mapping
119,THETFORD,220,5,NON_NY,NON_NY,NON_NY,NON_NY,750,200,outside retained New York zone mapping
120,ARGENTA,220,5,NON_NY,NON_NY,NON_NY,NON_NY,946,-40,outside retained New York zone mapping
121,SC415,220,5,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
122,WATERMAN,220,5,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
123,MONROE,230,5,NON_NY,NON_NY,NON_NY,NON_NY,63,10,outside retained New York zone mapping
124,BRANCHBURG,230,6,NON_NY,NON_NY,NON_NY,NON_NY,370,49,outside retained New York zone mapping
125,LINDON,230,6,NON_NY,NON_NY,NON_NY,NON_NY,320,5,outside retained New York zone mapping
126,HUDSON,230,6,NON_NY,NON_NY,NON_NY,NON_NY,450,0,outside retained New York zone mapping
127,ALBURTIS,500,6,NON_NY,NON_NY,NON_NY,NON_NY,200,-150,outside retained New York zone mapping
128,WHITPAIN,500,6,NON_NY,NON_NY,NON_NY,NON_NY,1121.24194,-102,outside retained New York zone mapping
129,KEENEY,500,6,NON_NY,NON_NY,NON_NY,NON_NY,610,-50,outside retained New York zone mapping
130,PEACH BOTTOM,500,6,NON_NY,NON_NY,NON_NY,NON_NY,180,0,outside retained New York zone mapping
131,CONASTONE,500,6,NON_NY,NON_NY,NON_NY,NON_NY,1160,-432,outside retained New York zone mapping
132,JUNIATA,500,6,NON_NY,NON_NY,NON_NY,NON_NY,210,-337,outside retained New York zone mapping
133,CONEMAUGH,500,6,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
134,HOMER CITY,230,6,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
135,KEYSTONE,500,6,NON_NY,NON_NY,NON_NY,NON_NY,170,0,outside retained New York zone mapping
136,ERIE W,345,6,NON_NY,NON_NY,NON_NY,NON_NY,270,223,outside retained New York zone mapping
137,ERIE S,230,6,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
138,E TOMANO,230,6,NON_NY,NON_NY,NON_NY,NON_NY,110,64,outside retained New York zone mapping
139,KYGER,345,6,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
140,TE,230,6,NON_NY,NON_NY,NON_NY,NON_NY,0,0,outside retained New York zone mapping
