scenario_id,zone,npcc_bus_id,npcc_bus_name,target_bus_pg_mw
S2_2025_WINTER_PEAK_PUBLIC,A,54,NIAGARA W,394.385301787287
S2_2025_WINTER_PEAK_PUBLIC,A,55,NIAGARA E,197.192650893643
S2_2025_WINTER_PEAK_PUBLIC,A,56,HUNTLEY,495.093851384339
S2_2025_WINTER_PEAK_PUBLIC,A,57,HUNTLEY,14.3166985641929
S2_2025_WINTER_PEAK_PUBLIC,A,60,DUNKIRK,59.5351288283759
S2_2025_WINTER_PEAK_PUBLIC,A,61,DUNKIRK,132.276368542162
S2_2025_WINTER_PEAK_PUBLIC,C,65,GESONIDGE,7.481832143219
S2_2025_WINTER_PEAK_PUBLIC,C,68,HILLSIDE,271.054008885173
S2_2025_WINTER_PEAK_PUBLIC,C,71,BINGHAMTON,643.677757785503
S2_2025_WINTER_PEAK_PUBLIC,C,72,LAPEER,190.859261556085
S2_2025_WINTER_PEAK_PUBLIC,I,78,CE UG,0
S2_2025_WINTER_PEAK_PUBLIC,J,79,RAV A-3,920.770235126631
S2_2025_WINTER_PEAK_PUBLIC,K,80,NORTHPORT,953.68264504326
S2_2025_WINTER_PEAK_PUBLIC,J,82,AK-3,967.015723207826
S2_2025_WINTER_PEAK_PUBLIC,J,81,GOETHALS,333.300081179359
S2_2025_WINTER_PEAK_PUBLIC,E,43,EDIC,0
S2_2025_WINTER_PEAK_PUBLIC,E,44,PORTER,0
S2_2025_WINTER_PEAK_PUBLIC,F,38,GILBOA,0
S2_2025_WINTER_PEAK_PUBLIC,F,41,ROTTERDAM,66.2752276046935
S2_2025_WINTER_PEAK_PUBLIC,F,37,NEW SEATHED,0
S2_2025_WINTER_PEAK_PUBLIC,G,73,PLEASANT VLY,185.904518329483
S2_2025_WINTER_PEAK_PUBLIC,G,76,RAMAPO,257.65183502396
S2_2025_WINTER_PEAK_PUBLIC,G,39,LEEDS,63.1293666170055
S2_2025_WINTER_PEAK_PUBLIC,K,9003,EAST GARDEN CITY,332.960004363815
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,F,42,ALBANY,601.382853653601
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,D,47,MOSES W,944.920662
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,D,48,MOSES E,40.0600457
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,C,50,CLAY,1105.24857748821
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,C,51,CLAY,292.878562141814
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,B,53,ROCHESTER,288.8
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,A,54,NIAGARA W,394.385301787287
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,A,55,NIAGARA E,197.192650893643
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,A,56,HUNTLEY,495.093851384339
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,A,57,HUNTLEY,14.3166985641929
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,A,60,DUNKIRK,59.5351288283759
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,A,61,DUNKIRK,132.276368542162
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,C,65,GESONIDGE,7.481832143219
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,C,68,HILLSIDE,271.054008885173
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,C,71,BINGHAMTON,643.677757785503
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,C,72,LAPEER,190.859261556085
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,I,78,CE UG,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,J,79,RAV A-3,1057.35045339108
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,K,80,NORTHPORT,1041.77140928005
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,J,82,AK-3,1106.06928771024
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,J,81,GOETHALS,459.090089218702
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,E,43,EDIC,21.644860205438
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,E,44,PORTER,38.2768895278108
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,F,38,GILBOA,91.8226660458599
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,F,41,ROTTERDAM,98.9849541266362
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,F,37,NEW SEATHED,96.8271858347068
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,G,73,PLEASANT VLY,288.447240764726
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,G,76,RAMAPO,376.07697248077
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,G,39,LEEDS,170.186788128435
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,K,9003,EAST GARDEN CITY,436.668067131591
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,F,42,ALBANY,614.598552193203
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,D,47,MOSES W,934.124800737114
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,D,48,MOSES E,40.0600457
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,C,50,CLAY,1105.24857748821
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,C,51,CLAY,292.878562141814
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,B,53,ROCHESTER,288.8
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,A,54,NIAGARA W,394.385301787287
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,A,55,NIAGARA E,197.192650893643
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,A,56,HUNTLEY,495.093851384339
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,A,57,HUNTLEY,14.3166985641929
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,A,60,DUNKIRK,59.5351288283759
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,A,61,DUNKIRK,132.276368542162
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,C,65,GESONIDGE,7.481832143219
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,C,68,HILLSIDE,271.054008885173
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,C,71,BINGHAMTON,643.677757785503
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,C,72,LAPEER,190.859261556085
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,I,78,CE UG,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,J,79,RAV A-3,1092.94001242256
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,K,80,NORTHPORT,1146.39997492462
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,J,82,AK-3,1138.89816100178
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,J,81,GOETHALS,511.374360765447
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,E,43,EDIC,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,E,44,PORTER,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,F,38,GILBOA,104.875198053341
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,F,41,ROTTERDAM,123.095802781533
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,F,37,NEW SEATHED,112.084738701323
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,G,73,PLEASANT VLY,348.039877993882
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,G,76,RAMAPO,438.38348923504
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,G,39,LEEDS,210.863499736846
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,K,9003,EAST GARDEN CITY,506.33730192062
S5_2025_HIGH_TOTAL_EAST_PUBLIC,F,42,ALBANY,570.940033393197
S5_2025_HIGH_TOTAL_EAST_PUBLIC,D,47,MOSES W,927.524926820349
S5_2025_HIGH_TOTAL_EAST_PUBLIC,D,48,MOSES E,40.0600457
S5_2025_HIGH_TOTAL_EAST_PUBLIC,C,50,CLAY,1105.24857748821
S5_2025_HIGH_TOTAL_EAST_PUBLIC,C,51,CLAY,292.878562141814
S5_2025_HIGH_TOTAL_EAST_PUBLIC,B,53,ROCHESTER,288.8
S5_2025_HIGH_TOTAL_EAST_PUBLIC,A,54,NIAGARA W,394.385301787287
S5_2025_HIGH_TOTAL_EAST_PUBLIC,A,55,NIAGARA E,197.192650893643
S5_2025_HIGH_TOTAL_EAST_PUBLIC,A,56,HUNTLEY,495.093851384339
S5_2025_HIGH_TOTAL_EAST_PUBLIC,A,57,HUNTLEY,14.3166985641929
S5_2025_HIGH_TOTAL_EAST_PUBLIC,A,60,DUNKIRK,59.5351288283759
S5_2025_HIGH_TOTAL_EAST_PUBLIC,A,61,DUNKIRK,132.276368542162
S5_2025_HIGH_TOTAL_EAST_PUBLIC,C,65,GESONIDGE,7.481832143219
S5_2025_HIGH_TOTAL_EAST_PUBLIC,C,68,HILLSIDE,271.054008885173
S5_2025_HIGH_TOTAL_EAST_PUBLIC,C,71,BINGHAMTON,643.677757785503
S5_2025_HIGH_TOTAL_EAST_PUBLIC,C,72,LAPEER,190.859261556085
S5_2025_HIGH_TOTAL_EAST_PUBLIC,I,78,CE UG,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,J,79,RAV A-3,1084.68417009029
S5_2025_HIGH_TOTAL_EAST_PUBLIC,K,80,NORTHPORT,1133.5515409111
S5_2025_HIGH_TOTAL_EAST_PUBLIC,J,82,AK-3,1130.83322379717
S5_2025_HIGH_TOTAL_EAST_PUBLIC,J,81,GOETHALS,500.72980314316
S5_2025_HIGH_TOTAL_EAST_PUBLIC,E,43,EDIC,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,E,44,PORTER,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,F,38,GILBOA,12.6751473698721
S5_2025_HIGH_TOTAL_EAST_PUBLIC,F,41,ROTTERDAM,73.8371353496536
S5_2025_HIGH_TOTAL_EAST_PUBLIC,F,37,NEW SEATHED,28.0680540256238
S5_2025_HIGH_TOTAL_EAST_PUBLIC,G,73,PLEASANT VLY,339.173368996997
S5_2025_HIGH_TOTAL_EAST_PUBLIC,G,76,RAMAPO,411.562113500415
S5_2025_HIGH_TOTAL_EAST_PUBLIC,G,39,LEEDS,158.457440259959
S5_2025_HIGH_TOTAL_EAST_PUBLIC,K,9003,EAST GARDEN CITY,496.355195556374
S6_2025_LOW_TOTAL_EAST_PUBLIC,F,42,ALBANY,654.102231868988
S6_2025_LOW_TOTAL_EAST_PUBLIC,D,47,MOSES W,944.920662
S6_2025_LOW_TOTAL_EAST_PUBLIC,D,48,MOSES E,40.0600457
S6_2025_LOW_TOTAL_EAST_PUBLIC,C,50,CLAY,1105.24857748821
S6_2025_LOW_TOTAL_EAST_PUBLIC,C,51,CLAY,292.878562141814
S6_2025_LOW_TOTAL_EAST_PUBLIC,B,53,ROCHESTER,288.8
S6_2025_LOW_TOTAL_EAST_PUBLIC,A,54,NIAGARA W,394.385301787287
S6_2025_LOW_TOTAL_EAST_PUBLIC,A,55,NIAGARA E,197.192650893643
S6_2025_LOW_TOTAL_EAST_PUBLIC,A,56,HUNTLEY,495.093851384339
S6_2025_LOW_TOTAL_EAST_PUBLIC,A,57,HUNTLEY,14.3166985641929
S6_2025_LOW_TOTAL_EAST_PUBLIC,A,60,DUNKIRK,59.5351288283759
S6_2025_LOW_TOTAL_EAST_PUBLIC,A,61,DUNKIRK,132.276368542162
S6_2025_LOW_TOTAL_EAST_PUBLIC,C,65,GESONIDGE,7.481832143219
S6_2025_LOW_TOTAL_EAST_PUBLIC,C,68,HILLSIDE,271.054008885173
S6_2025_LOW_TOTAL_EAST_PUBLIC,C,71,BINGHAMTON,643.677757785503
S6_2025_LOW_TOTAL_EAST_PUBLIC,C,72,LAPEER,190.859261556085
S6_2025_LOW_TOTAL_EAST_PUBLIC,I,78,CE UG,0
S6_2025_LOW_TOTAL_EAST_PUBLIC,J,79,RAV A-3,1036.03686864891
S6_2025_LOW_TOTAL_EAST_PUBLIC,K,80,NORTHPORT,1067.08489186982
S6_2025_LOW_TOTAL_EAST_PUBLIC,J,82,AK-3,1082.07452926018
S6_2025_LOW_TOTAL_EAST_PUBLIC,J,81,GOETHALS,450.648343664734
S6_2025_LOW_TOTAL_EAST_PUBLIC,E,43,EDIC,112.996032393001
S6_2025_LOW_TOTAL_EAST_PUBLIC,E,44,PORTER,119.137534327581
S6_2025_LOW_TOTAL_EAST_PUBLIC,F,38,GILBOA,147.985218706649
S6_2025_LOW_TOTAL_EAST_PUBLIC,F,41,ROTTERDAM,156.119619046455
S6_2025_LOW_TOTAL_EAST_PUBLIC,F,37,NEW SEATHED,154.366942017336
S6_2025_LOW_TOTAL_EAST_PUBLIC,G,73,PLEASANT VLY,308.311512034545
S6_2025_LOW_TOTAL_EAST_PUBLIC,G,76,RAMAPO,387.17752101856
S6_2025_LOW_TOTAL_EAST_PUBLIC,G,39,LEEDS,213.16313641578
S6_2025_LOW_TOTAL_EAST_PUBLIC,K,9003,EAST GARDEN CITY,441.748911501559
