case_id,case_group,scenario_id,include_s4,apply_abc_caps,x_spine_multiplier,zone,load_mw,qload_mvar,total_pg_mw,local_pg_excluding_boundary_mw,boundary_equiv_pg_mw,s4_equiv_pg_mw,zone_j_equiv_pg_mw,local_pmax_excluding_boundary_mw,local_net_injection_mw,target_load_mw,target_net_export_mw,target_generation_mw,generation_prior_mw,local_generation_residual_mw
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,0.75,D,525.499765020787,44.6230675130482,501.996381066599,984.9807077,-482.984326633401,0,0,984.9807077,459.480942679213,525.499765020787,-18.0281665798467,507.47159844094,888,477.50910925906
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,0.75,E,310.722794351992,17.8506678056764,0,0,0,0,0,600,-310.722794351992,310.722794351992,1622.50542165601,1933.228216008,599,-1933.228216008
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,0.75,F,607.181454913555,85.0510438029813,663.308842472511,568.003995,95.3048474725107,0,0,2168.003995,-39.1774599135551,607.181454913555,1556.93769935467,2164.11915426823,2210,-1596.11515926823
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,0.75,G,477.380725475773,119.642887615226,726.455985826123,603.243936159772,123.212049666351,603.243936159772,0,2200,125.863210683999,477.380725475773,784.20060411483,1261.5813295906,2177,-658.337393430828
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,0.75,H,201.257521397288,0,0,0,0,0,0,0,-201.257521397288,201.257521397288,-3945.61555854566,-3744.35803714837,25,3744.35803714837
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,0.75,I,524.487960045707,136.122267969391,0,0,0,0,0,565.099092,-524.487960045707,524.487960045707,3173.76557921188,3698.25353925759,0,-3698.25353925759
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,0.75,J,4368.0500990318,1094.73654717688,1177.33273845758,1197.07746,-19.7447215424155,0,0,4197.07746,-3170.9726390318,4368.0500990318,-3173.76557921188,1194.28451981992,4029,2.79294018008
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,0,0.75,K,1236.31883136526,38.1983717995756,1755.39300650647,1755.39300650647,0,1170.46366450647,0,2384.929342,519.074175141209,1236.31883136526,0,1236.31883136526,2405,519.07417514121
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0.75,A,933.986786519434,147.515915517631,2213.61454703721,2338.33522000411,-124.720672966898,0,0,5244.8202066,1404.34843348468,933.986786519434,0,933.986786519434,1616,1404.34843348468
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0.75,B,618.641960022222,144.960633326516,1246.75388,1246.75388,0,0,0,1246.75388,628.111919977778,618.641960022222,0,618.641960022222,361,628.111919977778
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0.75,C,860.171569150202,93.3187470107995,2764.20273145744,2850.73344995439,-86.530718496955,0,0,4056.6810405,1990.56188080419,860.171569150202,0,860.171569150202,3139,1990.56188080419
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0.75,D,168.972029516236,14.3483418696134,926.861892632767,407.101808021492,519.760084611275,0,0,984.9807077,238.129778505256,168.972029516236,777.591851487167,946.563881003403,888,-539.462072981911
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0.75,E,415.391998103143,23.8637933941709,0,0,0,0,0,600,-415.391998103143,415.391998103143,111.651420465324,527.043418568467,599,-527.043418568467
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0.75,F,752.205742431129,105.365345121538,460.107310489193,568.003995,-107.896684510807,0,0,2168.003995,-184.201747431129,752.205742431129,172.248160640179,924.453903071308,2210,-356.449908071308
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0.75,G,810.88521680194,203.22699196955,866.660365233184,1071.77125124787,-205.110886014689,1071.77125124787,0,2200,260.886034445932,810.88521680194,871.33488307857,1682.22009988051,2177,-610.448848632637
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0.75,H,230.237430792078,0,0,0,0,0,0,0,-230.237430792078,230.237430792078,-1932.82631567124,-1702.58888487916,25,1702.58888487916
S4_EQUIV_ONLY_X0P75,s4_equiv_only_x,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,0,0.75,I,492.648737521584,127.858918740196,0,0,0,0,0,565.099092,-492.648737521584,492.648737521584,1062.17249622078,1554.82123374236,0,-1554.82123374236
