audit_group,scenario_id,voltage_reference_set,sweep_direction,start_mode,perturbation_id,boundary_q_mode,reference_weight,external_interface_name,gen_index,bus_id,pg_mw,qg_mvar,target_q_mvar,q_deviation_mvar,qmin_mvar,qmax_mvar
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,PJM_NY_WATERCURE,40,66,-27.6447683733904,140.463794448687,-6.92824201780835,147.392036466495,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,PJM_NY_WRHL,41,67,-11.8481916552614,65.722066167296,-2.96924657906072,68.6913127463567,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,PJM_NY_RAMAPO,42,75,-19.7465028918213,399.575452565708,-4.94874429843453,404.524196864142,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.815,PJM_NY_GOETHALS,43,81,-19.7465042182859,499.97781312154,-4.94874429843453,504.926557419974,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,HQ_NY_MOSES,36,48,-482.986050962345,145.341350661451,-121.047533070407,266.388883731858,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,NE_NY_NORTHFIELD,37,37,95.3031201467575,-489.617071653966,23.8853956683908,-513.502467322356,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,NE_NY_PV,38,73,142.955019170671,197.751653695679,35.8280935025862,161.923560193093,-500,500
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,OH_NY_NIAGARA,39,54,406.012527734307,-393.146910882239,101.756508871492,-494.903419753731,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,PJM_NY_WATERCURE,40,66,-27.6447353701582,139.698701256532,-6.92824201780835,146.62694327434,-750,750
S1_REFINED_BIDIRECTIONAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S1_OPF_SOLVED_REFERENCE,increasing,warm,0,present_limited_q,0.8175,PJM_NY_WRHL,41,67,-11.8481588761426,69.7577801649161,-2.96924657906072,72.7270267439769,-500,500
