scenario_id,variant,ratings_relaxed,voltage_relaxed,status,model,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,generation_minus_load_mw,boundary_equiv_pg_mw,min_voltage,max_voltage,above_original_vmax_count,below_original_vmin_count,at_solver_vmax_count,at_solver_vmin_count,original_rate_overload_count,max_original_rate_overload_mva,solver_rate_overload_count,max_solver_rate_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,note
S2_2025_WINTER_PEAK_PUBLIC,ACOPF_NORMAL,0,0,ok,AC,0,0,258218.208077338,10902.2197987,10048.9543400893,-853.265458610702,1461.85542997421,0.900005475399605,1.1,0,0,14,2,0,0,0,0,2499.61710329112,1865.11286512932,2105.53647852957,
S2_2025_WINTER_PEAK_PUBLIC,ACOPF_NO_RATINGS,1,0,ok,AC,0,0,268667.444395262,10902.2197987,10566.155573467,-336.064225232965,1461.85510288427,0.900216650546433,1.1,0,0,15,0,1,462.378034847651,0,0,2949.52307721706,2237.42880113647,2105.97143015725,
S2_2025_WINTER_PEAK_PUBLIC,ACOPF_RELAXED_V,0,1,ok,AC,0,0,251208.441865082,10902.2197987,9882.62534025727,-1019.59445844273,1461.85490187571,1.26817941876634,1.5,46,0,3,0,0,0,0,0,2499.92233488851,1911.74141712895,2102.63543466795,
S2_2025_WINTER_PEAK_PUBLIC,ACOPF_RELAXED_V_NO_RATINGS,1,1,ok,AC,1,1,204770.51516284,10902.2197987,12191.3050165932,1289.08521789321,1461.85990208034,1.27912500866037,1.5,46,0,21,0,5,2213.4813782687,0,0,4711.94814906128,3943.41784167408,2103.04961027203,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,DCOPF_MIPS,0,0,ok,DC,0,-1,220544.194247332,10902.2197987,9756.96603691086,-1145.25376178914,295.803993577913,1,1,0,0,0,0,0,0,0,0,2499.99338719728,2322.26959718054,1952.01296706413,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,DCOPF_IPOPT,0,0,ok,DC,0,0,233872.588700055,10902.2197987,9045.29790850737,-1856.92189019263,82.307854567237,1,1,0,0,0,0,1,2.49992694989487e-05,1,2.49992694989487e-05,2500.00002499927,2145.83135161843,3190.7173476057,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,DCOPF_IPOPT_NO_RATINGS,1,0,ok,DC,1,1,188640.112665819,10902.2197987,10902.2196839624,-0.00011473756057967,82.3126423956917,1,1,0,0,0,0,13,4204.02780976019,0,0,6704.02780976019,6349.85913638006,4387.79482157218,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ACOPF_NORMAL,0,0,ok,AC,0,0,264964.136458016,10902.2197987,9246.47310923608,-1655.74668946392,82.3096136711375,0.962864398684329,1.1,0,0,12,0,0,1.71280589711387e-08,0,1.71280589711387e-08,2497.93916574577,2053.84898067969,3204.21657736449,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ACOPF_NO_RATINGS,1,0,ok,AC,0,0,276459.745625687,10902.2197987,10010.0951733014,-892.124625398572,82.3090328516216,0.900467893752652,1.1,0,0,14,0,2,575.264461751578,0,0,3041.3604012369,2504.15608801604,3205.51851696459,
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ACOPF_RELAXED_V,0,1,ok,AC,0,0,267192.745037099,10902.2197987,9195.29454598781,-1706.92525271219,82.3076457357648,1.17610540589584,1.5,46,0,3,0,0,0,0,0,2499.88015715341,2099.17456866003,3197.87005929992,
