device_key,source_bus,model_bus,status,source_reference_vg_pu,mapped_vg_pu,policy,raw_remote_control_omitted
PERFORM2019:GEN:60:1,60,20060,1,1.03938075951612,1.03938075951612,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:60:2,60,20060,1,1.03938075951612,1.03938075951612,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:63:C1,63,20063,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:63:C2,63,20063,1,1.06297426991486,1.06297426991486,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:69:1,69,56,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:69:2,69,56,1,1.00219182923366,1.01127646398436,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:69:3,69,56,1,1.00219182923366,1.01127646398436,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:1,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:2,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:3,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:4,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:5,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:6,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:7,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:8,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:9,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:10,79,20079,1,1.0748228256732,1.0748228256732,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:11,79,20079,1,1.0748228256732,1.0748228256732,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:12,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:13,79,20079,1,1.0748228256732,1.0748228256732,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:14,79,20079,1,1.0748228256732,1.0748228256732,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:79:15,79,20079,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:80:1,80,20080,1,1.01750995310416,1.01750995310416,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:82:1,82,20082,1,1.01474460530676,1.01474460530676,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:83:1,83,20083,1,1.03145325762955,1.03145325762955,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:83:2,83,20083,1,1.03145325762955,1.03145325762955,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:84:1,84,20084,1,1.01466866212055,1.01466866212055,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:84:2,84,20084,1,1.01466866212055,1.01466866212055,local_PV_common_terminal_Q_span_weighted_reference_prior,0
