model_bus,zone,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,gs_mw,bs_mvar
20370,E,2.08,0,0,0,2.08,0,0,0
20371,E,4.15,0,0,0,4.15,0,0,0
20372,E,8.31,0,0,0,8.31,0,0,0
20373,E,2.08,0,0,0,2.08,0,0,0
20374,E,12.46,0,0,0,12.46,0,0,0
20375,E,4.15,0,0,0,4.15,0,0,0
20376,E,2.08,0,0,0,2.08,0,0,0
20377,E,2.08,0,0,0,2.08,0,0,0
20378,E,6.23,0,0,0,6.23,0,0,0
20379,E,6.23,0,0,0,6.23,0,0,0
20380,E,14.54,0,0,0,14.54,0,0,0
20381,E,2.08,0,0,0,2.08,0,0,0
20382,E,4.15,0,0,0,4.15,0,0,0
20383,E,8.31,0,0,0,8.31,0,0,0
20384,E,2.08,0,0,0,2.08,0,0,0
20385,E,4.15,0,0,0,4.15,0,0,0
20386,E,2.08,0,0,0,2.08,0,0,0
20387,E,4.15,0,0,0,4.15,0,0,0
20388,E,6.23,0,0,0,6.23,0,0,0
20389,E,2.08,0,0,0,2.08,0,0,0
20390,E,4.15,0,0,0,4.15,0,0,0
20391,E,4.15,0,0,0,4.15,0,0,0
20392,E,2.08,0,0,0,2.08,0,0,0
20393,E,4.15,0,0,0,4.15,0,0,0
20394,E,4.15,0,0,0,4.15,0,0,0
20395,E,0,0,0,0,0,0,0,0
20396,E,2.08,0,0,0,2.08,0,0,0
20397,E,2.08,0,0,0,2.08,0,0,0
20398,E,2.08,0,0,0,2.08,0,0,0
20399,E,4.15,0,0,0,4.15,0,0,0
20400,E,4.94,0,0,0,4.94,0,0,0
20401,E,2.08,0,0,0,2.08,0,0,0
20402,E,4.15,0,0,0,4.15,0,0,0
20403,E,4.15,0,0,0,4.15,0,0,0
20404,E,2.08,0,0,0,2.08,0,0,0
20405,E,2.08,0,0,0,2.08,0,0,0
20406,E,2.08,0,0,0,2.08,0,0,0
20407,E,2.08,0,0,0,2.08,0,0,0
20408,E,2.08,0,0,0,2.08,0,0,0
20409,E,2.08,0,0,0,2.08,0,0,0
20410,E,2.08,0,0,0,2.08,0,0,0
20411,E,4.15,0,0,0,4.15,0,0,0
20412,E,8.31,0,0,0,8.31,0,0,0
20413,E,6.23,0,0,0,6.23,0,0,0
20414,E,4.15,0,0,0,4.15,0,0,0
20415,E,20.77,0,0,0,20.77,0,0,0
20416,E,2.08,0,0,0,2.08,0,0,0
20417,E,4.15,0,0,0,4.15,0,0,0
20418,E,8.31,0,0,0,8.31,0,0,0
20419,E,4.15,0,0,0,4.15,0,0,0
20420,E,4.15,0,0,0,4.15,0,0,0
20421,E,4.15,0,0,0,4.15,0,0,0
20422,E,4.15,0,0,0,4.15,0,0,0
20423,E,8.31,0,0,0,8.31,0,0,0
20424,E,4.15,0,0,0,4.15,0,0,0
20425,E,2.08,0,0,0,2.08,0,0,0
20426,E,4.15,0,0,0,4.15,0,0,0
20427,E,4.15,0,0,0,4.15,0,0,0
20428,E,4.15,0,0,0,4.15,0,0,0
20429,E,6.23,0,0,0,6.23,0,0,0
20430,E,4.15,0,0,0,4.15,0,0,0
20431,E,4.15,0,0,0,4.15,0,0,0
20432,E,4.15,0,0,0,4.15,0,0,0
20433,E,2.08,0,0,0,2.08,0,0,0
20434,E,8.31,0,0,0,8.31,0,0,0
20435,E,4.15,0,0,0,4.15,0,0,0
20436,E,2.08,0,0,0,2.08,0,0,0
20437,E,2.08,0,0,0,2.08,0,0,0
20438,E,2.08,0,0,0,2.08,0,0,0
20439,E,2.08,0,0,0,2.08,0,0,0
20440,E,4.15,0,0,0,4.15,0,0,0
20441,E,4.15,0,0,0,4.15,0,0,0
20442,E,2.08,0,0,0,2.08,0,0,0
20443,E,2.08,0,0,0,2.08,0,0,0
20444,E,2.08,0,0,0,2.08,0,0,0
20445,E,4.15,0,0,0,4.15,0,0,0
20446,E,2.08,0,0,0,2.08,0,0,0
20447,E,6.23,0,0,0,6.23,0,0,0
20448,F,6.84,0,0,0,6.84,0,0,0
20449,D,44.43,0,0,0,44.43,0,0,0
20450,D,44.43,0,0,0,44.43,0,0,0
20451,F,3.42,0,0,0,3.42,0,0,0
20452,F,6.84,0,0,0,6.84,0,0,0
20453,F,6.84,0,0,0,6.84,0,0,0
20454,F,3.42,0,0,0,3.42,0,0,0
20455,E,4.15,0,0,0,4.15,0,0,0
20456,E,2.08,0,0,0,2.08,0,0,0
20457,E,4.15,0,0,0,4.15,0,0,0
20458,E,2.08,0,0,0,2.08,0,0,0
20459,E,4.15,0,0,0,4.15,0,0,0
20460,E,2.08,0,0,0,2.08,0,0,0
20461,E,4.15,0,0,0,4.15,0,0,0
20462,F,6.84,0,0,0,6.84,0,0,0
20463,F,3.42,0,0,0,3.42,0,0,0
20464,F,6.84,0,0,0,6.84,0,0,0
20465,F,3.42,0,0,0,3.42,0,0,0
20466,F,3.42,0,0,0,3.42,0,0,0
20467,F,3.42,0,0,0,3.42,0,0,0
20468,F,3.42,0,0,0,3.42,0,0,0
20469,F,3.42,0,0,0,3.42,0,0,0
20470,F,3.42,0,0,0,3.42,0,0,0
20471,F,3.42,0,0,0,3.42,0,0,0
20472,F,6.84,0,0,0,6.84,0,0,0
20473,F,3.42,0,0,0,3.42,0,0,0
20474,F,34.22,0,0,0,34.22,0,0,0
20475,F,6.84,0,0,0,6.84,0,0,0
20476,F,6.84,0,0,0,6.84,0,0,0
20477,F,6.84,0,0,0,6.84,0,0,0
20478,F,6.84,0,0,0,6.84,0,0,0
20479,F,1.54,0,0,0,1.54,0,0,0
20480,F,6.84,0,0,0,6.84,0,0,0
20481,F,6.84,0,0,0,6.84,0,0,0
20482,F,6.84,0,0,0,6.84,0,0,0
20483,F,14.58,0,0,0,14.58,0,0,0
20484,F,6.84,0,0,0,6.84,0,0,0
20485,D,29.62,0,0,0,29.62,0,0,40.31
20486,F,3.42,0,0,0,3.42,0,0,0
20487,F,6.84,0,0,0,6.84,0,0,0
20488,F,3.42,0,0,0,3.42,0,0,0
20489,F,10.27,0,0,0,10.27,0,0,15.12
20490,F,6.84,0,0,0,6.84,0,0,0
20491,F,3.42,0,0,0,3.42,0,0,0
20492,F,3.42,0,0,0,3.42,0,0,0
20493,E,2.08,0,0,0,2.08,0,0,0
20494,E,2.08,0,0,0,2.08,0,0,0
20495,E,10.39,0,0,0,10.39,0,0,0
20496,E,4.15,0,0,0,4.15,0,0,0
20497,E,6.23,0,0,0,6.23,0,0,0
20498,E,4.15,0,0,0,4.15,0,0,0
20499,E,4.15,0,0,0,4.15,0,0,0
20500,E,1.87,0,0,0,1.87,0,0,0
20501,E,4.7,0,0,0,4.7,0,0,0
20502,F,3.42,0,0,0,3.42,0,0,0
20503,F,13.69,0,0,0,13.69,0,0,0
20504,F,3.42,0,0,0,3.42,0,0,0
20505,F,6.84,0,0,0,6.84,0,0,0
20506,F,6.84,0,0,0,6.84,0,0,0
20507,F,13.69,0,0,0,13.69,0,0,0
20508,F,6.84,0,0,0,6.84,0,0,0
20509,F,13.69,0,0,0,13.69,0,0,0
20510,F,9.92,0,0,0,9.92,0,0,0
20511,F,13.69,0,0,0,13.69,0,0,0
20512,G,20.76,0,0,0,20.76,0,0,30.06
20513,F,6.84,0,0,0,6.84,0,0,0
20514,G,8.26,0,0,0,8.26,0,0,0
20515,G,11.58,0,0,0,11.58,0,0,0
20516,G,18.36,0,0,0,18.36,0,0,0
20517,F,6.84,0,0,0,6.84,0,0,0
20518,G,11.58,0,0,0,11.58,0,0,0
20519,G,18.36,0,0,0,18.36,0,0,0
20520,G,8.26,0,0,0,8.26,0,0,0
20521,F,3.42,0,0,0,3.42,0,0,0
20522,F,7.74,0,0,0,7.74,0,0,0
20523,F,10.27,0,0,0,10.27,0,0,0
20524,G,22.49,0,0,0,22.49,0,0,0
20525,G,8.26,0,0,0,8.26,0,0,0
20526,E,0.93,0,0,0,0.93,0,0,0
20527,G,8.26,0,0,0,8.26,0,0,0
20528,G,18.36,0,0,0,18.36,0,0,0
20529,G,0,0,0,0,0,0,0,0
20530,G,0,0,0,0,0,0,0,0
20531,G,18.36,0,0,0,18.36,0,0,0
20532,G,18.36,0,0,0,18.36,0,0,0
20533,G,8.26,0,0,0,8.26,0,0,0
20534,G,8.26,0,0,0,8.26,0,0,0
20535,G,39.52,0,0,0,39.52,0,0,0
20536,G,55.69,0,0,0,55.69,0,0,0
20537,G,36.73,0,0,0,36.73,0,0,0
20538,G,18.36,0,0,0,18.36,0,0,0
20539,G,12.39,0,0,0,12.39,0,0,1.47
20540,G,4.13,0,0,0,4.13,0,0,0
20541,G,9.28,0,0,0,9.28,0,0,0
20542,G,9.18,0,0,0,9.18,0,0,0
20543,G,9.18,0,0,0,9.18,0,0,0
20544,G,18.56,0,0,0,18.56,0,0,0
20545,G,9.28,0,0,0,9.28,0,0,0
20546,G,24.52,0,0,0,24.52,0,0,0
20547,I,0,0,0,0,0,0,0,0
20548,K,13.91,0,0,0,13.91,0,0,0
20549,K,27.82,0,0,0,27.82,0,0,0
20550,K,106.01,0,0,0,106.01,0,0,0
20551,K,13.91,0,0,0,13.91,0,0,0
20552,K,50.95,0,0,0,50.95,0,0,0
20553,K,55.98,0,0,0,55.98,0,0,0
20554,K,82.22,0,0,0,82.22,0,0,0
20555,K,46.58,0,0,0,46.58,0,0,0
20556,J,363.64,0,0,0,363.64,0,0,0
20557,J,0,0,0,0,0,0,0,0
20558,K,6.96,0,0,0,6.96,0,0,0
20559,K,33.39,0,0,0,33.39,0,0,0
20560,K,0,0,0,0,0,0,0,0
20561,K,27.82,0,0,0,27.82,0,0,0
20562,D,0,0,0,0,0,0,0,0
20563,F,3.42,0,0,0,3.42,0,0,0
20564,K,6.96,0,0,0,6.96,0,0,0
20565,H,94.71,0,0,0,94.71,0,0,0
20567,K,34.78,0,0,0,34.78,0,0,0
20568,K,13.91,0,0,0,13.91,0,0,0
20569,K,20.87,0,0,0,20.87,0,0,0
20570,J,113.23,0,0,0,113.23,0,0,0
20571,J,0,0,129.999995,60.3460421186898,-129.999995,-60.3460421186898,0,0
20572,K,31.27,0,0,0,31.27,0,0,0
20573,E,2.08,0,0,0,2.08,0,0,0
20574,E,2.08,0,0,0,2.08,0,0,0
20576,E,2.08,0,0,0,2.08,0,0,0
20577,K,13.91,0,0,0,13.91,0,0,0
20578,K,13.91,0,0,0,13.91,0,0,0
20579,E,2.08,0,0,0,2.08,0,0,0
20580,K,0,0,150,13.6085200552221,-150,-13.6085200552221,0,0
20581,K,16.69,0,0,0,16.69,0,0,0
20582,K,15.3,0,0,0,15.3,0,0,0
20583,K,13.91,0,0,0,13.91,0,0,0
20584,K,22.26,0,0,0,22.26,0,0,0
20585,K,13.91,0,0,0,13.91,0,0,0
20586,K,13.91,0,0,0,13.91,0,0,0
20587,K,13.91,0,0,0,13.91,0,0,31.13
20588,K,27.82,0,0,0,27.82,0,0,0
20589,K,0,0,0,0,0,0,0,500
20590,K,0,0,0,0,0,0,0,0
20591,K,48.69,0,0,0,48.69,0,0,0
20592,K,20.87,0,0,0,20.87,0,0,0
20593,I,0,0,0,0,0,0,0,0
20594,I,0,0,0,0,0,0,0,0
20595,J,440.64,0,0,0,440.64,0,0,0
20596,J,522.5,0,0,0,522.5,0,0,0
20597,J,636.38,0,0,0,636.38,0,0,0
20598,K,27.82,0,0,0,27.82,0,0,0
20599,J,272.73,0,0,0,272.73,0,0,0
20600,J,557.76,0,0,0,557.76,0,0,0
20601,J,555.17,0,0,0,555.17,0,0,0
20602,K,6.96,0,0,0,6.96,0,0,0
20603,K,47.11,0,0,0,47.11,0,0,0
20604,K,31.72,0,0,0,31.72,0,0,0
20605,K,13.91,0,0,0,13.91,0,0,0
20606,K,20.87,0,0,0,20.87,0,0,0
20607,K,13.91,0,0,0,13.91,0,0,0
20608,K,148.8,0,0,0,148.8,0,0,0
20609,K,50.64,0,0,0,50.64,0,0,-99.74
20610,K,6.96,0,0,0,6.96,0,0,0
20611,K,27.71,0,0,0,27.71,0,0,0
20612,K,6.96,0,0,0,6.96,0,0,0
20613,K,13.91,0,0,0,13.91,0,0,0
20614,K,41.74,0,0,0,41.74,0,0,0
20615,K,20.87,0,0,0,20.87,0,0,0
20616,K,13.91,0,0,0,13.91,0,0,0
20617,K,13.91,0,0,0,13.91,0,0,0
20618,K,13.91,0,0,0,13.91,0,0,0
20619,K,19.67,0,0,0,19.67,0,0,0
20620,K,34.78,0,0,0,34.78,0,0,0
20621,K,29.22,0,0,0,29.22,0,0,0
20622,K,29.22,-10.28,0,0,29.22,-10.28,0,0
20623,J,202.2,0,0,0,202.2,0,0,0
20624,K,34.78,0,0,0,34.78,0,0,0
20625,K,13.91,0,0,0,13.91,0,0,0
20626,K,36.17,0,0,0,36.17,0,0,0
20627,K,6.96,0,0,0,6.96,0,0,0
20628,J,460.38,0,0,0,460.38,0,0,0
20629,J,454.55,0,0,0,454.55,0,0,0
20630,F,0,0,0,0,0,0,0,0
20631,F,10.27,0,0,0,10.27,0,0,0
20632,F,3.42,0,0,0,3.42,0,0,0
20633,F,3.42,0,0,0,3.42,0,0,0
20634,F,3.42,0,0,0,3.42,0,0,0
20635,F,10.27,0,0,0,10.27,0,0,0
20636,F,3.42,0,0,0,3.42,0,0,0
20637,F,0,0,0,0,0,0,0,0
20638,G,12.39,0,0,0,12.39,0,0,0
20639,G,16.51,0,0,0,16.51,0,0,0
20640,G,8.26,0,0,0,8.26,0,0,0
20641,G,12.39,0,0,0,12.39,0,0,0
20642,G,18.36,0,0,0,18.36,0,0,0
20643,G,18.36,0,0,0,18.36,0,0,0
20644,G,0,0,0,0,0,0,0,0
20645,G,27.55,0,0,0,27.55,0,0,0
20646,G,18.36,0,0,0,18.36,0,0,0
20647,G,29.94,0,0,0,29.94,0,0,0
20648,G,18.36,0,0,0,18.36,0,0,0
20649,G,39.53,0,0,0,39.53,0,0,0
20650,G,8.26,0,0,0,8.26,0,0,0
20651,G,0,0,-800.37899,43.4104129646257,800.37899,-43.4104129646257,0,0
20652,G,6.97,0,0,0,6.97,0,0,0
20653,G,4.13,0,0,0,4.13,0,0,0
20654,G,12.39,0,0,0,12.39,0,0,0
20655,G,16.51,0,0,0,16.51,0,0,0
20656,F,10.27,0,0,0,10.27,0,0,0
20657,F,10.27,0,0,0,10.27,0,0,0
20658,F,10.27,0,0,0,10.27,0,0,0
20659,G,27.55,0,0,0,27.55,0,0,0
20660,G,27.55,0,0,0,27.55,0,0,0
20661,G,16.51,0,0,0,16.51,0,0,0
20662,G,16.51,0,0,0,16.51,0,0,0
20663,G,12.39,0,0,0,12.39,0,0,0
20664,F,6.84,0,0,0,6.84,0,0,0
20665,F,10.27,0,0,0,10.27,0,0,0
20666,G,16.15,0,0,0,16.15,0,0,0
20667,G,12.39,0,0,0,12.39,0,0,0
20668,F,6.84,0,0,0,6.84,0,0,0
20669,F,6.84,0,0,0,6.84,0,0,0
20670,G,4.13,0,0,0,4.13,0,0,0
20671,G,6.97,0,0,0,6.97,0,0,0
20672,F,6.84,0,0,0,6.84,0,0,0
20673,F,6.84,0,0,0,6.84,0,0,0
20674,F,10.27,0,0,0,10.27,0,0,0
20675,F,10.27,0,0,0,10.27,0,0,0
20676,F,10.27,0,0,0,10.27,0,0,0
20677,F,10.27,0,0,0,10.27,0,0,0
20678,F,10.27,0,0,0,10.27,0,0,0
20679,F,10.27,0,0,0,10.27,0,0,0
20680,F,10.27,0,0,0,10.27,0,0,0
20681,F,10.27,0,0,0,10.27,0,0,0
20682,F,6.84,0,0,0,6.84,0,0,0
20683,F,20.53,0,0,0,20.53,0,0,0
20684,F,10.27,0,0,0,10.27,0,0,0
20685,F,3.42,0,0,0,3.42,0,0,0
20686,F,10.27,0,0,0,10.27,0,0,0
20687,F,10.27,0,0,0,10.27,0,0,0
20688,F,10.27,0,0,0,10.27,0,0,0
20689,F,10.27,0,0,0,10.27,0,0,0
20690,F,10.27,0,0,0,10.27,0,0,0
20691,F,10.27,0,0,0,10.27,0,0,0
20692,F,10.27,0,0,0,10.27,0,0,0
20693,F,10.27,0,0,0,10.27,0,0,0
20694,F,6.84,0,0,0,6.84,0,0,0
20695,F,6.84,0,0,0,6.84,0,0,0
20696,F,10.27,0,0,0,10.27,0,0,0
20697,F,10.27,0,0,0,10.27,0,0,0
20698,F,10.27,0,0,0,10.27,0,0,0
20699,F,10.27,0,0,0,10.27,0,0,0
20700,F,10.27,0,0,0,10.27,0,0,0
20701,F,10.27,0,0,0,10.27,0,0,0
20702,F,6.84,0,0,0,6.84,0,0,0
20703,F,6.84,0,0,0,6.84,0,0,0
20704,F,13.69,0,0,0,13.69,0,0,0
20705,F,10.27,0,0,0,10.27,0,0,0
20706,F,13.69,0,0,0,13.69,0,0,0
20707,F,10.27,0,0,0,10.27,0,0,0
20708,F,10.27,0,0,0,10.27,0,0,0
20709,F,10.27,0,0,0,10.27,0,0,0
20710,F,10.27,0,0,0,10.27,0,0,0
20711,F,10.27,0,0,0,10.27,0,0,0
20712,F,10.27,0,0,0,10.27,0,0,0
20713,F,10.27,0,0,0,10.27,0,0,0
20714,F,10.27,0,0,0,10.27,0,0,0
20715,F,10.27,0,0,0,10.27,0,0,0
20716,F,10.27,0,0,0,10.27,0,0,0
20717,F,10.27,0,0,0,10.27,0,0,0
20718,F,8.14,0,0,0,8.14,0,0,0
20719,F,6.84,0,0,0,6.84,0,0,0
20720,F,13.69,0,0,0,13.69,0,0,0
20721,F,6.84,0,0,0,6.84,0,0,0
20722,F,0,0,0,0,0,0,0,0
20723,F,3.42,0,0,0,3.42,0,0,0
20724,F,16.28,0,0,0,16.28,0,0,0
20725,F,6.84,0,0,0,6.84,0,0,0
20726,F,6.84,0,0,0,6.84,0,0,0
20727,F,6.84,0,0,0,6.84,0,0,0
20728,F,6.84,0,0,0,6.84,0,0,0
20729,F,3.42,0,0,0,3.42,0,0,0
20730,F,6.84,0,0,0,6.84,0,0,0
20731,K,20.87,0,0,0,20.87,0,0,0
20732,K,22.26,0,0,0,22.26,0,0,0
20733,K,22.26,0,0,0,22.26,0,0,13.49
20734,K,20.87,0,0,0,20.87,0,0,0
20735,K,6.96,0,0,0,6.96,0,0,0
20736,K,48.69,0,0,0,48.69,0,0,14.07
20737,K,34.78,0,0,0,34.78,0,0,0
20738,K,15.3,0,0,0,15.3,0,0,0
20739,K,30.61,0,0,0,30.61,0,0,9.82
20740,K,30.61,0,0,0,30.61,0,0,0
20741,G,12.39,0,0,0,12.39,0,0,0
20742,F,10.27,0,0,0,10.27,0,0,0
20743,F,10.27,0,0,0,10.27,0,0,0
20744,F,10.27,0,0,0,10.27,0,0,0
20745,F,10.27,0,0,0,10.27,0,0,0
20746,F,10.27,0,0,0,10.27,0,0,0
20747,F,10.27,0,0,0,10.27,0,0,0
20748,F,10.27,0,0,0,10.27,0,0,0
20749,F,10.27,0,0,0,10.27,0,0,0
20750,F,10.27,0,0,0,10.27,0,0,0
20751,F,10.27,0,0,0,10.27,0,0,0
20752,G,27.55,0,0,0,27.55,0,0,0
20753,G,12.39,0,0,0,12.39,0,0,0
20754,G,27.55,0,0,0,27.55,0,0,0
20755,G,27.84,0,0,0,27.84,0,0,0
20756,G,9.18,0,0,0,9.18,0,0,0
20757,G,61.88,0,0,0,61.88,0,0,0
20758,G,8.26,0,0,0,8.26,0,0,0
20759,D,0,0,0,0,0,0,0,0
20760,D,0,0,0,0,0,0,0,0
20761,D,0,0,0,0,0,0,0,0
20762,D,0,0,0,0,0,0,0,0
20763,D,0,0,0,0,0,0,0,0
20764,D,0,0,0,0,0,0,0,0
20765,D,0,0,0,0,0,0,0,0
20766,D,0,0,0,0,0,0,0,0
20767,G,8.26,0,0,0,8.26,0,0,0
20768,E,0,0,0,0,0,0,0,0
20769,F,3.08,0,0,0,3.08,0,0,0
20770,G,8.26,0,0,0,8.26,0,0,0
20771,G,23.15,0,0,0,23.15,0,0,0
20772,G,0,0,0,0,0,0,0,0
20773,G,0,0,159.621,49.1446789736739,-159.621,-49.1446789736739,0,0
20774,G,0,0,0,0,0,0,0,0
20775,F,10.27,0,0,0,10.27,0,0,0
20776,F,10.27,0,0,0,10.27,0,0,0
20777,F,4.62,0,0,0,4.62,0,0,0
20778,F,10.27,0,0,0,10.27,0,0,0
20779,E,6.23,0,0,0,6.23,0,0,0
20780,F,6.84,0,0,0,6.84,0,0,0
20781,G,64.27,0,0,0,64.27,0,0,0
20782,G,12.39,0,0,0,12.39,0,0,0
20783,F,10.27,0,0,0,10.27,0,0,0
20784,F,10.27,0,0,0,10.27,0,0,0
20785,F,10.27,0,0,0,10.27,0,0,0
20786,F,10.27,0,0,0,10.27,0,0,0
20787,F,10.27,0,0,0,10.27,0,0,0
20788,F,10.27,0,0,0,10.27,0,0,0
20789,F,10.27,0,0,0,10.27,0,0,0
20790,F,10.27,0,0,0,10.27,0,0,0
20791,F,10.27,0,0,0,10.27,0,0,0
20792,F,10.27,0,0,0,10.27,0,0,0
20793,F,10.27,0,0,0,10.27,0,0,0
20794,F,10.27,0,0,0,10.27,0,0,0
20795,F,10.27,0,0,0,10.27,0,0,0
20796,F,10.27,0,0,0,10.27,0,0,0
20797,F,6.84,0,0,0,6.84,0,0,0
20798,F,3.42,0,0,0,3.42,0,0,0
20799,F,0,0,-835.999966,57.9630455374444,835.999966,-57.9630455374444,0,0
20800,F,0,0,0,0,0,0,0,0
20801,F,0,0,0,0,0,0,0,0
20802,F,0,0,0,0,0,0,0,0
20803,F,10.27,0,0,0,10.27,0,0,0
20804,F,10.27,0,0,0,10.27,0,0,0
20805,F,10.27,0,0,0,10.27,0,0,0
20806,F,10.27,0,0,0,10.27,0,0,0
20807,F,10.27,0,0,0,10.27,0,0,0
20808,F,6.02,0,0,0,6.02,0,0,0
20809,F,10.27,0,0,0,10.27,0,0,0
20810,F,9.1,0,0,0,9.1,0,0,0
20811,F,3.42,0,0,0,3.42,0,0,0
20812,F,6.84,0,0,0,6.84,0,0,0
20813,F,26.55,0,0,0,26.55,0,0,0
20814,F,6.84,0,0,0,6.84,0,0,0
20815,F,6.15,0,0,0,6.15,0,0,0
20816,F,6.84,0,0,0,6.84,0,0,0
20817,G,0,0,0,0,0,0,0,0
20818,G,0,0,0,0,0,0,0,0
20819,G,4.13,0,0,0,4.13,0,0,0
20820,G,8.26,0,0,0,8.26,0,0,0
20821,G,8.26,0,0,0,8.26,0,0,0
20822,G,12.39,0,0,0,12.39,0,0,0
20823,F,10.27,0,0,0,10.27,0,0,0
20824,F,10.27,0,0,0,10.27,0,0,0
20825,F,10.27,0,0,0,10.27,0,0,0
20826,F,10.27,0,0,0,10.27,0,0,0
20827,F,13.69,0,0,0,13.69,0,0,0
20828,G,8.26,0,0,0,8.26,0,0,0
20829,K,22.26,0,0,0,22.26,0,0,0
20830,K,18.09,0,0,0,18.09,0,0,0
20831,K,46.91,0,0,0,46.91,0,0,0
20832,K,46.91,0,0,0,46.91,0,0,0
20833,K,18.09,0,0,0,18.09,0,0,0
20834,K,15.3,0,0,0,15.3,0,0,0
20835,K,22.26,0,0,0,22.26,0,0,0
20836,K,15.3,0,0,0,15.3,0,0,0
20837,K,20.87,0,0,0,20.87,0,0,0
20838,K,13.91,0,0,0,13.91,0,0,0
20839,K,13.91,0,0,0,13.91,0,0,0
