parent_branch_row,parent_from_bus,parent_to_bus,original_status,disposition,new_active_contribution,alternative_policy,r_pu,x_pu,b_pu,rate_a_mva,rate_b_mva,rate_c_mva,tap,shift_deg,angle_min_deg,angle_max_deg
44,43,50,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0025,0.0268,0.4,3463.47124449306,3463.47124449306,3463.47124449306,0,0,-360,360
45,43,50,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0025,0.0268,0.4,3463.47124449306,3463.47124449306,3463.47124449306,0,0,-360,360
46,44,45,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0,0.0205,0,2500,0,0,0,0,-360,360
47,44,48,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.015,0.105,0.79,6896.14528055676,6896.14528055676,6896.14528055676,0,0,-360,360
48,45,46,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.1235,0.3548,0.16,2040.85471944324,2040.85471944324,2040.85471944324,0,0,-360,360
49,45,51,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0605,0.1896,0.08,489.56239109923,489.56239109923,489.56239109923,0,0,-360,360
50,45,71,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.1751,0.5575,0.12,166.495119914644,166.495119914644,166.495119914644,0,0,-360,360
51,46,47,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0632,0.121,0.05,2500,0,0,0,0,-360,360
52,46,49,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.164,0.578,0.06,2500,0,0,0,0,-360,360
53,47,48,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0,0.033,0,2500,0,0,0,0,-360,360
88,73,74,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0022,0.0196,0.34,1599.84337349398,1599.84337349398,1599.84337349398,0,0,-360,360
89,73,74,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0022,0.0196,0.34,1599.84337349398,1599.84337349398,1599.84337349398,0,0,-360,360
90,74,77,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0003,0.0043,0.08,2500,0,0,0,0,-360,360
91,74,78,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0005,0.0045,0.32,2889.50495049505,2889.50495049505,2889.50495049505,0,0,-360,360
92,74,78,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0005,0.0045,0.32,2889.50495049505,2889.50495049505,2889.50495049505,0,0,-360,360
93,75,124,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0007,0.0175,1.39,2500,0,0,0,0,-360,360
94,76,77,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.003,0.0068,1.37,4611.31325301205,4611.31325301205,4611.31325301205,0,0,-360,360
95,78,79,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0003,0.0153,0,908.848753535103,908.848753535103,908.848753535103,0,0,-360,360
96,78,80,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0135,0.0582,0.5,984.654731457801,984.654731457801,984.654731457801,0,0,-360,360
97,78,81,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0005,0.0276,0,503.818330764024,503.818330764024,503.818330764024,0,0,-360,360
98,78,82,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0005,0.0308,0,451.473569126203,451.473569126203,451.473569126203,0,0,-360,360
99,81,125,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0001,0.0011,0,2500,0,0,0,0,-360,360
219,40,41,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0,0.0161,0,2500,0,0,1,0,-360,360
220,49,48,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0156,0.1536,0,2500,0,0,1,0,-360,360
221,48,100,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.001,0.1595,0,2500,0,0,1,0,-360,360
227,75,76,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0001,0.0074,0,2500,0,0,1,0,-360,360
234,38,39,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00131,0.01997,0.51614,1216,2454,1804,0,0,-360,360
235,73,9002,1,fully_replaced_exact_parallel_equivalent,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.000405,0.006185,0.63943,2432,4908,3608,0,0,-360,360
236,9002,74,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.000185,0.002815,0.29107,2432,4908,3608,0,0,-360,360
237,74,78,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0009,0.015,0,866.851485148515,866.851485148515,866.851485148515,0,0,-360,360
238,77,78,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0012,0.02,0,650.138613861386,650.138613861386,650.138613861386,0,0,-360,360
239,78,81,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00072,0.012,0,1158.78216075726,1158.78216075726,1158.78216075726,0,0,-360,360
240,78,79,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0006,0.01,0,1390.53859290871,1390.53859290871,1390.53859290871,0,0,-360,360
241,78,82,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0006,0.01,0,1390.53859290871,1390.53859290871,1390.53859290871,0,0,-360,360
242,78,9003,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0012,0.02,0,2865.3452685422,2865.3452685422,2865.3452685422,0,0,-360,360
243,9003,80,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0012,0.02,0,5000,5000,5000,0,0,-360,360
244,81,80,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0018,0.03,0,2950,2950,2950,0,0,-360,360
245,39,9001,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0021,0.035,0,5000,5000,5000,0,0,-360,360
246,9001,73,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0015,0.025,0,5000,5000,5000,0,0,-360,360
247,1228,43,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00232,0.03545,0.91639,1216,2454,1804,0,0,-360,360
248,1228,1222,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00141,0.02147,0.55498,1216,2454,1804,0,0,-360,360
249,43,1567,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,5e-05,0.00073,0.01892,1216,2454,1804,0,0,-360,360
250,1567,1222,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00425,0.06486,1.67665,1216,2454,1804,0,0,-360,360
251,772,1222,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00155,0.0236,0.61003,1216,2454,1804,0,0,-360,360
252,772,1222,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00155,0.02362,0.61058,1216,2454,1804,0,0,-360,360
253,772,76,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00083,0.01265,0.32696,1216,2454,1804,0,0,-360,360
254,73,858,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00035,0.00527,0.13611,1216,2454,1804,0,0,-360,360
255,73,858,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00035,0.00527,0.13612,1216,2454,1804,0,0,-360,360
256,73,9002,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00081,0.01237,0.31971,1216,2454,1804,0,0,-360,360
257,73,9002,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00081,0.01237,0.31972,1216,2454,1804,0,0,-360,360
258,858,9002,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00047,0.00713,0.18428,1216,2454,1804,0,0,-360,360
259,858,9002,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00047,0.00713,0.18426,1216,2454,1804,0,0,-360,360
260,76,774,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00018,0.00276,0.07125,1216,2454,1804,0,0,-360,360
261,774,77,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00035,0.00541,0.13993,1725,1725,2500,0,0,-360,360
262,76,77,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00054,0.00824,0.21288,1725,1725,2500,0,0,-360,360
263,547,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00028,0.00425,0.10981,1216,2454,1804,0,0,-360,360
264,547,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00028,0.00425,0.10981,1216,2454,1804,0,0,-360,360
265,547,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00028,0.00429,0.1109,1216,2454,1804,0,0,-360,360
266,547,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00028,0.0043,0.11125,1216,2454,1804,0,0,-360,360
267,547,74,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00028,0.00424,0.10951,1216,2454,1804,0,0,-360,360
268,547,74,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00028,0.00432,0.11162,1216,2454,1804,0,0,-360,360
269,547,74,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00028,0.0043,0.11121,1216,2454,1804,0,0,-360,360
270,557,1493,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0012,0.055,0,1292,1347,1395,1,0,-360,360
271,557,1493,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0012,0.055,0,1292,1347,1395,1,0,-360,360
272,560,593,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00046,0.00697,0.18022,600,2454,1804,0,0,-360,360
273,9003,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00073,0.01109,0.28674,1500,2454,1804,0,0,-360,360
274,9003,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00073,0.01109,0.28674,1500,2454,1804,0,0,-360,360
275,9003,1497,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00106,0.0574,0,500,500,500,1,0,-360,360
276,9003,1497,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00106,0.0574,0,500,500,500,1,0,-360,360
277,593,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,5e-05,0.00082,0.02111,1216,2454,1804,0,0,-360,360
278,593,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,4e-05,0.00055,0.01432,1216,2454,1804,0,0,-360,360
279,593,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,5e-05,0.0007,0.01801,1216,2454,1804,0,0,-360,360
280,593,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,4e-05,0.00055,0.01426,1216,2454,1804,0,0,-360,360
281,593,1501,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00133,0.0571,0,850,850,850,1,0,-360,360
282,593,1501,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00133,0.0571,0,850,850,850,1,0,-360,360
283,1136,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00046,0.009,0.17988,1216,2454,1804,0,0,-360,360
284,1136,594,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00046,0.009,0.17991,1216,2454,1804,0,0,-360,360
285,594,1502,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00124,0.0669,0,700,700,700,1,0,-360,360
286,594,1502,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00124,0.0669,0,700,700,700,1,0,-360,360
287,594,1502,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00124,0.0669,0,700,700,700,1,0,-360,360
288,595,600,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00071,0.00357,0.02704,385,400,432,0,0,-360,360
289,595,600,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00071,0.00357,0.02704,385,400,432,0,0,-360,360
290,595,600,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00071,0.00357,0.02704,385,400,432,0,0,-360,360
291,595,1493,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00023,0.00114,0.00864,366,400,432,0,0,-360,360
292,596,1502,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00153,0.00767,0.05812,562,562,562,0,0,-360,360
293,596,1502,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00153,0.00767,0.05812,562,562,562,0,0,-360,360
294,596,1502,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00153,0.00767,0.05812,562,562,562,0,0,-360,360
295,596,1503,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00302,0.10864,0,210,210,210,1,0,-360,360
296,596,1503,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00302,0.10864,0,210,210,210,1,0,-360,360
297,1493,597,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,6e-05,0.00029,0.00217,562,562,562,0,0,-360,360
298,1493,597,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,6e-05,0.00029,0.00217,562,562,562,0,0,-360,360
299,1503,598,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.05914,0.13444,0.00263,250,250,250,0,0,-360,360
300,1501,600,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00131,0.00653,0.04945,562,562,562,0,0,-360,360
301,1501,600,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00131,0.00653,0.04945,562,562,562,0,0,-360,360
302,1501,600,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00131,0.00653,0.04945,562,562,562,0,0,-360,360
303,601,628,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00085,0.00423,0.03207,311,311,311,0,0,-360,360
304,601,628,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00085,0.00423,0.03207,311,311,311,0,0,-360,360
305,601,628,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00085,0.00423,0.03207,311,311,311,0,0,-360,360
306,1493,601,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0008,0.00401,0.03037,562,562,562,0,0,-360,360
307,1493,601,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0008,0.00401,0.03037,562,562,562,0,0,-360,360
308,1493,601,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0008,0.00401,0.03037,562,562,562,0,0,-360,360
309,1493,601,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0008,0.00401,0.03037,562,562,562,0,0,-360,360
310,626,1506,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.05562,0.12645,0.00247,250,250,250,0,0,-360,360
311,626,1506,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.05562,0.12645,0.00247,250,250,250,0,0,-360,360
312,628,1506,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.00302,0.10864,0,500,500,500,1,0,-360,360
313,1136,1532,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0015,0.0625,0,800,800,800,1,0,-360,360
314,1136,1532,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0015,0.0625,0,800,800,800,1,0,-360,360
315,1136,1532,1,fully_replaced_regional_function_assumed_correspondence,0,historical_parent_kept_as_explicit_alternative_not_superimposed,0.0015,0.0625,0,800,800,800,1,0,-360,360
