device_key,source_bus,model_bus,zone,mapping_kind,pd_gross_mw,qd_gross_mvar,gs_mw,bs_mvar
PERFORM2019:BUS:46,46,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:47,47,61,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:48,48,61,A,assumed_same_zone_source_distance_aggregation,10.1,0,0,0
PERFORM2019:BUS:49,49,20049,E,exact_source_region,4.15,0,0,0
PERFORM2019:BUS:50,50,20050,E,exact_source_region,4.15,0,0,0
PERFORM2019:BUS:51,51,68,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:52,52,72,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:53,53,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:54,54,72,C,assumed_same_zone_source_distance_aggregation,0,0,0,0
PERFORM2019:BUS:55,55,68,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:56,56,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:57,57,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:58,58,68,C,assumed_same_zone_source_distance_aggregation,6.27,0,0,0
PERFORM2019:BUS:59,59,20059,E,exact_source_region,14.54,0,0,0
PERFORM2019:BUS:60,60,20060,E,exact_source_region,1.87,0,0,0
PERFORM2019:BUS:61,61,72,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:62,62,20062,F,exact_source_region,0,0,0,0
PERFORM2019:BUS:63,63,20063,F,exact_source_region,0,0,0,0
PERFORM2019:BUS:64,64,20064,E,exact_source_region,2.08,0,0,0
PERFORM2019:BUS:65,65,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:66,66,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:67,67,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:68,68,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:69,69,56,A,assumed_same_zone_source_distance_aggregation,12.63,0,0,0
PERFORM2019:BUS:70,70,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:71,71,61,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
PERFORM2019:BUS:72,72,61,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:73,73,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:74,74,56,A,assumed_same_zone_source_distance_aggregation,10.1,0,0,0
PERFORM2019:BUS:75,75,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:76,76,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:77,77,56,A,assumed_same_zone_source_distance_aggregation,12.63,0,0,0
PERFORM2019:BUS:78,78,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:79,79,20079,J,exact_source_region,0,0,0,0
PERFORM2019:BUS:80,80,20080,E,exact_source_region,4.15,0,0,0
PERFORM2019:BUS:81,81,71,C,assumed_same_zone_source_distance_aggregation,20.89,0,0,0
PERFORM2019:BUS:82,82,20082,E,exact_source_region,2.08,0,0,0
PERFORM2019:BUS:83,83,20083,E,exact_source_region,6.23,0,0,0
PERFORM2019:BUS:84,84,20084,F,exact_source_region,3.42,0,0,0
PERFORM2019:BUS:85,85,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:86,86,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:87,87,61,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
PERFORM2019:BUS:88,88,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:89,89,61,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:90,90,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:91,91,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:92,92,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:93,93,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:94,94,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:95,95,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:96,96,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:97,97,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:98,98,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:99,99,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:100,100,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:101,101,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:102,102,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:103,103,57,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:104,104,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:105,105,57,A,assumed_same_zone_source_distance_aggregation,20.2,0,0,0
PERFORM2019:BUS:106,106,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:107,107,57,A,assumed_same_zone_source_distance_aggregation,12.63,0,0,0
PERFORM2019:BUS:108,108,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:109,109,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:110,110,68,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:111,111,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:112,112,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:113,113,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:114,114,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:115,115,71,C,assumed_same_zone_same_kV_boundary_aggregation,8.36,0,0,0
PERFORM2019:BUS:116,116,71,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:117,117,71,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:118,118,71,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:119,119,71,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:120,120,71,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:121,121,71,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:122,122,71,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:123,123,71,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:124,124,68,C,assumed_same_zone_source_distance_aggregation,25.07,0,0,0
PERFORM2019:BUS:125,125,20125,E,exact_source_region,2.08,0,0,0
PERFORM2019:BUS:126,126,20126,E,exact_source_region,2.08,0,0,0
PERFORM2019:BUS:127,127,20127,F,exact_source_region,34.22,0,0,0
PERFORM2019:BUS:128,128,53,B,assumed_same_zone_source_distance_aggregation,43.2,0,0,0
PERFORM2019:BUS:129,129,53,B,assumed_same_zone_source_distance_aggregation,21.6,0,0,0
PERFORM2019:BUS:130,130,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:131,131,68,C,assumed_same_zone_source_distance_aggregation,25.07,0,0,0
PERFORM2019:BUS:132,132,72,C,assumed_same_zone_source_distance_aggregation,0,0,0,0
PERFORM2019:BUS:133,133,68,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:134,134,56,A,assumed_same_zone_source_distance_aggregation,12.63,0,0,0
PERFORM2019:BUS:135,135,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:136,136,58,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:137,137,59,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:138,138,56,A,assumed_same_zone_source_distance_aggregation,0,0,0,0
PERFORM2019:BUS:139,139,56,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
PERFORM2019:BUS:140,140,56,A,assumed_same_zone_source_distance_aggregation,10.76,0,0,0
PERFORM2019:BUS:141,141,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:142,142,56,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
PERFORM2019:BUS:143,143,59,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:144,144,59,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:145,145,58,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
PERFORM2019:BUS:146,146,58,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:147,147,68,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:148,148,72,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:149,149,72,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:150,150,72,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:151,151,72,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:152,152,65,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:153,153,72,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:154,154,72,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:155,155,72,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:156,156,72,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:157,157,72,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:158,158,72,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:159,159,59,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:160,160,59,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:161,161,61,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:162,162,56,A,assumed_same_zone_source_distance_aggregation,10.1,0,0,0
PERFORM2019:BUS:163,163,56,A,assumed_same_zone_source_distance_aggregation,12.63,0,0,0
PERFORM2019:BUS:164,164,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:165,165,59,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:166,166,59,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:167,167,51,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:168,168,20168,E,exact_source_region,2.08,0,0,0
PERFORM2019:BUS:169,169,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:170,170,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:171,171,68,C,assumed_same_zone_same_kV_boundary_aggregation,33.43,0,0,0
PERFORM2019:BUS:172,172,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:173,173,51,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:174,174,51,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:175,175,51,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:176,176,51,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:177,177,51,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:178,178,51,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:179,179,51,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:180,180,51,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:181,181,51,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:182,182,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:183,183,68,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:184,184,51,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:185,185,51,C,assumed_same_zone_source_distance_aggregation,8.36,0,0,0
PERFORM2019:BUS:186,186,20186,E,exact_source_region,6.23,0,0,0
PERFORM2019:BUS:187,187,20187,E,exact_source_region,4.15,0,0,0
PERFORM2019:BUS:188,188,20188,E,exact_source_region,4.15,0,0,0
PERFORM2019:BUS:189,189,20189,E,exact_source_region,2.08,0,0,0
PERFORM2019:BUS:190,190,20190,D,exact_source_region,29.62,0,0,0
PERFORM2019:BUS:191,191,20191,D,exact_source_region,29.62,0,0,0
PERFORM2019:BUS:192,192,20192,D,exact_source_region,44.43,0,0,0
PERFORM2019:BUS:193,193,20193,D,exact_source_region,59.24,0,0,0
PERFORM2019:BUS:194,194,20194,F,exact_source_region,20.53,0,0,0
PERFORM2019:BUS:195,195,20195,F,exact_source_region,6.84,0,0,0
PERFORM2019:BUS:196,196,20196,F,exact_source_region,6.84,0,0,0
PERFORM2019:BUS:197,197,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:198,198,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:199,199,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:200,200,53,B,assumed_same_zone_source_distance_aggregation,21.6,0,0,0
PERFORM2019:BUS:201,201,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:202,202,72,C,assumed_same_zone_same_kV_boundary_aggregation,8.36,0,0,0
PERFORM2019:BUS:203,203,20203,E,exact_source_region,4.15,0,0,0
PERFORM2019:BUS:204,204,20204,E,exact_source_region,6.23,0,0,0
PERFORM2019:BUS:205,205,20205,E,exact_source_region,8.31,0,0,0
PERFORM2019:BUS:206,206,20206,E,exact_source_region,4.15,0,0,0
PERFORM2019:BUS:207,207,65,C,assumed_same_zone_source_distance_aggregation,4.18,0,0,0
PERFORM2019:BUS:208,208,65,C,assumed_same_zone_source_distance_aggregation,12.54,0,0,0
PERFORM2019:BUS:209,209,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:210,210,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:211,211,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:212,212,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:213,213,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:214,214,53,B,assumed_same_zone_source_distance_aggregation,21.6,0,0,0
PERFORM2019:BUS:215,215,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:216,216,53,B,assumed_same_zone_source_distance_aggregation,57.59,0,0,0
PERFORM2019:BUS:217,217,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:218,218,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:219,219,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:220,220,53,B,assumed_same_zone_source_distance_aggregation,43.2,0,0,0
PERFORM2019:BUS:221,221,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:222,222,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:223,223,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:224,224,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:225,225,56,A,assumed_same_zone_source_distance_aggregation,2.27,0,0,0
PERFORM2019:BUS:226,226,56,A,assumed_same_zone_source_distance_aggregation,2.27,0,0,0
PERFORM2019:BUS:227,227,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:228,228,53,B,assumed_same_zone_source_distance_aggregation,30.67,0,0,0
PERFORM2019:BUS:229,229,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:230,230,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:231,231,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:232,232,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:233,233,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:234,234,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:235,235,57,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:236,236,57,A,assumed_same_zone_source_distance_aggregation,12.63,0,0,0
PERFORM2019:BUS:237,237,57,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:238,238,57,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:239,239,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:240,240,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,43.25
PERFORM2019:BUS:241,241,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:242,242,53,B,assumed_same_zone_source_distance_aggregation,36,0,0,0
PERFORM2019:BUS:243,243,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:244,244,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:245,245,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:246,246,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:247,247,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:248,248,53,B,assumed_same_zone_source_distance_aggregation,7.2,0,0,0
PERFORM2019:BUS:249,249,53,B,assumed_same_zone_source_distance_aggregation,14.4,0,0,0
PERFORM2019:BUS:250,250,53,B,assumed_same_zone_source_distance_aggregation,28.8,0,0,0
PERFORM2019:BUS:251,251,57,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:252,252,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:253,253,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:254,254,50,C,assumed_same_zone_source_distance_aggregation,0,0,0,0
PERFORM2019:BUS:255,255,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:256,256,56,A,assumed_same_zone_source_distance_aggregation,12.63,0,0,0
PERFORM2019:BUS:257,257,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:258,258,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:259,259,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:260,260,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:261,261,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:262,262,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:263,263,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:264,264,56,A,assumed_same_zone_source_distance_aggregation,17.68,0,0,0
PERFORM2019:BUS:265,265,54,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:266,266,54,A,assumed_same_zone_source_distance_aggregation,11.05,0,0,0
PERFORM2019:BUS:267,267,54,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:268,268,54,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:269,269,57,A,assumed_same_zone_source_distance_aggregation,40.4,0,0,0
PERFORM2019:BUS:270,270,57,A,assumed_same_zone_source_distance_aggregation,12.63,0,0,0
PERFORM2019:BUS:271,271,57,A,assumed_same_zone_source_distance_aggregation,10.1,0,0,0
PERFORM2019:BUS:272,272,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:273,273,57,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:274,274,57,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:275,275,57,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:276,276,54,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:277,277,54,A,assumed_same_zone_source_distance_aggregation,12.63,0,0,0
PERFORM2019:BUS:278,278,56,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
PERFORM2019:BUS:279,279,56,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
PERFORM2019:BUS:280,280,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:281,281,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:282,282,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:283,283,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:284,284,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:285,285,56,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:286,286,56,A,assumed_same_zone_source_distance_aggregation,10.1,0,0,0
PERFORM2019:BUS:287,287,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:288,288,56,A,assumed_same_zone_source_distance_aggregation,7.58,0,0,0
PERFORM2019:BUS:289,289,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:290,290,56,A,assumed_same_zone_source_distance_aggregation,10.1,0,0,0
PERFORM2019:BUS:291,291,56,A,assumed_same_zone_source_distance_aggregation,10.1,0,0,0
PERFORM2019:BUS:292,292,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:293,293,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:294,294,58,A,assumed_same_zone_source_distance_aggregation,0,0,0,0
PERFORM2019:BUS:295,295,59,A,assumed_same_zone_source_distance_aggregation,2.53,0,0,0
PERFORM2019:BUS:296,296,59,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
PERFORM2019:BUS:297,297,56,A,assumed_same_zone_source_distance_aggregation,5.05,0,0,0
