model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,bounded_pg_mw,bounded_qg_mvar,replay_pg_mw,replay_qg_mvar,pg_movement_mw,qg_movement_mvar
11,PERFORM2019:GEN:17:5,11,17,20017,native_generation,K,exact_source_region,1,11.4136023530851,0.962360950010467,11.4,18.000001,-9.9,11.7,11.4136210712396,0.944026836113804,11.4136210712396,1.17056518304653,1.87181545001636e-05,0.208204233036068
12,PERFORM2019:GEN:17:6,12,17,20017,native_generation,K,exact_source_region,1,10.7136423063841,0.962360950010467,10.7,18.000001,-9.9,11.7,10.7136609207319,0.944026836113804,10.7136609207319,1.17056518304653,1.86143478337897e-05,0.208204233036068
13,PERFORM2019:GEN:17:7,13,17,20017,native_generation,K,exact_source_region,1,9.0137410512146,0.962360950010467,9,18.000001,-9.9,11.7,9.01375945116411,0.944026836113804,9.01375945116411,1.17056518304653,1.83999495089182e-05,0.208204233036068
14,PERFORM2019:GEN:17:8,14,17,20017,native_generation,K,exact_source_region,1,29.8138523254089,2.3941061203345,29.800001,41.800001,-23,27.200001,29.8138703182847,2.29829542898154,29.8138703182847,2.72881403979173,1.79928757404468e-05,0.334707919457228
15,PERFORM2019:GEN:17:9,15,17,20017,native_generation,K,exact_source_region,0,0,0,30.000001,41.800001,-23,27.200001,0,0,0,0,0,0
16,PERFORM2019:GEN:17:10,16,17,20017,native_generation,K,exact_source_region,0,0,0,30.000001,41.800001,-23,27.200001,0,0,0,0,0,0
17,PERFORM2019:GEN:17:11,17,17,20017,native_generation,K,exact_source_region,1,30.0138419377851,2.3941061203345,30.000001,41.800001,-23,27.200001,30.0138599565843,2.29829542898154,30.0138599565843,2.72881403979173,1.80187992420144e-05,0.334707919457228
18,PERFORM2019:GEN:17:12,18,17,20017,native_generation,K,exact_source_region,1,183.000158236195,15.6283440593374,15.000001,188,-103.400004,122.2,183.000161833969,13.3360340699187,183.000161833969,12.2259010730351,3.5977738548354e-06,-3.40244298630227
19,PERFORM2019:GEN:17:13,19,17,20017,native_generation,K,exact_source_region,1,183.000158236195,15.6283440593374,15.000001,188,-103.400004,122.2,183.000161833969,13.3360340699188,183.000161833969,12.2259010730351,3.5977738548354e-06,-3.40244298630223
20,PERFORM2019:GEN:18:1,20,18,20018,native_generation,K,exact_source_region,1,15.8986003005354,-0.398233123782508,10,16,-8.8,10.4,15.8986030526853,-1.49848018921629,15.8986030526853,-4.2633959518261,2.75214987333072e-06,-3.86516282804359
21,PERFORM2019:GEN:18:2,21,18,20018,native_generation,K,exact_source_region,1,52.6642593253945,-8.48258735349743,37,52.999997,-29.2,34.5,52.6642625723269,-14.9497087352687,52.6642625723269,-14.1488709443397,3.246932458012e-06,-5.66628359084229
22,PERFORM2019:GEN:18:3,22,18,20018,native_generation,K,exact_source_region,1,52.6642593253945,-8.48258735349743,37,52.999997,-29.2,34.5,52.6642625723269,-14.9497087352687,52.6642625723269,-14.1488709443397,3.246932458012e-06,-5.66628359084229
