source_branch_row,model_branch_row,device_key,from_in_exact_region,to_in_exact_region
830,238,PERFORM2019:AC:388:1014:1,1,1
831,239,PERFORM2019:AC:389:1014:1,1,1
832,240,PERFORM2019:AC:390:1548:1,1,1
833,241,PERFORM2019:AC:391:1353:N,1,1
834,242,PERFORM2019:AC:391:1395:1,1,1
835,243,PERFORM2019:AC:392:1051:1,1,1
836,244,PERFORM2019:AC:393:434:1,1,1
837,245,PERFORM2019:AC:394:1027:1,1,1
838,246,PERFORM2019:AC:394:1028:1,1,1
839,247,PERFORM2019:AC:395:1220:1,1,1
840,248,PERFORM2019:AC:395:1221:1,1,1
841,249,PERFORM2019:AC:396:1054:1,1,1
842,250,PERFORM2019:AC:397:1054:1,1,1
843,251,PERFORM2019:AC:398:1029:1,1,1
844,252,PERFORM2019:AC:399:1001:1,1,1
845,253,PERFORM2019:AC:399:1002:1,1,1
846,254,PERFORM2019:AC:400:666:1,1,1
847,255,PERFORM2019:AC:400:1193:1,1,1
848,256,PERFORM2019:AC:400:1194:1,1,1
849,257,PERFORM2019:AC:401:1195:1,1,1
850,258,PERFORM2019:AC:402:403:1,1,1
851,259,PERFORM2019:AC:404:405:1,1,1
852,260,PERFORM2019:AC:404:1199:1,1,1
853,261,PERFORM2019:AC:405:1199:1,1,1
854,262,PERFORM2019:AC:406:1198:1,1,1
855,263,PERFORM2019:AC:407:1197:1,1,1
856,264,PERFORM2019:AC:408:1196:1,1,1
857,265,PERFORM2019:AC:409:1003:1,1,1
858,266,PERFORM2019:AC:410:1005:1,1,1
859,267,PERFORM2019:AC:411:1020:1,1,1
860,268,PERFORM2019:AC:411:1021:1,1,1
861,269,PERFORM2019:AC:412:413:1,1,1
862,270,PERFORM2019:AC:412:419:1,1,1
863,271,PERFORM2019:AC:412:1031:1,1,1
864,272,PERFORM2019:AC:413:414:1,1,1
865,273,PERFORM2019:AC:413:579:1,1,1
866,274,PERFORM2019:AC:414:415:1,1,1
867,275,PERFORM2019:AC:415:416:1,1,1
868,276,PERFORM2019:AC:415:418:1,1,1
869,277,PERFORM2019:AC:415:1209:1,1,1
870,278,PERFORM2019:AC:415:1216:1,1,1
871,279,PERFORM2019:AC:415:1217:1,1,1
872,280,PERFORM2019:AC:415:1546:1,1,1
873,281,PERFORM2019:AC:415:1546:2,1,1
874,282,PERFORM2019:AC:417:1216:1,1,1
875,283,PERFORM2019:AC:417:1217:1,1,1
876,284,PERFORM2019:AC:418:1025:1,1,1
877,285,PERFORM2019:AC:418:1026:1,1,1
878,286,PERFORM2019:AC:418:1209:1,1,1
879,287,PERFORM2019:AC:419:1032:1,1,1
880,288,PERFORM2019:AC:420:1032:1,1,1
881,289,PERFORM2019:AC:420:1033:1,1,1
882,290,PERFORM2019:AC:421:422:1,1,1
883,291,PERFORM2019:AC:421:1037:1,1,1
884,292,PERFORM2019:AC:423:1034:1,1,1
885,293,PERFORM2019:AC:423:1036:1,1,1
886,294,PERFORM2019:AC:423:1037:1,1,1
887,295,PERFORM2019:AC:423:1464:1,1,1
888,296,PERFORM2019:AC:424:1285:1,1,1
889,297,PERFORM2019:AC:424:1453:1,1,1
890,298,PERFORM2019:AC:425:1038:1,1,1
891,299,PERFORM2019:AC:426:1006:1,1,1
892,300,PERFORM2019:AC:426:1007:1,1,1
893,301,PERFORM2019:AC:427:1008:1,1,1
894,302,PERFORM2019:AC:427:1009:1,1,1
895,303,PERFORM2019:AC:428:1201:1,1,1
896,304,PERFORM2019:AC:428:1202:1,1,1
897,305,PERFORM2019:AC:429:1200:1,1,1
898,306,PERFORM2019:AC:429:1202:1,1,1
899,307,PERFORM2019:AC:429:1546:1,1,1
900,308,PERFORM2019:AC:430:431:1,1,1
901,309,PERFORM2019:AC:430:1039:1,1,1
902,310,PERFORM2019:AC:432:1045:1,1,1
903,311,PERFORM2019:AC:433:1045:1,1,1
904,312,PERFORM2019:AC:434:1048:1,1,1
905,313,PERFORM2019:AC:434:1395:1,1,1
906,314,PERFORM2019:AC:434:1396:1,1,1
907,315,PERFORM2019:AC:435:918:1,1,1
908,316,PERFORM2019:AC:435:1046:1,1,1
909,317,PERFORM2019:AC:436:918:1,1,1
910,318,PERFORM2019:AC:437:918:1,1,1
911,319,PERFORM2019:AC:438:1047:1,1,1
912,320,PERFORM2019:AC:439:1048:1,1,1
913,321,PERFORM2019:AC:440:1048:1,1,1
914,322,PERFORM2019:AC:440:1394:1,1,1
915,323,PERFORM2019:AC:441:1049:1,1,1
916,324,PERFORM2019:AC:441:1050:1,1,1
917,325,PERFORM2019:AC:442:1022:1,1,1
918,326,PERFORM2019:AC:443:1022:1,1,1
919,327,PERFORM2019:AC:444:1024:1,1,1
920,328,PERFORM2019:AC:445:1025:1,1,1
921,329,PERFORM2019:AC:445:1026:1,1,1
922,330,PERFORM2019:AC:446:1200:1,1,1
923,331,PERFORM2019:AC:447:448:1,1,1
924,332,PERFORM2019:AC:447:1215:1,1,1
925,333,PERFORM2019:AC:447:1515:1,1,1
926,334,PERFORM2019:AC:448:778:1,1,1
927,335,PERFORM2019:AC:449:450:1,1,1
928,336,PERFORM2019:AC:449:1527:1,1,1
929,337,PERFORM2019:AC:451:452:1,1,1
930,338,PERFORM2019:AC:452:744:1,1,1
931,339,PERFORM2019:AC:453:747:1,1,1
932,340,PERFORM2019:AC:453:748:1,1,1
933,341,PERFORM2019:AC:454:751:1,1,1
934,342,PERFORM2019:AC:455:1205:1,1,1
935,343,PERFORM2019:AC:455:1213:1,1,1
936,344,PERFORM2019:AC:456:1205:1,1,1
937,345,PERFORM2019:AC:457:1017:1,1,1
938,346,PERFORM2019:AC:457:1205:1,1,1
939,347,PERFORM2019:AC:458:1018:1,1,1
940,348,PERFORM2019:AC:459:1019:1,1,1
941,349,PERFORM2019:AC:459:1229:1,1,1
942,350,PERFORM2019:AC:461:752:1,1,1
943,351,PERFORM2019:AC:462:790:1,1,1
944,352,PERFORM2019:AC:462:796:1,1,1
945,353,PERFORM2019:AC:463:678:1,1,1
946,354,PERFORM2019:AC:464:784:1,1,1
947,355,PERFORM2019:AC:464:785:1,1,1
948,356,PERFORM2019:AC:465:466:1,1,1
949,357,PERFORM2019:AC:465:797:1,1,1
950,358,PERFORM2019:AC:466:1444:1,1,1
951,359,PERFORM2019:AC:467:787:1,1,1
952,360,PERFORM2019:AC:468:789:1,1,1
953,361,PERFORM2019:AC:469:786:1,1,1
954,362,PERFORM2019:AC:470:681:1,1,1
955,363,PERFORM2019:AC:471:693:1,1,1
956,364,PERFORM2019:AC:472:791:1,1,1
957,365,PERFORM2019:AC:472:792:1,1,1
958,366,PERFORM2019:AC:473:694:1,1,1
959,367,PERFORM2019:AC:474:676:1,1,1
960,368,PERFORM2019:AC:474:678:1,1,1
961,369,PERFORM2019:AC:474:680:1,1,1
962,370,PERFORM2019:AC:474:683:1,1,1
963,371,PERFORM2019:AC:474:684:1,1,1
964,372,PERFORM2019:AC:474:684:2,1,1
965,373,PERFORM2019:AC:474:686:1,1,1
966,374,PERFORM2019:AC:474:689:1,1,1
967,375,PERFORM2019:AC:474:690:1,1,1
968,376,PERFORM2019:AC:475:691:1,1,1
969,377,PERFORM2019:AC:475:692:1,1,1
970,378,PERFORM2019:AC:476:691:1,1,1
971,379,PERFORM2019:AC:476:692:1,1,1
972,380,PERFORM2019:AC:477:708:1,1,1
973,381,PERFORM2019:AC:477:709:1,1,1
974,382,PERFORM2019:AC:478:742:1,1,1
975,383,PERFORM2019:AC:478:743:1,1,1
976,384,PERFORM2019:AC:479:1204:1,1,1
977,385,PERFORM2019:AC:480:481:1,1,1
978,386,PERFORM2019:AC:480:1214:1,1,1
979,387,PERFORM2019:AC:481:482:1,1,1
980,388,PERFORM2019:AC:482:1208:1,1,1
981,389,PERFORM2019:AC:483:697:1,1,1
982,390,PERFORM2019:AC:483:775:1,1,1
983,391,PERFORM2019:AC:483:776:1,1,1
984,392,PERFORM2019:XFMR:483:1480:1,1,1
985,393,PERFORM2019:AC:483:1507:1,1,1
986,394,PERFORM2019:AC:484:749:1,1,1
987,395,PERFORM2019:AC:484:750:1,1,1
988,396,PERFORM2019:AC:485:490:1,1,1
