source_bus,model_bus,device_key,base_kv,source_vm_pu,regional_vm_pu,delta_vm_pu,source_va_deg,regional_va_deg,source_va_aligned_deg,regional_va_aligned_deg,delta_va_deg
421,20421,PERFORM2019:BUS:421,115,1.00791660972709,1.03924156350326,0.0313249537761653,18.5224392556253,12.6873572816201,18.5224392556253,12.6873572816201,-5.83508197400516
422,20422,PERFORM2019:BUS:422,115,1.00777506537567,1.03910484117618,0.0313297758005062,18.4869649189469,12.6539823207488,18.4869649189469,12.6539823207488,-5.83298259819807
423,20423,PERFORM2019:BUS:423,115,1.00851042640324,1.03981027902675,0.0312998526235098,18.6892291426106,12.844054778235,18.6892291426106,12.844054778235,-5.84517436437562
424,20424,PERFORM2019:BUS:424,115,1.00976418887063,1.0429974359508,0.0332332470801706,18.6523955476761,12.0760412256885,18.6523955476761,12.0760412256885,-6.57635432198759
425,20425,PERFORM2019:BUS:425,115,1.00951592970595,1.04251149246719,0.0329955627612351,18.6315386954484,12.1443030675941,18.6315386954484,12.1443030675941,-6.48723562785432
426,20426,PERFORM2019:BUS:426,115,1.01185582877495,1.0408807220304,0.0290248932554495,20.125547567408,15.2776389735964,20.125547567408,15.2776389735964,-4.84790859381164
427,20427,PERFORM2019:BUS:427,115,1.01453221977553,1.04338679453842,0.0288545747628945,21.2863249753526,16.8842339370163,21.2863249753526,16.8842339370163,-4.40209103833632
428,20428,PERFORM2019:BUS:428,115,1.04760935068981,1.06430569998582,0.0166963492960179,28.7232041479103,26.3797540337669,28.7232041479103,26.3797540337669,-2.34345011414339
429,20429,PERFORM2019:BUS:429,115,1.04756866726818,1.06426616101604,0.0166974937478568,28.7102552031361,26.3672016598372,28.7102552031361,26.3672016598372,-2.34305354329894
430,20430,PERFORM2019:BUS:430,115,1.0124799603047,1.05800249323435,0.0455225329296494,8.17294321067871,6.22019960022244,8.17294321067871,6.22019960022244,-1.95274361045628
431,20431,PERFORM2019:BUS:431,115,1.00602730017798,1.05053044849361,0.0445031483156311,7.63686911257504,4.3294375075236,7.63686911257504,4.3294375075236,-3.30743160505145
432,20432,PERFORM2019:BUS:432,115,1.00209429752967,1.04646061943913,0.044366321909467,7.34309165108688,3.2205228306952,7.34309165108688,3.2205228306952,-4.12256882039168
